title	author	ave_rating	no_rating	link
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,103	https://www.goodreads.com/book/show/3236307-graceling
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,121	https://www.goodreads.com/book/show/7896527-throne-of-glass
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,131	https://www.goodreads.com/book/show/13831.Alanna
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,744	https://www.goodreads.com/book/show/60510.Poison_Study
Fire (Graceling Realm, #2)	Kristin Cashore	4.08	179,279	https://www.goodreads.com/book/show/6137154-fire
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,279	https://www.goodreads.com/book/show/345627.Vampire_Academy
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,591	https://www.goodreads.com/book/show/71811.Moon_Called
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,415	https://www.goodreads.com/book/show/518848.Sabriel
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,782	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	481,997	https://www.goodreads.com/book/show/68428.The_Final_Empire
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,977	https://www.goodreads.com/book/show/38619.Magic_Bites
His Dark Materials (His Dark Materials #1-3)	Philip Pullman	4.25	154,955	https://www.goodreads.com/book/show/18116.His_Dark_Materials
Wild Magic (Immortals, #1)	Tamora Pierce	4.24	82,818	https://www.goodreads.com/book/show/13836.Wild_Magic
Crown of Midnight (Throne of Glass, #2)	Sarah J. Maas	4.36	458,970	https://www.goodreads.com/book/show/17167166-crown-of-midnight
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare	4.30	755,825	https://www.goodreads.com/book/show/7171637-clockwork-angel
Ella Enchanted (Ella Enchanted #1)	Gail Carson Levine	3.98	408,257	https://www.goodreads.com/book/show/24337.Ella_Enchanted
First Test (Protector of the Small, #1)	Tamora Pierce	4.16	64,601	https://www.goodreads.com/book/show/153784.First_Test
A Court of Thorns and Roses (A Court of Thorns and Roses, #1)	Sarah J. Maas	4.18	792,559	https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,870	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Shadow Kiss (Vampire Academy, #3)	Richelle Mead	4.32	352,996	https://www.goodreads.com/book/show/2802316-shadow-kiss
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,673	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,669	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
Trickster's Choice (Daughter of the Lioness, #1)	Tamora Pierce	4.19	70,455	https://www.goodreads.com/book/show/34197014-trickster-s-choice
Blood Promise (Vampire Academy, #4)	Richelle Mead	4.29	302,783	https://www.goodreads.com/book/show/5996153-blood-promise
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,143	https://www.goodreads.com/book/show/40605251-the-mists-of-avalon
The Blue Sword (Damar, #1)	Robin McKinley	4.17	62,606	https://www.goodreads.com/book/show/407813.The_Blue_Sword
Frostbite (Vampire Academy, #2)	Richelle Mead	4.24	339,359	https://www.goodreads.com/book/show/2282133.Frostbite
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,632	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Terrier (Beka Cooper, #1)	Tamora Pierce	4.09	73,290	https://www.goodreads.com/book/show/13829.Terrier
Last Sacrifice (Vampire Academy, #6)	Richelle Mead	4.36	276,341	https://www.goodreads.com/book/show/6527740-last-sacrifice
Spirit Bound (Vampire Academy, #5)	Richelle Mead	4.31	282,288	https://www.goodreads.com/book/show/6479259-spirit-bound
Heir of Fire (Throne of Glass, #3)	Sarah J. Maas	4.44	386,763	https://www.goodreads.com/book/show/20613470-heir-of-fire
A Court of Mist and Fury (A Court of Thorns and Roses, #2)	Sarah J. Maas	4.59	563,043	https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	Laini Taylor	3.98	352,454	https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
In the Hand of the Goddess (Song of the Lioness, #2)	Tamora Pierce	4.18	99,667	https://www.goodreads.com/book/show/13835.In_the_Hand_of_the_Goddess
Dealing with Dragons (Enchanted Forest Chronicles, #1)	Patricia C. Wrede	4.11	92,661	https://www.goodreads.com/book/show/150739.Dealing_with_Dragons
A Great and Terrible Beauty (Gemma Doyle, #1)	Libba Bray	3.78	228,305	https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty
Lady Knight (Protector of the Small, #4)	Tamora Pierce	4.26	54,461	https://www.goodreads.com/book/show/153800.Lady_Knight
Bitten (Otherworld, #1)	Kelley Armstrong	4.00	101,859	https://www.goodreads.com/book/show/11918.Bitten
Lirael (Abhorsen, #2)	Garth Nix	4.24	118,625	https://www.goodreads.com/book/show/47624.Lirael
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,159	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,056	https://www.goodreads.com/book/show/119322.The_Golden_Compass
The Hero and the Crown (Damar, #2)	Robin McKinley	4.21	51,144	https://www.goodreads.com/book/show/77366.The_Hero_and_the_Crown
The Woman Who Rides Like a Man (Song of the Lioness, #3)	Tamora Pierce	4.13	82,415	https://www.goodreads.com/book/show/13830.The_Woman_Who_Rides_Like_a_Man
Magic Strikes (Kate Daniels, #3)	Ilona Andrews	4.41	79,230	https://www.goodreads.com/book/show/4345498-magic-strikes
Trickster's Queen (Daughter of the Lioness, #2)	Tamora Pierce	4.23	61,393	https://www.goodreads.com/book/show/34197390-trickster-s-queen
Green Rider (Green Rider, #1)	Kristen Britain	4.03	38,846	https://www.goodreads.com/book/show/147843.Green_Rider
Queen of Shadows (Throne of Glass, #4)	Sarah J. Maas	4.53	334,411	https://www.goodreads.com/book/show/18006496-queen-of-shadows
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	Gregory Maguire	3.54	587,075	https://www.goodreads.com/book/show/37442.Wicked
Abhorsen (Abhorsen, #3)	Garth Nix	4.19	124,800	https://www.goodreads.com/book/show/334643.Abhorsen
Bitterblue (Graceling Realm, #3)	Kristin Cashore	3.98	114,940	https://www.goodreads.com/book/show/12680907-bitterblue
Angelfall (Penryn & the End of Days, #1)	Susan Ee	4.10	188,476	https://www.goodreads.com/book/show/15863832-angelfall
Soulless (Parasol Protectorate, #1)	Gail Carriger	3.87	112,727	https://www.goodreads.com/book/show/6381205-soulless
Angels' Blood (Guild Hunter, #1)	Nalini Singh	4.06	86,927	https://www.goodreads.com/book/show/3819326-angels-blood
Magic Bleeds (Kate Daniels, #4)	Ilona Andrews	4.42	77,756	https://www.goodreads.com/book/show/6479550-magic-bleeds
The Wee Free Men (Discworld, #30; Tiffany Aching, #1)	Terry Pratchett	4.24	104,708	https://www.goodreads.com/book/show/34494.The_Wee_Free_Men
The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)	Anne Bishop	4.39	13,250	https://www.goodreads.com/book/show/47953.The_Black_Jewels_Trilogy
Sunshine	Robin McKinley	3.84	41,437	https://www.goodreads.com/book/show/8088.Sunshine
Grave Mercy (His Fair Assassin, #1)	Robin LaFevers	3.88	110,417	https://www.goodreads.com/book/show/9565548-grave-mercy
Crown Duel (Crown & Court #1-2)	Sherwood Smith	4.19	24,664	https://www.goodreads.com/book/show/21060.Crown_Duel
The Iron King (The Iron Fey, #1)	Julie Kagawa	3.88	212,563	https://www.goodreads.com/book/show/6644117-the-iron-king
The Magicians' Guild (Black Magician Trilogy, #1)	Trudi Canavan	3.93	80,120	https://www.goodreads.com/book/show/28249.The_Magicians_Guild
Skinwalker (Jane Yellowrock, #1)	Faith Hunter	3.91	37,441	https://www.goodreads.com/book/show/5585788-skinwalker
The Novice (Black Magician Trilogy, #2)	Trudi Canavan	4.04	58,063	https://www.goodreads.com/book/show/28250.The_Novice
Eon: Dragoneye Reborn (Eon, #1)	Alison Goodman	3.92	66,487	https://www.goodreads.com/book/show/2986865-eon
Shadow and Bone (The Shadow and Bone Trilogy, #1)	Leigh Bardugo	3.96	626,878	https://www.goodreads.com/book/show/10194157-shadow-and-bone
The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)	Elizabeth Moon	4.31	12,661	https://www.goodreads.com/book/show/96281.The_Deed_of_Paksenarrion
On the Edge (The Edge, #1)	Ilona Andrews	4.02	42,762	https://www.goodreads.com/book/show/6329547-on-the-edge
Lioness Rampant (Song of the Lioness, #4)	Tamora Pierce	4.22	92,384	https://www.goodreads.com/book/show/13837.Lioness_Rampant
The High Lord (Black Magician Trilogy, #3)	Trudi Canavan	4.11	57,665	https://www.goodreads.com/book/show/28251.The_High_Lord
The Naming (The Books of Pellinor, #1)	Alison Croggon	4.02	25,000	https://www.goodreads.com/book/show/393146.The_Naming
Kushiel's Chosen (Phèdre's Trilogy, #2)	Jacqueline Carey	4.23	41,731	https://www.goodreads.com/book/show/395962.Kushiel_s_Chosen
Kushiel's Avatar (Phèdre's Trilogy, #3)	Jacqueline Carey	4.37	34,180	https://www.goodreads.com/book/show/40223.Kushiel_s_Avatar
Son of the Shadows (Sevenwaters, #2)	Juliet Marillier	4.33	29,155	https://www.goodreads.com/book/show/13927.Son_of_the_Shadows
At Grave's End (Night Huntress, #3)	Jeaniene Frost	4.27	87,586	https://www.goodreads.com/book/show/3570231-at-grave-s-end
By the Sword (Valdemar, #9)	Mercedes Lackey	4.26	20,128	https://www.goodreads.com/book/show/28735.By_the_Sword
Crow's Revenge (Keeper of the Realms, #1)	Marcus Alexander	4.48	649	https://www.goodreads.com/book/show/13143456-crow-s-revenge
Emperor Mage (Immortals, #3)	Tamora Pierce	4.20	67,806	https://www.goodreads.com/book/show/13833.Emperor_Mage
Wolf-Speaker (Immortals, #2)	Tamora Pierce	4.13	62,477	https://www.goodreads.com/book/show/24094.Wolf_Speaker
Six of Crows (Six of Crows, #1)	Leigh Bardugo	4.47	566,780	https://www.goodreads.com/book/show/23437156-six-of-crows
Deerskin	Robin McKinley	3.91	21,328	https://www.goodreads.com/book/show/8087.Deerskin
Witches Abroad (Discworld, #12; Witches #3)	Terry Pratchett	4.19	83,230	https://www.goodreads.com/book/show/2442.Witches_Abroad
