title	author	ave_rating	no_rating	link
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,052,141	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,868	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,911	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,768	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,107,305	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,549	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,152	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,987	https://www.goodreads.com/book/show/45107.Assassin_s_Apprentice
The Great Hunt (The Wheel of Time, #2)	Robert Jordan	4.23	257,870	https://www.goodreads.com/book/show/233649.The_Great_Hunt
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,125	https://www.goodreads.com/book/show/12067.Good_Omens
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,659	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Dragon Reborn (The Wheel of Time, #3)	Robert Jordan	4.25	237,433	https://www.goodreads.com/book/show/34897.The_Dragon_Reborn
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,065	https://www.goodreads.com/book/show/14497.Neverwhere
The Shadow Rising (The Wheel of Time, #4)	Robert Jordan	4.24	191,517	https://www.goodreads.com/book/show/9539.The_Shadow_Rising
Stardust	Neil Gaiman	4.08	396,695	https://www.goodreads.com/book/show/16793.Stardust
Tigana	Guy Gavriel Kay	4.05	48,316	https://www.goodreads.com/book/show/104089.Tigana
Lord of Chaos (The Wheel of Time, #6)	Robert Jordan	4.14	144,415	https://www.goodreads.com/book/show/35231.Lord_of_Chaos
A Crown of Swords (The Wheel of Time, #7)	Robert Jordan	4.04	140,143	https://www.goodreads.com/book/show/13890.A_Crown_of_Swords
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,154	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
The Fires of Heaven (The Wheel of Time, #5)	Robert Jordan	4.16	155,236	https://www.goodreads.com/book/show/13895.The_Fires_of_Heaven
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,634	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,436	https://www.goodreads.com/book/show/518848.Sabriel
Assassin's Quest (Farseer Trilogy, #3)	Robin Hobb	4.17	133,191	https://www.goodreads.com/book/show/45112.Assassin_s_Quest
Stone of Farewell (Memory, Sorrow, and Thorn, #2)	Tad Williams	4.05	49,329	https://www.goodreads.com/book/show/28689.Stone_of_Farewell
The Diamond Throne (The Elenium, #1)	David Eddings	3.96	33,316	https://www.goodreads.com/book/show/616678.The_Diamond_Throne
The Path of Daggers (The Wheel of Time, #8)	Robert Jordan	3.91	120,742	https://www.goodreads.com/book/show/140974.The_Path_of_Daggers
The Subtle Knife (His Dark Materials, #2)	Philip Pullman	4.13	404,464	https://www.goodreads.com/book/show/119324.The_Subtle_Knife
Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)	Timothy Zahn	4.14	78,198	https://www.goodreads.com/book/show/216443.Heir_to_the_Empire
Royal Assassin (Farseer Trilogy, #2)	Robin Hobb	4.22	167,243	https://www.goodreads.com/book/show/68487.Royal_Assassin
Ella Enchanted	Gail Carson Levine	3.98	408,273	https://www.goodreads.com/book/show/607014.Ella_Enchanted
Ship of Magic (Liveship Traders, #1)	Robin Hobb	4.14	71,904	https://www.goodreads.com/book/show/45100.Ship_of_Magic
Stone of Tears (Sword of Truth, #2)	Terry Goodkind	4.09	111,559	https://www.goodreads.com/book/show/234184.Stone_of_Tears
The Lions of Al-Rassan	Guy Gavriel Kay	4.29	20,242	https://www.goodreads.com/book/show/104101.The_Lions_of_Al_Rassan
Wizard and Glass (The Dark Tower, #4)	Stephen King	4.22	181,934	https://www.goodreads.com/book/show/5096.Wizard_and_Glass
To Green Angel Tower (Memory, Sorrow, and Thorn, #3)	Tad Williams	4.19	32,312	https://www.goodreads.com/book/show/28691.To_Green_Angel_Tower
Small Gods (Discworld, #13)	Terry Pratchett	4.29	107,239	https://www.goodreads.com/book/show/34484.Small_Gods
Tehanu (Earthsea Cycle, #4)	Ursula K. Le Guin	3.95	44,479	https://www.goodreads.com/book/show/13661.Tehanu
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	Gregory Maguire	3.54	587,093	https://www.goodreads.com/book/show/37442.Wicked
The Masterharper of Pern (Pern, #15)	Anne McCaffrey	4.25	23,502	https://www.goodreads.com/book/show/24870.The_Masterharper_of_Pern
Witches Abroad (Discworld, #12; Witches #3)	Terry Pratchett	4.19	83,233	https://www.goodreads.com/book/show/2442.Witches_Abroad
Jingo (Discworld, #21; City Watch, #4)	Terry Pratchett	4.15	59,061	https://www.goodreads.com/book/show/47990.Jingo
Reaper Man (Discworld, #11; Death, #2)	Terry Pratchett	4.24	93,676	https://www.goodreads.com/book/show/34517.Reaper_Man
Feet of Clay (Discworld, #19; City Watch, #3)	Terry Pratchett	4.25	79,164	https://www.goodreads.com/book/show/34527.Feet_of_Clay
Lords and Ladies (Discworld, #14; Witches #4)	Terry Pratchett	4.14	76,214	https://www.goodreads.com/book/show/34529.Lords_and_Ladies
Belgarath the Sorcerer	David Eddings	4.06	77,116	https://www.goodreads.com/book/show/189802.Belgarath_the_Sorcerer
By the Sword (Valdemar, #9)	Mercedes Lackey	4.26	20,129	https://www.goodreads.com/book/show/28735.By_the_Sword
His Dark Materials (His Dark Materials, #1-3)	Philip Pullman	4.25	154,960	https://www.goodreads.com/book/show/45486.His_Dark_Materials
The Fifth Elephant (Discworld, #24; City Watch, #5)	Terry Pratchett	4.23	70,639	https://www.goodreads.com/book/show/63720.The_Fifth_Elephant
Dealing with Dragons (Enchanted Forest Chronicles, #1)	Patricia C. Wrede	4.11	92,665	https://www.goodreads.com/book/show/150739.Dealing_with_Dragons
King's Dragon (Crown of Stars, #1)	Kate Elliott	3.80	8,807	https://www.goodreads.com/book/show/202039.King_s_Dragon
Soul Music (Discworld, #16; Death, #3)	Terry Pratchett	4.01	75,472	https://www.goodreads.com/book/show/34502.Soul_Music
Polgara the Sorceress	David Eddings	4.10	28,034	https://www.goodreads.com/book/show/18884.Polgara_the_Sorceress
The Magic of Recluce (The Saga of Recluce, #1)	L.E. Modesitt Jr.	3.85	23,320	https://www.goodreads.com/book/show/185253.The_Magic_of_Recluce
The Scions of Shannara (Heritage of Shannara, #1)	Terry Brooks	4.00	31,257	https://www.goodreads.com/book/show/34988.The_Scions_of_Shannara
The Elf Queen of Shannara (Heritage of Shannara, #3)	Terry Brooks	4.04	30,168	https://www.goodreads.com/book/show/15566.The_Elf_Queen_of_Shannara
