title	author	ave_rating	no_rating	link
Kindred	Octavia E. Butler	4.27	136,470	https://www.goodreads.com/book/show/60931.Kindred
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,594	https://www.goodreads.com/book/show/71811.Moon_Called
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,427	https://www.goodreads.com/book/show/4407.American_Gods
Parable of the Sower (Earthseed, #1)	Octavia E. Butler	4.18	99,928	https://www.goodreads.com/book/show/52397.Parable_of_the_Sower
The Hundred Thousand Kingdoms (Inheritance, #1)	N.K. Jemisin	3.87	66,400	https://www.goodreads.com/book/show/6437061-the-hundred-thousand-kingdoms
Cinder (The Lunar Chronicles, #1)	Marissa Meyer	4.13	786,997	https://www.goodreads.com/book/show/36381037-cinder
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,984	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
Anansi Boys (American Gods #2)	Neil Gaiman	4.01	211,736	https://www.goodreads.com/book/show/2744.Anansi_Boys
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,059	https://www.goodreads.com/book/show/2767052-the-hunger-games
Saga, Vol. 1	Brian K. Vaughan	4.17	288,245	https://www.goodreads.com/book/show/15704307-saga-vol-1
Wild Seed (Patternmaster, #1)	Octavia E. Butler	4.19	27,173	https://www.goodreads.com/book/show/52318.Wild_Seed
Dawn (Xenogenesis, #1)	Octavia E. Butler	4.13	37,129	https://www.goodreads.com/book/show/60929.Dawn
Fledgling	Octavia E. Butler	3.86	23,522	https://www.goodreads.com/book/show/60925.Fledgling
Eon: Dragoneye Reborn (Eon, #1)	Alison Goodman	3.92	66,489	https://www.goodreads.com/book/show/2986865-eon
Legend (Legend, #1)	Marie Lu	4.16	469,175	https://www.goodreads.com/book/show/9275658-legend
Cry Wolf (Alpha & Omega, #1)	Patricia Briggs	4.11	96,561	https://www.goodreads.com/book/show/2355575.Cry_Wolf
Lilith's Brood (Xenogenesis, #1-3)	Octavia E. Butler	4.36	16,647	https://www.goodreads.com/book/show/60926.Lilith_s_Brood
Iron Kissed (Mercy Thompson, #3)	Patricia Briggs	4.31	119,297	https://www.goodreads.com/book/show/1412138.Iron_Kissed
Rivers of London (Rivers of London, #1)	Ben Aaronovitch	3.85	114,164	https://www.goodreads.com/book/show/9317452-rivers-of-london
Blood Bound (Mercy Thompson, #2)	Patricia Briggs	4.29	119,486	https://www.goodreads.com/book/show/285205.Blood_Bound
The Left Hand of Darkness (Hainish Cycle, #4)	Ursula K. Le Guin	4.08	140,038	https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
Who Fears Death (Who Fears Death, #1)	Nnedi Okorafor	3.96	20,891	https://www.goodreads.com/book/show/7767021-who-fears-death
Akata Witch (Akata Witch, #1)	Nnedi Okorafor	4.06	27,306	https://www.goodreads.com/book/show/7507944-akata-witch
Snow Crash	Neal Stephenson	4.02	252,621	https://www.goodreads.com/book/show/830.Snow_Crash
Skinwalker (Jane Yellowrock, #1)	Faith Hunter	3.91	37,442	https://www.goodreads.com/book/show/5585788-skinwalker
The Broken Kingdoms (Inheritance, #2)	N.K. Jemisin	4.12	28,789	https://www.goodreads.com/book/show/7904453-the-broken-kingdoms
The Horse and His Boy (Chronicles of Narnia, #5)	C.S. Lewis	3.91	308,155	https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy
The Fifth Season (The Broken Earth, #1)	N.K. Jemisin	4.27	199,790	https://www.goodreads.com/book/show/19161852-the-fifth-season
