title	author	ave_rating	no_rating	link
Cold Days (The Dresden Files, #14)	Jim Butcher	4.45	94,786	https://www.goodreads.com/book/show/12216302-cold-days
King of Thorns (The Broken Empire, #2)	Mark Lawrence	4.19	59,319	https://www.goodreads.com/book/show/12891107-king-of-thorns
A Perfect Blood (The Hollows, #10)	Kim Harrison	4.38	35,348	https://www.goodreads.com/book/show/10599805-a-perfect-blood
Fair Game (Alpha & Omega, #3; Mercy Thompson World - Complete #9)	Patricia Briggs	4.31	51,165	https://www.goodreads.com/book/show/7942786-fair-game
Tricked (The Iron Druid Chronicles, #4)	Kevin Hearne	4.25	45,390	https://www.goodreads.com/book/show/12700306-tricked
The Blinding Knife (Lightbringer, #2)	Brent Weeks	4.38	82,507	https://www.goodreads.com/book/show/12499290-the-blinding-knife
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,060	https://www.goodreads.com/book/show/9647295-the-way-of-kings
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,592	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Throne of the Crescent Moon (The Crescent Moon Kingdoms, #1)	Saladin Ahmed	3.64	10,754	https://www.goodreads.com/book/show/11487807-throne-of-the-crescent-moon
Timeless (Parasol Protectorate, #5)	Gail Carriger	4.09	31,591	https://www.goodreads.com/book/show/11324166-timeless
Redshirts	John Scalzi	3.85	95,603	https://www.goodreads.com/book/show/13055592-redshirts
Ashes of Honor (October Daye, #6)	Seanan McGuire	4.37	16,612	https://www.goodreads.com/book/show/10184345-ashes-of-honor
Gunmetal Magic (Kate Daniels, #5.5)	Ilona Andrews	4.23	36,264	https://www.goodreads.com/book/show/12288282-gunmetal-magic
By a Thread (Elemental Assassin, #6)	Jennifer Estep	4.17	12,955	https://www.goodreads.com/book/show/11557982-by-a-thread
Caliban's War (The Expanse, #2)	James S.A. Corey	4.35	117,166	https://www.goodreads.com/book/show/12591698-caliban-s-war
Lover Reborn (Black Dagger Brotherhood, #10)	J.R. Ward	4.31	80,295	https://www.goodreads.com/book/show/10993282-lover-reborn
Deadlocked (Sookie Stackhouse, #12)	Charlaine Harris	3.70	97,924	https://www.goodreads.com/book/show/10407279-deadlocked
Bitterblue (Graceling Realm, #3)	Kristin Cashore	3.98	114,946	https://www.goodreads.com/book/show/12680907-bitterblue
Biting Cold (Chicagoland Vampires, #6)	Chloe Neill	4.09	26,065	https://www.goodreads.com/book/show/11746102-biting-cold
Widow's Web (Elemental Assassin, #7)	Jennifer Estep	4.18	11,061	https://www.goodreads.com/book/show/13544917-widow-s-web
The Killing Moon (Dreamblood, #1)	N.K. Jemisin	3.93	15,703	https://www.goodreads.com/book/show/11774272-the-killing-moon
Iced (Fever, #6)	Karen Marie Moning	4.08	44,730	https://www.goodreads.com/book/show/12444166-iced
Blackout (Newsflesh Trilogy, #3)	Mira Grant	4.09	21,454	https://www.goodreads.com/book/show/11806716-blackout
Sacrificial Magic (Downside Ghosts, #4)	Stacia Kane	4.21	6,565	https://www.goodreads.com/book/show/8786358-sacrificial-magic
Railsea	China Miéville	3.90	12,045	https://www.goodreads.com/book/show/12392681-railsea
The King's Blood (The Dagger and the Coin, #2)	Daniel Abraham	4.01	12,052	https://www.goodreads.com/book/show/12759057-the-king-s-blood
The Wind Through the Keyhole (The Dark Tower, #4.5)	Stephen King	4.15	71,451	https://www.goodreads.com/book/show/12106746-the-wind-through-the-keyhole
Once Burned (Night Prince, #1)	Jeaniene Frost	4.19	66,349	https://www.goodreads.com/book/show/7039218-once-burned
Red Country (First Law World, #6)	Joe Abercrombie	4.31	39,657	https://www.goodreads.com/book/show/13521459-red-country
