title	author	ave_rating	no_rating	link
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,055	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,596	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,063	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,882	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,048	https://www.goodreads.com/book/show/7050097-the-way-of-shadows
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,978	https://www.goodreads.com/book/show/45107.Assassin_s_Apprentice
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,129	https://www.goodreads.com/book/show/3236307-graceling
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,308	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,809	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
Prince of Thorns (The Broken Empire, #1)	Mark Lawrence	3.85	105,391	https://www.goodreads.com/book/show/9579634-prince-of-thorns
The Magician's Nephew (Chronicles of Narnia, #1)	C.S. Lewis	4.04	461,388	https://www.goodreads.com/book/show/638254.The_Magician_s_Nephew
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,149	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
The Great Hunt (The Wheel of Time, #2)	Robert Jordan	4.23	257,852	https://www.goodreads.com/book/show/233649.The_Great_Hunt
The Warded Man (Demon Cycle, #1)	Peter V. Brett	4.23	117,926	https://www.goodreads.com/book/show/6993490-the-warded-man
Pawn of Prophecy (The Belgariad, #1)	David Eddings	4.13	102,247	https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,135	https://www.goodreads.com/book/show/13831.Alanna
The Sword of Shannara (Shannara, #1)	Terry Brooks	3.76	93,863	https://www.goodreads.com/book/show/987950.The_Sword_of_Shannara
The Dragon Reborn (The Wheel of Time, #3)	Robert Jordan	4.25	237,423	https://www.goodreads.com/book/show/34897.The_Dragon_Reborn
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,238	https://www.goodreads.com/book/show/7896527-throne-of-glass
Elantris (Elantris, #1)	Brandon Sanderson	4.17	205,147	https://www.goodreads.com/book/show/68427.Elantris
The Dragonriders of Pern (Dragonriders of Pern, #1-3)	Anne McCaffrey	4.25	28,607	https://www.goodreads.com/book/show/61942.The_Dragonriders_of_Pern
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,412	https://www.goodreads.com/book/show/47212.Storm_Front
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,432	https://www.goodreads.com/book/show/518848.Sabriel
The Shadow Rising (The Wheel of Time, #4)	Robert Jordan	4.24	191,507	https://www.goodreads.com/book/show/9539.The_Shadow_Rising
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,655	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Black Company (The Chronicles of the Black Company, #1)	Glen Cook	3.90	48,014	https://www.goodreads.com/book/show/140671.The_Black_Company
Dragons of Autumn Twilight (Dragonlance: Chronicles, #1)	Margaret Weis	3.99	114,436	https://www.goodreads.com/book/show/259836.Dragons_of_Autumn_Twilight
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,985	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
Fire (Graceling Realm, #2)	Kristin Cashore	4.08	179,288	https://www.goodreads.com/book/show/6137154-fire
The Regent's Gamble (Spellbound Consortium, #1)	A. Payne	4.06	140	https://www.goodreads.com/book/show/22060784-the-regent-s-gamble
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,621	https://www.goodreads.com/book/show/944073.The_Blade_Itself
