title	author	ave_rating	no_rating	link
The Lord of the Rings	J.R.R. Tolkien	4.50	609,964	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,669	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
Ender's Game (Ender's Saga, #1)	Orson Scott Card	4.30	1,230,637	https://www.goodreads.com/book/show/375802.Ender_s_Game
Dune (Dune #1)	Frank Herbert	4.24	975,013	https://www.goodreads.com/book/show/234225.Dune
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,420	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)	Douglas Adams	4.35	307,525	https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,535	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Harry Potter Series Box Set (Harry Potter, #1-7)	J.K. Rowling	4.72	268,380	https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set
1984	George Orwell	4.19	3,617,997	https://www.goodreads.com/book/show/5470.1984
Fahrenheit 451	Ray Bradbury	3.98	1,923,760	https://www.goodreads.com/book/show/17470674-fahrenheit-451
The Foundation Trilogy (Foundation, #1-3)	Isaac Asimov	4.41	96,315	https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,387	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	Douglas Adams	4.22	1,592,229	https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
Brave New World	Aldous Huxley	3.99	1,592,029	https://www.goodreads.com/book/show/5129.Brave_New_World
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,806	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,395	https://www.goodreads.com/book/show/30165203-american-gods
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,499	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
Watchmen	Alan Moore	4.37	513,115	https://www.goodreads.com/book/show/472331.Watchmen
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,053	https://www.goodreads.com/book/show/12067.Good_Omens
Starship Troopers	Robert A. Heinlein	4.00	210,113	https://www.goodreads.com/book/show/17214.Starship_Troopers
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,180	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
Animal Farm	George Orwell	3.97	3,111,515	https://www.goodreads.com/book/show/7613.Animal_Farm
The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)	Suzanne Collins	4.48	199,288	https://www.goodreads.com/book/show/7938275-the-hunger-games-trilogy-boxset
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,056	https://www.goodreads.com/book/show/119322.The_Golden_Compass
The Stand	Stephen King	4.33	680,481	https://www.goodreads.com/book/show/149267.The_Stand
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,957	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
Frankenstein: The 1818 Text	Mary Wollstonecraft Shelley	3.83	1,295,277	https://www.goodreads.com/book/show/35031085-frankenstein
Do Androids Dream of Electric Sheep?	Philip K. Dick	4.08	388,369	https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep
Hyperion	Dan Simmons	4.23	212,066	https://www.goodreads.com/book/show/77566.Hyperion
Snow Crash	Neal Stephenson	4.02	252,605	https://www.goodreads.com/book/show/830.Snow_Crash
Slaughterhouse-Five	Kurt Vonnegut Jr.	4.08	1,219,265	https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,181	https://www.goodreads.com/book/show/43615.The_Gunslinger
World War Z: An Oral History of the Zombie War	Max Brooks	4.01	479,709	https://www.goodreads.com/book/show/8908.World_War_Z
Mistborn Trilogy Boxed Set (Mistborn, #1-3)	Brandon Sanderson	4.57	45,692	https://www.goodreads.com/book/show/6604209-mistborn-trilogy-boxed-set
