title	author	ave_rating	no_rating	link
Cold Days (The Dresden Files, #14)	Jim Butcher	4.45	94,780	https://www.goodreads.com/book/show/12216302-cold-days
The Blinding Knife (Lightbringer, #2)	Brent Weeks	4.38	82,503	https://www.goodreads.com/book/show/12499290-the-blinding-knife
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,528	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Tricked (The Iron Druid Chronicles, #4)	Kevin Hearne	4.25	45,390	https://www.goodreads.com/book/show/12700306-tricked
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,276	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
A Perfect Blood (The Hollows, #10)	Kim Harrison	4.38	35,345	https://www.goodreads.com/book/show/10599805-a-perfect-blood
Fair Game (Alpha & Omega, #3; Mercy Thompson World - Complete #9)	Patricia Briggs	4.31	51,163	https://www.goodreads.com/book/show/7942786-fair-game
Gunmetal Magic (Kate Daniels, #5.5)	Ilona Andrews	4.23	36,263	https://www.goodreads.com/book/show/12288282-gunmetal-magic
Redshirts	John Scalzi	3.85	95,602	https://www.goodreads.com/book/show/13055592-redshirts
Deadlocked (Sookie Stackhouse, #12)	Charlaine Harris	3.70	97,925	https://www.goodreads.com/book/show/10407279-deadlocked
Throne of the Crescent Moon (The Crescent Moon Kingdoms, #1)	Saladin Ahmed	3.64	10,754	https://www.goodreads.com/book/show/11487807-throne-of-the-crescent-moon
Trapped (The Iron Druid Chronicles, #5)	Kevin Hearne	4.27	41,333	https://www.goodreads.com/book/show/13536649-trapped
The Wind Through the Keyhole (The Dark Tower, #4.5)	Stephen King	4.15	71,446	https://www.goodreads.com/book/show/12341557-the-wind-through-the-keyhole
Timeless (Parasol Protectorate, #5)	Gail Carriger	4.09	31,591	https://www.goodreads.com/book/show/11324166-timeless
By a Thread (Elemental Assassin, #6)	Jennifer Estep	4.17	12,955	https://www.goodreads.com/book/show/11557982-by-a-thread
Once Burned (Night Prince, #1)	Jeaniene Frost	4.19	66,346	https://www.goodreads.com/book/show/7039218-once-burned
Blackout (Newsflesh Trilogy, #3)	Mira Grant	4.09	21,454	https://www.goodreads.com/book/show/11806716-blackout
Shadow of Night (All Souls Trilogy, #2)	Deborah Harkness	4.04	216,536	https://www.goodreads.com/book/show/11559200-shadow-of-night
Caliban's War (The Expanse, #2)	James S.A. Corey	4.35	117,156	https://www.goodreads.com/book/show/12591698-caliban-s-war
Ashes of Honor (October Daye, #6)	Seanan McGuire	4.37	16,611	https://www.goodreads.com/book/show/10184345-ashes-of-honor
Grave Memory (Alex Craft, #3)	Kalayna Price	4.14	17,575	https://www.goodreads.com/book/show/12620451-grave-memory
City of Dragons (Rain Wild Chronicles, #3)	Robin Hobb	4.09	26,933	https://www.goodreads.com/book/show/11801463-city-of-dragons
Death's Rival (Jane Yellowrock, #5)	Faith Hunter	4.30	15,448	https://www.goodreads.com/book/show/12889903-death-s-rival
Red Country (First Law World, #6)	Joe Abercrombie	4.31	39,654	https://www.goodreads.com/book/show/13521459-red-country
Widow's Web (Elemental Assassin, #7)	Jennifer Estep	4.18	11,061	https://www.goodreads.com/book/show/13544917-widow-s-web
Biting Cold (Chicagoland Vampires, #6)	Chloe Neill	4.09	26,064	https://www.goodreads.com/book/show/11746102-biting-cold
The Rithmatist (Rithmatist, #1)	Brandon Sanderson	4.20	62,144	https://www.goodreads.com/book/show/10137823-the-rithmatist
The Iron Wyrm Affair (Bannon & Clare, #1)	Lilith Saintcrow	3.39	4,605	https://www.goodreads.com/book/show/12899734-the-iron-wyrm-affair
Discount Armageddon (InCryptid, #1)	Seanan McGuire	3.85	16,052	https://www.goodreads.com/book/show/11402002-discount-armageddon
The King's Blood (The Dagger and the Coin, #2)	Daniel Abraham	4.01	12,052	https://www.goodreads.com/book/show/12759057-the-king-s-blood
The Twelve (The Passage, #2)	Justin Cronin	4.01	93,328	https://www.goodreads.com/book/show/13281368-the-twelve
King of Thorns (The Broken Empire, #2)	Mark Lawrence	4.19	59,319	https://www.goodreads.com/book/show/12891107-king-of-thorns
Libriomancer (Magic Ex Libris, #1)	Jim C. Hines	3.80	12,289	https://www.goodreads.com/book/show/12844699-libriomancer
Raven Cursed (Jane Yellowrock, #4)	Faith Hunter	4.23	16,966	https://www.goodreads.com/book/show/11053874-raven-cursed
The Killing Moon (Dreamblood, #1)	N.K. Jemisin	3.93	15,702	https://www.goodreads.com/book/show/11774272-the-killing-moon
Sworn in Steel (Tales of the Kin, #2)	Douglas Hulick	4.21	5,195	https://www.goodreads.com/book/show/12395241-sworn-in-steel
Forge of Darkness (The Kharkanas Trilogy, #1)	Steven Erikson	4.13	8,095	https://www.goodreads.com/book/show/13038833-forge-of-darkness
Shadows in Flight (Ender's Shadow, #5)	Orson Scott Card	3.80	17,785	https://www.goodreads.com/book/show/12040447-shadows-in-flight
Crucible of Gold (Temeraire, #7)	Naomi Novik	3.96	13,909	https://www.goodreads.com/book/show/12069434-crucible-of-gold
Kitty Steals the Show (Kitty Norville, #10)	Carrie Vaughn	3.97	6,295	https://www.goodreads.com/book/show/10590852-kitty-steals-the-show
Thirteen (Women of the Otherworld, #13)	Kelley Armstrong	4.30	12,979	https://www.goodreads.com/book/show/10863148-thirteen
Sacrificial Magic (Downside Ghosts, #4)	Stacia Kane	4.21	6,564	https://www.goodreads.com/book/show/8786358-sacrificial-magic
The Shadowed Sun (Dreamblood, #2)	N.K. Jemisin	4.26	8,166	https://www.goodreads.com/book/show/11774295-the-shadowed-sun
Cryonic	Travis Bradberry	3.18	637	https://www.goodreads.com/book/show/15811102-cryonic
The Fractal Prince (Jean le Flambeur, #2)	Hannu Rajaniemi	4.05	7,896	https://www.goodreads.com/book/show/12074927-the-fractal-prince
Cold Steel (Spiritwalker, #3)	Kate Elliott	3.98	3,425	https://www.goodreads.com/book/show/12835220-cold-steel
Glamour in Glass (Glamourist Histories, #2)	Mary Robinette Kowal	3.76	5,406	https://www.goodreads.com/book/show/12160890-glamour-in-glass
Even White Trash Zombies Get the Blues (White Trash Zombie, #2)	Diana Rowland	4.08	6,795	https://www.goodreads.com/book/show/12766833-even-white-trash-zombies-get-the-blues
Raven Calls (Walker Papers, #7)	C.E. Murphy	4.18	4,148	https://www.goodreads.com/book/show/11888804-raven-calls
Doubletake (Cal Leandros, #7)	Rob Thurman	4.15	3,297	https://www.goodreads.com/book/show/11473820-doubletake
The Bride Wore Black Leather (Nightside, #12)	Simon R. Green	4.18	6,422	https://www.goodreads.com/book/show/10793701-the-bride-wore-black-leather
The Traitor Queen (Traitor Spy Trilogy, #3)	Trudi Canavan	4.02	12,833	https://www.goodreads.com/book/show/11435323-the-traitor-queen
Blue-Blooded Vamp (Sabina Kane, #5)	Jaye Wells	4.14	5,808	https://www.goodreads.com/book/show/12305703-blue-blooded-vamp
Ghost in the Machine (Corwint Central Agent Files, #1)	C.E. Kilgore	3.68	352	https://www.goodreads.com/book/show/16128338-ghost-in-the-machine
The Inexplicables (The Clockwork Century, #4)	Cherie Priest	3.70	2,326	https://www.goodreads.com/book/show/9514173-the-inexplicables
Fourth Grave Beneath My Feet (Charley Davidson, #4)	Darynda Jones	4.33	38,910	https://www.goodreads.com/book/show/13411684-fourth-grave-beneath-my-feet
Blood and Bullets (Deacon Chalk: Occult Bounty Hunter #1)	James R. Tuck	3.58	1,156	https://www.goodreads.com/book/show/11843017-blood-and-bullets
Summoning the Night (Arcadia Bell, #2)	Jenn Bennett	3.99	6,193	https://www.goodreads.com/book/show/11476593-summoning-the-night
Casket of Souls (Nightrunner, #6)	Lynn Flewelling	4.17	4,577	https://www.goodreads.com/book/show/10184855-casket-of-souls
Archangel's Storm (Guild Hunter, #5)	Nalini Singh	4.23	27,293	https://www.goodreads.com/book/show/9738483-archangel-s-storm
To Even Have Dreams	C.E. Kilgore	4.17	42	https://www.goodreads.com/book/show/17200858-to-even-have-dreams
Chasing Magic (Downside Ghosts, #5)	Stacia Kane	4.20	5,490	https://www.goodreads.com/book/show/12084655-chasing-magic
A Human Element	Donna Galanti	3.87	217	https://www.goodreads.com/book/show/13514936-a-human-element
Whispers Under Ground (Peter Grant, #3)	Ben Aaronovitch	4.15	48,628	https://www.goodreads.com/book/show/9970042-whispers-under-ground
Deadly Descendant (Nikki Glass, #2)	Jenna Black	3.93	4,538	https://www.goodreads.com/book/show/11202715-deadly-descendant
Endgame (Sirantha Jax, #6)	Ann Aguirre	4.02	2,866	https://www.goodreads.com/book/show/13543136-endgame
2312	Kim Stanley Robinson	3.53	19,646	https://www.goodreads.com/book/show/11830394-2312
Magic Without Mercy (Allie Beckstrom, #8)	Devon Monk	4.16	4,059	https://www.goodreads.com/book/show/11540658-magic-without-mercy
Blue Remembered Earth (Poseidon's Children, #1)	Alastair Reynolds	3.88	10,530	https://www.goodreads.com/book/show/9424053-blue-remembered-earth
Evil Dark (Occult Crimes Unit Investigation, #2)	Justin Gustainis	3.80	1,143	https://www.goodreads.com/book/show/11500077-evil-dark
A Rising Thunder (Honor Harrington, #13)	David Weber	4.09	8,732	https://www.goodreads.com/book/show/12269981-a-rising-thunder
Bridge of Dreams (Ephemera, #3)	Anne Bishop	4.02	3,730	https://www.goodreads.com/book/show/11515995-bridge-of-dreams
Charon's Claw (Forgotten Realms: Neverwinter, #3; Legend of Drizzt, #22)	R.A. Salvatore	4.21	7,110	https://www.goodreads.com/book/show/13227445-charon-s-claw
Shadow's Master (Shadow Saga, #3)	Jon Sprunk	3.73	1,504	https://www.goodreads.com/book/show/8752907-shadow-s-master
The Case of the Displaced Detective: The Arrival (Displaced Detective, #1)	Stephanie Osborn	3.77	119	https://www.goodreads.com/book/show/13374593-the-case-of-the-displaced-detective
The Case of the Displaced Detective: At Speed (Displaced Detective, #2)	Stephanie Osborn	4.23	71	https://www.goodreads.com/book/show/14461892-the-case-of-the-displaced-detective
Triggers	Robert J. Sawyer	3.61	1,528	https://www.goodreads.com/book/show/13022844-triggers
The Serpent Sea (Books of the Raksura, #2)	Martha Wells	4.08	5,295	https://www.goodreads.com/book/show/11834447-the-serpent-sea
Arctic Rising	Tobias S. Buckell	3.25	1,061	https://www.goodreads.com/book/show/12074904-arctic-rising
Range of Ghosts (Eternal Sky, #1)	Elizabeth Bear	3.69	3,727	https://www.goodreads.com/book/show/12109372-range-of-ghosts
Kingdoms of Dust (The Necromancer Chronicles, #3)	Amanda Downum	3.83	714	https://www.goodreads.com/book/show/10844210-kingdoms-of-dust
Prince of Thorns (The Broken Empire, #1)	Mark Lawrence	3.85	105,386	https://www.goodreads.com/book/show/9579634-prince-of-thorns
Seawitch (Greywalker, #7)	Kat Richardson	3.96	2,504	https://www.goodreads.com/book/show/12260585-seawitch
