title	author	ave_rating	no_rating	link
Rhythm of War (The Stormlight Archive, #4)	Brandon Sanderson	4.62	71,213	https://www.goodreads.com/book/show/17250966-rhythm-of-war
Network Effect (The Murderbot Diaries, #5)	Martha Wells	4.44	40,144	https://www.goodreads.com/book/show/52381770-network-effect
The City We Became (Great Cities #1)	N.K. Jemisin	3.94	42,458	https://www.goodreads.com/book/show/42074525-the-city-we-became
House of Earth and Blood (Crescent City, #1)	Sarah J. Maas	4.44	185,343	https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood
The Ballad of Songbirds and Snakes (The Hunger Games, #0)	Suzanne Collins	3.81	262,728	https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes
Peace Talks (The Dresden Files, #16)	Jim Butcher	4.21	35,159	https://www.goodreads.com/book/show/22249640-peace-talks
Harrow the Ninth (The Locked Tomb, #2)	Tamsyn Muir	4.27	26,678	https://www.goodreads.com/book/show/39325105-harrow-the-ninth
Shorefall (Founders, #2)	Robert Jackson Bennett	4.09	8,995	https://www.goodreads.com/book/show/42393392-shorefall
The Burning God (The Poppy War, #3)	R.F. Kuang	4.32	21,219	https://www.goodreads.com/book/show/45857086-the-burning-god
The Empire of Gold (The Daevabad Trilogy, #3)	S.A. Chakraborty	4.51	24,894	https://www.goodreads.com/book/show/46033842-the-empire-of-gold
The Trouble with Peace (The Age of Madness, #2)	Joe Abercrombie	4.63	14,513	https://www.goodreads.com/book/show/40701777-the-trouble-with-peace
Piranesi	Susanna Clarke	4.28	95,550	https://www.goodreads.com/book/show/50202953-piranesi
The Girl and the Stars (Book of the Ice #1)	Mark Lawrence	3.84	6,939	https://www.goodreads.com/book/show/43155726-the-girl-and-the-stars
Smoke Bitten (Mercy Thompson, #12)	Patricia Briggs	4.43	23,824	https://www.goodreads.com/book/show/44571368-smoke-bitten
Come Tumbling Down (Wayward Children, #5)	Seanan McGuire	3.93	16,507	https://www.goodreads.com/book/show/44804083-come-tumbling-down
Emerald Blaze (Hidden Legacy, #5)	Ilona Andrews	4.50	16,345	https://www.goodreads.com/book/show/49053880-emerald-blaze
Age of Death (The Legends of the First Empire, #5)	Michael J. Sullivan	4.28	6,738	https://www.goodreads.com/book/show/30613608-age-of-death
The Invisible Life of Addie LaRue	V.E. Schwab	4.25	425,051	https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue
The Last Emperox (The Interdependency, #3)	John Scalzi	4.10	21,293	https://www.goodreads.com/book/show/38322550-the-last-emperox
A Deadly Education (The Scholomance, #1)	Naomi Novik	4.03	67,198	https://www.goodreads.com/book/show/50548197-a-deadly-education
Mexican Gothic	Silvia Moreno-Garcia	3.69	195,032	https://www.goodreads.com/book/show/53152636-mexican-gothic
The House in the Cerulean Sea	T.J. Klune	4.47	196,073	https://www.goodreads.com/book/show/45046567-the-house-in-the-cerulean-sea
Return of the Thief (The Queen's Thief, #6)	Megan Whalen Turner	4.49	6,630	https://www.goodreads.com/book/show/11503920-return-of-the-thief
Black Sun (Between Earth and Sky, #1)	Rebecca Roanhorse	4.23	20,839	https://www.goodreads.com/book/show/50892360-black-sun
The Left-Handed Booksellers of London	Garth Nix	3.91	10,655	https://www.goodreads.com/book/show/43655633-the-left-handed-booksellers-of-london
Age of Empyre (The Legends of the First Empire, #6)	Michael J. Sullivan	4.39	6,261	https://www.goodreads.com/book/show/23654840-age-of-empyre
The Unspoken Name (The Serpent Gates #1)	A.K. Larkwood	3.74	5,155	https://www.goodreads.com/book/show/45046552-the-unspoken-name
Aurora Burning (The Aurora Cycle, #2)	Amie Kaufman	4.32	21,937	https://www.goodreads.com/book/show/40516960-aurora-burning
A Killing Frost (October Daye, #14)	Seanan McGuire	4.34	4,306	https://www.goodreads.com/book/show/45434007-a-killing-frost
False Value (Rivers of London, #8)	Ben Aaronovitch	4.12	14,398	https://www.goodreads.com/book/show/45016688-false-value
The Loop (The Loop Trilogy #1)	Ben Oliver	3.89	3,778	https://www.goodreads.com/book/show/52373841-the-loop
The Relentless Moon (Lady Astronaut Universe, #3)	Mary Robinette Kowal	4.39	5,463	https://www.goodreads.com/book/show/52381417-the-relentless-moon
Cemetery Boys	Aiden Thomas	4.36	42,676	https://www.goodreads.com/book/show/52339313-cemetery-boys
Stormsong (The Kingston Cycle, #2)	C.L. Polk	3.94	2,268	https://www.goodreads.com/book/show/41473380-stormsong
To Sleep in a Sea of Stars	Christopher Paolini	3.79	33,496	https://www.goodreads.com/book/show/40868461-to-sleep-in-a-sea-of-stars
Forest of Souls (Shamanborn, #1)	Lori M. Lee	3.69	3,264	https://www.goodreads.com/book/show/45554589-forest-of-souls
A Heart So Fierce and Broken (Cursebreakers, #2)	Brigid Kemmerer	3.98	37,068	https://www.goodreads.com/book/show/42952728-a-heart-so-fierce-and-broken
