title	author	ave_rating	no_rating	link
The Lord of the Rings	J.R.R. Tolkien	4.50	609,963	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,669	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,528	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,420	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,127	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Princess Bride	William Goldman	4.25	835,194	https://www.goodreads.com/book/show/21787.The_Princess_Bride
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,389	https://www.goodreads.com/book/show/4407.American_Gods
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,806	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,236	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,792	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,276	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,018	https://www.goodreads.com/book/show/14497.Neverwhere
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,955	https://www.goodreads.com/book/show/45107.Assassin_s_Apprentice
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,049	https://www.goodreads.com/book/show/12067.Good_Omens
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,602	https://www.goodreads.com/book/show/944073.The_Blade_Itself
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,415	https://www.goodreads.com/book/show/518848.Sabriel
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	481,991	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,024	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,618	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Harry Potter Series Box Set (Harry Potter, #1-7)	J.K. Rowling	4.72	268,379	https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,749	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Jonathan Strange & Mr Norrell	Susanna Clarke	3.83	222,174	https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,957	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,499	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,142	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
The Amulet of Samarkand (Bartimaeus, #1)	Jonathan Stroud	3.99	127,167	https://www.goodreads.com/book/show/334123.The_Amulet_of_Samarkand
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,673	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
The Sword of Shannara (The Original Shannara Trilogy, #1)	Terry Brooks	3.76	93,860	https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara
His Majesty's Dragon (Temeraire, #1)	Naomi Novik	4.03	90,494	https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon
Elantris (Elantris, #1)	Brandon Sanderson	4.17	205,124	https://www.goodreads.com/book/show/68427.Elantris
Stardust	Neil Gaiman	4.08	396,659	https://www.goodreads.com/book/show/16793.Stardust
The Crown Conspiracy (The Riyria Revelations, #1)	Michael J. Sullivan	4.19	20,504	https://www.goodreads.com/book/show/4345290-the-crown-conspiracy
Tigana	Guy Gavriel Kay	4.05	48,316	https://www.goodreads.com/book/show/104089.Tigana
His Dark Materials (His Dark Materials #1-3)	Philip Pullman	4.25	154,954	https://www.goodreads.com/book/show/18116.His_Dark_Materials
The Last Unicorn (The Last Unicorn, #1)	Peter S. Beagle	4.14	104,677	https://www.goodreads.com/book/show/29127.The_Last_Unicorn
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,041	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,649	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Graveyard Book	Neil Gaiman	4.13	485,759	https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.14	669,439	https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
Mr. Planemaker's Flying Machine	Shelagh Watkins	3.58	55	https://www.goodreads.com/book/show/4581352-mr-planemaker-s-flying-machine
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,588	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Magician (The Riftwar Saga, #1-2)	Raymond E. Feist	4.27	66,598	https://www.goodreads.com/book/show/43916.Magician
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,744	https://www.goodreads.com/book/show/60510.Poison_Study
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,366	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,160	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
The Dark Is Rising (The Dark is Rising, #2)	Susan Cooper	4.05	53,669	https://www.goodreads.com/book/show/210329.The_Dark_Is_Rising
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,722	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
The Belgariad, Vol. 1: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit (The Belgariad, #1-3)	David Eddings	4.28	15,505	https://www.goodreads.com/book/show/18878.The_Belgariad_Vol_1
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,050,889	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,632	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
The Eyre Affair (Thursday Next, #1)	Jasper Fforde	3.86	138,371	https://www.goodreads.com/book/show/27003.The_Eyre_Affair
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,782	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,396	https://www.goodreads.com/book/show/47212.Storm_Front
Anansi Boys (American Gods #2)	Neil Gaiman	4.01	211,730	https://www.goodreads.com/book/show/2744.Anansi_Boys
The Tales of Beedle the Bard	J.K. Rowling	4.04	451,610	https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard
The Silmarillion	J.R.R. Tolkien	3.94	242,670	https://www.goodreads.com/book/show/7332.The_Silmarillion
To Say Nothing of the Dog (Oxford Time Travel, #2)	Connie Willis	4.09	38,611	https://www.goodreads.com/book/show/77773.To_Say_Nothing_of_the_Dog
Ender's Game (Ender's Saga, #1)	Orson Scott Card	4.30	1,230,637	https://www.goodreads.com/book/show/375802.Ender_s_Game
The Neverending Story	Michael Ende	4.15	185,040	https://www.goodreads.com/book/show/27712.The_Neverending_Story
The Little Prince	Antoine de Saint-Exupéry	4.31	1,620,292	https://www.goodreads.com/book/show/9535855-the-little-prince
Inkheart (Inkworld, #1)	Cornelia Funke	3.89	405,111	https://www.goodreads.com/book/show/28194.Inkheart
Watership Down (Watership Down, #1)	Richard Adams	4.06	456,330	https://www.goodreads.com/book/show/76620.Watership_Down
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,143	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
The Wee Free Men (Discworld, #30; Tiffany Aching, #1)	Terry Pratchett	4.24	104,708	https://www.goodreads.com/book/show/34494.The_Wee_Free_Men
Assassin's Quest (Farseer Trilogy, #3)	Robin Hobb	4.17	133,174	https://www.goodreads.com/book/show/45112.Assassin_s_Quest
Ship of Magic (Liveship Traders, #1)	Robin Hobb	4.14	71,896	https://www.goodreads.com/book/show/45100.Ship_of_Magic
The Blue Sword (Damar, #1)	Robin McKinley	4.17	62,606	https://www.goodreads.com/book/show/407813.The_Blue_Sword
Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)	Stephen R. Donaldson	3.71	49,365	https://www.goodreads.com/book/show/219205.Lord_Foul_s_Bane
The Novice (Black Magician Trilogy, #2)	Trudi Canavan	4.04	58,063	https://www.goodreads.com/book/show/28250.The_Novice
The Time Traveler's Wife	Audrey Niffenegger	3.98	1,663,100	https://www.goodreads.com/book/show/14050.The_Time_Traveler_s_Wife
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,161	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,560,944	https://www.goodreads.com/book/show/113436.Eragon
Nine Princes in Amber (The Chronicles of Amber #1)	Roger Zelazny	4.04	57,070	https://www.goodreads.com/book/show/92121.Nine_Princes_in_Amber
Green Rider (Green Rider, #1)	Kristen Britain	4.03	38,845	https://www.goodreads.com/book/show/147843.Green_Rider
The Curse of Chalion (World of the Five Gods, #1)	Lois McMaster Bujold	4.10	39,539	https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion
The Warded Man (Demon Cycle, #1)	Peter V. Brett	4.23	117,925	https://www.goodreads.com/book/show/3428935-the-warded-man
The Magicians' Guild (Black Magician Trilogy, #1)	Trudi Canavan	3.93	80,120	https://www.goodreads.com/book/show/28249.The_Magicians_Guild
On a Pale Horse (Incarnations of Immortality, #1)	Piers Anthony	4.14	37,347	https://www.goodreads.com/book/show/76658.On_a_Pale_Horse
The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)	Elizabeth Moon	4.31	12,661	https://www.goodreads.com/book/show/96281.The_Deed_of_Paksenarrion
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,106,831	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Well of Ascension (Mistborn, #2)	Brandon Sanderson	4.35	337,284	https://www.goodreads.com/book/show/68429.The_Well_of_Ascension
The Lions of Al-Rassan	Guy Gavriel Kay	4.29	20,241	https://www.goodreads.com/book/show/104101.The_Lions_of_Al_Rassan
Little, Big	John Crowley	3.81	10,450	https://www.goodreads.com/book/show/90619.Little_Big
A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)	Terry Pratchett	4.26	71,876	https://www.goodreads.com/book/show/34501.A_Hat_Full_of_Sky
The Thief (The Queen's Thief, #1)	Megan Whalen Turner	3.85	80,590	https://www.goodreads.com/book/show/448873.The_Thief
Twilight (The Twilight Saga, #1)	Stephenie Meyer	3.62	5,501,426	https://www.goodreads.com/book/show/41865.Twilight
Cara's Twelve	Chantel Seabrook	3.94	1,318	https://www.goodreads.com/book/show/25737458-cara-s-twelve
The Crystal Cave (Arthurian Saga, #1)	Mary Stewart	4.13	43,269	https://www.goodreads.com/book/show/82192.The_Crystal_Cave
La Lama Nera	Dario de Judicibus	4.04	23	https://www.goodreads.com/book/show/6006164-la-lama-nera
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,068,543	https://www.goodreads.com/book/show/2767052-the-hunger-games
Seventh Son (Tales of Alvin Maker, #1)	Orson Scott Card	3.87	34,114	https://www.goodreads.com/book/show/40290.Seventh_Son
The High Lord (Black Magician Trilogy, #3)	Trudi Canavan	4.11	57,665	https://www.goodreads.com/book/show/28251.The_High_Lord
Alphabet of Thorn	Patricia A. McKillip	4.08	5,500	https://www.goodreads.com/book/show/81075.Alphabet_of_Thorn
The Magic of Recluce (The Saga of Recluce, #1)	L.E. Modesitt Jr.	3.85	23,320	https://www.goodreads.com/book/show/185253.The_Magic_of_Recluce
Magic Study (Study, #2)	Maria V. Snyder	4.02	78,124	https://www.goodreads.com/book/show/46202.Magic_Study
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings	J.R.R. Tolkien	4.60	119,662	https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
Fire (Graceling Realm, #2)	Kristin Cashore	4.08	179,279	https://www.goodreads.com/book/show/6137154-fire
A Song for Arbonne	Guy Gavriel Kay	4.21	13,175	https://www.goodreads.com/book/show/104085.A_Song_for_Arbonne
Dragonflight (Dragonriders of Pern, #1)	Anne McCaffrey	4.08	135,668	https://www.goodreads.com/book/show/61975.Dragonflight
Eldest (The Inheritance Cycle, #2)	Christopher Paolini	3.99	395,619	https://www.goodreads.com/book/show/45978.Eldest
The Riddle-Master of Hed (Riddle-Master, #1)	Patricia A. McKillip	4.00	11,937	https://www.goodreads.com/book/show/92755.The_Riddle_Master_of_Hed
The Hero of Ages (Mistborn, #3)	Brandon Sanderson	4.48	312,154	https://www.goodreads.com/book/show/2767793-the-hero-of-ages
The Hero and the Crown (Damar, #2)	Robin McKinley	4.21	51,144	https://www.goodreads.com/book/show/77366.The_Hero_and_the_Crown
Crashing Down to Earth (Crashing Down to Earth, #1)	Terry Reid	4.38	125	https://www.goodreads.com/book/show/18136407-crashing-down-to-earth
Deep World Fire (Deep World Saga #1)	C.M. Meridian	4.13	54	https://www.goodreads.com/book/show/29587324-deep-world-fire
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,131	https://www.goodreads.com/book/show/13831.Alanna
Prince of Thorns (The Broken Empire, #1)	Mark Lawrence	3.85	105,386	https://www.goodreads.com/book/show/9579634-prince-of-thorns
Son of the Shadows (Sevenwaters, #2)	Juliet Marillier	4.33	29,155	https://www.goodreads.com/book/show/13927.Son_of_the_Shadows
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,180	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
The Baker's Boy (Book of Words, #1)	J.V. Jones	3.79	7,726	https://www.goodreads.com/book/show/29137.The_Baker_s_Boy
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,099	https://www.goodreads.com/book/show/3236307-graceling
Daggerspell (Deverry, #1)	Katharine Kerr	3.90	14,880	https://www.goodreads.com/book/show/498214.Daggerspell
The Once and Future King (The Once and Future King, #1-4)	T.H. White	4.04	109,121	https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
The Night Circus	Erin Morgenstern	4.03	792,507	https://www.goodreads.com/book/show/9361589-the-night-circus
Catching Fire (The Hunger Games, #2)	Suzanne Collins	4.30	2,845,376	https://www.goodreads.com/book/show/6148028-catching-fire
