title	author	ave_rating	no_rating	link
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,669	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,683	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,162	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,797	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,594	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Lord of the Rings	J.R.R. Tolkien	4.50	609,991	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,832	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,578	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,926	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,110	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,372	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,881	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,855	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,970	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,055	https://www.goodreads.com/book/show/68428.The_Final_Empire
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,561,051	https://www.goodreads.com/book/show/113436.Eragon
Alice's Adventures in Wonderland / Through the Looking-Glass	Lewis Carroll	4.06	501,232	https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,049	https://www.goodreads.com/book/show/14497.Neverwhere
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,816	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,107,128	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,144	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,199	https://www.goodreads.com/book/show/43615.The_Gunslinger
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,114	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
Stardust	Neil Gaiman	4.08	396,685	https://www.goodreads.com/book/show/16793.Stardust
The Phantom Tollbooth	Norton Juster	4.16	271,593	https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,099	https://www.goodreads.com/book/show/12067.Good_Omens
Twilight (The Twilight Saga, #1)	Stephenie Meyer	3.62	5,501,838	https://www.goodreads.com/book/show/41865.Twilight
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,976	https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
Watership Down (Watership Down, #1)	Richard Adams	4.06	456,338	https://www.goodreads.com/book/show/76620.Watership_Down
His Dark Materials (His Dark Materials #1-3)	Philip Pullman	4.25	154,959	https://www.goodreads.com/book/show/18116.His_Dark_Materials
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,062	https://www.goodreads.com/book/show/7235533-the-way-of-kings
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,991	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,655	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.54	746,472	https://www.goodreads.com/book/show/18512.The_Return_of_the_King
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,429	https://www.goodreads.com/book/show/4407.American_Gods
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	4.45	797,414	https://www.goodreads.com/book/show/15241.The_Two_Towers
Inkheart (Inkworld, #1)	Cornelia Funke	3.89	405,125	https://www.goodreads.com/book/show/28194.Inkheart
The Princess Bride	William Goldman	4.25	835,221	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,432	https://www.goodreads.com/book/show/518848.Sabriel
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,809	https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora
The Neverending Story	Michael Ende	4.15	185,053	https://www.goodreads.com/book/show/27712.The_Neverending_Story
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,984	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
Pawn of Prophecy (The Belgariad, #1)	David Eddings	4.13	102,247	https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy
Magician: Apprentice (The Riftwar Saga, #1)	Raymond E. Feist	4.14	91,484	https://www.goodreads.com/book/show/13812.Magician
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,535	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
Peter Pan	J.M. Barrie	4.02	315,042	https://www.goodreads.com/book/show/34268.Peter_Pan
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,679	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
Eldest (The Inheritance Cycle, #2)	Christopher Paolini	3.99	395,635	https://www.goodreads.com/book/show/45978.Eldest
Jonathan Strange & Mr Norrell	Susanna Clarke	3.83	222,182	https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,633	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Brisingr (The Inheritance Cycle, #3)	Christopher Paolini	4.05	336,241	https://www.goodreads.com/book/show/2248573.Brisingr
The Last Unicorn (The Last Unicorn, #1)	Peter S. Beagle	4.14	104,684	https://www.goodreads.com/book/show/29127.The_Last_Unicorn
The Blue Sword (Damar, #1)	Robin McKinley	4.17	62,607	https://www.goodreads.com/book/show/407813.The_Blue_Sword
Redwall (Redwall, #1)	Brian Jacques	4.10	114,113	https://www.goodreads.com/book/show/7996.Redwall
The Amulet of Samarkand (Bartimaeus, #1)	Jonathan Stroud	3.99	127,178	https://www.goodreads.com/book/show/334123.The_Amulet_of_Samarkand
The Time Traveler's Wife	Audrey Niffenegger	3.98	1,663,139	https://www.goodreads.com/book/show/14050.The_Time_Traveler_s_Wife
Royal Assassin (Farseer Trilogy, #2)	Robin Hobb	4.22	167,236	https://www.goodreads.com/book/show/25300956-royal-assassin
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,570	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Dragonlance Chronicles (Dragonlance #1-3)	Margaret Weis	4.23	20,230	https://www.goodreads.com/book/show/68380.Dragonlance_Chronicles
Assassin's Quest (Farseer Trilogy, #3)	Robin Hobb	4.17	133,185	https://www.goodreads.com/book/show/33396914-assassin-s-quest
Breaking Dawn (The Twilight Saga, #4)	Stephenie Meyer	3.71	1,462,832	https://www.goodreads.com/book/show/1162543.Breaking_Dawn
The Sword of Shannara (The Original Shannara Trilogy, #1)	Terry Brooks	3.76	93,863	https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara
Small Gods (Discworld, #13)	Terry Pratchett	4.29	107,239	https://www.goodreads.com/book/show/34484.Small_Gods
Guards! Guards! (Discworld, #8; City Watch #1)	Terry Pratchett	4.28	185,490	https://www.goodreads.com/book/show/64216.Guards_Guards_
Night Watch (Discworld, #29; City Watch, #6)	Terry Pratchett	4.44	104,876	https://www.goodreads.com/book/show/47989.Night_Watch
The Curse of Chalion (World of the Five Gods, #1)	Lois McMaster Bujold	4.10	39,542	https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion
The Thief (The Queen's Thief, #1)	Megan Whalen Turner	3.85	80,594	https://www.goodreads.com/book/show/448873.The_Thief
Guardians of the West (The Malloreon, #1)	David Eddings	4.06	55,099	https://www.goodreads.com/book/show/673657.Guardians_of_the_West
The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)	Tad Williams	3.94	68,900	https://www.goodreads.com/book/show/91981.The_Dragonbone_Chair
Inkspell (Inkworld, #2)	Cornelia Funke	3.90	124,325	https://www.goodreads.com/book/show/28195.Inkspell
Mary Stewart's Merlin Trilogy (Arthurian Saga, #1-3)	Mary Stewart	4.39	4,640	https://www.goodreads.com/book/show/27689.Mary_Stewart_s_Merlin_Trilogy
The Dark Is Rising Sequence (The Dark is Rising, #1-5)	Susan Cooper	4.28	16,273	https://www.goodreads.com/book/show/11306.The_Dark_Is_Rising_Sequence
The Dragon Reborn (The Wheel of Time, #3)	Robert Jordan	4.25	237,423	https://www.goodreads.com/book/show/34897.The_Dragon_Reborn
The Eyes of the Dragon	Stephen King	3.93	114,793	https://www.goodreads.com/book/show/10611.The_Eyes_of_the_Dragon
Going Postal (Discworld, #33; Moist von Lipwig, #1)	Terry Pratchett	4.35	114,529	https://www.goodreads.com/book/show/64222.Going_Postal
The Time Trilogy (Time Quintet, #1-3)	Madeleine L'Engle	4.35	6,889	https://www.goodreads.com/book/show/11841.The_Time_Trilogy
The Great Hunt (The Wheel of Time, #2)	Robert Jordan	4.23	257,851	https://www.goodreads.com/book/show/233649.The_Great_Hunt
The Hero of Ages (Mistborn, #3)	Brandon Sanderson	4.48	312,190	https://www.goodreads.com/book/show/2767793-the-hero-of-ages
Legend (The Drenai Saga, #1)	David Gemmell	4.27	28,499	https://www.goodreads.com/book/show/618177.Legend
Queen of the Darkness (The Black Jewels, #3)	Anne Bishop	4.37	26,428	https://www.goodreads.com/book/show/47959.Queen_of_the_Darkness
Tigana	Guy Gavriel Kay	4.05	48,316	https://www.goodreads.com/book/show/104089.Tigana
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	Gregory Maguire	3.54	587,087	https://www.goodreads.com/book/show/37442.Wicked
Elric of Melniboné (The Elric Saga, #1)	Michael Moorcock	3.89	24,124	https://www.goodreads.com/book/show/30036.Elric_of_Melnibon_
Dragon Wing (The Death Gate Cycle, #1)	Margaret Weis	3.96	26,653	https://www.goodreads.com/book/show/28481.Dragon_Wing
The Warded Man (Demon Cycle, #1)	Peter V. Brett	4.23	117,926	https://www.goodreads.com/book/show/3428935-the-warded-man
Lord of Chaos (The Wheel of Time, #6)	Robert Jordan	4.14	144,410	https://www.goodreads.com/book/show/35231.Lord_of_Chaos
The Hero and the Crown (Damar, #2)	Robin McKinley	4.21	51,146	https://www.goodreads.com/book/show/77366.The_Hero_and_the_Crown
The Lions of Al-Rassan	Guy Gavriel Kay	4.29	20,242	https://www.goodreads.com/book/show/104101.The_Lions_of_Al_Rassan
The Shadow Rising (The Wheel of Time, #4)	Robert Jordan	4.24	191,507	https://www.goodreads.com/book/show/9539.The_Shadow_Rising
The Drawing of the Three (The Dark Tower, #2)	Stephen King	4.21	235,886	https://www.goodreads.com/book/show/5094.The_Drawing_of_the_Three
The Once and Future King (The Once and Future King, #1-4)	T.H. White	4.04	109,121	https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
Anansi Boys (American Gods #2)	Neil Gaiman	4.01	211,737	https://www.goodreads.com/book/show/2744.Anansi_Boys
The Well of Ascension (Mistborn, #2)	Brandon Sanderson	4.35	337,315	https://www.goodreads.com/book/show/68429.The_Well_of_Ascension
The Warrior Heir (The Heir Chronicles, #1)	Cinda Williams Chima	3.94	49,736	https://www.goodreads.com/book/show/213647.The_Warrior_Heir
The Dragon and Princess Madeline	Kirstin Pulioff	4.64	74	https://www.goodreads.com/book/show/18141144-the-dragon-and-princess-madeline
Riddle-Master (Riddle-Master, #1-3)	Patricia A. McKillip	4.22	10,455	https://www.goodreads.com/book/show/19821.Riddle_Master
Outlander (Outlander, #1)	Diana Gabaldon	4.23	914,980	https://www.goodreads.com/book/show/10964.Outlander
His Majesty's Dragon (Temeraire, #1)	Naomi Novik	4.03	90,501	https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon
The Enchanted Forest Chronicles (The Enchanted Forest Chronicles, #1-4)	Patricia C. Wrede	4.49	10,099	https://www.goodreads.com/book/show/86238.The_Enchanted_Forest_Chronicles
Thud! (Discworld, #34; City Watch #7)	Terry Pratchett	4.32	66,970	https://www.goodreads.com/book/show/62530.Thud_
Sunshine	Robin McKinley	3.84	41,437	https://www.goodreads.com/book/show/8088.Sunshine
The Subtle Knife (His Dark Materials, #2)	Philip Pullman	4.13	404,453	https://www.goodreads.com/book/show/41637836-the-subtle-knife
The Silmarillion	J.R.R. Tolkien	3.94	242,682	https://www.goodreads.com/book/show/7332.The_Silmarillion
Fool's Errand (Tawny Man, #1)	Robin Hobb	4.29	84,528	https://www.goodreads.com/book/show/68488.Fool_s_Errand
Wyrd Sisters (Discworld, #6; Witches #2)	Terry Pratchett	4.11	105,349	https://www.goodreads.com/book/show/34504.Wyrd_Sisters
The Witching Hour (Lives of the Mayfair Witches, #1)	Anne Rice	4.10	107,900	https://www.goodreads.com/book/show/11901.The_Witching_Hour
Jhereg (Vlad Taltos, #1)	Steven Brust	4.13	14,178	https://www.goodreads.com/book/show/133454.Jhereg
By the Sword (Valdemar, #9)	Mercedes Lackey	4.26	20,128	https://www.goodreads.com/book/show/28735.By_the_Sword
Dragonsong (Harper Hall, #1)	Anne McCaffrey	4.18	57,553	https://www.goodreads.com/book/show/28541.Dragonsong
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,135	https://www.goodreads.com/book/show/13831.Alanna
Shadow & Claw (The Book of the New Sun #1-2)	Gene Wolfe	4.02	17,044	https://www.goodreads.com/book/show/40992.Shadow_Claw
The Wonderful Wizard of Oz (Oz, #1)	L. Frank Baum	3.97	410,660	https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
The Wizard Heir (The Heir Chronicles, #2)	Cinda Williams Chima	4.14	40,666	https://www.goodreads.com/book/show/500743.The_Wizard_Heir
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,048	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
The Forgotten Beasts of Eld	Patricia A. McKillip	4.08	15,057	https://www.goodreads.com/book/show/81069.The_Forgotten_Beasts_of_Eld
Hogfather (Discworld, #20; Death, #4)	Terry Pratchett	4.20	86,391	https://www.goodreads.com/book/show/34532.Hogfather
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,176	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
The Earthsea Trilogy (Earthsea Cycle, #1-3)	Ursula K. Le Guin	4.27	19,355	https://www.goodreads.com/book/show/1170158.The_Earthsea_Trilogy
Equal Rites (Discworld, #3; Witches, #1)	Terry Pratchett	4.01	162,849	https://www.goodreads.com/book/show/34507.Equal_Rites
Mort (Discworld, #4; Death, #1)	Terry Pratchett	4.20	219,779	https://www.goodreads.com/book/show/386372.Mort
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,752	https://www.goodreads.com/book/show/60510.Poison_Study
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,129	https://www.goodreads.com/book/show/3236307-graceling
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.14	669,470	https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
Reaper Man (Discworld, #11; Death, #2)	Terry Pratchett	4.24	93,674	https://www.goodreads.com/book/show/34517.Reaper_Man
The Sandman: The Dream Hunters	Neil Gaiman	4.40	19,222	https://www.goodreads.com/book/show/166580.The_Sandman
James and the Giant Peach	Roald Dahl	4.01	419,649	https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach
The Chronicles of Prydain (The Chronicles of Prydain #1-5)	Lloyd Alexander	4.41	6,918	https://www.goodreads.com/book/show/463063.The_Chronicles_of_Prydain
Making Money (Discworld, #36; Moist Von Lipwig, #2)	Terry Pratchett	4.19	68,562	https://www.goodreads.com/book/show/116296.Making_Money
Magician (The Riftwar Saga, #1-2)	Raymond E. Feist	4.27	66,599	https://www.goodreads.com/book/show/43916.Magician
The Summer Tree (The Fionavar Tapestry #1)	Guy Gavriel Kay	3.98	22,301	https://www.goodreads.com/book/show/104086.The_Summer_Tree
The Last Wish (The Witcher, #0.5)	Andrzej Sapkowski	4.12	245,706	https://www.goodreads.com/book/show/1128434.The_Last_Wish
Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)	Robert C. O'Brien	4.15	170,306	https://www.goodreads.com/book/show/9822.Mrs_Frisby_and_the_Rats_of_NIMH
The Crown Conspiracy (The Riyria Revelations, #1)	Michael J. Sullivan	4.19	20,505	https://www.goodreads.com/book/show/4345290-the-crown-conspiracy
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,595	https://www.goodreads.com/book/show/71811.Moon_Called
The Gormenghast Novels (Gormenghast, #1-3)	Mervyn Peake	4.00	8,752	https://www.goodreads.com/book/show/39058.The_Gormenghast_Novels
The Talisman (The Talisman, #1)	Stephen King	4.13	113,947	https://www.goodreads.com/book/show/59219.The_Talisman
The Queen of Attolia (The Queen's Thief, #2)	Megan Whalen Turner	4.13	44,795	https://www.goodreads.com/book/show/40158.The_Queen_of_Attolia
Weaveworld	Clive Barker	4.13	29,743	https://www.goodreads.com/book/show/52640.Weaveworld
The Wandering Fire (The Fionavar Tapestry, #2)	Guy Gavriel Kay	4.11	16,221	https://www.goodreads.com/book/show/104088.The_Wandering_Fire
The Waste Lands (The Dark Tower, #3)	Stephen King	4.22	202,512	https://www.goodreads.com/book/show/34084.The_Waste_Lands
