title	author	ave_rating	no_rating	link
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,097	https://www.goodreads.com/book/show/2767052-the-hunger-games
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,110	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,970	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,135	https://www.goodreads.com/book/show/13831.Alanna
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,432	https://www.goodreads.com/book/show/518848.Sabriel
Divergent (Divergent, #1)	Veronica Roth	4.17	3,282,405	https://www.goodreads.com/book/show/13335037-divergent
Catching Fire (The Hunger Games, #2)	Suzanne Collins	4.30	2,845,604	https://www.goodreads.com/book/show/6148028-catching-fire
Ella Enchanted (Ella Enchanted #1)	Gail Carson Levine	3.98	408,266	https://www.goodreads.com/book/show/24337.Ella_Enchanted
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,306	https://www.goodreads.com/book/show/345627.Vampire_Academy
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,669	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Mockingjay (The Hunger Games, #3)	Suzanne Collins	4.05	2,627,566	https://www.goodreads.com/book/show/7260188-mockingjay
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,212	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,372	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,818	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
Wild Magic (Immortals, #1)	Tamora Pierce	4.24	82,821	https://www.goodreads.com/book/show/13836.Wild_Magic
