title	author	ave_rating	no_rating	link
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,235	https://www.goodreads.com/book/show/256683.City_of_Bones
Touched (Touched, #1)	Elisa S. Amore	3.78	6,968	https://www.goodreads.com/book/show/16143432-touched
Unfaithful (Touched, #2)	Elisa S. Amore	4.32	2,744	https://www.goodreads.com/book/show/29543118-unfaithful
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,594	https://www.goodreads.com/book/show/71811.Moon_Called
Twilight (The Twilight Saga, #1)	Stephenie Meyer	3.62	5,501,809	https://www.goodreads.com/book/show/41865.Twilight
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward	4.16	316,716	https://www.goodreads.com/book/show/42899.Dark_Lover
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,874	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Lover Awakened (Black Dagger Brotherhood, #3)	J.R. Ward	4.43	170,735	https://www.goodreads.com/book/show/42900.Lover_Awakened
Dead Until Dark (Sookie Stackhouse, #1)	Charlaine Harris	3.96	523,127	https://www.goodreads.com/book/show/301082.Dead_Until_Dark
City of Ashes (The Mortal Instruments, #2)	Cassandra Clare	4.13	836,083	https://www.goodreads.com/book/show/1582996.City_of_Ashes
Eclipse (The Twilight Saga, #3)	Stephenie Meyer	3.71	1,572,487	https://www.goodreads.com/book/show/428263.Eclipse
One Foot in the Grave (Night Huntress, #2)	Jeaniene Frost	4.28	101,224	https://www.goodreads.com/book/show/2168860.One_Foot_in_the_Grave
Lover Eternal (Black Dagger Brotherhood, #2)	J.R. Ward	4.32	183,250	https://www.goodreads.com/book/show/35729.Lover_Eternal
City of Glass (The Mortal Instruments, #3)	Cassandra Clare	4.29	876,048	https://www.goodreads.com/book/show/3777732-city-of-glass
Darkfever (Fever, #1)	Karen Marie Moning	4.04	176,903	https://www.goodreads.com/book/show/112750.Darkfever
Iron Kissed (Mercy Thompson, #3)	Patricia Briggs	4.31	119,297	https://www.goodreads.com/book/show/1412138.Iron_Kissed
Blood Bound (Mercy Thompson, #2)	Patricia Briggs	4.29	119,486	https://www.goodreads.com/book/show/285205.Blood_Bound
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,301	https://www.goodreads.com/book/show/345627.Vampire_Academy
Lover Unbound (Black Dagger Brotherhood, #5)	J.R. Ward	4.31	128,388	https://www.goodreads.com/book/show/304027.Lover_Unbound
Shadow Kiss (Vampire Academy, #3)	Richelle Mead	4.32	353,004	https://www.goodreads.com/book/show/2802316-shadow-kiss
Cry Wolf (Alpha & Omega, #1)	Patricia Briggs	4.11	96,561	https://www.goodreads.com/book/show/2355575.Cry_Wolf
Bone Crossed (Mercy Thompson, #4)	Patricia Briggs	4.32	103,322	https://www.goodreads.com/book/show/3128411-bone-crossed
At Grave's End (Night Huntress, #3)	Jeaniene Frost	4.27	87,588	https://www.goodreads.com/book/show/3570231-at-grave-s-end
Fallen (Fallen, #1)	Lauren Kate	3.72	543,803	https://www.goodreads.com/book/show/6487308-fallen
Dead to the World (Sookie Stackhouse, #4)	Charlaine Harris	4.10	260,715	https://www.goodreads.com/book/show/140077.Dead_to_the_World
Magic Strikes (Kate Daniels, #3)	Ilona Andrews	4.41	79,236	https://www.goodreads.com/book/show/4345498-magic-strikes
Bloodfever (Fever, #2)	Karen Marie Moning	4.25	102,884	https://www.goodreads.com/book/show/344262.Bloodfever
Dreamfever (Fever, #4)	Karen Marie Moning	4.37	97,792	https://www.goodreads.com/book/show/6050298-dreamfever
Angels' Blood (Guild Hunter, #1)	Nalini Singh	4.06	86,931	https://www.goodreads.com/book/show/3819326-angels-blood
Destined for an Early Grave (Night Huntress, #4)	Jeaniene Frost	4.31	83,204	https://www.goodreads.com/book/show/5604848-destined-for-an-early-grave
Living Dead in Dallas (Sookie Stackhouse, #2)	Charlaine Harris	3.95	252,098	https://www.goodreads.com/book/show/110494.Living_Dead_in_Dallas
Club Dead (Sookie Stackhouse, #3)	Charlaine Harris	3.99	237,278	https://www.goodreads.com/book/show/140082.Club_Dead
Guilty Pleasures (Anita Blake, Vampire Hunter, #1)	Laurell K. Hamilton	4.01	141,271	https://www.goodreads.com/book/show/30281.Guilty_Pleasures
Acheron (Dark-Hunter, #14)	Sherrilyn Kenyon	4.54	58,496	https://www.goodreads.com/book/show/2299110.Acheron
Breaking Dawn (The Twilight Saga, #4)	Stephenie Meyer	3.71	1,462,829	https://www.goodreads.com/book/show/1162543.Breaking_Dawn
Bitten (Otherworld, #1)	Kelley Armstrong	4.00	101,861	https://www.goodreads.com/book/show/11918.Bitten
New Moon (The Twilight Saga, #2)	Stephenie Meyer	3.56	1,631,511	https://www.goodreads.com/book/show/49041.New_Moon
Faefever (Fever, #3)	Karen Marie Moning	4.29	98,275	https://www.goodreads.com/book/show/2702704-faefever
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,983	https://www.goodreads.com/book/show/38619.Magic_Bites
Frostbite (Vampire Academy, #2)	Richelle Mead	4.24	339,371	https://www.goodreads.com/book/show/2282133.Frostbite
Lover Enshrined (Black Dagger Brotherhood, #6)	J.R. Ward	4.11	112,823	https://www.goodreads.com/book/show/1240662.Lover_Enshrined
The Ten Club (The King, #5)	Mimi Jean Pamfiloff	4.31	1,233	https://www.goodreads.com/book/show/30254469-the-ten-club
Magic Burns (Kate Daniels, #2)	Ilona Andrews	4.30	80,670	https://www.goodreads.com/book/show/1811543.Magic_Burns
All Together Dead (Sookie Stackhouse, #7)	Charlaine Harris	4.04	197,656	https://www.goodreads.com/book/show/140075.All_Together_Dead
Dead as a Doornail (Sookie Stackhouse, #5)	Charlaine Harris	3.98	220,132	https://www.goodreads.com/book/show/170210.Dead_as_a_Doornail
From Dead to Worse (Sookie Stackhouse, #8)	Charlaine Harris	3.99	185,513	https://www.goodreads.com/book/show/2233407.From_Dead_to_Worse
Silver Borne (Mercy Thompson, #5)	Patricia Briggs	4.36	101,058	https://www.goodreads.com/book/show/6587387-silver-borne
Mermen (The Mermen Trilogy, #1)	Mimi Jean Pamfiloff	3.71	2,543	https://www.goodreads.com/book/show/24958079-mermen
Touch the Dark (Cassandra Palmer, #1)	Karen Chance	3.71	36,687	https://www.goodreads.com/book/show/67513.Touch_the_Dark
Lover Mine (Black Dagger Brotherhood, #8)	J.R. Ward	4.38	109,381	https://www.goodreads.com/book/show/7046495-lover-mine
Dead and Gone (Sookie Stackhouse #9)	Charlaine Harris	4.00	185,311	https://www.goodreads.com/book/show/5161066-dead-and-gone
Definitely Dead (Sookie Stackhouse #6)	Charlaine Harris	3.99	204,053	https://www.goodreads.com/book/show/140079.Definitely_Dead
Succubus Blues (Georgina Kincaid, #1)	Richelle Mead	3.93	56,566	https://www.goodreads.com/book/show/235718.Succubus_Blues
Blood Promise (Vampire Academy, #4)	Richelle Mead	4.29	302,791	https://www.goodreads.com/book/show/5996153-blood-promise
Seize the Night (Dark-Hunter #6)	Sherrilyn Kenyon	4.32	47,711	https://www.goodreads.com/book/show/84144.Seize_the_Night
Pleasure Unbound (Demonica, #1)	Larissa Ione	4.03	54,380	https://www.goodreads.com/book/show/2679633-pleasure-unbound
Spirit Bound (Vampire Academy, #5)	Richelle Mead	4.31	282,295	https://www.goodreads.com/book/show/6479259-spirit-bound
Chosen (House of Night, #3)	P.C. Cast	3.91	235,001	https://www.goodreads.com/book/show/1326258.Chosen
Dance with the Devil (Dark-Hunter, #3)	Sherrilyn Kenyon	4.35	65,122	https://www.goodreads.com/book/show/84145.Dance_with_the_Devil
Magic Bleeds (Kate Daniels, #4)	Ilona Andrews	4.42	77,762	https://www.goodreads.com/book/show/6479550-magic-bleeds
A Hunger Like No Other (Immortals After Dark, #1)	Kresley Cole	4.12	77,310	https://www.goodreads.com/book/show/14384.A_Hunger_Like_No_Other
Night Play (Dark-Hunter, #5; Were-Hunter, #1)	Sherrilyn Kenyon	4.32	53,829	https://www.goodreads.com/book/show/84151.Night_Play
Stray (Shifters, #1)	Rachel Vincent	3.77	37,652	https://www.goodreads.com/book/show/793399.Stray
Bloody Bones (Anita Blake, Vampire Hunter #5)	Laurell K. Hamilton	4.10	72,829	https://www.goodreads.com/book/show/30241.Bloody_Bones
Kiss of Midnight (Midnight Breed, #1)	Lara Adrian	3.92	65,327	https://www.goodreads.com/book/show/704043.Kiss_of_Midnight
Night Pleasures (Dark-Hunter, #1)	Sherrilyn Kenyon	4.18	77,274	https://www.goodreads.com/book/show/6944032-night-pleasures
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare	4.30	755,860	https://www.goodreads.com/book/show/7171637-clockwork-angel
Night Embrace (Dark-Hunter, #2)	Sherrilyn Kenyon	4.21	59,733	https://www.goodreads.com/book/show/6567284-night-embrace
Claimed by Shadow (Cassandra Palmer, #2)	Karen Chance	3.98	22,283	https://www.goodreads.com/book/show/207365.Claimed_by_Shadow
Storm Born (Dark Swan, #1)	Richelle Mead	3.87	33,336	https://www.goodreads.com/book/show/2754510-storm-born
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,160	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
Soulless (Parasol Protectorate, #1)	Gail Carriger	3.87	112,730	https://www.goodreads.com/book/show/6381205-soulless
God of Wine (Immortal Matchmakers, Inc., #3)	Mimi Jean Pamfiloff	4.21	1,012	https://www.goodreads.com/book/show/32273412-god-of-wine
Some Girls Bite (Chicagoland Vampires, #1)	Chloe Neill	3.98	63,405	https://www.goodreads.com/book/show/4447622-some-girls-bite
Lover Revealed (Black Dagger Brotherhood, #4)	J.R. Ward	4.28	130,179	https://www.goodreads.com/book/show/42898.Lover_Revealed
Caressed by Ice (Psy-Changeling #3)	Nalini Singh	4.26	38,413	https://www.goodreads.com/book/show/458034.Caressed_by_Ice
Embrace the Night (Cassandra Palmer, #3)	Karen Chance	4.09	22,553	https://www.goodreads.com/book/show/1233478.Embrace_the_Night
Desire Unchained (Demonica #2)	Larissa Ione	4.19	35,598	https://www.goodreads.com/book/show/4497978-desire-unchained
Dark Prince (Dark, #1)	Christine Feehan	3.99	56,007	https://www.goodreads.com/book/show/28866.Dark_Prince
On the Edge (The Edge, #1)	Ilona Andrews	4.02	42,762	https://www.goodreads.com/book/show/6329547-on-the-edge
