title	author	ave_rating	no_rating	link
Lord of the Fading Lands (Tairen Soul, #1)	C.L. Wilson	3.99	19,764	https://www.goodreads.com/book/show/1584974.Lord_of_the_Fading_Lands
Radiance (Wraith Kings, #1)	Grace Draven	4.04	44,778	https://www.goodreads.com/book/show/24473763-radiance
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,752	https://www.goodreads.com/book/show/60510.Poison_Study
Warprize (Chronicles of the Warlands, #1)	Elizabeth Vaughan	3.97	18,045	https://www.goodreads.com/book/show/78070.Warprize
A Court of Thorns and Roses (A Court of Thorns and Roses, #1)	Sarah J. Maas	4.18	792,824	https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
The Golden Dynasty (Fantasyland, #2)	Kristen Ashley	4.38	28,851	https://www.goodreads.com/book/show/12458287-the-golden-dynasty
The Winter King (Weathermages of Mystral, #1)	C.L. Wilson	4.07	15,763	https://www.goodreads.com/book/show/10485751-the-winter-king
Lady of Light and Shadows (Tairen Soul, #2)	C.L. Wilson	4.27	12,957	https://www.goodreads.com/book/show/1651313.Lady_of_Light_and_Shadows
Master of Crows (Master of Crows, #1)	Grace Draven	3.94	15,583	https://www.goodreads.com/book/show/6811150-master-of-crows
A Court of Mist and Fury (A Court of Thorns and Roses, #2)	Sarah J. Maas	4.59	563,248	https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
King of Sword and Sky (Tairen Soul, #3)	C.L. Wilson	4.28	10,425	https://www.goodreads.com/book/show/3307144-king-of-sword-and-sky
Wildest Dreams (Fantasyland, #1)	Kristen Ashley	4.06	32,277	https://www.goodreads.com/book/show/12390650-wildest-dreams
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,633	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Queen of Song and Souls (Tairen Soul, #4)	C.L. Wilson	4.28	8,938	https://www.goodreads.com/book/show/3354025-queen-of-song-and-souls
Crown of Crystal Flame (Tairen Soul, #5)	C.L. Wilson	4.38	8,588	https://www.goodreads.com/book/show/7724257-crown-of-crystal-flame
Touch of Power (Healer, #1)	Maria V. Snyder	4.14	43,794	https://www.goodreads.com/book/show/10445208-touch-of-power
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,227	https://www.goodreads.com/book/show/7896527-throne-of-glass
Dragon Actually (Dragon Kin, #1)	G.A. Aiken	3.91	29,431	https://www.goodreads.com/book/show/3295695-dragon-actually
Fantastical (Fantasyland, #3)	Kristen Ashley	4.26	19,620	https://www.goodreads.com/book/show/13580565-fantastical
Daughter of the Blood (The Black Jewels, #1)	Anne Bishop	4.03	41,549	https://www.goodreads.com/book/show/47956.Daughter_of_the_Blood
Uprooted	Naomi Novik	4.04	202,133	https://www.goodreads.com/book/show/22544764-uprooted
Magic Study (Study, #2)	Maria V. Snyder	4.02	78,124	https://www.goodreads.com/book/show/1265703.Magic_Study
The Bird and the Sword (The Bird and the Sword Chronicles, #1)	Amy Harmon	4.21	34,039	https://www.goodreads.com/book/show/29008738-the-bird-and-the-sword
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,678	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
A Court of Wings and Ruin (A Court of Thorns and Roses, #3)	Sarah J. Maas	4.41	445,800	https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin
A Promise of Fire (Kingmaker Chronicles, #1)	Amanda Bouchet	4.05	26,915	https://www.goodreads.com/book/show/27015399-a-promise-of-fire
Warsworn (Chronicles of the Warlands, #2)	Elizabeth Vaughan	3.88	6,945	https://www.goodreads.com/book/show/78071.Warsworn
Fire Study (Study, #3)	Maria V. Snyder	3.90	62,479	https://www.goodreads.com/book/show/1966969.Fire_Study
Empire of Storms (Throne of Glass, #5)	Sarah J. Maas	4.52	279,361	https://www.goodreads.com/book/show/28260587-empire-of-storms
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,047	https://www.goodreads.com/book/show/68428.The_Final_Empire
Warlord (Chronicles of the Warlands, #3)	Elizabeth Vaughan	4.11	6,981	https://www.goodreads.com/book/show/68513.Warlord
Heart's Blood	Juliet Marillier	4.09	15,106	https://www.goodreads.com/book/show/6278019-heart-s-blood
The Curse Giver	Dora Machado	3.62	1,874	https://www.goodreads.com/book/show/18170141-the-curse-giver
Heir of Fire (Throne of Glass, #3)	Sarah J. Maas	4.44	386,824	https://www.goodreads.com/book/show/20613470-heir-of-fire
Queen of Shadows (Throne of Glass, #4)	Sarah J. Maas	4.53	334,468	https://www.goodreads.com/book/show/18006496-queen-of-shadows
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,127	https://www.goodreads.com/book/show/3236307-graceling
Howl's Moving Castle (Howl's Moving Castle, #1)	Diana Wynne Jones	4.25	262,809	https://www.goodreads.com/book/show/2294528.Howl_s_Moving_Castle
Son of the Shadows (Sevenwaters, #2)	Juliet Marillier	4.33	29,157	https://www.goodreads.com/book/show/13927.Son_of_the_Shadows
Crown of Midnight (Throne of Glass, #2)	Sarah J. Maas	4.36	459,047	https://www.goodreads.com/book/show/17167166-crown-of-midnight
About a Dragon (Dragon Kin, #2)	G.A. Aiken	4.20	15,875	https://www.goodreads.com/book/show/3295696-about-a-dragon
Pestilence (The Four Horsemen, #1)	Laura Thalassa	3.94	48,905	https://www.goodreads.com/book/show/41831210-pestilence
Wild Magic (Immortals, #1)	Tamora Pierce	4.24	82,821	https://www.goodreads.com/book/show/13836.Wild_Magic
The Princess Bride	William Goldman	4.25	835,220	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Kingdom of Ash (Throne of Glass, #7)	Sarah J. Maas	4.57	204,491	https://www.goodreads.com/book/show/33590260-kingdom-of-ash
Entreat Me	Grace Draven	4.05	10,616	https://www.goodreads.com/book/show/18811222-entreat-me
A Discovery of Witches (All Souls Trilogy, #1)	Deborah Harkness	4.00	430,258	https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
