title	author	ave_rating	no_rating	link
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,052,141	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,873	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,225,124	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Lord of the Rings	J.R.R. Tolkien	4.50	610,006	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,662	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,169	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,125,114	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,768	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,727,064	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,623	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,986	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
A Storm of Swords 2: Blood and Gold (A Song of Ice and Fire, #3, Part 2 of 2)	George R.R. Martin	4.50	89,276	https://www.goodreads.com/book/show/147915.A_Storm_of_Swords_2
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,514	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,911	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
A Song of Ice and Fire (A Song of Ice and Fire, #1-5)	George R.R. Martin	4.54	57,790	https://www.goodreads.com/book/show/12177850-a-song-of-ice-and-fire
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,068	https://www.goodreads.com/book/show/14497.Neverwhere
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	4.45	797,448	https://www.goodreads.com/book/show/15241.The_Two_Towers
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.54	746,506	https://www.goodreads.com/book/show/18512.The_Return_of_the_King
Alice's Adventures in Wonderland / Through the Looking-Glass	Lewis Carroll	4.06	501,250	https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,436	https://www.goodreads.com/book/show/518848.Sabriel
The Time Traveler's Wife	Audrey Niffenegger	3.98	1,663,166	https://www.goodreads.com/book/show/8266675-the-time-traveler-s-wife
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,659	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,107,320	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Stardust	Neil Gaiman	4.08	396,696	https://www.goodreads.com/book/show/16793.Stardust
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,231	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,453	https://www.goodreads.com/book/show/4407.American_Gods
Rise of the Flame (The Eura Chronicles #1)	K.N. Lee	3.97	623	https://www.goodreads.com/book/show/24148841-rise-of-the-flame
The Girl with Ghost Eyes	M.H. Boroson	3.87	3,766	https://www.goodreads.com/book/show/25159239-the-girl-with-ghost-eyes
The Wonderful Wizard of Oz (Oz, #1)	L. Frank Baum	3.97	410,671	https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,084	https://www.goodreads.com/book/show/68428.The_Final_Empire
Pawn of Prophecy (The Belgariad, #1)	David Eddings	4.13	102,249	https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy
Gulliver's Travels: Travels into Several Remote Nations of the World.	Jonathan Swift	3.58	247,869	https://www.goodreads.com/book/show/7733.Gulliver_s_Travels
Alessia in Atlantis: The Forbidden Vial	Nathalie Laine	4.20	117	https://www.goodreads.com/book/show/55902829-alessia-in-atlantis
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,086	https://www.goodreads.com/book/show/7235533-the-way-of-kings
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,561,109	https://www.goodreads.com/book/show/113436.Eragon
The Pillars of the Earth (Kingsbridge, #1)	Ken Follett	4.32	695,827	https://www.goodreads.com/book/show/1254150.The_Pillars_of_the_Earth
Watership Down (Watership Down, #1)	Richard Adams	4.06	456,343	https://www.goodreads.com/book/show/76620.Watership_Down
Veterans of the Psychic Wars	Wayne Gerard Trotman	3.77	79	https://www.goodreads.com/book/show/10266883-veterans-of-the-psychic-wars
Shiver (The Wolves of Mercy Falls, #1)	Maggie Stiefvater	3.76	465,387	https://www.goodreads.com/book/show/6068551-shiver
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,125	https://www.goodreads.com/book/show/12067.Good_Omens
Lichgates (The Grimoire Saga, #1)	S.M. Boyce	3.89	3,033	https://www.goodreads.com/book/show/12966247-lichgates
Warbreaker (Warbreaker, #1)	Brandon Sanderson	4.27	143,197	https://www.goodreads.com/book/show/1268479.Warbreaker
Peter Pan	J.M. Barrie	4.02	315,059	https://www.goodreads.com/book/show/34268.Peter_Pan
The Great Hunt (The Wheel of Time, #2)	Robert Jordan	4.23	257,871	https://www.goodreads.com/book/show/233649.The_Great_Hunt
Outlander (Outlander, #1)	Diana Gabaldon	4.23	915,010	https://www.goodreads.com/book/show/9572776-outlander
Something Wicked This Way Comes (Green Town, #2)	Ray Bradbury	3.92	114,483	https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,152	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Lord of Chaos (The Wheel of Time, #6)	Robert Jordan	4.14	144,415	https://www.goodreads.com/book/show/35231.Lord_of_Chaos
A Memory of Light (The Wheel of Time, #14)	Robert Jordan	4.50	120,950	https://www.goodreads.com/book/show/7743175-a-memory-of-light
Winter's Heart (The Wheel of Time, #9)	Robert Jordan	3.94	115,796	https://www.goodreads.com/book/show/13891.Winter_s_Heart
Sleepless (Curse of the Blood Fox, #1)	Sera Ashling	4.23	149	https://www.goodreads.com/book/show/18361369-sleepless
I Am Lilith	Melanie Dufty	4.46	52	https://www.goodreads.com/book/show/55677811-i-am-lilith
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,154	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
Inheritance (The Inheritance Cycle, #4)	Christopher Paolini	4.09	243,825	https://www.goodreads.com/book/show/7664041-inheritance
The Dragon Reborn (The Wheel of Time, #3)	Robert Jordan	4.25	237,433	https://www.goodreads.com/book/show/34897.The_Dragon_Reborn
Queen of Sorcery (The Belgariad, #2)	David Eddings	4.11	71,843	https://www.goodreads.com/book/show/587582.Queen_of_Sorcery
The Chronicles of Thomas Covenant, the Unbeliever (The Chronicles of Thomas Covenant the Unbeliever, #1-3)	Stephen R. Donaldson	3.80	14,744	https://www.goodreads.com/book/show/179033.The_Chronicles_of_Thomas_Covenant_the_Unbeliever
Knife of Dreams (The Wheel of Time, #11)	Robert Jordan	4.14	112,461	https://www.goodreads.com/book/show/13888.Knife_of_Dreams
Mort (Discworld, #4; Death, #1)	Terry Pratchett	4.20	219,782	https://www.goodreads.com/book/show/386372.Mort
A Crown of Swords (The Wheel of Time, #7)	Robert Jordan	4.04	140,143	https://www.goodreads.com/book/show/13890.A_Crown_of_Swords
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,181	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
A Discovery of Witches (All Souls Trilogy, #1)	Deborah Harkness	4.00	430,279	https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
Redwall (Redwall, #1)	Brian Jacques	4.10	114,116	https://www.goodreads.com/book/show/7996.Redwall
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,149	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
Life of Pi	Yann Martel	3.92	1,445,559	https://www.goodreads.com/book/show/4214.Life_of_Pi
Gray Hawk of Terrapin	Moss Whelan	4.32	40	https://www.goodreads.com/book/show/36219542-gray-hawk-of-terrapin
The White Forest (The Legend of Prince Ayron #1)	Aviya Carmen	4.56	16	https://www.goodreads.com/book/show/39691001-the-white-forest
Otuna's Flute	Maricar Banguis	5.00	31	https://www.goodreads.com/book/show/43700522-otuna-s-flute
Articles on Earthsea, Including: A Wizard of Earthsea, the Tombs of Atuan, the Farthest Shore, the Other Wind, Tehanu, Tales from Earthsea, the Wind's Twelve Quarters, GED (Earthsea), Characters in Earthsea, Aihal, Erreth-Akbe	Hephaestus Books	4.74	39	https://www.goodreads.com/book/show/12864180-articles-on-earthsea-including
The Ruins of Gorlan (Ranger's Apprentice, #1)	John Flanagan	4.21	138,200	https://www.goodreads.com/book/show/60400.The_Ruins_of_Gorlan
Eldest (The Inheritance Cycle, #2)	Christopher Paolini	3.99	395,645	https://www.goodreads.com/book/show/45978.Eldest
Brisingr (The Inheritance Cycle, #3)	Christopher Paolini	4.05	336,252	https://www.goodreads.com/book/show/2248573.Brisingr
The Book of Three (The Chronicles of Prydain #1)	Lloyd Alexander	3.96	79,670	https://www.goodreads.com/book/show/954202.The_Book_of_Three
The Gathering Storm (The Wheel of Time, #12)	Robert Jordan	4.36	139,393	https://www.goodreads.com/book/show/1166599.The_Gathering_Storm
The Amber Spyglass (His Dark Materials, #3)	Philip Pullman	4.08	331,986	https://www.goodreads.com/book/show/18122.The_Amber_Spyglass
Marshall's Family	Anson Welsh	4.37	19	https://www.goodreads.com/book/show/25825065-marshall-s-family
The Last Dragon Slayer (Deathsworn Arc, #1)	Martyn Stanley	3.68	457	https://www.goodreads.com/book/show/23154350-the-last-dragon-slayer
The Girl with No Face (The Daoshi Chronicles, #2)	M.H. Boroson	4.32	477	https://www.goodreads.com/book/show/34146956-the-girl-with-no-face
Journey To Osm	Sybrina Durant	4.16	51	https://www.goodreads.com/book/show/43265889-journey-to-osm
The Alloy of Law (Mistborn Saga, #4)	Brandon Sanderson	4.19	159,700	https://www.goodreads.com/book/show/10803121-the-alloy-of-law
Necromantica	Keith Blenman	4.51	37	https://www.goodreads.com/book/show/27865878-necromantica
The Book of Lost Things	John Connolly	3.91	81,864	https://www.goodreads.com/book/show/69136.The_Book_of_Lost_Things
The Man Who Was Thursday: A Nightmare	G.K. Chesterton	3.81	37,673	https://www.goodreads.com/book/show/184419.The_Man_Who_Was_Thursday
The Complete Chronicles of Conan	Robert E. Howard	4.29	4,755	https://www.goodreads.com/book/show/828878.The_Complete_Chronicles_of_Conan
The Shadow Rising (The Wheel of Time, #4)	Robert Jordan	4.24	191,519	https://www.goodreads.com/book/show/9539.The_Shadow_Rising
Shadow of Night (All Souls Trilogy, #2)	Deborah Harkness	4.04	216,565	https://www.goodreads.com/book/show/11559200-shadow-of-night
The Peach Keeper	Sarah Addison Allen	3.85	58,252	https://www.goodreads.com/book/show/8546358-the-peach-keeper
World Without End (Kingsbridge, #2)	Ken Follett	4.26	224,293	https://www.goodreads.com/book/show/4835392-world-without-end
Crossroads of Twilight (The Wheel of Time, #10)	Robert Jordan	3.80	103,570	https://www.goodreads.com/book/show/113435.Crossroads_of_Twilight
Towers of Midnight (The Wheel of Time, #13)	Robert Jordan	4.42	137,310	https://www.goodreads.com/book/show/8253920-towers-of-midnight
Peter Pan in Kensington Gardens / Peter and Wendy	J.M. Barrie	4.01	6,508	https://www.goodreads.com/book/show/38673.Peter_Pan_in_Kensington_Gardens_Peter_and_Wendy
The Harry Potter Collection (Harry Potter, #1-4)	J.K. Rowling	4.69	60,376	https://www.goodreads.com/book/show/107894.The_Harry_Potter_Collection
Broken Aro (The Broken Ones, #1)	Jen Wylie	4.05	1,317	https://www.goodreads.com/book/show/17800679-broken-aro
The Inner World Adventure	Wayne Reinagel	3.60	10	https://www.goodreads.com/book/show/19542152-the-inner-world-adventure
Bloodlust	Nicole Zoltack	3.39	83	https://www.goodreads.com/book/show/20872373-bloodlust
Angelwood. Kings & Queens	Hendrik Birke	4.10	21	https://www.goodreads.com/book/show/22616552-angelwood-kings-queens
The Sword to Unite	Peter J. Hopkins	3.96	24	https://www.goodreads.com/book/show/35010346-the-sword-to-unite
Lost Heroes (The Warrior Edda #1)	Jason Armenta	4.52	21	https://www.goodreads.com/book/show/36627806-lost-heroes
The Shaman's Apprentice (Jovai #1)	B. Muze	4.26	43	https://www.goodreads.com/book/show/37786729-the-shaman-s-apprentice
