title	author	ave_rating	no_rating	link
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,068,587	https://www.goodreads.com/book/show/2767052-the-hunger-games
Divergent (Divergent, #1)	Veronica Roth	4.17	3,282,151	https://www.goodreads.com/book/show/13335037-divergent
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,103	https://www.goodreads.com/book/show/3236307-graceling
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,158	https://www.goodreads.com/book/show/256683.City_of_Bones
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,180	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,061	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Fire (Graceling Realm, #2)	Kristin Cashore	4.08	179,279	https://www.goodreads.com/book/show/6001758-fire
The Blue Sword (Damar, #1)	Robin McKinley	4.17	62,606	https://www.goodreads.com/book/show/407813.The_Blue_Sword
Cordelia's Honor (Vorkosigan Omnibus, #1)	Lois McMaster Bujold	4.29	14,931	https://www.goodreads.com/book/show/61900.Cordelia_s_Honor
Trickster's Choice (Daughter of the Lioness, #1)	Tamora Pierce	4.19	70,455	https://www.goodreads.com/book/show/24431.Trickster_s_Choice
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,415	https://www.goodreads.com/book/show/518848.Sabriel
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,143	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,131	https://www.goodreads.com/book/show/13831.Alanna
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,127	https://www.goodreads.com/book/show/7896527-throne-of-glass
First Test (Protector of the Small, #1)	Tamora Pierce	4.16	64,601	https://www.goodreads.com/book/show/153784.First_Test
Coraline	Neil Gaiman	4.06	558,762	https://www.goodreads.com/book/show/17061.Coraline
Allegiant (Divergent, #3)	Veronica Roth	3.62	921,481	https://www.goodreads.com/book/show/18710190-allegiant
Wild Magic (Immortals, #1)	Tamora Pierce	4.24	82,818	https://www.goodreads.com/book/show/13836.Wild_Magic
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,001	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Girl with Ghost Eyes	M.H. Boroson	3.87	3,765	https://www.goodreads.com/book/show/25159239-the-girl-with-ghost-eyes
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,786	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
