title	author	ave_rating	no_rating	link
Mistborn: The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	481,997	https://www.goodreads.com/book/show/243272.Mistborn
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,024	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,041	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,396	https://www.goodreads.com/book/show/47212.Storm_Front
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,018	https://www.goodreads.com/book/show/14497.Neverwhere
Furies of Calderon (Codex Alera, #1)	Jim Butcher	4.10	104,132	https://www.goodreads.com/book/show/29396.Furies_of_Calderon
The Stand	Stephen King	4.33	680,481	https://www.goodreads.com/book/show/149267.The_Stand
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,276	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
Stardust	Neil Gaiman	4.08	396,664	https://www.goodreads.com/book/show/16793.Stardust
Jonathan Strange & Mr Norrell	Susanna Clarke	3.83	222,174	https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
The Warded Man (Demon Cycle, #1)	Peter V. Brett	4.23	117,925	https://www.goodreads.com/book/show/3428935-the-warded-man
The Black Company (The Chronicles of the Black Company #1)	Glen Cook	3.90	48,014	https://www.goodreads.com/book/show/13322123-the-black-company
Throne of the Crescent Moon (The Crescent Moon Kingdoms, #1)	Saladin Ahmed	3.64	10,754	https://www.goodreads.com/book/show/11487807-throne-of-the-crescent-moon
Magician: Apprentice (The Riftwar Saga, #1)	Raymond E. Feist	4.14	91,480	https://www.goodreads.com/book/show/13812.Magician
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,143	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
The Lord of the Rings	J.R.R. Tolkien	4.50	609,964	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,649	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Black Prism (Lightbringer, #1)	Brent Weeks	4.21	112,858	https://www.goodreads.com/book/show/7165300-the-black-prism
Hounded (The Iron Druid Chronicles, #1)	Kevin Hearne	4.07	86,300	https://www.goodreads.com/book/show/9533378-hounded
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,749	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,103	https://www.goodreads.com/book/show/3236307-graceling
The Great Book of Amber (The Chronicles of Amber, #1-10)	Roger Zelazny	4.31	24,787	https://www.goodreads.com/book/show/5367.The_Great_Book_of_Amber
The Call of Cthulhu and Other Weird Stories	H.P. Lovecraft	4.19	41,728	https://www.goodreads.com/book/show/160149.The_Call_of_Cthulhu_and_Other_Weird_Stories
The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)	Tad Williams	3.94	68,898	https://www.goodreads.com/book/show/91981.The_Dragonbone_Chair
The Silmarillion	J.R.R. Tolkien	3.94	242,670	https://www.goodreads.com/book/show/7332.The_Silmarillion
The Eyre Affair (Thursday Next, #1)	Jasper Fforde	3.86	138,371	https://www.goodreads.com/book/show/27003.The_Eyre_Affair
Warbreaker (Warbreaker, #1)	Brandon Sanderson	4.27	143,179	https://www.goodreads.com/book/show/1268479.Warbreaker
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,415	https://www.goodreads.com/book/show/518848.Sabriel
The Graveyard Book	Neil Gaiman	4.13	485,759	https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
Redwall (Redwall, #1)	Brian Jacques	4.10	114,104	https://www.goodreads.com/book/show/281954.Redwall
The Mongoliad: Book One (Foreworld, #1)	Neal Stephenson	3.51	8,950	https://www.goodreads.com/book/show/12853147-the-mongoliad
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	Gregory Maguire	3.54	587,075	https://www.goodreads.com/book/show/37442.Wicked
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,722	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,602	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,175	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,106,831	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Night Watch (Discworld, #29; City Watch, #6)	Terry Pratchett	4.44	104,873	https://www.goodreads.com/book/show/47989.Night_Watch
The Alloy of Law (Mistborn Saga, #4)	Brandon Sanderson	4.19	159,678	https://www.goodreads.com/book/show/10803121-the-alloy-of-law
Prince of Thorns (The Broken Empire, #1)	Mark Lawrence	3.85	105,386	https://www.goodreads.com/book/show/9579634-prince-of-thorns
