title	author	ave_rating	no_rating	link
Frost Burned (Mercy Thompson, #7)	Patricia Briggs	4.34	68,943	https://www.goodreads.com/book/show/13413589-frost-burned
Twice Tempted (Night Prince, #2)	Jeaniene Frost	4.24	42,140	https://www.goodreads.com/book/show/13125234-twice-tempted
Ever After (The Hollows, #11)	Kim Harrison	4.46	31,250	https://www.goodreads.com/book/show/13241659-ever-after
Heart of Obsidian (Psy-Changeling, #12)	Nalini Singh	4.41	26,076	https://www.goodreads.com/book/show/15781026-heart-of-obsidian
House Rules (Chicagoland Vampires, #7)	Chloe Neill	4.19	18,639	https://www.goodreads.com/book/show/12958034-house-rules
Edge of Dawn (Midnight Breed, #11)	Lara Adrian	4.24	12,257	https://www.goodreads.com/book/show/13170607-edge-of-dawn
Blood Trade (Jane Yellowrock, #6)	Faith Hunter	4.29	12,883	https://www.goodreads.com/book/show/15732001-blood-trade
Wild Invitation (Psy-Changeling, #0.5, #3.5, #9.5, #10.5)	Nalini Singh	4.32	10,772	https://www.goodreads.com/book/show/15727959-wild-invitation
Immortal Ever After (Argeneau, #18)	Lynsay Sands	4.26	10,133	https://www.goodreads.com/book/show/15722934-immortal-ever-after
Beauty Awakened (Angels of the Dark, #2)	Gena Showalter	4.16	12,572	https://www.goodreads.com/book/show/15727731-beauty-awakened
Dead Ever After (Sookie Stackhouse, #13)	Charlaine Harris	3.49	82,535	https://www.goodreads.com/book/show/12106940-dead-ever-after
Deadly Sting (Elemental Assassin, #8)	Jennifer Estep	4.14	9,130	https://www.goodreads.com/book/show/14058669-deadly-sting
Wolf with Benefits (Pride, #8)	Shelly Laurenston	4.30	9,867	https://www.goodreads.com/book/show/15745446-wolf-with-benefits
Tiger Magic (Shifters Unbound, #5)	Jennifer Ashley	4.27	7,057	https://www.goodreads.com/book/show/15713700-tiger-magic
Winterblaze (Darkest London, #3)	Kristen Callihan	3.93	4,718	https://www.goodreads.com/book/show/13389546-winterblaze
Rising Darkness (Game of Shadows, #1)	Thea Harrison	3.33	1,910	https://www.goodreads.com/book/show/15710470-rising-darkness
Rogue Descendant (Nikki Glass, #3)	Jenna Black	3.89	2,826	https://www.goodreads.com/book/show/15744141-rogue-descendant
Hot Blooded (Jessica McClain, #2)	Amanda Carlson	3.85	3,700	https://www.goodreads.com/book/show/13594842-hot-blooded
Darkness Unmasked (Dark Angels, #5)	Keri Arthur	4.22	3,326	https://www.goodreads.com/book/show/15749143-darkness-unmasked
Kitty Rocks the House (Kitty Norville, #11)	Carrie Vaughn	3.92	4,766	https://www.goodreads.com/book/show/15795549-kitty-rocks-the-house
Darkness Avenged (Guardians of Eternity, #10)	Alexandra Ivy	4.25	2,659	https://www.goodreads.com/book/show/15713696-darkness-avenged
A Witch's Handbook of Kisses and Curses (Half-Moon Hollow, #2)	Molly Harper	4.04	6,543	https://www.goodreads.com/book/show/15786285-a-witch-s-handbook-of-kisses-and-curses
Magic at Midnight	Gena Showalter	3.83	625	https://www.goodreads.com/book/show/15734773-magic-at-midnight
Heart of Iron (London Steampunk, #2)	Bec McMaster	3.97	5,656	https://www.goodreads.com/book/show/15927484-heart-of-iron
Forever (The World of Nightwalkers, #2)	Jacquelyn Frank	4.04	1,884	https://www.goodreads.com/book/show/15746101-forever
Eternal Demon (Mark of the Vampire, #5)	Laura Wright	4.24	992	https://www.goodreads.com/book/show/13325005-eternal-demon
Black City (Black Wings, #5)	Christina Henry	4.10	2,612	https://www.goodreads.com/book/show/15710492-black-city
Mating Instinct (Moon Shifter, #3)	Katie Reus	4.10	1,478	https://www.goodreads.com/book/show/15710530-mating-instinct
Seal of Destiny	Traci Douglass	3.67	134	https://www.goodreads.com/book/show/16719966-seal-of-destiny
Leopard's Prey (Leopard People, #5)	Christine Feehan	4.31	6,056	https://www.goodreads.com/book/show/15706711-leopard-s-prey
Binding the Shadows (Arcadia Bell, #3)	Jenn Bennett	4.16	4,229	https://www.goodreads.com/book/show/13630629-binding-the-shadows
Time Thief (Time Thief, #1)	Katie MacAlister	3.54	1,590	https://www.goodreads.com/book/show/15808639-time-thief
Oath Bound (Unbound, #3)	Rachel Vincent	4.08	1,925	https://www.goodreads.com/book/show/13451906-oath-bound
Hunted (The Iron Druid Chronicles, #6)	Kevin Hearne	4.29	35,191	https://www.goodreads.com/book/show/16071950-hunted
Haunted Moon (Otherworld/Sisters of the Moon, #13)	Yasmine Galenorn	4.23	2,515	https://www.goodreads.com/book/show/12577643-haunted-moon
Wicked as She Wants (Blud, #2)	Delilah S. Dawson	3.89	837	https://www.goodreads.com/book/show/13635645-wicked-as-she-wants
Crave the Darkness (Shaede Assassin, #3)	Amanda Bonilla	4.07	823	https://www.goodreads.com/book/show/15710564-crave-the-darkness
Midnight Blue-Light Special (InCryptid, #2)	Seanan McGuire	4.08	9,749	https://www.goodreads.com/book/show/13501633-midnight-blue-light-special
Mountain Echoes (Walker Papers, #8)	C.E. Murphy	4.30	3,389	https://www.goodreads.com/book/show/15803758-mountain-echoes
Lone Wolf (Shifters Unbound, #4.5)	Jennifer Ashley	4.05	4,258	https://www.goodreads.com/book/show/16176614-lone-wolf
Raphael/Parish (Bayou Heat, #1-2)	Alexandra Ivy	3.95	3,857	https://www.goodreads.com/book/show/16169353-raphael-parish
Soulbound (Lone Star Witch, #1)	Tessa Adams	3.56	875	https://www.goodreads.com/book/show/15710593-soulbound
Night Demon (Night, #2)	Lisa Kessler	4.20	244	https://www.goodreads.com/book/show/13110537-night-demon
The Cursed (League of the Black Swan, #1)	Alyssa Day	3.89	1,018	https://www.goodreads.com/book/show/15808829-the-cursed
After Dark: The Darkest Angel/Shadow Hunter (Lords of The Underworld, #4.5; Execution Underground, #0.5)	Gena Showalter	4.20	1,734	https://www.goodreads.com/book/show/16180772-after-dark
Shapeshifted (Edie Spence, #3)	Cassie Alexander	3.87	1,233	https://www.goodreads.com/book/show/15831550-shapeshifted
Undead and Underwater (Undead, #11.5)	MaryJanice Davidson	3.61	1,856	https://www.goodreads.com/book/show/15788084-undead-and-underwater
Vampires Gone Wild (Vamp City, #1.5; Love at Stake, #13.5; Diaries of an Urban Panther, #3.5)	Kerrelyn Sparks	3.92	2,147	https://www.goodreads.com/book/show/16045319-vampires-gone-wild
A Kiss of Blood (Vamp City, #2)	Pamela Palmer	3.90	1,163	https://www.goodreads.com/book/show/16065477-a-kiss-of-blood
Rebel (The Fallen, #4)	Kristina Douglas	4.09	1,164	https://www.goodreads.com/book/show/15712167-rebel
Bayon / Jean-Baptiste (Bayou Heat, #3-4)	Alexandra Ivy	4.10	2,408	https://www.goodreads.com/book/show/16170734-bayon-jean-baptiste
Only Lycans Need Apply (Broken Heart, #9)	Michele Bardsley	4.09	1,348	https://www.goodreads.com/book/show/13530597-only-lycans-need-apply
Levet (Guardians of Eternity, #9.5)	Alexandra Ivy	4.03	1,513	https://www.goodreads.com/book/show/17207134-levet
Dream Eyes (Dark Legacy, #2)	Jayne Ann Krentz	3.99	6,078	https://www.goodreads.com/book/show/15765663-dream-eyes
Predatory (The Sentinels, #0.5, Immortal Guardians, #3.5)	Alexandra Ivy	3.95	1,652	https://www.goodreads.com/book/show/15985405-predatory
Midnight's Kiss (Dark Warriors, #5)	Donna Grant	4.29	1,736	https://www.goodreads.com/book/show/16034227-midnight-s-kiss
Falling Blind (Sentinel Wars, #7)	Shannon K. Butcher	4.10	1,477	https://www.goodreads.com/book/show/15742678-falling-blind
Tempest Reborn (Jane True, #6)	Nicole Peeler	4.04	1,853	https://www.goodreads.com/book/show/15743485-tempest-reborn
Bound (Eternal Guardians, #6)	Elisabeth Naughton	4.29	3,813	https://www.goodreads.com/book/show/17208048-bound
Avenging Angel (The Fallen, #4)	Cynthia Eden	4.14	1,239	https://www.goodreads.com/book/show/16158611-avenging-angel
The Red Plague Affair (Bannon & Clare, #2)	Lilith Saintcrow	3.79	1,667	https://www.goodreads.com/book/show/15790846-the-red-plague-affair
Immortal Craving (Dark Dynasties, #4)	Kendra Leigh Castle	4.05	741	https://www.goodreads.com/book/show/15776953-immortal-craving
The Queen Is Dead (The Immortal Empire, #2)	Kate Locke	4.10	3,097	https://www.goodreads.com/book/show/14781171-the-queen-is-dead
Going Under (Bound by Magick, #3)	Lauren Dane	4.06	822	https://www.goodreads.com/book/show/15710591-going-under
The Beckoning of Beautiful Things (Beckoning, #1)	Calinda B.	3.85	86	https://www.goodreads.com/book/show/17787059-the-beckoning-of-beautiful-things
Seal of Surrender	Traci Douglass	3.84	43	https://www.goodreads.com/book/show/17693042-seal-of-surrender
