title	author	ave_rating	no_rating	link
Blood Song (Raven's Shadow, #1)	Anthony Ryan	4.37	81,699	https://www.goodreads.com/book/show/13569581-blood-song
The Emperor's Edge (The Emperor's Edge, #1)	Lindsay Buroker	4.04	13,623	https://www.goodreads.com/book/show/10031259-the-emperor-s-edge
The Orb of Truth (The Horn King, #1)	Brae Wyckoff	3.75	298	https://www.goodreads.com/book/show/16155612-the-orb-of-truth
The Silver Sphere	Michael Dadich	4.13	176	https://www.goodreads.com/book/show/13646435-the-silver-sphere
The Crown Conspiracy (The Riyria Revelations, #1)	Michael J. Sullivan	4.19	20,504	https://www.goodreads.com/book/show/4345290-the-crown-conspiracy
Deadly Games (The Emperor's Edge, #3)	Lindsay Buroker	4.32	6,437	https://www.goodreads.com/book/show/13044650-deadly-games
Blood and Betrayal (The Emperor's Edge, #5)	Lindsay Buroker	4.42	6,029	https://www.goodreads.com/book/show/15847065-blood-and-betrayal
Conspiracy (The Emperor's Edge, #4)	Lindsay Buroker	4.37	6,511	https://www.goodreads.com/book/show/13603792-conspiracy
Dark Currents (The Emperor's Edge, #2)	Lindsay Buroker	4.24	7,422	https://www.goodreads.com/book/show/11672438-dark-currents
Dream Caster (Dream Cycle, #1)	Najeev Raj Nadarajah	4.14	193	https://www.goodreads.com/book/show/16077824-dream-caster
Crashing Down to Earth (Crashing Down to Earth, #1)	Terry Reid	4.38	125	https://www.goodreads.com/book/show/18136407-crashing-down-to-earth
Theft of Swords (The Riyria Revelations, #1-2)	Michael J. Sullivan	4.18	63,619	https://www.goodreads.com/book/show/10790290-theft-of-swords
A Fairy Awesome Story (A Fairy Awesome Story, #1)	Ellie Aiden	3.70	933	https://www.goodreads.com/book/show/55032825-a-fairy-awesome-story
Bentwhistle the Dragon in a Threat from the Past	Paul Cude	4.06	286	https://www.goodreads.com/book/show/13162223-bentwhistle-the-dragon-in-a-threat-from-the-past
Knight of Light (The Watchers, #1)	Deirdra Eden	4.14	138	https://www.goodreads.com/book/show/21859656-knight-of-light
The Last Dragon Slayer (Deathsworn Arc, #1)	Martyn Stanley	3.68	457	https://www.goodreads.com/book/show/23154350-the-last-dragon-slayer
Circle of Five (Pha Yul, #1)	Jan Raymond	4.18	314	https://www.goodreads.com/book/show/20801439-circle-of-five
Forged in Blood II (The Emperor's Edge, #7)	Lindsay Buroker	4.47	4,999	https://www.goodreads.com/book/show/17935486-forged-in-blood-ii
New Yesterdays	Jim L. Wright	4.27	96	https://www.goodreads.com/book/show/15232939-new-yesterdays
Hereditary (Beatrice Harrow #1)	Jane Washington	3.97	3,969	https://www.goodreads.com/book/show/18457734-hereditary
The Dry	Rebecca Nolen	4.35	137	https://www.goodreads.com/book/show/19140611-the-dry
Forged in Blood I (The Emperor's Edge, #6)	Lindsay Buroker	4.39	5,420	https://www.goodreads.com/book/show/15989176-forged-in-blood-i
The Fairiest Fairy of Them All (A Fairy Awesome Story, #3)	Ellie Aiden	3.81	778	https://www.goodreads.com/book/show/56652791-the-fairiest-fairy-of-them-all
Grave Beginnings (The Grave Report, #1)	R.R. Virdi	4.40	1,424	https://www.goodreads.com/book/show/27815237-grave-beginnings
Elfhunter (Tales of Alterra, the World That Is #1)	C.S. Marks	3.63	773	https://www.goodreads.com/book/show/16173625-elfhunter
The Fairy Next Book (A Fairy Awesome Story, #2)	Ellie Aiden	3.71	868	https://www.goodreads.com/book/show/56124048-the-fairy-next-book
The Iron Butterfly (Iron Butterfly #1)	Chanda Hahn	4.20	10,451	https://www.goodreads.com/book/show/13510491-the-iron-butterfly
Grave Measures (The Grave Report #2)	R.R. Virdi	4.59	1,091	https://www.goodreads.com/book/show/29919027-grave-measures
The Soulstoy Inheritance (Beatrice Harrow #2)	Jane Washington	4.09	2,562	https://www.goodreads.com/book/show/18747320-the-soulstoy-inheritance
Witch in the Woods (Witch in the Woods, #1)	Taylor Ann Bunker	3.77	141	https://www.goodreads.com/book/show/19464292-witch-in-the-woods
Ancient Blood: A Novel of the Hegemony (The Order Saga, #1)	Brian McKinley	4.27	147	https://www.goodreads.com/book/show/14896701-ancient-blood
The Stonegate Sword (Stonegate #1)	Harry James Fox	4.22	99	https://www.goodreads.com/book/show/25312178-the-stonegate-sword
Baby (Species Intervention #6609, #1)	J.K. Accinni	3.80	874	https://www.goodreads.com/book/show/15992857-baby
Heir of Novron (The Riyria Revelations, #5-6)	Michael J. Sullivan	4.49	43,085	https://www.goodreads.com/book/show/11100431-heir-of-novron
The Fallen Star (Fallen Star, #1)	Jessica Sorensen	3.91	28,469	https://www.goodreads.com/book/show/11051889-the-fallen-star
The False Prophet (Stonegate, #2)	Harry James Fox	4.51	59	https://www.goodreads.com/book/show/33913854-the-false-prophet
Farsighted (Farsighted, #1)	Emlyn Chand	3.70	910	https://www.goodreads.com/book/show/13453604-farsighted
Into The Abyss (Demons of Astlan, #1)	J.L. Langland	4.19	2,866	https://www.goodreads.com/book/show/21846804-into-the-abyss
The Skinwalker's Apprentice	Claribel Ortega	3.89	122	https://www.goodreads.com/book/show/19250523-the-skinwalker-s-apprentice
Critical Failures	Robert Bevan	3.79	7,337	https://www.goodreads.com/book/show/15701981-critical-failures
The God Eaters	Jesse Hajicek	4.11	3,123	https://www.goodreads.com/book/show/613268.The_God_Eaters
Peter and the Elven Songs (War of Contractia, #2)	T.J. Dixon	4.11	254	https://www.goodreads.com/book/show/22549619-peter-and-the-elven-songs
Galactic Energies	Luca Rossi	3.95	485	https://www.goodreads.com/book/show/18224520-galactic-energies
Armageddon Cometh (Species Intervention #6609, #3)	J.K. Accinni	4.34	276	https://www.goodreads.com/book/show/15992895-armageddon-cometh
Desiccate (Sphere of Vision, #1)	Bonnie Ferrante	3.92	25	https://www.goodreads.com/book/show/20795141-desiccate
Caged in Darkness (Caged, #1)	J.D. Stroube	3.56	715	https://www.goodreads.com/book/show/11342260-caged-in-darkness
Standing Broken (Neveah Trilogy #2)	Angie Merriam	4.65	26	https://www.goodreads.com/book/show/16088987-standing-broken
Echo (Species Intervention #6609, #2)	J.K. Accinni	4.13	387	https://www.goodreads.com/book/show/15992880-echo
Hive (Species Intervention #6609, #4)	J.K. Accinni	4.40	359	https://www.goodreads.com/book/show/17322045-hive
A Story of River	Lana Axe	3.96	83	https://www.goodreads.com/book/show/17971359-a-story-of-river
Trouble (Seat of Magic #1)	R.J. Price	3.75	95	https://www.goodreads.com/book/show/22237535-trouble
A Broken Forever (Neveah Trilogy #1)	Angie Merriam	4.18	57	https://www.goodreads.com/book/show/10824641-a-broken-forever
Searching for Arthur (The Return to Camelot, #1)	Donna Hosie	3.71	361	https://www.goodreads.com/book/show/14759013-searching-for-arthur
My Boyfriend Merlin (My Merlin, #1)	Priya Ardis	3.55	2,173	https://www.goodreads.com/book/show/13099652-my-boyfriend-merlin
Eulogy	D.T. Conklin	3.94	62	https://www.goodreads.com/book/show/13483792-eulogy
Neveah Breaking the Wicked (Neveah #3)	Angie Merriam	4.56	16	https://www.goodreads.com/book/show/17290148-neveah-breaking-the-wicked
House of Blades (Traveler's Gate, #1)	Will Wight	4.06	13,576	https://www.goodreads.com/book/show/18047306-house-of-blades
Eye of the Moonrat (The Bowl of Souls, #1)	Trevor H. Cooley	3.93	2,845	https://www.goodreads.com/book/show/15752127-eye-of-the-moonrat
Fairy, Fairy, Quite Contrary (A Fairy Awesome Story, #4)	Ellie Aiden	3.77	809	https://www.goodreads.com/book/show/57304929-fairy-fairy-quite-contrary
Angelfall (Penryn & the End of Days, #1)	Susan Ee	4.10	188,475	https://www.goodreads.com/book/show/11500217-angelfall
Shatter (The Children of Man, #1)	Elizabeth C. Mock	3.87	1,849	https://www.goodreads.com/book/show/8146350-shatter
Incursion (Catalyst Moon, #1)	Lauren L. Garcia	3.90	164	https://www.goodreads.com/book/show/31196749-incursion
Horn-Horn (The Horn-Horn Series)	A.D.T. McLellan	4.54	104	https://www.goodreads.com/book/show/36594385-horn-horn
The Coal Elf	Maria DeVivo	3.82	99	https://www.goodreads.com/book/show/16090776-the-coal-elf
The Fire of Merlin (The Return to Camelot, #2)	Donna Hosie	4.18	201	https://www.goodreads.com/book/show/16064438-the-fire-of-merlin
Dying To Forget (The Station #1)	Trish Marie Dawson	4.01	2,815	https://www.goodreads.com/book/show/15819010-dying-to-forget
Sunbolt (The Sunbolt Chronicles, #1)	Intisar Khanani	4.24	2,732	https://www.goodreads.com/book/show/18075001-sunbolt
Natural Consequences (Good Intentions, #2)	Elliott Kay	4.15	3,810	https://www.goodreads.com/book/show/18303925-natural-consequences
Griffin's Daughter (Griffin's Daughter Trilogy, #1)	Leslie Ann Moore	3.62	855	https://www.goodreads.com/book/show/1362888.Griffin_s_Daughter
