title	author	ave_rating	no_rating	link
Twilight (The Twilight Saga, #1)	Stephenie Meyer	3.62	5,501,500	https://www.goodreads.com/book/show/41865.Twilight
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward	4.16	316,701	https://www.goodreads.com/book/show/42899.Dark_Lover
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,178	https://www.goodreads.com/book/show/256683.City_of_Bones
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,288	https://www.goodreads.com/book/show/345627.Vampire_Academy
The Host (The Host, #1)	Stephenie Meyer	3.85	953,789	https://www.goodreads.com/book/show/1656001.The_Host
Dead Until Dark (Sookie Stackhouse, #1)	Charlaine Harris	3.96	523,118	https://www.goodreads.com/book/show/301082.Dead_Until_Dark
Hush, Hush (Hush, Hush, #1)	Becca Fitzpatrick	3.94	640,737	https://www.goodreads.com/book/show/6339664-hush-hush
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,592	https://www.goodreads.com/book/show/71811.Moon_Called
A Hunger Like No Other (Immortals After Dark, #1)	Kresley Cole	4.12	77,308	https://www.goodreads.com/book/show/14384.A_Hunger_Like_No_Other
Darkfever (Fever, #1)	Karen Marie Moning	4.04	176,896	https://www.goodreads.com/book/show/112750.Darkfever
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare	4.30	755,838	https://www.goodreads.com/book/show/7171637-clockwork-angel
Fantasy Lover (Hunter Legends, #1)	Sherrilyn Kenyon	4.14	90,590	https://www.goodreads.com/book/show/84136.Fantasy_Lover
One Foot in the Grave (Night Huntress, #2)	Jeaniene Frost	4.28	101,222	https://www.goodreads.com/book/show/2168860.One_Foot_in_the_Grave
Shiver (The Wolves of Mercy Falls, #1)	Maggie Stiefvater	3.76	465,372	https://www.goodreads.com/book/show/6068551-shiver
Outlander (Outlander, #1)	Diana Gabaldon	4.23	914,939	https://www.goodreads.com/book/show/10964.Outlander
Marked (House of Night, #1)	P.C. Cast	3.80	466,009	https://www.goodreads.com/book/show/30183.Marked
Fallen (Fallen, #1)	Lauren Kate	3.72	543,785	https://www.goodreads.com/book/show/6487308-fallen
The Darkest Night (Lords of the Underworld, #1)	Gena Showalter	4.05	82,918	https://www.goodreads.com/book/show/476543.The_Darkest_Night
Cry Wolf (Alpha & Omega, #1)	Patricia Briggs	4.11	96,559	https://www.goodreads.com/book/show/2355575.Cry_Wolf
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,107	https://www.goodreads.com/book/show/3236307-graceling
Angels' Blood (Guild Hunter, #1)	Nalini Singh	4.06	86,927	https://www.goodreads.com/book/show/3819326-angels-blood
Obsidian (Lux, #1)	Jennifer L. Armentrout	4.14	263,115	https://www.goodreads.com/book/show/12578077-obsidian
Slave to Sensation (Psy-Changeling, #1)	Nalini Singh	4.07	70,491	https://www.goodreads.com/book/show/178476.Slave_to_Sensation
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,979	https://www.goodreads.com/book/show/38619.Magic_Bites
Lover Awakened (Black Dagger Brotherhood, #3)	J.R. Ward	4.43	170,732	https://www.goodreads.com/book/show/42900.Lover_Awakened
Kiss of Midnight (Midnight Breed, #1)	Lara Adrian	3.92	65,328	https://www.goodreads.com/book/show/704043.Kiss_of_Midnight
Bitten (Otherworld, #1)	Kelley Armstrong	4.00	101,860	https://www.goodreads.com/book/show/11918.Bitten
Lover Eternal (Black Dagger Brotherhood, #2)	J.R. Ward	4.32	183,245	https://www.goodreads.com/book/show/35729.Lover_Eternal
Evermore (The Immortals, #1)	Alyson Noel	3.59	284,799	https://www.goodreads.com/book/show/3975774-evermore
Pleasure Unbound (Demonica, #1)	Larissa Ione	4.03	54,380	https://www.goodreads.com/book/show/2679633-pleasure-unbound
Wicked Lovely (Wicked Lovely, #1)	Melissa Marr	3.69	171,344	https://www.goodreads.com/book/show/305234.Wicked_Lovely
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,744	https://www.goodreads.com/book/show/60510.Poison_Study
Guilty Pleasures (Anita Blake, Vampire Hunter, #1)	Laurell K. Hamilton	4.01	141,270	https://www.goodreads.com/book/show/30281.Guilty_Pleasures
The Princess Bride	William Goldman	4.25	835,205	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Lover Unbound (Black Dagger Brotherhood, #5)	J.R. Ward	4.31	128,385	https://www.goodreads.com/book/show/304027.Lover_Unbound
Bloodlines (Bloodlines, #1)	Richelle Mead	4.17	184,004	https://www.goodreads.com/book/show/8709527-bloodlines
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,871	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Beautiful Creatures (Caster Chronicles, #1)	Kami Garcia	3.76	578,480	https://www.goodreads.com/book/show/6304335-beautiful-creatures
Mermen (The Mermen Trilogy, #1)	Mimi Jean Pamfiloff	3.71	2,543	https://www.goodreads.com/book/show/24958079-mermen
The Iron King (The Iron Fey, #1)	Julie Kagawa	3.88	212,564	https://www.goodreads.com/book/show/6644117-the-iron-king
Breaking Dawn (The Twilight Saga, #4)	Stephenie Meyer	3.71	1,462,763	https://www.goodreads.com/book/show/1162543.Breaking_Dawn
A Kiss of Shadows (Merry Gentry, #1)	Laurell K. Hamilton	4.00	57,372	https://www.goodreads.com/book/show/139417.A_Kiss_of_Shadows
Lover Avenged (Black Dagger Brotherhood, #7)	J.R. Ward	4.35	111,538	https://www.goodreads.com/book/show/5098079-lover-avenged
Lover Reborn (Black Dagger Brotherhood, #10)	J.R. Ward	4.31	80,294	https://www.goodreads.com/book/show/10993282-lover-reborn
How to Marry a Millionaire Vampire (Love at Stake, #1)	Kerrelyn Sparks	3.84	37,198	https://www.goodreads.com/book/show/263179.How_to_Marry_a_Millionaire_Vampire
The Summoning (Darkest Powers, #1)	Kelley Armstrong	4.00	172,239	https://www.goodreads.com/book/show/2800905-the-summoning
Lover Mine (Black Dagger Brotherhood, #8)	J.R. Ward	4.38	109,380	https://www.goodreads.com/book/show/7046495-lover-mine
The Time Traveler's Wife	Audrey Niffenegger	3.98	1,663,109	https://www.goodreads.com/book/show/14050.The_Time_Traveler_s_Wife
The Twilight Saga (Twilight, #1-4)	Stephenie Meyer	3.90	111,424	https://www.goodreads.com/book/show/3090465-the-twilight-saga
Dark Prince (Dark, #1)	Christine Feehan	3.99	56,006	https://www.goodreads.com/book/show/28866.Dark_Prince
First Drop of Crimson (Night Huntress World, #1)	Jeaniene Frost	4.13	56,784	https://www.goodreads.com/book/show/6547187-first-drop-of-crimson
Updrift (The Mer Chronicles #1)	Errin Stevens	3.55	294	https://www.goodreads.com/book/show/25114259-updrift
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice	4.00	522,962	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
A Discovery of Witches (All Souls Trilogy, #1)	Deborah Harkness	4.00	430,234	https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
Jacob (Nightwalkers, #1)	Jacquelyn Frank	3.98	23,706	https://www.goodreads.com/book/show/111306.Jacob
Succubus Blues (Georgina Kincaid, #1)	Richelle Mead	3.93	56,566	https://www.goodreads.com/book/show/235718.Succubus_Blues
A Great and Terrible Beauty (Gemma Doyle, #1)	Libba Bray	3.78	228,311	https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty
Lover Revealed (Black Dagger Brotherhood, #4)	J.R. Ward	4.28	130,176	https://www.goodreads.com/book/show/42898.Lover_Revealed
Beyond the Highland Mist (Highlander, #1)	Karen Marie Moning	3.95	70,502	https://www.goodreads.com/book/show/743599.Beyond_the_Highland_Mist
Some Girls Bite (Chicagoland Vampires, #1)	Chloe Neill	3.98	63,405	https://www.goodreads.com/book/show/4447622-some-girls-bite
Matched (Matched, #1)	Ally Condie	3.64	713,830	https://www.goodreads.com/book/show/7735333-matched
Evernight (Evernight, #1)	Claudia Gray	3.65	83,324	https://www.goodreads.com/book/show/2722413-evernight
Acheron (Dark-Hunter, #14)	Sherrilyn Kenyon	4.54	58,496	https://www.goodreads.com/book/show/2299110.Acheron
Once Burned (Night Prince, #1)	Jeaniene Frost	4.19	66,346	https://www.goodreads.com/book/show/7039218-once-burned
Undead and Unwed (Undead, #1)	MaryJanice Davidson	3.80	57,518	https://www.goodreads.com/book/show/421129.Undead_and_Unwed
Full Moon Rising (Riley Jenson Guardian #1)	Keri Arthur	3.88	34,593	https://www.goodreads.com/book/show/172764.Full_Moon_Rising
Goddess of Spring (Goddess Summoning, #2)	P.C. Cast	4.20	9,954	https://www.goodreads.com/book/show/30194.Goddess_of_Spring
Kiss of Snow (Psy-Changeling, #10)	Nalini Singh	4.45	29,084	https://www.goodreads.com/book/show/8712343-kiss-of-snow
Shadow Game (GhostWalkers, #1)	Christine Feehan	4.06	22,013	https://www.goodreads.com/book/show/9553.Shadow_Game
Eclipse (The Twilight Saga, #3)	Stephenie Meyer	3.71	1,572,428	https://www.goodreads.com/book/show/428263.Eclipse
Goddess of Light (Goddess Summoning, #3)	P.C. Cast	4.04	7,120	https://www.goodreads.com/book/show/30190.Goddess_of_Light
New Moon (The Twilight Saga, #2)	Stephenie Meyer	3.56	1,631,433	https://www.goodreads.com/book/show/49041.New_Moon
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,787	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
One Grave at a Time (Night Huntress, #6)	Jeaniene Frost	4.21	48,169	https://www.goodreads.com/book/show/7954556-one-grave-at-a-time
Dragon Bound (Elder Races, #1)	Thea Harrison	4.07	48,463	https://www.goodreads.com/book/show/9637479-dragon-bound
Lover Unleashed (Black Dagger Brotherhood, #9)	J.R. Ward	4.26	90,525	https://www.goodreads.com/book/show/8492319-lover-unleashed
Glass Houses (The Morganville Vampires, #1)	Rachel Caine	3.90	102,199	https://www.goodreads.com/book/show/27266.Glass_Houses
Seize the Night (Dark-Hunter, #6)	Sherrilyn Kenyon	4.32	47,711	https://www.goodreads.com/book/show/84154.Seize_the_Night
Lover Enshrined (Black Dagger Brotherhood, #6)	J.R. Ward	4.11	112,819	https://www.goodreads.com/book/show/1240662.Lover_Enshrined
Immortal Matchmakers, Inc. (Immortal Matchmakers, #1)	Mimi Jean Pamfiloff	3.94	3,669	https://www.goodreads.com/book/show/26016162-immortal-matchmakers-inc
Need (Need, #1)	Carrie Jones	3.71	63,769	https://www.goodreads.com/book/show/4070493-need
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,160	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
Night World, No. 1 (Night World, #1-3)	L.J. Smith	4.05	62,465	https://www.goodreads.com/book/show/3099787-night-world-no-1
Linger (The Wolves of Mercy Falls, #2)	Maggie Stiefvater	3.88	168,695	https://www.goodreads.com/book/show/6654313-linger
The Dream-Hunter (Dark-Hunter, #10; Dream-Hunter, #1)	Sherrilyn Kenyon	4.05	43,912	https://www.goodreads.com/book/show/84132.The_Dream_Hunter
Father Mine (Black Dagger Brotherhood, #6.5)	J.R. Ward	4.44	41,722	https://www.goodreads.com/book/show/5153799-father-mine
Wingless and Damned	Dawn White	3.99	150	https://www.goodreads.com/book/show/16100006-wingless-and-damned
The Awakening / The Struggle (The Vampire Diaries, #1-2)	L.J. Smith	3.68	90,177	https://www.goodreads.com/book/show/395871.The_Awakening_The_Struggle
Eternal Kiss of Darkness (Night Huntress World, #2)	Jeaniene Frost	4.18	43,603	https://www.goodreads.com/book/show/6871616-eternal-kiss-of-darkness
For the Love of Hades (Loves of Olympus, #2)	Sasha Summers	3.95	1,371	https://www.goodreads.com/book/show/13600791-for-the-love-of-hades
Stray (Shifters, #1)	Rachel Vincent	3.77	37,652	https://www.goodreads.com/book/show/793399.Stray
Soulless (Parasol Protectorate, #1)	Gail Carriger	3.87	112,728	https://www.goodreads.com/book/show/6381205-soulless
Born of Night (The League: Nemesis Rising #1)	Sherrilyn Kenyon	4.19	26,051	https://www.goodreads.com/book/show/2992061-born-of-night
Token Huntress (Token Huntress, #1)	Kia Carrington-Russell	3.89	468	https://www.goodreads.com/book/show/25177897-token-huntress
On the Prowl (Alpha & Omega, #0.5)	Patricia Briggs	4.03	29,531	https://www.goodreads.com/book/show/285212.On_the_Prowl
The Iron Daughter (The Iron Fey, #2)	Julie Kagawa	4.05	129,718	https://www.goodreads.com/book/show/7747064-the-iron-daughter
The Darkest Surrender (Lords of the Underworld, #8)	Gena Showalter	4.35	33,162	https://www.goodreads.com/book/show/8038219-the-darkest-surrender
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,674	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
A Girl's Guide to Vampires (Dark Ones #1)	Katie MacAlister	3.71	12,481	https://www.goodreads.com/book/show/50788.A_Girl_s_Guide_to_Vampires
A Court of Mist and Fury (A Court of Thorns and Roses, #2)	Sarah J. Maas	4.59	563,089	https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
Tempting the Beast (Breeds, #1)	Lora Leigh	3.90	24,440	https://www.goodreads.com/book/show/592806.Tempting_the_Beast
Dreams of a Dark Warrior (Immortals After Dark, #10)	Kresley Cole	4.32	39,008	https://www.goodreads.com/book/show/8534799-dreams-of-a-dark-warrior
Dance Upon the Air (Three Sisters Island, #1)	Nora Roberts	4.20	66,915	https://www.goodreads.com/book/show/59829.Dance_Upon_the_Air
Dark Needs at Night's Edge (Immortals After Dark, #4)	Kresley Cole	4.28	49,316	https://www.goodreads.com/book/show/1611656.Dark_Needs_at_Night_s_Edge
King's (The King, #1)	Mimi Jean Pamfiloff	3.89	9,769	https://www.goodreads.com/book/show/22043009-king-s
The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)	Anne Bishop	4.39	13,250	https://www.goodreads.com/book/show/47953.The_Black_Jewels_Trilogy
Jessica's Guide to Dating on the Dark Side (Jessica, #1)	Beth Fantaskey	3.83	42,683	https://www.goodreads.com/book/show/3389671-jessica-s-guide-to-dating-on-the-dark-side
City of Fallen Angels (The Mortal Instruments, #4)	Cassandra Clare	4.09	542,502	https://www.goodreads.com/book/show/6752378-city-of-fallen-angels
Grave Sight (Harper Connelly, #1)	Charlaine Harris	3.85	64,085	https://www.goodreads.com/book/show/58077.Grave_Sight
Bad Moon Rising (Dark-Hunter, #17; Were-Hunter, #4; Hellchaser, #1)	Sherrilyn Kenyon	4.24	30,773	https://www.goodreads.com/book/show/6058042-bad-moon-rising
Lothaire (Immortals After Dark, #11)	Kresley Cole	4.36	44,946	https://www.goodreads.com/book/show/10790516-lothaire
Shadowfever (Fever, #5)	Karen Marie Moning	4.38	105,054	https://www.goodreads.com/book/show/7304203-shadowfever
The Darkest Pleasure (Lords of the Underworld, #3)	Gena Showalter	4.25	47,849	https://www.goodreads.com/book/show/2712967-the-darkest-pleasure
Onyx (Lux, #2)	Jennifer L. Armentrout	4.24	168,062	https://www.goodreads.com/book/show/13047090-onyx
Clockwork Prince (The Infernal Devices, #2)	Cassandra Clare	4.41	501,835	https://www.goodreads.com/book/show/10025305-clockwork-prince
Morrigan's Cross (Circle Trilogy, #1)	Nora Roberts	4.13	52,339	https://www.goodreads.com/book/show/26046.Morrigan_s_Cross
Playing with Fire (Tales of an Extraordinary Girl, #1)	Gena Showalter	3.93	9,486	https://www.goodreads.com/book/show/102259.Playing_with_Fire
A Court of Thorns and Roses (A Court of Thorns and Roses, #1)	Sarah J. Maas	4.18	792,625	https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
Lover at Last (Black Dagger Brotherhood, #11)	J.R. Ward	4.28	67,830	https://www.goodreads.com/book/show/13570854-lover-at-last
You Slay Me (Aisling Grey #1)	Katie MacAlister	3.96	23,652	https://www.goodreads.com/book/show/50750.You_Slay_Me
Lord of the Fading Lands (Tairen Soul, #1)	C.L. Wilson	3.99	19,763	https://www.goodreads.com/book/show/1584974.Lord_of_the_Fading_Lands
Kiss of the Highlander (Highlander, #4)	Karen Marie Moning	4.29	41,485	https://www.goodreads.com/book/show/112754.Kiss_of_the_Highlander
On the Edge (The Edge, #1)	Ilona Andrews	4.02	42,762	https://www.goodreads.com/book/show/6329547-on-the-edge
King for a Day (The King, #2)	Mimi Jean Pamfiloff	4.10	6,880	https://www.goodreads.com/book/show/22042981-king-for-a-day
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,632	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Styxx (Dark-Hunter, #22)	Sherrilyn Kenyon	4.58	20,956	https://www.goodreads.com/book/show/15767586-styxx
God of Wine (Immortal Matchmakers, Inc., #3)	Mimi Jean Pamfiloff	4.21	1,012	https://www.goodreads.com/book/show/32273412-god-of-wine
A Certain Slant of Light (Light, #1)	Laura Whitcomb	3.83	18,921	https://www.goodreads.com/book/show/289601.A_Certain_Slant_of_Light
Awaken Me Darkly (Alien Huntress, #1)	Gena Showalter	3.89	11,741	https://www.goodreads.com/book/show/476492.Awaken_Me_Darkly
The Witching Hour (Lives of the Mayfair Witches, #1)	Anne Rice	4.10	107,891	https://www.goodreads.com/book/show/11901.The_Witching_Hour
When Darkness Comes (Guardians of Eternity, #1)	Alexandra Ivy	3.84	13,912	https://www.goodreads.com/book/show/72286.When_Darkness_Comes
King Hall (Forever Evermore, #1)	Scarlett Dawn	4.13	9,786	https://www.goodreads.com/book/show/18102827-king-hall
Lauren's Barbarian (Icehome, #1)	Ruby Dixon	4.06	7,864	https://www.goodreads.com/book/show/36383830-lauren-s-barbarian
City of Ashes (The Mortal Instruments, #2)	Cassandra Clare	4.13	836,056	https://www.goodreads.com/book/show/1582996.City_of_Ashes
Warrior Rising (Goddess Summoning, #6)	P.C. Cast	4.14	5,250	https://www.goodreads.com/book/show/2344214.Warrior_Rising
Blood Brothers (Sign of Seven, #1)	Nora Roberts	4.15	51,900	https://www.goodreads.com/book/show/407234.Blood_Brothers
Covet (Fallen Angels, #1)	J.R. Ward	3.90	50,163	https://www.goodreads.com/book/show/6289920-covet
Silence (Hush, Hush, #3)	Becca Fitzpatrick	4.09	265,202	https://www.goodreads.com/book/show/10637766-silence
The Corsair's Captive (Corsairs, #1)	Ruby Dixon	3.96	5,004	https://www.goodreads.com/book/show/36209818-the-corsair-s-captive
Barbarian Lover (Ice Planet Barbarians, #3)	Ruby Dixon	3.92	18,620	https://www.goodreads.com/book/show/26185583-barbarian-lover
First Grave on the Right (Charley Davidson, #1)	Darynda Jones	4.00	84,214	https://www.goodreads.com/book/show/8788554-first-grave-on-the-right
Born of Fire (The League: Nemesis Rising #2)	Sherrilyn Kenyon	4.34	17,657	https://www.goodreads.com/book/show/3246224-born-of-fire
The Darkest Frost, Vol. 1 (The Darkest Frost, #1)	Tanya Holmes	4.17	821	https://www.goodreads.com/book/show/23156152-the-darkest-frost-vol-1
Play of Passion (Psy-Changeling #9)	Nalini Singh	4.20	28,710	https://www.goodreads.com/book/show/7831145-play-of-passion
Pleasure of a Dark Prince (Immortals After Dark, #8)	Kresley Cole	4.35	43,696	https://www.goodreads.com/book/show/6337006-pleasure-of-a-dark-prince
Throne of Novoxos (Van Laven Chronicles #1)	Tyler Chase	3.50	5,217	https://www.goodreads.com/book/show/23258641-throne-of-novoxos
Wicked Deeds on a Winter's Night (Immortals After Dark, #3)	Kresley Cole	4.32	53,541	https://www.goodreads.com/book/show/435045.Wicked_Deeds_on_a_Winter_s_Night
The Warlord Wants Forever (Immortals After Dark, #0.5)	Kresley Cole	4.04	59,287	https://www.goodreads.com/book/show/6388558-the-warlord-wants-forever
A Quick Bite (Argeneau #1)	Lynsay Sands	3.90	43,465	https://www.goodreads.com/book/show/38568.A_Quick_Bite
Beauty: A Retelling of the Story of Beauty and the Beast	Robin McKinley	4.05	76,883	https://www.goodreads.com/book/show/41424.Beauty
Half-Blood (Covenant, #1)	Jennifer L. Armentrout	4.09	96,112	https://www.goodreads.com/book/show/9680718-half-blood
Frostbite (Vampire Academy, #2)	Richelle Mead	4.24	339,361	https://www.goodreads.com/book/show/2282133.Frostbite
