title	author	ave_rating	no_rating	link
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,700	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Lord of the Rings	J.R.R. Tolkien	4.50	609,968	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,544	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,831	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,406	https://www.goodreads.com/book/show/30165203-american-gods
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,014	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,282	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,032	https://www.goodreads.com/book/show/7235533-the-way-of-kings
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,962	https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,797	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,674	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
Dune (Dune #1)	Frank Herbert	4.24	975,061	https://www.goodreads.com/book/show/234225.Dune
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,022	https://www.goodreads.com/book/show/14497.Neverwhere
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,651	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,185	https://www.goodreads.com/book/show/43615.The_Gunslinger
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,608	https://www.goodreads.com/book/show/944073.The_Blade_Itself
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,399	https://www.goodreads.com/book/show/47212.Storm_Front
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,143	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
The Silmarillion	J.R.R. Tolkien	3.94	242,673	https://www.goodreads.com/book/show/7332.The_Silmarillion
Watership Down (Watership Down, #1)	Richard Adams	4.06	456,332	https://www.goodreads.com/book/show/76620.Watership_Down
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,963	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,504	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
Jonathan Strange & Mr Norrell	Susanna Clarke	3.83	222,175	https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
The Night Angel Trilogy (Night Angel, #1-3)	Brent Weeks	4.42	24,963	https://www.goodreads.com/book/show/6122735-the-night-angel-trilogy
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,632	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,145	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
Stardust	Neil Gaiman	4.08	396,669	https://www.goodreads.com/book/show/16793.Stardust
His Majesty's Dragon (Temeraire, #1)	Naomi Novik	4.03	90,494	https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon
Preludes & Nocturnes (The Sandman, #1)	Neil Gaiman	4.22	234,579	https://www.goodreads.com/book/show/23754.Preludes_Nocturnes
The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)	Tad Williams	3.94	68,898	https://www.goodreads.com/book/show/91981.The_Dragonbone_Chair
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.54	746,437	https://www.goodreads.com/book/show/18512.The_Return_of_the_King
Dracula	Bram Stoker	4.00	1,050,878	https://www.goodreads.com/book/show/17245.Dracula
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	4.45	797,370	https://www.goodreads.com/book/show/15241.The_Two_Towers
The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)	Anne Bishop	4.39	13,250	https://www.goodreads.com/book/show/47953.The_Black_Jewels_Trilogy
Fool's Errand (Tawny Man, #1)	Robin Hobb	4.29	84,525	https://www.goodreads.com/book/show/68488.Fool_s_Errand
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.14	669,449	https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
A Dance with Dragons (A Song of Ice and Fire, #5)	George R.R. Martin	4.31	596,123	https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,044	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
Outlander (Outlander, #1)	Diana Gabaldon	4.23	914,939	https://www.goodreads.com/book/show/706072.Outlander
Elantris (Elantris, #1)	Brandon Sanderson	4.17	205,125	https://www.goodreads.com/book/show/68427.Elantris
Blood Song (Raven's Shadow, #1)	Anthony Ryan	4.37	81,699	https://www.goodreads.com/book/show/13569581-blood-song
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,070	https://www.goodreads.com/book/show/12067.Good_Omens
Kushiel's Chosen (Phèdre's Trilogy, #2)	Jacqueline Carey	4.23	41,731	https://www.goodreads.com/book/show/395962.Kushiel_s_Chosen
Kushiel's Avatar (Phèdre's Trilogy, #3)	Jacqueline Carey	4.37	34,180	https://www.goodreads.com/book/show/40223.Kushiel_s_Avatar
Tigana	Guy Gavriel Kay	4.05	48,316	https://www.goodreads.com/book/show/104089.Tigana
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,159	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
Dragons of Autumn Twilight (Dragonlance: Chronicles, #1)	Margaret Weis	3.99	114,436	https://www.goodreads.com/book/show/259836.Dragons_of_Autumn_Twilight
Small Gods (Discworld, #13)	Terry Pratchett	4.29	107,236	https://www.goodreads.com/book/show/34484.Small_Gods
Wyrd Sisters (Discworld, #6; Witches #2)	Terry Pratchett	4.11	105,344	https://www.goodreads.com/book/show/34504.Wyrd_Sisters
The Curse of Chalion (World of the Five Gods, #1)	Lois McMaster Bujold	4.10	39,540	https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion
Ship of Destiny (Liveship Traders, #3)	Robin Hobb	4.20	65,556	https://www.goodreads.com/book/show/45102.Ship_of_Destiny
Furies of Calderon (Codex Alera, #1)	Jim Butcher	4.10	104,132	https://www.goodreads.com/book/show/29396.Furies_of_Calderon
Mistborn Trilogy Boxed Set (Mistborn, #1-3)	Brandon Sanderson	4.57	45,692	https://www.goodreads.com/book/show/6604209-mistborn-trilogy-boxed-set
The Once and Future King (The Once and Future King, #1-4)	T.H. White	4.04	109,120	https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
Ship of Magic (Liveship Traders, #1)	Robin Hobb	4.14	71,896	https://www.goodreads.com/book/show/45100.Ship_of_Magic
