title	author	ave_rating	no_rating	link
American Gypsy	Oksana Marafioti	3.74	720	https://www.goodreads.com/book/show/12107713-american-gypsy
Bury Me Standing: The Gypsies and Their Journey	Isabel Fonseca	3.93	3,546	https://www.goodreads.com/book/show/148394.Bury_Me_Standing
And the Violins Stopped Playing	Alexander Ramati	4.41	268	https://www.goodreads.com/book/show/1474003.And_the_Violins_Stopped_Playing
Gypsy Boy On The Run	Mikey Walsh	3.96	1,186	https://www.goodreads.com/book/show/11741114-gypsy-boy-on-the-run
We Borrow the Earth: An Intimate Portrait of the Gypsy Shamanic Tradition and Culture	Patrick Jasper Lee	4.10	99	https://www.goodreads.com/book/show/426253.We_Borrow_the_Earth
The Yellow on the Broom	Betsy Whyte	3.98	185	https://www.goodreads.com/book/show/698377.The_Yellow_on_the_Broom
Rabbit Stew and a Penny or Two: A Gypsy Family's Hard Times and Happy Times on the Road in the 1950s	Maggie Smith-Bendell	3.86	329	https://www.goodreads.com/book/show/8475709-rabbit-stew-and-a-penny-or-two
A Field Full of Butterflies: Memories of a Romany Childhood	Rosemary Penfold	3.63	238	https://www.goodreads.com/book/show/11274436-a-field-full-of-butterflies
Gypsies	Anne Sutherland	3.71	28	https://www.goodreads.com/book/show/148391.Gypsies
Gypsy Boy	Mikey Walsh	3.89	4,897	https://www.goodreads.com/book/show/6678091-gypsy-boy
The Gypsies	Jan Yoors	4.18	453	https://www.goodreads.com/book/show/143892.The_Gypsies
From Coppersmith to Nurse: Alyosha, the Son of a Gypsy Chief	Gunilla Lundgren	5.00	1	https://www.goodreads.com/book/show/2256132.From_Coppersmith_to_Nurse
The Heroic Present: Life Among the Gypsies	Jan Yoors	4.21	34	https://www.goodreads.com/book/show/357006.The_Heroic_Present
The Damned Balkans: A Refugee Road Trip	John Farebrother	4.10	10	https://www.goodreads.com/book/show/35439158-the-damned-balkans
No Place to Call Home: Gypsies, Travellers, and the Road Beyond Dale Farm	Katharine Quarmby	3.66	29	https://www.goodreads.com/book/show/17318671-no-place-to-call-home
King of the Gypsies	Peter Maas	3.39	163	https://www.goodreads.com/book/show/55522.King_of_the_Gypsies
Queen Amang the Heather: The Life of Belle Stewart	Sheila Stewart	4.00	9	https://www.goodreads.com/book/show/4204682-queen-amang-the-heather
The Girl in the Painted Caravan	Eva Petulengro	3.51	379	https://www.goodreads.com/book/show/9745656-the-girl-in-the-painted-caravan
We Are the Romani People: Volume 28	Ian Hancock	3.96	132	https://www.goodreads.com/book/show/559859.We_Are_the_Romani_People
Buckland's Book of Gypsy Magic: Travelers' Stories, Spells Healings	Raymond Buckland	3.85	143	https://www.goodreads.com/book/show/7516563-buckland-s-book-of-gypsy-magic
Nan: The Life of an Irish Travelling Woman	Sharon Gmelch	3.91	103	https://www.goodreads.com/book/show/952360.Nan
Irish Travellers: Tinkers No More	Alen MacWeeney	3.95	21	https://www.goodreads.com/book/show/11646724-irish-travellers
Tales of the Gypsy Dressmaker	Thelma Madine	3.71	283	https://www.goodreads.com/book/show/13010942-tales-of-the-gypsy-dressmaker
Big Louie Me: Caravans, Curses Cockfights	George Locke	4.83	6	https://www.goodreads.com/book/show/14565529-big-louie-me
Crossing	Jan Yoors	4.25	32	https://www.goodreads.com/book/show/682109.Crossing
Rromnja trajo purane Rromnjango ande Vojvodina	Svenka Savić	5.00	1	https://www.goodreads.com/book/show/36104908-rromnja-trajo-purane-rromnjango-ande-vojvodina
Django: The Life and Music of a Gypsy Legend	Michael Dregni	4.01	277	https://www.goodreads.com/book/show/539553.Django
Weeping Violins: The Gypsy Tragedy in Europe	Betty Sowers Alt	4.11	9	https://www.goodreads.com/book/show/5852038-weeping-violins
Gypsy Movements	Jud Nirenberg	4.45	11	https://www.goodreads.com/book/show/24985795-gypsy-movements
Gypsies: Wanderers of the World	Bart McDowell	4.06	71	https://www.goodreads.com/book/show/148395.Gypsies
