title	author	ave_rating	no_rating	link
The Lord of the Rings	J.R.R. Tolkien	4.50	609,991	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Ender's Game (Ender's Saga, #1)	Orson Scott Card	4.30	1,230,706	https://www.goodreads.com/book/show/375802.Ender_s_Game
Dune (Dune, #1)	Frank Herbert	4.24	975,305	https://www.goodreads.com/book/show/44767458-dune
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,695	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Harry Potter Series Box Set (Harry Potter, #1-7)	J.K. Rowling	4.72	268,390	https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,123	https://www.goodreads.com/book/show/2767052-the-hunger-games
1984	George Orwell	4.19	3,618,338	https://www.goodreads.com/book/show/40961427-1984
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,799	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	Douglas Adams	4.22	1,592,332	https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,596	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Fahrenheit 451	Ray Bradbury	3.98	1,923,960	https://www.goodreads.com/book/show/4381.Fahrenheit_451
Brave New World	Aldous Huxley	3.99	1,592,119	https://www.goodreads.com/book/show/5129.Brave_New_World
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,570	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,429	https://www.goodreads.com/book/show/30165203-american-gods
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,063	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,110	https://www.goodreads.com/book/show/119322.The_Golden_Compass
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,882	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
I, Robot (Robot, #0.1)	Isaac Asimov	4.21	302,817	https://www.goodreads.com/book/show/41804.I_Robot
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,055	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Princess Bride	William Goldman	4.25	835,221	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Foundation (Foundation, #1)	Isaac Asimov	4.17	458,827	https://www.goodreads.com/book/show/29579.Foundation
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,099	https://www.goodreads.com/book/show/12067.Good_Omens
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,308	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
The Giver (The Giver, #1)	Lois Lowry	4.13	2,015,253	https://www.goodreads.com/book/show/3636.The_Giver
The Handmaid's Tale (The Handmaid's Tale, #1)	Margaret Atwood	4.12	1,662,953	https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
A Wrinkle in Time (Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,212	https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,715	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Do Androids Dream of Electric Sheep?	Philip K. Dick	4.08	388,396	https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep
The Time Machine	H.G. Wells	3.90	459,084	https://www.goodreads.com/book/show/2493.The_Time_Machine
Stranger in a Strange Land	Robert A. Heinlein	3.92	290,957	https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
The Martian Chronicles	Ray Bradbury	4.15	230,516	https://www.goodreads.com/book/show/76778.The_Martian_Chronicles
The Stand	Stephen King	4.33	680,513	https://www.goodreads.com/book/show/149267.The_Stand
The Outlands (The Outlands Saga #1)	Tyler Edwards	4.12	577	https://www.goodreads.com/book/show/56305116-the-outlands
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,412	https://www.goodreads.com/book/show/47212.Storm_Front
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,561,051	https://www.goodreads.com/book/show/113436.Eragon
Frankenstein	Mary Wollstonecraft Shelley	3.83	1,295,377	https://www.goodreads.com/book/show/18490.Frankenstein
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,978	https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
Old Man's War (Old Man's War, #1)	John Scalzi	4.19	184,080	https://www.goodreads.com/book/show/51964.Old_Man_s_War
Jurassic Park (Jurassic Park, #1)	Michael Crichton	4.06	856,428	https://www.goodreads.com/book/show/40604658-jurassic-park
Ready Player One (Ready Player One, #1)	Ernest Cline	4.24	989,932	https://www.goodreads.com/book/show/9969571-ready-player-one
The Host (The Host, #1)	Stephenie Meyer	3.85	953,809	https://www.goodreads.com/book/show/1656001.The_Host
The Graveyard Book	Neil Gaiman	4.13	485,778	https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
Starship Troopers	Robert A. Heinlein	4.00	210,121	https://www.goodreads.com/book/show/17214.Starship_Troopers
