title	author	ave_rating	no_rating	link
The Outlands (The Outlands Saga #1)	Tyler Edwards	4.12	578	https://www.goodreads.com/book/show/56305116-the-outlands
Before and After	Andrew Shanahan	4.19	1,231	https://www.goodreads.com/book/show/50262048-before-and-after
Arielle: Immortal Awakening (Immortal Rapture, #1)	Lilian Roberts	3.72	392	https://www.goodreads.com/book/show/16165500-arielle
Transference	B.T. Keaton	4.33	407	https://www.goodreads.com/book/show/51931590-transference
Enigma Black (Enigma Black, #1)	Sara Furlong Burr	4.12	227	https://www.goodreads.com/book/show/16177145-enigma-black
Lone Wolf Rising (The Winters Family Saga, #1)	Jami Brumfield	3.71	756	https://www.goodreads.com/book/show/21523892-lone-wolf-rising
Southern Mystical Moments	Patricia H. Graham	4.20	85	https://www.goodreads.com/book/show/16091522-southern-mystical-moments
The Meat Market (Jonathan Harkon Adventures #1)	James Chalk	3.70	467	https://www.goodreads.com/book/show/18754855-the-meat-market
...And the Stars Will Sing	Michelle Browne	3.60	113	https://www.goodreads.com/book/show/15985583-and-the-stars-will-sing
The Dry	Rebecca Nolen	4.35	137	https://www.goodreads.com/book/show/19140611-the-dry
Ancient Blood: A Novel of the Hegemony (The Order Saga, #1)	Brian McKinley	4.27	147	https://www.goodreads.com/book/show/14896701-ancient-blood
Vendetta Nation (Enigma Black, #2)	Sara Furlong Burr	4.48	89	https://www.goodreads.com/book/show/18880543-vendetta-nation
The Wicked Garden (The Wicked Garden, #1)	Lenora Henson	3.84	217	https://www.goodreads.com/book/show/17789716-the-wicked-garden
A Soldier Forgiven	A. Petrov	3.92	59	https://www.goodreads.com/book/show/24461608-a-soldier-forgiven
Watch Over You	Mason Sabre	4.55	134	https://www.goodreads.com/book/show/23245726-watch-over-you
The Huntress	Michelle O'Leary	3.75	193	https://www.goodreads.com/book/show/3144278-the-huntress
Vertigo (Aurora Rising, #2)	G.S. Jennsen	4.23	1,324	https://www.goodreads.com/book/show/25397993-vertigo
Revenge (The Keeper #2)	O.L. Ramos	4.25	165	https://www.goodreads.com/book/show/18373829-revenge
Arielle Immortal Seduction (Immortal Rapture #2)	Lilian Roberts	4.36	186	https://www.goodreads.com/book/show/21544368-arielle-immortal-seduction
Mage's Burden (Fire of the Jidaan, #1)	Whit McClendon	4.19	110	https://www.goodreads.com/book/show/22459241-mage-s-burden
Arielle: Immortal Passion (Immortal Rapture, #3)	Lilian Roberts	4.55	174	https://www.goodreads.com/book/show/17665403-arielle
Starshine (Aurora Rising, #1)	G.S. Jennsen	3.94	3,175	https://www.goodreads.com/book/show/25397924-starshine
Awakening (The Keeper, #1)	O.L. Ramos	3.69	425	https://www.goodreads.com/book/show/17833728-awakening
Hunt for the Star (The Eldon Archives, #1)	Dane Richter	4.81	48	https://www.goodreads.com/book/show/17450513-hunt-for-the-star
Throne of Novoxos (Van Laven Chronicles #1)	Tyler Chase	3.50	5,217	https://www.goodreads.com/book/show/23119393-throne-of-novoxos
Spectra	Ebony Olson	4.17	192	https://www.goodreads.com/book/show/33641215-spectra
Beneath the Surface (The Malions, #1)	Miranda Rae Carter	4.40	48	https://www.goodreads.com/book/show/18621380-beneath-the-surface
Harvest (Harvest Trilogy #1)	Michele E. Gwynn	4.12	33	https://www.goodreads.com/book/show/13197877-harvest
Bound by Duty (Bound, #1)	Stormy Smith	3.82	3,317	https://www.goodreads.com/book/show/21957948-bound-by-duty
The Call of Agon (The Children of Telm, #1)	Dean F. Wilson	3.61	377	https://www.goodreads.com/book/show/17399863-the-call-of-agon
Fall of Zona Nox (Warpmancer #1-3)	Nicholas Woode-Smith	4.25	57	https://www.goodreads.com/book/show/17973204-fall-of-zona-nox
Fall of Darkness (The Darkness Chronicles, #1)	Elle Bright	3.77	239	https://www.goodreads.com/book/show/18139273-fall-of-darkness
Moon 514: Blaze and the White Griffon	Drew Briney	3.71	35	https://www.goodreads.com/book/show/22057126-moon-514
Forgotten Lore: Volume I	Alexei Maxim Russell	4.29	42	https://www.goodreads.com/book/show/25560329-forgotten-lore
The Book of Occult	Simon W. Clark	3.67	8,377	https://www.goodreads.com/book/show/20388847-the-book-of-occult
All for One (Sky Ghosts #1)	Alexandra Engellmann	3.65	1,169	https://www.goodreads.com/book/show/25635011-all-for-one
Shadow King	Susan K. Hamilton	4.44	36	https://www.goodreads.com/book/show/40250160-shadow-king
Sentience	Courtney P. Hunter	4.08	84	https://www.goodreads.com/book/show/55148409-sentience
Veterans of the Psychic Wars	Wayne Gerard Trotman	3.77	79	https://www.goodreads.com/book/show/10266883-veterans-of-the-psychic-wars
Immortal Defiance (Dulcea's Rebellion, #1)	Laura Maybrooke	4.06	118	https://www.goodreads.com/book/show/50907462-immortal-defiance
Conjunction (The Wise Society, #1)	A.D. Zoltan	4.34	58	https://www.goodreads.com/book/show/43460271-conjunction
Blood Rose (The Blood Saga #1)	Jacquelynn Gagne	4.13	93	https://www.goodreads.com/book/show/16150740-blood-rose
The Waking (Ruin, #1)	Lucian Bane	3.95	752	https://www.goodreads.com/book/show/23005802-the-waking
Marco (Sky Ghosts, #1.5)	Alexandra Engellmann	4.32	87	https://www.goodreads.com/book/show/25969548-marco
Why Not-World	Alexei Maxim Russell	4.13	55	https://www.goodreads.com/book/show/23506296-why-not-world
Rebirth (The Keeper, #3)	O.L. Ramos	4.42	116	https://www.goodreads.com/book/show/19571104-rebirth
The Starbirth Assignment: Shifter (Starbirth, #1)	J.M. Johnson	4.19	57	https://www.goodreads.com/book/show/30981718-the-starbirth-assignment
Starborn (The Order of Orion, #1)	Samantha Jane	3.79	169	https://www.goodreads.com/book/show/36528876-starborn
The Key to Erebus (Les Corbeaux: The French Vampire Legend, #1)	Emma V. Leech	4.11	1,138	https://www.goodreads.com/book/show/17280656-the-key-to-erebus
Belligerent (Vicara, #1)	B.N. Mauldin	4.24	129	https://www.goodreads.com/book/show/17856436-belligerent
A Tale of Two Djinns	Mina Khan	3.99	103	https://www.goodreads.com/book/show/13518975-a-tale-of-two-djinns
The Sity (The Sity, #1)	Curran Geist	3.71	41	https://www.goodreads.com/book/show/15818027-the-sity
Damselfly (Damselfly, #1)	Jennie Bates Bozic	3.74	226	https://www.goodreads.com/book/show/18216396-damselfly
This Brilliant Darkness	Red Tash	3.54	138	https://www.goodreads.com/book/show/13017390-this-brilliant-darkness
Zombie Apocalypse Diaries: Outbreak	J. Scott Edwards	3.71	14	https://www.goodreads.com/book/show/19179841-zombie-apocalypse-diaries
Haunted Tree (The Magus Family Chronicles, #1)	Scott Robert Scheller	3.79	89	https://www.goodreads.com/book/show/25272670-haunted-tree
Punk (New York Vampire, #1)	K.D. McQuain	3.96	45	https://www.goodreads.com/book/show/25884402-punk
A Dark Collection	Emma V. Leech	4.55	58	https://www.goodreads.com/book/show/29387068-a-dark-collection
Just Like Animals (Werelock Evolution #5)	Hettie Ivers	4.00	866	https://www.goodreads.com/book/show/39934931-just-like-animals
Undertakers Inc.	J.C. Compton	4.55	11	https://www.goodreads.com/book/show/57902919-undertakers-inc
ParaWars: Uprising (ParaWars, #1)	Caitlin Greer	4.17	66	https://www.goodreads.com/book/show/18283667-parawars
Orope - The White Snake (Whisperers of the Gods, #1)	Guenevere Lee	3.99	74	https://www.goodreads.com/book/show/37907938-orope---the-white-snake
Awakening (The Geis, #1)	Christy Dorrity	3.85	199	https://www.goodreads.com/book/show/18074584-awakening
The Short Life of Sparrows	Emm Cole	3.91	293	https://www.goodreads.com/book/show/24568450-the-short-life-of-sparrows
A Darker Shade of Sorcery (The Realmers #1)	William Collins	3.85	276	https://www.goodreads.com/book/show/28602062-a-darker-shade-of-sorcery
Emergence	Nick M. Lloyd	3.64	370	https://www.goodreads.com/book/show/23364070-emergence
Songs in the Year of the Cat (Upper Kingdom, #3)	H. Leighton Dickson	4.42	173	https://www.goodreads.com/book/show/18325148-songs-in-the-year-of-the-cat
Forgotten Lore: Volume II	Alexei Maxim Russell	4.10	29	https://www.goodreads.com/book/show/25560247-forgotten-lore
Ascension (Dominion, #2)	S.E. Lund	3.92	671	https://www.goodreads.com/book/show/15765627-ascension
A Dark Design (Les Fées: The French Fae Legend 0.25)	Emma V. Leech	4.78	59	https://www.goodreads.com/book/show/25707038-a-dark-design
The Dark Prince (Les Fées: The French Fae Legend, #1)	Emma V. Leech	3.89	984	https://www.goodreads.com/book/show/18813405-the-dark-prince
Angel of the City	R.J. Leahy	4.08	72	https://www.goodreads.com/book/show/17282407-angel-of-the-city
The Heart of Arima (Les Corbeaux: The French Vampire Legend #2)	Emma V. Leech	4.51	496	https://www.goodreads.com/book/show/22607513-the-heart-of-arima
Dominion (Dominion, #1)	S.E. Lund	3.62	1,802	https://www.goodreads.com/book/show/15712652-dominion
