title	author	ave_rating	no_rating	link
Ender's Game (Ender's Saga, #1)	Orson Scott Card	4.30	1,230,704	https://www.goodreads.com/book/show/375802.Ender_s_Game
Dune (Dune, #1)	Frank Herbert	4.24	975,298	https://www.goodreads.com/book/show/44767458-dune
1984	George Orwell	4.19	3,618,328	https://www.goodreads.com/book/show/40961427-1984
Fahrenheit 451	Ray Bradbury	3.98	1,923,955	https://www.goodreads.com/book/show/4381.Fahrenheit_451
Brave New World	Aldous Huxley	3.99	1,592,116	https://www.goodreads.com/book/show/5129.Brave_New_World
Foundation (Foundation, #1)	Isaac Asimov	4.17	458,825	https://www.goodreads.com/book/show/29579.Foundation
A Wrinkle in Time (Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,212	https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,097	https://www.goodreads.com/book/show/2767052-the-hunger-games
Slaughterhouse-Five	Kurt Vonnegut Jr.	4.08	1,219,316	https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)	Douglas Adams	4.35	307,531	https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
The Giver (The Giver, #1)	Lois Lowry	4.13	2,015,250	https://www.goodreads.com/book/show/3636.The_Giver
Do Androids Dream of Electric Sheep?	Philip K. Dick	4.08	388,395	https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_
Stranger in a Strange Land	Robert A. Heinlein	3.92	290,957	https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
I, Robot (Robot, #0.1)	Isaac Asimov	4.21	302,817	https://www.goodreads.com/book/show/41804.I_Robot
Hyperion	Dan Simmons	4.23	212,085	https://www.goodreads.com/book/show/77566.Hyperion
Neuromancer (Sprawl, #1)	William Gibson	3.90	284,978	https://www.goodreads.com/book/show/6088007-neuromancer
Animal Farm	George Orwell	3.97	3,111,745	https://www.goodreads.com/book/show/170448.Animal_Farm
Speaker for the Dead (Ender's Saga, #2)	Orson Scott Card	4.07	236,367	https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead
Snow Crash	Neal Stephenson	4.02	252,621	https://www.goodreads.com/book/show/830.Snow_Crash
The Martian Chronicles	Ray Bradbury	4.15	230,516	https://www.goodreads.com/book/show/76778.The_Martian_Chronicles
The Stand	Stephen King	4.33	680,513	https://www.goodreads.com/book/show/149267.The_Stand
The Handmaid's Tale (The Handmaid's Tale, #1)	Margaret Atwood	4.12	1,662,946	https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Foundation Trilogy (Foundation, #1-3)	Isaac Asimov	4.41	96,319	https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,108	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
Jurassic Park (Jurassic Park, #1)	Michael Crichton	4.06	856,428	https://www.goodreads.com/book/show/40604658-jurassic-park
2001: A Space Odyssey (Space Odyssey, #1)	Arthur C. Clarke	4.15	282,159	https://www.goodreads.com/book/show/70535.2001
The Time Machine	H.G. Wells	3.90	459,081	https://www.goodreads.com/book/show/2493.The_Time_Machine
Starship Troopers	Robert A. Heinlein	4.00	210,121	https://www.goodreads.com/book/show/17214.Starship_Troopers
The Lord of the Rings	J.R.R. Tolkien	4.50	609,990	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Left Hand of Darkness (Hainish Cycle, #4)	Ursula K. Le Guin	4.08	140,038	https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
Flowers for Algernon	Daniel Keyes	4.16	538,613	https://www.goodreads.com/book/show/18373.Flowers_for_Algernon
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,669	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The War of the Worlds	H.G. Wells	3.83	270,226	https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,594	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Ender's Shadow (The Shadow Series, #1)	Orson Scott Card	4.29	165,098	https://www.goodreads.com/book/show/9532.Ender_s_Shadow
Cat's Cradle	Kurt Vonnegut Jr.	4.16	359,864	https://www.goodreads.com/book/show/135479.Cat_s_Cradle
Childhood's End	Arthur C. Clarke	4.10	144,273	https://www.goodreads.com/book/show/414999.Childhood_s_End
The Moon Is a Harsh Mistress	Robert A. Heinlein	4.14	125,981	https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress
The Forever War (The Forever War, #1)	Joe Haldeman	4.13	153,692	https://www.goodreads.com/book/show/21611.The_Forever_War
Rendezvous with Rama (Rama, #1)	Arthur C. Clarke	4.11	145,853	https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama
A Canticle for Leibowitz (St. Leibowitz, #1)	Walter M. Miller Jr.	3.97	102,777	https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
Ready Player One (Ready Player One, #1)	Ernest Cline	4.24	989,931	https://www.goodreads.com/book/show/9969571-ready-player-one
The Time Traveler's Wife	Audrey Niffenegger	3.98	1,663,138	https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
The Host (The Host, #1)	Stephenie Meyer	3.85	953,810	https://www.goodreads.com/book/show/1656001.The_Host
Old Man's War (Old Man's War, #1)	John Scalzi	4.19	184,080	https://www.goodreads.com/book/show/51964.Old_Man_s_War
Dragonflight (Dragonriders of Pern, #1)	Anne McCaffrey	4.08	135,669	https://www.goodreads.com/book/show/61975.Dragonflight
Ringworld (Ringworld, #1)	Larry Niven	3.96	112,412	https://www.goodreads.com/book/show/61179.Ringworld
Contact	Carl Sagan	4.12	134,762	https://www.goodreads.com/book/show/61666.Contact
Twenty Thousand Leagues Under the Sea	Jules Verne	3.89	220,324	https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	Douglas Adams	4.22	1,592,324	https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Dispossessed (Hainish Cycle, #6)	Ursula K. Le Guin	4.20	102,869	https://www.goodreads.com/book/show/13651.The_Dispossessed
The Diamond Age: Or, a Young Lady's Illustrated Primer	Neal Stephenson	4.14	89,917	https://www.goodreads.com/book/show/827.The_Diamond_Age
Frankenstein	Mary Wollstonecraft Shelley	3.83	1,295,374	https://www.goodreads.com/book/show/18490.Frankenstein
I Am Legend and Other Stories	Richard Matheson	4.00	125,550	https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories
World War Z: An Oral History of the Zombie War	Max Brooks	4.01	479,731	https://www.goodreads.com/book/show/8908.World_War_Z
The Sparrow (The Sparrow, #1)	Mary Doria Russell	4.10	72,416	https://www.goodreads.com/book/show/334176.The_Sparrow
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,428	https://www.goodreads.com/book/show/30165203-american-gods
The Man in the High Castle	Philip K. Dick	3.62	197,171	https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle
Never Let Me Go	Kazuo Ishiguro	3.83	550,781	https://www.goodreads.com/book/show/6334.Never_Let_Me_Go
Ubik	Philip K. Dick	4.07	97,609	https://www.goodreads.com/book/show/22590.Ubik
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,683	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
