title	author	ave_rating	no_rating	link
The Darkest Touch (Lords of the Underworld, #11)	Gena Showalter	4.28	13,136	https://www.goodreads.com/book/show/18301663-the-darkest-touch
Magic Breaks (Kate Daniels, #7)	Ilona Andrews	4.46	46,597	https://www.goodreads.com/book/show/12119529-magic-breaks
Dark Skye (Immortals After Dark, #14)	Kresley Cole	4.24	22,797	https://www.goodreads.com/book/show/18775652-dark-skye
Seventh Grave and No Body (Charley Davidson, #7)	Darynda Jones	4.30	27,223	https://www.goodreads.com/book/show/19286674-seventh-grave-and-no-body
Archangel's Shadows (Guild Hunter, #7)	Nalini Singh	4.31	18,210	https://www.goodreads.com/book/show/17409835-archangel-s-shadows
Burn for Me (Hidden Legacy, #1)	Ilona Andrews	4.31	50,060	https://www.goodreads.com/book/show/20705702-burn-for-me
Son of No One (Dark-Hunter, #23; Hellchaser, #5; Were-Hunter, #8, Lords of Avalon, #3)	Sherrilyn Kenyon	4.18	11,911	https://www.goodreads.com/book/show/18159196-son-of-no-one
Revenant (Lords of Deliverance, #6; Demonica, #12)	Larissa Ione	4.43	7,317	https://www.goodreads.com/book/show/19548127-revenant
Shifting Shadows (Mercy Thompson #0.1, #0.5, #0.7, #0.9, #1.2, #1.8, #4.5, #5.5, #7.4, #8.5)	Patricia Briggs	4.39	19,227	https://www.goodreads.com/book/show/20821263-shifting-shadows
The Witch With No Name (The Hollows, #13)	Kim Harrison	4.44	23,029	https://www.goodreads.com/book/show/20426917-the-witch-with-no-name
Crave The Night (Midnight Breed, #12)	Lara Adrian	4.27	7,883	https://www.goodreads.com/book/show/17184930-crave-the-night
Immortal (Fallen Angels, #6)	J.R. Ward	4.28	9,651	https://www.goodreads.com/book/show/18492859-immortal
Blood Games (Chicagoland Vampires, #10)	Chloe Neill	4.23	11,429	https://www.goodreads.com/book/show/12958049-blood-games
King of Me (The King, #3)	Mimi Jean Pamfiloff	4.21	5,735	https://www.goodreads.com/book/show/22206620-king-of-me
Born of Fury (The League: Nemesis Rising #6)	Sherrilyn Kenyon	4.53	8,755	https://www.goodreads.com/book/show/13079147-born-of-fury
Accidentally...Over? (Accidentally Yours, #5)	Mimi Jean Pamfiloff	4.28	1,362	https://www.goodreads.com/book/show/18360171-accidentally-over
Dark Blood (Dark, #23)	Christine Feehan	4.30	7,638	https://www.goodreads.com/book/show/17412109-dark-blood
Chained by Night (MoonBound Clan Vampire, #2)	Larissa Ione	4.21	4,726	https://www.goodreads.com/book/show/15803815-chained-by-night
The Book of Life (All Souls Trilogy, #3)	Deborah Harkness	4.17	164,476	https://www.goodreads.com/book/show/16054217-the-book-of-life
Night's Honor (Elder Races, #7)	Thea Harrison	3.98	6,084	https://www.goodreads.com/book/show/18803739-night-s-honor
Night Shift (Kate Daniels, #6.5; SPI Files, #0.5; Psy-Changeling, #12.5; Barbarian, #1)	Nalini Singh	4.10	9,395	https://www.goodreads.com/book/show/21857389-night-shift
Light My Fire (Dragon Kin, #7)	G.A. Aiken	4.33	6,248	https://www.goodreads.com/book/show/17731347-light-my-fire
Poison Promise (Elemental Assassin, #11)	Jennifer Estep	4.17	5,900	https://www.goodreads.com/book/show/18745159-poison-promise
Broken Soul (Jane Yellowrock, #8)	Faith Hunter	4.35	10,384	https://www.goodreads.com/book/show/20631613-broken-soul
Tempted by Midnight (Midnight Breed, #12.5)	Lara Adrian	4.12	3,069	https://www.goodreads.com/book/show/19305313-tempted-by-midnight
The Winter Long (October Daye, #8)	Seanan McGuire	4.39	12,223	https://www.goodreads.com/book/show/15748529-the-winter-long
Visions (Cainsville, #2)	Kelley Armstrong	4.25	12,084	https://www.goodreads.com/book/show/18398797-visions
Black Widow (Elemental Assassin, #12)	Jennifer Estep	4.25	5,242	https://www.goodreads.com/book/show/18745163-black-widow
Night Unbound (Immortal Guardians, #5)	Dianne Duvall	4.42	5,014	https://www.goodreads.com/book/show/19083223-night-unbound
Blood Magick (The Cousins O'Dwyer Trilogy, #3)	Nora Roberts	4.13	32,317	https://www.goodreads.com/book/show/18754961-blood-magick
Darkness (New Species, #12)	Laurann Dohner	4.27	11,206	https://www.goodreads.com/book/show/18523711-darkness
Fireborn (Souls of Fire, #1)	Keri Arthur	3.82	3,253	https://www.goodreads.com/book/show/18656310-fireborn
Smiley (New Species, #13)	Laurann Dohner	4.24	10,885	https://www.goodreads.com/book/show/22877206-smiley
Crouching Tiger, Forbidden Vampire (Love at Stake, #16)	Kerrelyn Sparks	4.22	3,431	https://www.goodreads.com/book/show/21857321-crouching-tiger-forbidden-vampire
City of Eternal Night (Crescent City, #2)	Kristen Painter	3.94	903	https://www.goodreads.com/book/show/20924711-city-of-eternal-night
Forged by Desire (London Steampunk, #4)	Bec McMaster	4.04	3,033	https://www.goodreads.com/book/show/17901769-forged-by-desire
Evernight (Darkest London, #5)	Kristen Callihan	4.10	3,224	https://www.goodreads.com/book/show/19124363-evernight
Darkness Falls (Dark Angels, #7)	Keri Arthur	4.28	2,191	https://www.goodreads.com/book/show/19275608-darkness-falls
Demon Storm (Belador, #5)	Dianna Love	4.23	1,117	https://www.goodreads.com/book/show/18335567-demon-storm
The Winter King (Weathermages of Mystral, #1)	C.L. Wilson	4.08	15,760	https://www.goodreads.com/book/show/10485751-the-winter-king
Vampire Trouble (Dead in the City, #2)	Sara Humphreys	4.05	652	https://www.goodreads.com/book/show/18480399-vampire-trouble
Night's End (Indigo Court, #5)	Yasmine Galenorn	4.26	982	https://www.goodreads.com/book/show/18165175-night-s-end
Tempted by a Rogue Prince (Eternal Mates, #3)	Felicity Heaton	4.28	2,438	https://www.goodreads.com/book/show/20940832-tempted-by-a-rogue-prince
The Hot Zone (Rainshadow, #3; Ghost Hunters, #11)	Jayne Castle	4.22	5,097	https://www.goodreads.com/book/show/20821265-the-hot-zone
Unbinding (World of the Lupi, #11)	Eileen Wilks	4.06	2,000	https://www.goodreads.com/book/show/20299706-unbinding
Knight Avenged (Circle of Seven, #2)	Coreene Callahan	4.06	994	https://www.goodreads.com/book/show/17339335-knight-avenged
Red Blooded (Jessica McClain, #4)	Amanda Carlson	3.86	1,273	https://www.goodreads.com/book/show/18633587-red-blooded
Blood Moon (Moon, #3)	Lisa Kessler	4.26	547	https://www.goodreads.com/book/show/18593156-blood-moon
Priestess Dreaming (Otherworld / Sisters of the Moon, #16)	Yasmine Galenorn	4.24	1,473	https://www.goodreads.com/book/show/18072607-priestess-dreaming
Stone Cold Lover (Gargoyles, #2)	Christine Warren	3.80	1,502	https://www.goodreads.com/book/show/18779659-stone-cold-lover
Otherworld Nights (Otherworld Stories, #3)	Kelley Armstrong	4.27	3,034	https://www.goodreads.com/book/show/17827953-otherworld-nights
Burning Desire (Dark Kings, #3)	Donna Grant	4.29	2,025	https://www.goodreads.com/book/show/20640322-burning-desire
Playing With Fire (Phoenix Fire, #3)	Cynthia Eden	4.07	1,665	https://www.goodreads.com/book/show/19083232-playing-with-fire
How the White Trash Zombie Got Her Groove Back (White Trash Zombie, #4)	Diana Rowland	4.01	3,237	https://www.goodreads.com/book/show/19486406-how-the-white-trash-zombie-got-her-groove-back
Cursed Moon (Prospero's War, #2)	Jaye Wells	3.92	2,748	https://www.goodreads.com/book/show/18482271-cursed-moon
Divine and Dateless (Eternally Yours, #1)	Tara West	3.76	1,699	https://www.goodreads.com/book/show/22543639-divine-and-dateless
Darkness Possessed (Order of the Blade #9)	Stephanie Rowe	4.36	817	https://www.goodreads.com/book/show/22370400-darkness-possessed
Possession of My Heart (The Three Immortal Blades, #2)	Kia Carrington-Russell	3.50	4,818	https://www.goodreads.com/book/show/23291161-possession-of-my-heart
Wanted: Wild Thing (Midnight Liaisons, #4)	Jessica Sims	3.77	1,267	https://www.goodreads.com/book/show/18753809-wanted
Demons (Darkness, #4)	K.F. Breene	4.22	6,317	https://www.goodreads.com/book/show/22750619-demons
Bloodshifted (Edie Spence, #5)	Cassie Alexander	3.89	657	https://www.goodreads.com/book/show/17566943-bloodshifted
Five Weeks (Seven, #3; Mageriverse #9)	Dannika Dark	4.27	8,736	https://www.goodreads.com/book/show/22837546-five-weeks
The Council (Darkness, #5)	K.F. Breene	4.38	6,946	https://www.goodreads.com/book/show/22175011-the-council
Havoc (Dred Chronicles, #2)	Ann Aguirre	4.09	2,046	https://www.goodreads.com/book/show/21418016-havoc
Shadow Cursed (The Daughters of Darkness #2)	N.L. Hoffmann	4.20	290	https://www.goodreads.com/book/show/22854415-shadow-cursed
Not Quite Dead (NightHunter, #1)	Stephanie Rowe	4.21	328	https://www.goodreads.com/book/show/22730547-not-quite-dead
Chains of Darkness (Men in Chains, #2)	Caris Roane	3.75	422	https://www.goodreads.com/book/show/18402014-chains-of-darkness
Cold Hard Secret (Secret McQueen, #7)	Sierra Dean	4.04	1,195	https://www.goodreads.com/book/show/15995858-cold-hard-secret
Into Darkness (Night Prowler, #6)	J.T. Geissinger	4.40	1,263	https://www.goodreads.com/book/show/22046835-into-darkness
Marked (Dark Protectors, #7)	Rebecca Zanetti	4.49	5,595	https://www.goodreads.com/book/show/20632650-marked
Wolf's Fall (Alpha Pack, #6)	J.D. Tyler	4.07	1,474	https://www.goodreads.com/book/show/20649133-wolf-s-fall
Chosen (The Warrior Chronicles #1)	K.F. Breene	3.98	18,444	https://www.goodreads.com/book/show/22573420-chosen
Revenant (Greywalker, #9)	Kat Richardson	4.00	1,421	https://www.goodreads.com/book/show/18693921-revenant
Rebel (Cat Star Chronicles, #10)	Cheryl Brooks	4.04	502	https://www.goodreads.com/book/show/18509605-rebel
Free Agent (Grimm Agency, #1)	J.C. Nelson	3.61	1,677	https://www.goodreads.com/book/show/20650531-free-agent
Secrets (Fierce Hearts #1)	Lynn Crandall	3.88	25	https://www.goodreads.com/book/show/23062288-secrets
Low Midnight (Kitty Norville, #13)	Carrie Vaughn	3.85	2,764	https://www.goodreads.com/book/show/18273946-low-midnight
Hero of a Highland Wolf (Heart of the Wolf #14; Highland Wolf #4)	Terry Spear	4.24	755	https://www.goodreads.com/book/show/18487186-hero-of-a-highland-wolf
Black Spring (Black Wings, #7)	Christina Henry	4.13	1,614	https://www.goodreads.com/book/show/21406652-black-spring
The Shadows of Stormclyffe Hall (Dark Seductions, #1)	Lauren Smith	4.19	335	https://www.goodreads.com/book/show/23165581-the-shadows-of-stormclyffe-hall
Hot Blooded (Dark Kings, #4)	Donna Grant	4.30	1,913	https://www.goodreads.com/book/show/21917866-hot-blooded
Roaring Up the Wrong Tree (Grayslake, #3)	Celia Kyle	4.23	2,655	https://www.goodreads.com/book/show/22892097-roaring-up-the-wrong-tree
A Highland Wolf Christmas (Heart of the Wolf #15; Highland Wolf #5)	Terry Spear	4.14	702	https://www.goodreads.com/book/show/18487189-a-highland-wolf-christmas
House Immortal (House Immortal, #1)	Devon Monk	3.88	2,616	https://www.goodreads.com/book/show/20821206-house-immortal
Kodiak's Claim (Kodiak Point, #1)	Eve Langlais	3.87	5,803	https://www.goodreads.com/book/show/22588093-kodiak-s-claim
To Love a King (Court of Annwyn, #3)	Shona Husk	3.71	121	https://www.goodreads.com/book/show/17969495-to-love-a-king
Heart Fire (Celta's Heartmates, #13)	Robin D. Owens	4.12	921	https://www.goodreads.com/book/show/20893335-heart-fire
Love Me to Death (Underveil, #1)	Marissa Clarke	3.98	552	https://www.goodreads.com/book/show/20696013-love-me-to-death
Ghost Layer (Ghost Seer, #2)	Robin D. Owens	3.81	715	https://www.goodreads.com/book/show/20821163-ghost-layer
Haunted (Bishop/Special Crimes Unit #15; Haven #3)	Kay Hooper	3.99	3,518	https://www.goodreads.com/book/show/20821386-haunted
The Ripper Affair (Bannon & Clare, #3)	Lilith Saintcrow	3.85	908	https://www.goodreads.com/book/show/18459434-the-ripper-affair
Twisted (Eternal Guardians, #7)	Elisabeth Naughton	4.33	2,430	https://www.goodreads.com/book/show/18488933-twisted
A Secret to Die For (Secret McQueen #8)	Sierra Dean	4.09	925	https://www.goodreads.com/book/show/15995860-a-secret-to-die-for
Downfall (Cal Leandros, #9)	Rob Thurman	4.15	1,715	https://www.goodreads.com/book/show/19366810-downfall
Enslaved By the Others (H&W Investigations, #6)	Jess Haines	3.89	636	https://www.goodreads.com/book/show/18693994-enslaved-by-the-others
Four Days (Seven, #4; Mageriverse #10)	Dannika Dark	4.38	8,399	https://www.goodreads.com/book/show/23869022-four-days
The Highlander Next Door (Spellbound Falls, #6)	Janet Chapman	4.16	1,485	https://www.goodreads.com/book/show/18281991-the-highlander-next-door
"Universal Alien (Katherine ""Kitty"" Katt, #10)"	Gini Koch	4.41	768	https://www.goodreads.com/book/show/21912247-universal-alien
Watch Over You	Mason Sabre	4.55	134	https://www.goodreads.com/book/show/23245726-watch-over-you
The Waking (Ruin, #1)	Lucian Bane	3.95	752	https://www.goodreads.com/book/show/23005802-the-waking
Outfoxed by Love (Kodiak Point, #2)	Eve Langlais	4.04	2,785	https://www.goodreads.com/book/show/22705040-outfoxed-by-love
A Cursed Bloodline (Weird Girls #4)	Cecy Robson	4.17	1,465	https://www.goodreads.com/book/show/22747267-a-cursed-bloodline
Summer Moon (Celtic Wolves, #2)	Jan DeLima	3.99	527	https://www.goodreads.com/book/show/20949447-summer-moon
Destiny Calling (The Enchantlings, #1)	Maureen L. Bonatch	4.22	23	https://www.goodreads.com/book/show/23593597-destiny-calling
Demons in My Driveway (Monster Haven, #5)	R.L. Naquin	4.11	549	https://www.goodreads.com/book/show/17657026-demons-in-my-driveway
Prince of Luster (Crimson Romance Series, #3)	Candace Sams	3.82	22	https://www.goodreads.com/book/show/22392720-prince-of-luster
Polar Bared (Kodiak Point, #3)	Eve Langlais	4.09	2,636	https://www.goodreads.com/book/show/23162406-polar-bared
Unchained (Men in Chains, #3)	Caris Roane	3.83	253	https://www.goodreads.com/book/show/20613801-unchained
Maplecroft (The Borden Dispatches #1)	Cherie Priest	3.59	4,382	https://www.goodreads.com/book/show/20821288-maplecroft
Unexpected Eden (Eden, #1)	Rhenna Morgan	3.80	932	https://www.goodreads.com/book/show/23269158-unexpected-eden
Administrative Control (Immortal Ops, #6)	Mandy M. Roth	4.18	1,363	https://www.goodreads.com/book/show/22040757-administrative-control
Assassins Bite (Biting Love, #8)	Mary Hughes	3.99	86	https://www.goodreads.com/book/show/22846778-assassins-bite
Highland Shifters: Paranormal Romance Boxed Set	Michelle Fox	4.09	664	https://www.goodreads.com/book/show/23123179-highland-shifters
Wounded (Rylee Adamson, #8)	Shannon Mayer	4.33	6,697	https://www.goodreads.com/book/show/22596552-wounded
The House of the Four Winds (One Dozen Daughters, #1)	Mercedes Lackey	3.56	2,731	https://www.goodreads.com/book/show/16059529-the-house-of-the-four-winds
Beauty's Beast	Amanda Ashley	3.40	913	https://www.goodreads.com/book/show/19083237-beauty-s-beast
Revelations (Ruin, #2)	Lucian Bane	4.34	360	https://www.goodreads.com/book/show/23287353-revelations
The Judgement (Ruin, #3)	Lucian Bane	4.31	263	https://www.goodreads.com/book/show/23343397-the-judgement
Dante-Part 1 (Guardian Archives, #2)	Jennifer Sage	4.30	53	https://www.goodreads.com/book/show/23521177-dante-part-1
September Moon (Alexa O'Brien, Huntress, #8)	Trina M. Lee	4.49	621	https://www.goodreads.com/book/show/21854850-september-moon
Hakan/Severin (Bayou Heat, #11-12)	Alexandra Ivy	4.20	1,051	https://www.goodreads.com/book/show/18188200-hakan-severin
Wickedly Dangerous (Baba Yaga, #1)	Deborah Blake	3.72	3,017	https://www.goodreads.com/book/show/20821001-wickedly-dangerous
Poison Fruit (Agent of Hel, #3)	Jacqueline Carey	3.89	4,028	https://www.goodreads.com/book/show/17340103-poison-fruit
A Vision in Velvet (A Witchcraft Mystery, #6)	Juliet Blackwell	4.10	3,703	https://www.goodreads.com/book/show/20414721-a-vision-in-velvet
Blade on the Hunt (Goddess with a Blade #3)	Lauren Dane	4.14	1,207	https://www.goodreads.com/book/show/22446786-blade-on-the-hunt
Dust and Light (The Sanctuary Duet, #1)	Carol Berg	4.10	1,076	https://www.goodreads.com/book/show/18683282-dust-and-light
Undead and Unwary (Undead, #13)	MaryJanice Davidson	3.63	2,177	https://www.goodreads.com/book/show/20893332-undead-and-unwary
Shifter's Claim (The Shadow Shifters, #4)	A.C. Arthur	4.19	212	https://www.goodreads.com/book/show/18525656-shifter-s-claim
Daring (Pax Arcana, #2)	Elliott James	3.98	3,426	https://www.goodreads.com/book/show/20454084-daring
Scent of Valor (Chronicles of Eorthe, #2)	Annie Nicholas	4.11	115	https://www.goodreads.com/book/show/22465660-scent-of-valor
The Hexed (Krewe of Hunters, #13)	Heather Graham	4.11	3,135	https://www.goodreads.com/book/show/18812409-the-hexed
Jinn and Juice (The Jinni, #1)	Nicole Peeler	3.58	862	https://www.goodreads.com/book/show/20746383-jinn-and-juice
Highland Wolf Pact (Highland Wolf Pact, #1)	Selena Kitt	3.62	2,456	https://www.goodreads.com/book/show/23235530-highland-wolf-pact
Ratha-The Magic Within (Guardian Archives, #1.5)	Jennifer Sage	4.17	60	https://www.goodreads.com/book/show/23253893-ratha-the-magic-within
Tall, Silent & Lethal (Pyte/Sentinel, #4)	R.L. Mathewson	4.34	5,678	https://www.goodreads.com/book/show/17353285-tall-silent-lethal
Prince of Pleasure (King of Prey, #5)	Mandy M. Roth	4.02	490	https://www.goodreads.com/book/show/16281741-prince-of-pleasure
Caribou's Gift (Kodiak Point, #3.5)	Eve Langlais	4.17	1,795	https://www.goodreads.com/book/show/23442007-caribou-s-gift
Wolf in Her Bed (Salvation Pack, #2)	N.J. Walters	3.93	613	https://www.goodreads.com/book/show/21845495-wolf-in-her-bed
From Fear to Eternity (Immortality Bites, #8; Immortality Bites Mystery, #3)	Michelle Rowen	4.16	341	https://www.goodreads.com/book/show/18303623-from-fear-to-eternity
Sacrificed to the Dragon: Part 1 (Stonefire Dragons, #1 part 1 of 4)	Jessie Donovan	3.80	2,636	https://www.goodreads.com/book/show/22717692-sacrificed-to-the-dragon
Drain Me (The Ellie Gray Chronicles #1)	Lana Sky	4.07	847	https://www.goodreads.com/book/show/23492125-drain-me
Bound by Fate (Moon Bound #1)	Mandy Lou Dowson	3.98	482	https://www.goodreads.com/book/show/22947404-bound-by-fate
One Bite Per Night (Scandals with Bite, #2)	Brooklyn Ann	3.94	497	https://www.goodreads.com/book/show/16099782-one-bite-per-night
Foxglove Summer (Rivers of London, #5)	Ben Aaronovitch	4.19	36,891	https://www.goodreads.com/book/show/20499240-foxglove-summer
Love at First Roar (Grayslake, #4)	Celia Kyle	4.19	2,699	https://www.goodreads.com/book/show/23206334-love-at-first-roar
Feral Sins (The Phoenix Pack, #1)	Suzanne Wright	4.03	48,009	https://www.goodreads.com/book/show/13522957-feral-sins
Guardian (Rylee Adamson, #6.5)	Shannon Mayer	4.43	3,186	https://www.goodreads.com/book/show/22847232-guardian
Must Love Breeches (Must Love, #1)	Angela Quarles	3.86	971	https://www.goodreads.com/book/show/22664678-must-love-breeches
Hunter's Trail (Scarlett Bernard, #3)	Melissa F. Olson	4.21	5,102	https://www.goodreads.com/book/show/18482782-hunter-s-trail
A Curse Awakened (Weird Girls #0.4)	Cecy Robson	4.03	487	https://www.goodreads.com/book/show/21917910-a-curse-awakened
Honor's Price (Warriors of the Mist, #3)	Alexis Morgan	4.03	216	https://www.goodreads.com/book/show/15738275-honor-s-price
Slade (The Protectors, #6)	Teresa Gabelman	4.52	3,854	https://www.goodreads.com/book/show/22051234-slade
Love Bites	Angela Knight	3.82	320	https://www.goodreads.com/book/show/20821075-love-bites
