title	author	ave_rating	no_rating	link
Hush, Hush (Hush, Hush, #1)	Becca Fitzpatrick	3.94	640,764	https://www.goodreads.com/book/show/6339664-hush-hush
Fallen (Fallen, #1)	Lauren Kate	3.72	543,805	https://www.goodreads.com/book/show/6487308-fallen
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,129	https://www.goodreads.com/book/show/3236307-graceling
Fire (Graceling Realm, #2)	Kristin Cashore	4.08	179,288	https://www.goodreads.com/book/show/6137154-fire
Nightshade (Nightshade, #1; Nightshade World, #4)	Andrea Cremer	3.99	87,217	https://www.goodreads.com/book/show/7402393-nightshade
Halo (Halo, #1)	Alexandra Adornetto	3.66	68,206	https://www.goodreads.com/book/show/7778981-halo
Unearthly (Unearthly, #1)	Cynthia Hand	4.00	130,709	https://www.goodreads.com/book/show/7488244-unearthly
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,249	https://www.goodreads.com/book/show/256683.City_of_Bones
The Reflections of Queen Snow White	David Meredith	3.93	424	https://www.goodreads.com/book/show/18780192-the-reflections-of-queen-snow-white
Torment (Fallen, #2)	Lauren Kate	3.85	228,302	https://www.goodreads.com/book/show/7740152-torment
Wildwood Dancing (Wildwood, #1)	Juliet Marillier	4.09	27,912	https://www.goodreads.com/book/show/13929.Wildwood_Dancing
Pure (Covenant, #2)	Jennifer L. Armentrout	4.28	66,335	https://www.goodreads.com/book/show/9761771-pure
Wicked Lovely (Wicked Lovely, #1)	Melissa Marr	3.69	171,346	https://www.goodreads.com/book/show/305234.Wicked_Lovely
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,097	https://www.goodreads.com/book/show/2767052-the-hunger-games
City of Ashes (The Mortal Instruments, #2)	Cassandra Clare	4.13	836,092	https://www.goodreads.com/book/show/1582996.City_of_Ashes
The Iron King (The Iron Fey, #1)	Julie Kagawa	3.88	212,566	https://www.goodreads.com/book/show/6644117-the-iron-king
The Eslites (The Eslite Chronicles, #0.5)	C.M. Doporto	3.76	242	https://www.goodreads.com/book/show/17202917-the-eslites
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,669	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Witch Song (Witch Song, #1)	Amber Argyle	3.68	5,381	https://www.goodreads.com/book/show/10400575-witch-song
Tigana	Guy Gavriel Kay	4.05	48,316	https://www.goodreads.com/book/show/104089.Tigana
Green (Green Universe #1)	Jay Lake	3.25	2,112	https://www.goodreads.com/book/show/6069970-green
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,983	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare	4.30	755,861	https://www.goodreads.com/book/show/7171637-clockwork-angel
Crescendo (Hush, Hush, #2)	Becca Fitzpatrick	4.00	303,743	https://www.goodreads.com/book/show/7791997-crescendo
Eyes Like Stars (Théâtre Illuminata, #1)	Lisa Mantchev	3.72	12,509	https://www.goodreads.com/book/show/3817859-eyes-like-stars
Ordo Lupus and the Temple Gate (An Ex Secret Agent Paranormal Investigator Thriller) Volume 1 of the Ordo Lupus and the Blood Moon Prophecy Series	Lazlo Ferran	4.18	50	https://www.goodreads.com/book/show/9110134-ordo-lupus-and-the-temple-gate-an-ex-secret-agent-paranormal-investigat
Firebird (Fairy Tales #1)	Mercedes Lackey	3.85	6,070	https://www.goodreads.com/book/show/176803.Firebird
City of Glass (The Mortal Instruments, #3)	Cassandra Clare	4.29	876,056	https://www.goodreads.com/book/show/3777732-city-of-glass
Angelology (Angelology, #1)	Danielle Trussoni	3.43	16,884	https://www.goodreads.com/book/show/6691426-angelology
Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)	Jessica Day George	3.93	32,989	https://www.goodreads.com/book/show/3697927-princess-of-the-midnight-ball
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,062	https://www.goodreads.com/book/show/7235533-the-way-of-kings
Open House (Pool of Souls, #1)	Krystal Shannan	3.92	315	https://www.goodreads.com/book/show/16054966-open-house
