title	author	ave_rating	no_rating	link
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,588	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,096	https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,639	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,790	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,539	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,572	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,953	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,805	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.54	746,469	https://www.goodreads.com/book/show/838729.The_Return_of_the_King
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,047	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	4.45	797,410	https://www.goodreads.com/book/show/222910.The_Two_Towers
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,912	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,348	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,107,109	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,060	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,305	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,546	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,986	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,876	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
The Lord of the Rings	J.R.R. Tolkien	4.50	609,988	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,528	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,106	https://www.goodreads.com/book/show/119322.The_Golden_Compass
A Dance with Dragons (A Song of Ice and Fire, #5)	George R.R. Martin	4.31	596,136	https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,097	https://www.goodreads.com/book/show/12067.Good_Omens
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,427	https://www.goodreads.com/book/show/30165203-american-gods
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.14	669,465	https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,045	https://www.goodreads.com/book/show/14497.Neverwhere
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,844	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,175	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,561,032	https://www.goodreads.com/book/show/113436.Eragon
The Princess Bride	William Goldman	4.25	835,220	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Stardust	Neil Gaiman	4.08	396,682	https://www.goodreads.com/book/show/16793.Stardust
A Wrinkle in Time (Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,212	https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,158	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Animal Farm	George Orwell	3.97	3,111,727	https://www.goodreads.com/book/show/170448.Animal_Farm
The Graveyard Book	Neil Gaiman	4.13	485,772	https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
Watership Down (Watership Down, #1)	Richard Adams	4.06	456,339	https://www.goodreads.com/book/show/76620.Watership_Down
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,227	https://www.goodreads.com/book/show/7896527-throne-of-glass
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,235	https://www.goodreads.com/book/show/256683.City_of_Bones
Dracula	Bram Stoker	4.00	1,050,939	https://www.goodreads.com/book/show/17245.Dracula
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,975	https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
Outlander (Outlander, #1)	Diana Gabaldon	4.23	914,978	https://www.goodreads.com/book/show/10964.Outlander
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice	4.00	522,977	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Alice in Wonderland	Jane Carruth	4.02	389,438	https://www.goodreads.com/book/show/13023.Alice_in_Wonderland
The Little Prince	Antoine de Saint-Exupéry	4.31	1,620,437	https://www.goodreads.com/book/show/157993.The_Little_Prince
The Subtle Knife (His Dark Materials, #2)	Philip Pullman	4.13	404,450	https://www.goodreads.com/book/show/41637836-the-subtle-knife
Matilda	Roald Dahl	4.32	756,387	https://www.goodreads.com/book/show/39988.Matilda
Charlie and the Chocolate Factory (Charlie Bucket, #1)	Roald Dahl	4.14	739,580	https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
Coraline	Neil Gaiman	4.06	558,802	https://www.goodreads.com/book/show/17061.Coraline
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,198	https://www.goodreads.com/book/show/43615.The_Gunslinger
The Magician's Nephew (Chronicles of Narnia, #6)	C.S. Lewis	4.04	461,382	https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
The Silmarillion	J.R.R. Tolkien	3.94	242,680	https://www.goodreads.com/book/show/7332.The_Silmarillion
