title	author	ave_rating	no_rating	link
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,129	https://www.goodreads.com/book/show/3236307-graceling
A Court of Mist and Fury (A Court of Thorns and Roses, #2)	Sarah J. Maas	4.59	563,276	https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,754	https://www.goodreads.com/book/show/60510.Poison_Study
The Golden Dynasty (Fantasyland, #2)	Kristen Ashley	4.38	28,851	https://www.goodreads.com/book/show/12458287-the-golden-dynasty
Lord of the Fading Lands (Tairen Soul, #1)	C.L. Wilson	3.99	19,764	https://www.goodreads.com/book/show/1584974.Lord_of_the_Fading_Lands
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,238	https://www.goodreads.com/book/show/7896527-throne-of-glass
Wildest Dreams (Fantasyland, #1)	Kristen Ashley	4.06	32,277	https://www.goodreads.com/book/show/12390650-wildest-dreams
Warprize (Chronicles of the Warlands, #1)	Elizabeth Vaughan	3.97	18,045	https://www.goodreads.com/book/show/78070.Warprize
A Court of Thorns and Roses (A Court of Thorns and Roses, #1)	Sarah J. Maas	4.18	792,851	https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
The Winter King (Weathermages of Mystral, #1)	C.L. Wilson	4.07	15,763	https://www.goodreads.com/book/show/10485751-the-winter-king
Master of Crows (Master of Crows, #1)	Grace Draven	3.94	15,583	https://www.goodreads.com/book/show/6811150-master-of-crows
Fire (Graceling Realm, #2)	Kristin Cashore	4.08	179,288	https://www.goodreads.com/book/show/6001758-fire
A Court of Wings and Ruin (A Court of Thorns and Roses, #3)	Sarah J. Maas	4.41	445,824	https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin
Radiance (Wraith Kings, #1)	Grace Draven	4.04	44,778	https://www.goodreads.com/book/show/24473763-radiance
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,679	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
Fantastical (Fantasyland, #3)	Kristen Ashley	4.26	19,620	https://www.goodreads.com/book/show/13005310-fantastical
Written in Red (The Others, #1)	Anne Bishop	4.24	56,015	https://www.goodreads.com/book/show/15711341-written-in-red
Touch of Power (Healer, #1)	Maria V. Snyder	4.14	43,795	https://www.goodreads.com/book/show/10445208-touch-of-power
Uprooted	Naomi Novik	4.04	202,134	https://www.goodreads.com/book/show/22544764-uprooted
Clockwork Princess (The Infernal Devices, #3)	Cassandra Clare	4.54	396,087	https://www.goodreads.com/book/show/6131164-clockwork-princess
Magic Study (Study #2)	Maria V. Snyder	4.02	78,126	https://www.goodreads.com/book/show/3462639-magic-study
Empire of Storms (Throne of Glass, #5)	Sarah J. Maas	4.52	279,364	https://www.goodreads.com/book/show/28260587-empire-of-storms
The Princess Bride	William Goldman	4.25	835,221	https://www.goodreads.com/book/show/21787.The_Princess_Bride
On the Edge (The Edge, #1)	Ilona Andrews	4.02	42,762	https://www.goodreads.com/book/show/6329547-on-the-edge
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,055	https://www.goodreads.com/book/show/68428.The_Final_Empire
Kingdom of Ash (Throne of Glass, #7)	Sarah J. Maas	4.57	204,492	https://www.goodreads.com/book/show/33590260-kingdom-of-ash
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,633	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Fire Study (Study, #3)	Maria V. Snyder	3.90	62,480	https://www.goodreads.com/book/show/1966969.Fire_Study
Entreat Me	Grace Draven	4.05	10,616	https://www.goodreads.com/book/show/18811222-entreat-me
Caller of Light	T.J. Shaw	3.57	1,042	https://www.goodreads.com/book/show/17159382-caller-of-light
Grave Mercy (His Fair Assassin, #1)	Robin LaFevers	3.88	110,418	https://www.goodreads.com/book/show/9565548-grave-mercy
A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)	Sarah J. Maas	3.81	277,716	https://www.goodreads.com/book/show/31076583-a-court-of-frost-and-starlight
The Demon King (Seven Realms, #1)	Cinda Williams Chima	4.11	78,573	https://www.goodreads.com/book/show/6342491-the-demon-king
The Night Circus	Erin Morgenstern	4.03	792,585	https://www.goodreads.com/book/show/9361589-the-night-circus
Air Awakens (Air Awakens, #1)	Elise Kova	4.01	34,874	https://www.goodreads.com/book/show/23127048-air-awakens
The Bird and the Sword (The Bird and the Sword Chronicles, #1)	Amy Harmon	4.21	34,039	https://www.goodreads.com/book/show/29008738-the-bird-and-the-sword
Finnikin of the Rock (Lumatere Chronicles, #1)	Melina Marchetta	3.86	50,449	https://www.goodreads.com/book/show/4932435-finnikin-of-the-rock
The Kiss of Deception (The Remnant Chronicles, #1)	Mary E. Pearson	3.96	112,190	https://www.goodreads.com/book/show/16429619-the-kiss-of-deception
The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)	Anne Bishop	4.39	13,251	https://www.goodreads.com/book/show/47953.The_Black_Jewels_Trilogy
Bayou Moon (The Edge, #2)	Ilona Andrews	4.06	28,884	https://www.goodreads.com/book/show/7130616-bayou-moon
A Promise of Fire (Kingmaker Chronicles, #1)	Amanda Bouchet	4.05	26,915	https://www.goodreads.com/book/show/27015399-a-promise-of-fire
Assassin's Gambit (Hearts and Thrones, #1)	Amy Raby	3.60	1,634	https://www.goodreads.com/book/show/15808673-assassin-s-gambit
Storm Glass (Glass, #1)	Maria V. Snyder	3.95	24,161	https://www.goodreads.com/book/show/6080889-storm-glass
The Girl of Fire and Thorns (Fire and Thorns, #1)	Rae Carson	3.79	78,685	https://www.goodreads.com/book/show/10429092-the-girl-of-fire-and-thorns
A Time of Reckoning (The Golden Key Legacy, #4)	A.J. Nuest	4.11	53	https://www.goodreads.com/book/show/23483723-a-time-of-reckoning
The Queen of Attolia (The Queen's Thief, #2)	Megan Whalen Turner	4.13	44,795	https://www.goodreads.com/book/show/40158.The_Queen_of_Attolia
Froi of the Exiles (Lumatere Chronicles, #2)	Melina Marchetta	4.29	16,750	https://www.goodreads.com/book/show/10165727-froi-of-the-exiles
Quintana of Charyn (Lumatere Chronicles, #3)	Melina Marchetta	4.31	14,293	https://www.goodreads.com/book/show/10165761-quintana-of-charyn
Heir of Fire (Throne of Glass, #3)	Sarah J. Maas	4.44	386,830	https://www.goodreads.com/book/show/20613470-heir-of-fire
Warlord (Chronicles of the Warlands, #3)	Elizabeth Vaughan	4.11	6,981	https://www.goodreads.com/book/show/68513.Warlord
Vengeance Born (The Light Blade, #1)	Kylie Griffin	3.67	2,109	https://www.goodreads.com/book/show/11475952-vengeance-born
Queen of Shadows (Throne of Glass, #4)	Sarah J. Maas	4.53	334,480	https://www.goodreads.com/book/show/18006496-queen-of-shadows
Fire Falling (Air Awakens, #2)	Elise Kova	4.17	22,721	https://www.goodreads.com/book/show/26047438-fire-falling
Crown of Midnight (Throne of Glass, #2)	Sarah J. Maas	4.36	459,056	https://www.goodreads.com/book/show/17167166-crown-of-midnight
The Winner's Curse (The Winner's Trilogy, #1)	Marie Rutkoski	3.94	108,845	https://www.goodreads.com/book/show/16069030-the-winner-s-curse
Lord of the Abyss (Royal House of Shadows, #4)	Nalini Singh	4.11	7,789	https://www.goodreads.com/book/show/10802904-lord-of-the-abyss
Heart's Blood	Juliet Marillier	4.09	15,106	https://www.goodreads.com/book/show/6278019-heart-s-blood
Tower of Dawn (Throne of Glass, #6)	Sarah J. Maas	4.29	189,744	https://www.goodreads.com/book/show/31450852-tower-of-dawn
A Court of Silver Flames (A Court of Thorns and Roses, #4)	Sarah J. Maas	4.39	204,257	https://www.goodreads.com/book/show/31050237-a-court-of-silver-flames
Fate's Edge (The Edge, #3)	Ilona Andrews	4.10	19,448	https://www.goodreads.com/book/show/10561549-fate-s-edge
Troubled Waters (Elemental Blessings, #1)	Sharon Shinn	4.01	9,157	https://www.goodreads.com/book/show/7908762-troubled-waters
Scent of Magic (Healer, #2)	Maria V. Snyder	4.12	23,114	https://www.goodreads.com/book/show/12027429-scent-of-magic
Kushiel's Chosen (Phèdre's Trilogy, #2)	Jacqueline Carey	4.23	41,732	https://www.goodreads.com/book/show/395962.Kushiel_s_Chosen
Eidolon (Wraith Kings, #2)	Grace Draven	4.13	15,809	https://www.goodreads.com/book/show/25056040-eidolon
Under the Never Sky (Under the Never Sky, #1)	Veronica Rossi	3.98	117,348	https://www.goodreads.com/book/show/12418648-under-the-never-sky
Elantris (Elantris, #1)	Brandon Sanderson	4.17	205,147	https://www.goodreads.com/book/show/68427.Elantris
Cruel Beauty	Rosamund Hodge	3.68	90,522	https://www.goodreads.com/book/show/15839984-cruel-beauty
Six of Crows (Six of Crows, #1)	Leigh Bardugo	4.47	566,941	https://www.goodreads.com/book/show/22294935-six-of-crows
Broken Dove (Fantasyland, #4)	Kristen Ashley	4.20	16,201	https://www.goodreads.com/book/show/15817351-broken-dove
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,135	https://www.goodreads.com/book/show/13831.Alanna
Kushiel's Avatar (Phèdre's Trilogy, #3)	Jacqueline Carey	4.37	34,184	https://www.goodreads.com/book/show/40223.Kushiel_s_Avatar
Spy's Honor (Hearts and Thrones, #2)	Amy Raby	3.81	521	https://www.goodreads.com/book/show/16072981-spy-s-honor
Hush, Hush (Hush, Hush, #1)	Becca Fitzpatrick	3.94	640,764	https://www.goodreads.com/book/show/6339664-hush-hush
Star of the Morning (Nine Kingdoms, #1)	Lynn Kurland	3.86	7,373	https://www.goodreads.com/book/show/50715.Star_of_the_Morning
Shield of Fire (Bringer and the Bane, #1)	Boone Brux	3.92	342	https://www.goodreads.com/book/show/12845132-shield-of-fire
Crown of Crystal Flame (Tairen Soul, #5)	C.L. Wilson	4.38	8,588	https://www.goodreads.com/book/show/7724257-crown-of-crystal-flame
Sea Glass (Glass, #2)	Maria V. Snyder	4.00	18,990	https://www.goodreads.com/book/show/6351939-sea-glass
Stolen Songbird (The Malediction Trilogy, #1)	Danielle L. Jensen	3.91	25,420	https://www.goodreads.com/book/show/19245069-stolen-songbird
Kushiel's Scion (Imriel's Trilogy, #1)	Jacqueline Carey	4.21	20,494	https://www.goodreads.com/book/show/153007.Kushiel_s_Scion
Fantasy of Flight (The Tainted Accords, #2)	Kelly St. Clare	4.32	8,209	https://www.goodreads.com/book/show/24866809-fantasy-of-flight
King of Scars (King of Scars, #1)	Leigh Bardugo	4.19	107,583	https://www.goodreads.com/book/show/36307634-king-of-scars
Kiss of the Betrayer (Bringer and the Bane, #2)	Boone Brux	3.96	282	https://www.goodreads.com/book/show/15103450-kiss-of-the-betrayer
The Bridge Kingdom (The Bridge Kingdom, #1)	Danielle L. Jensen	4.10	42,894	https://www.goodreads.com/book/show/43383182-the-bridge-kingdom
The Fairy Godmother (Five Hundred Kingdoms, #1)	Mercedes Lackey	3.98	17,626	https://www.goodreads.com/book/show/13982.The_Fairy_Godmother
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	Laini Taylor	3.98	352,469	https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
The Curse of Chalion (World of the Five Gods, #1)	Lois McMaster Bujold	4.10	39,542	https://www.goodreads.com/book/show/395967.The_Curse_of_Chalion
My Lady Mage (Warriors of the Mist, #1)	Alexis Morgan	3.54	975	https://www.goodreads.com/book/show/12648008-my-lady-mage
The Crimson Crown (Seven Realms, #4)	Cinda Williams Chima	4.47	40,136	https://www.goodreads.com/book/show/8069828-the-crimson-crown
Kushiel's Justice (Imriel's Trilogy, #2)	Jacqueline Carey	4.26	18,247	https://www.goodreads.com/book/show/40217.Kushiel_s_Justice
Elvish (The Elvish Trilogy, #1)	S.G. Prince	4.05	1,573	https://www.goodreads.com/book/show/41746914-elvish
Mystic and Rider (Twelve Houses, #1)	Sharon Shinn	4.09	9,828	https://www.goodreads.com/book/show/97967.Mystic_and_Rider
King of Sword and Sky (Tairen Soul, #3)	C.L. Wilson	4.28	10,425	https://www.goodreads.com/book/show/3307144-king-of-sword-and-sky
Queen of Song and Souls (Tairen Soul, #4)	C.L. Wilson	4.28	8,938	https://www.goodreads.com/book/show/3354025-queen-of-song-and-souls
Beguilement (The Sharing Knife, #1)	Lois McMaster Bujold	3.75	11,896	https://www.goodreads.com/book/show/61898.Beguilement
House of Earth and Blood (Crescent City, #1)	Sarah J. Maas	4.44	185,352	https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood
Kushiel's Mercy (Imriel's Trilogy, #3)	Jacqueline Carey	4.32	16,792	https://www.goodreads.com/book/show/2152871.Kushiel_s_Mercy
Naamah's Kiss (Naamah Trilogy, #1)	Jacqueline Carey	4.12	13,698	https://www.goodreads.com/book/show/5659537-naamah-s-kiss
Steel's Edge (The Edge, #4)	Ilona Andrews	4.19	17,258	https://www.goodreads.com/book/show/12119496-steel-s-edge
Lady of Light and Shadows (Tairen Soul, #2)	C.L. Wilson	4.27	12,957	https://www.goodreads.com/book/show/1651313.Lady_of_Light_and_Shadows
The False Prince (Ascendance, #1)	Jennifer A. Nielsen	4.17	89,329	https://www.goodreads.com/book/show/12432220-the-false-prince
A Soul for Trouble (Soulbearer, #1)	Crista McHugh	3.78	1,477	https://www.goodreads.com/book/show/13400139-a-soul-for-trouble
A Soul For Chaos (Soulbearer, #2)	Crista McHugh	3.98	596	https://www.goodreads.com/book/show/16037986-a-soul-for-chaos
Untitled (A Court of Thorns and Roses, #5)	Sarah J. Maas	4.36	799	https://www.goodreads.com/book/show/31050358-untitled
Warcry (Chronicles of the Warlands, #4)	Elizabeth Vaughan	3.94	2,197	https://www.goodreads.com/book/show/9765207-warcry
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,048	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
Rhapsodic (The Bargainer, #1)	Laura Thalassa	4.00	73,243	https://www.goodreads.com/book/show/25820414-rhapsodic
The Well of Shades (The Bridei Chronicles, #3)	Juliet Marillier	4.26	6,137	https://www.goodreads.com/book/show/13926.The_Well_of_Shades
The Wicked King (The Folk of the Air, #2)	Holly Black	4.33	291,619	https://www.goodreads.com/book/show/26032887-the-wicked-king
Silence (Hush, Hush, #3)	Becca Fitzpatrick	4.09	265,206	https://www.goodreads.com/book/show/10637766-silence
Her Knight's Quest (Warriors of the Mist, #2)	Alexis Morgan	3.84	316	https://www.goodreads.com/book/show/13647567-her-knight-s-quest
The Winner's Crime (The Winner's Trilogy, #2)	Marie Rutkoski	4.08	63,503	https://www.goodreads.com/book/show/20443207-the-winner-s-crime
Warrior's Woman (Ly-San-Ter, #1)	Johanna Lindsey	4.01	9,096	https://www.goodreads.com/book/show/763774.Warrior_s_Woman
The King of Attolia (The Queen's Thief, #3)	Megan Whalen Turner	4.38	35,472	https://www.goodreads.com/book/show/40159.The_King_of_Attolia
Tangled Web (Deizian Empire, #1)	Crista McHugh	3.73	693	https://www.goodreads.com/book/show/13549029-tangled-web
The Blue Sword (Damar, #1)	Robin McKinley	4.17	62,607	https://www.goodreads.com/book/show/407813.The_Blue_Sword
A Soul For Vengeance (Soulbearer, #3)	Crista McHugh	3.97	406	https://www.goodreads.com/book/show/17820506-a-soul-for-vengeance
Naamah's Curse (Moirin Trilogy, #2)	Jacqueline Carey	4.14	10,443	https://www.goodreads.com/book/show/7100759-naamah-s-curse
Snow Like Ashes (Snow Like Ashes, #1)	Sara Raasch	3.87	71,312	https://www.goodreads.com/book/show/20799220-snow-like-ashes
From Blood and Ash (Blood and Ash, #1)	Jennifer L. Armentrout	4.30	194,738	https://www.goodreads.com/book/show/52831200-from-blood-and-ash
Fallen (Fallen, #1)	Lauren Kate	3.72	543,805	https://www.goodreads.com/book/show/6487308-fallen
The Cruel Prince (The Folk of the Air, #1)	Holly Black	4.09	460,783	https://www.goodreads.com/book/show/26032825-the-cruel-prince
Crescendo (Hush, Hush, #2)	Becca Fitzpatrick	4.00	303,743	https://www.goodreads.com/book/show/7791997-crescendo
The Winner's Kiss (The Winner's Trilogy, #3)	Marie Rutkoski	4.23	44,878	https://www.goodreads.com/book/show/20443235-the-winner-s-kiss
Mortal Heart (His Fair Assassin, #3)	Robin LaFevers	4.11	23,026	https://www.goodreads.com/book/show/20522640-mortal-heart
The Fire Lord's Lover (The Elven Lords, #1)	Kathryne Kennedy	3.51	3,813	https://www.goodreads.com/book/show/7268566-the-fire-lord-s-lover
