title	author	ave_rating	no_rating	link
The Lord of the Rings	J.R.R. Tolkien	4.50	609,963	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Harry Potter Series Box Set (Harry Potter, #1-7)	J.K. Rowling	4.72	268,379	https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,656	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,528	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,404	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,127	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
His Dark Materials (His Dark Materials #1-3)	Philip Pullman	4.25	154,954	https://www.goodreads.com/book/show/18116.His_Dark_Materials
The Princess Bride	William Goldman	4.25	835,194	https://www.goodreads.com/book/show/21787.The_Princess_Bride
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,972	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,389	https://www.goodreads.com/book/show/30165203-american-gods
Twilight (The Twilight Saga, #1)	Stephenie Meyer	3.62	5,501,404	https://www.goodreads.com/book/show/41865.Twilight
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,173	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,632	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,673	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	481,991	https://www.goodreads.com/book/show/68428.The_Final_Empire
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,955	https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,806	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,618	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,021	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,793	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
The Silmarillion	J.R.R. Tolkien	3.94	242,670	https://www.goodreads.com/book/show/7332.The_Silmarillion
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,018	https://www.goodreads.com/book/show/14497.Neverwhere
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,414	https://www.goodreads.com/book/show/518848.Sabriel
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,049	https://www.goodreads.com/book/show/12067.Good_Omens
Stardust	Neil Gaiman	4.08	396,659	https://www.goodreads.com/book/show/16793.Stardust
Daughter of the Blood (The Black Jewels, #1)	Anne Bishop	4.03	41,546	https://www.goodreads.com/book/show/47956.Daughter_of_the_Blood
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,782	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
The Last Unicorn (The Last Unicorn, #1)	Peter S. Beagle	4.14	104,677	https://www.goodreads.com/book/show/29127.The_Last_Unicorn
The Neverending Story	Michael Ende	4.15	185,042	https://www.goodreads.com/book/show/27712.The_Neverending_Story
Outlander (Outlander, #1)	Diana Gabaldon	4.23	914,924	https://www.goodreads.com/book/show/10964.Outlander
The Inheritance Cycle	Christopher Paolini	4.24	33,607	https://www.goodreads.com/book/show/6623428-the-inheritance-cycle
Watership Down (Watership Down, #1)	Richard Adams	4.06	456,330	https://www.goodreads.com/book/show/76620.Watership_Down
The Host (The Host, #1)	Stephenie Meyer	3.85	953,782	https://www.goodreads.com/book/show/1656001.The_Host
The Once and Future King (The Once and Future King, #1-4)	T.H. White	4.04	109,121	https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
Dracula	Bram Stoker	4.00	1,050,857	https://www.goodreads.com/book/show/17245.Dracula
Inkheart (Inkworld, #1)	Cornelia Funke	3.89	405,111	https://www.goodreads.com/book/show/28194.Inkheart
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,276	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,746	https://www.goodreads.com/book/show/60510.Poison_Study
Assassin's Quest (Farseer Trilogy, #3)	Robin Hobb	4.17	133,174	https://www.goodreads.com/book/show/33396914-assassin-s-quest
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,649	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
Jonathan Strange & Mr Norrell	Susanna Clarke	3.83	222,173	https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)	Cassandra Clare	4.56	66,553	https://www.goodreads.com/book/show/6485421-the-mortal-instruments-boxed-set
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,050,833	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Dragonflight (Dragonriders of Pern, #1)	Anne McCaffrey	4.08	135,668	https://www.goodreads.com/book/show/61975.Dragonflight
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,956	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,181	https://www.goodreads.com/book/show/43615.The_Gunslinger
The Tombs of Atuan (Earthsea Cycle, #2)	Ursula K. Le Guin	4.08	102,074	https://www.goodreads.com/book/show/13662.The_Tombs_of_Atuan
The Sword of Shannara (The Original Shannara Trilogy, #1)	Terry Brooks	3.76	93,860	https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara
Preludes & Nocturnes (The Sandman, #1)	Neil Gaiman	4.22	234,579	https://www.goodreads.com/book/show/23754.Preludes_Nocturnes
Coraline	Neil Gaiman	4.06	558,756	https://www.goodreads.com/book/show/17061.Coraline
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,153	https://www.goodreads.com/book/show/256683.City_of_Bones
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,099	https://www.goodreads.com/book/show/3236307-graceling
Royal Assassin (Farseer Trilogy, #2)	Robin Hobb	4.22	167,228	https://www.goodreads.com/book/show/25300956-royal-assassin
