title	author	ave_rating	no_rating	link
Luck in the Shadows (Nightrunner, #1)	Lynn Flewelling	4.08	19,576	https://www.goodreads.com/book/show/74270.Luck_in_the_Shadows
Captive Prince (Captive Prince, #1)	C.S. Pacat	3.82	73,557	https://www.goodreads.com/book/show/9305362-captive-prince
Magic's Pawn (The Last Herald-Mage #1)	Mercedes Lackey	4.21	24,956	https://www.goodreads.com/book/show/28759.Magic_s_Pawn
Stalking Darkness (Nightrunner, #2)	Lynn Flewelling	4.25	14,114	https://www.goodreads.com/book/show/74275.Stalking_Darkness
Traitor's Moon (Nightrunner, #3)	Lynn Flewelling	4.12	10,697	https://www.goodreads.com/book/show/74273.Traitor_s_Moon
Captive Prince: Volume Two (Captive Prince, #2)	C.S. Pacat	4.38	50,954	https://www.goodreads.com/book/show/17158513-captive-prince
Magic's Price (The Last Herald-Mage #3)	Mercedes Lackey	4.27	20,394	https://www.goodreads.com/book/show/28734.Magic_s_Price
The Song of Achilles	Madeline Miller	4.41	565,058	https://www.goodreads.com/book/show/11250317-the-song-of-achilles
Carry On (Simon Snow, #1)	Rainbow Rowell	4.19	260,410	https://www.goodreads.com/book/show/32768522-carry-on
Lord of the White Hell, Book 1 (Lord of the White Hell, #1)	Ginn Hale	4.04	4,743	https://www.goodreads.com/book/show/8017244-lord-of-the-white-hell-book-1
Magic's Promise (The Last Herald-Mage #2)	Mercedes Lackey	4.22	19,869	https://www.goodreads.com/book/show/28760.Magic_s_Promise
Wicked Gentlemen	Ginn Hale	3.98	4,053	https://www.goodreads.com/book/show/1636228.Wicked_Gentlemen
Kings Rising (Captive Prince, #3)	C.S. Pacat	4.43	43,568	https://www.goodreads.com/book/show/17158532-kings-rising
Swordspoint (Riverside, #1)	Ellen Kushner	3.79	9,333	https://www.goodreads.com/book/show/68485.Swordspoint
Shadows Return (Nightrunner, #4)	Lynn Flewelling	4.01	7,300	https://www.goodreads.com/book/show/2065091.Shadows_Return
The God Eaters	Jesse Hajicek	4.11	3,123	https://www.goodreads.com/book/show/613268.The_God_Eaters
The Magpie Lord (A Charm of Magpies, #1)	K.J. Charles	4.07	15,260	https://www.goodreads.com/book/show/34715150-the-magpie-lord
Lord of the White Hell, Book 2 (Lord of the White Hell, #2)	Ginn Hale	4.18	3,873	https://www.goodreads.com/book/show/8782738-lord-of-the-white-hell-book-2
Scarlet and the White Wolf (Scarlet and the White Wolf, #1)	Kirby Crow	3.77	3,523	https://www.goodreads.com/book/show/3236813-scarlet-and-the-white-wolf
The Steel Remains (A Land Fit for Heroes, #1)	Richard K. Morgan	3.74	15,500	https://www.goodreads.com/book/show/3314369-the-steel-remains
The White Road (Nightrunner, #5)	Lynn Flewelling	3.98	5,964	https://www.goodreads.com/book/show/6290240-the-white-road
Mélusine (Doctrine of Labyrinths, #1)	Sarah Monette	3.64	4,107	https://www.goodreads.com/book/show/492069.M_lusine
The Lightning-Struck Heart (Tales From Verania, #1)	T.J. Klune	4.42	11,136	https://www.goodreads.com/book/show/24468673-the-lightning-struck-heart
Bloodraven (Bloodraven, #1)	P.L. Nunn	3.99	3,973	https://www.goodreads.com/book/show/6617506-bloodraven
Widdershins (Whyborne & Griffin, #1)	Jordan L. Hawk	4.10	8,170	https://www.goodreads.com/book/show/16128152-widdershins
Wraeththu (Wraeththu #1-3)	Storm Constantine	3.94	2,600	https://www.goodreads.com/book/show/176711.Wraeththu
Truth in the Dark	Amy Lane	3.96	3,929	https://www.goodreads.com/book/show/8262461-truth-in-the-dark
The Virtu (Doctrine of Labyrinths, #2)	Sarah Monette	4.01	2,944	https://www.goodreads.com/book/show/219811.The_Virtu
Casket of Souls (Nightrunner, #6)	Lynn Flewelling	4.17	4,577	https://www.goodreads.com/book/show/10184855-casket-of-souls
Smoke and Shadows (Tony Foster #1)	Tanya Huff	3.78	3,120	https://www.goodreads.com/book/show/338121.Smoke_and_Shadows
The Land of Night (Scarlet and the White Wolf, #3)	Kirby Crow	3.92	1,882	https://www.goodreads.com/book/show/3332300-the-land-of-night
The Shattered Gates (Rifter #1)	Ginn Hale	3.78	2,336	https://www.goodreads.com/book/show/10428720-the-shattered-gates
Mariner's Luck (Scarlet and the White Wolf, #2)	Kirby Crow	3.87	2,248	https://www.goodreads.com/book/show/3236819-mariner-s-luck
The Fire's Stone	Tanya Huff	3.99	3,265	https://www.goodreads.com/book/show/338131.The_Fire_s_Stone
Prisoner (Kria, #1)	Megan Derr	3.97	2,700	https://www.goodreads.com/book/show/11116507-prisoner
The Vampire Lestat (The Vampire Chronicles, #2)	Anne Rice	4.06	187,705	https://www.goodreads.com/book/show/43814.The_Vampire_Lestat
Dynasty of Ghosts	P.L. Nunn	3.92	1,468	https://www.goodreads.com/book/show/7132358-dynasty-of-ghosts
Sebastian (Family of Lies, #1)	Sam Argent	3.98	3,409	https://www.goodreads.com/book/show/25072476-sebastian
Havemercy (Havemercy #1)	Jaida Jones	3.62	2,692	https://www.goodreads.com/book/show/2305862.Havemercy
A Companion to Wolves (Iskryne World, #1)	Sarah Monette	3.66	2,725	https://www.goodreads.com/book/show/333356.A_Companion_to_Wolves
The Archer's Heart	Astrid Amara	4.02	793	https://www.goodreads.com/book/show/3876546-the-archer-s-heart
The Privilege of the Sword (Riverside, #2)	Ellen Kushner	3.92	5,036	https://www.goodreads.com/book/show/821583.The_Privilege_of_the_Sword
Counterpoint (Song of the Fallen, #1)	Rachel Haimowitz	3.75	3,450	https://www.goodreads.com/book/show/8748031-counterpoint
Hero	Perry Moore	3.87	17,778	https://www.goodreads.com/book/show/1251032.Hero
Lost Souls	Poppy Z. Brite	3.90	16,869	https://www.goodreads.com/book/show/452244.Lost_Souls
Kei's Gift (Darshian Tales, #1)	Ann Somerville	3.88	1,240	https://www.goodreads.com/book/show/6513184-kei-s-gift
A Case of Possession (A Charm of Magpies, #2)	K.J. Charles	4.21	9,123	https://www.goodreads.com/book/show/18074870-a-case-of-possession
The Cold Commands (A Land Fit for Heroes, #2)	Richard K. Morgan	3.95	8,458	https://www.goodreads.com/book/show/4703553-the-cold-commands
Cethe	Becca Abbott	3.74	1,348	https://www.goodreads.com/book/show/7186426-cethe
Sacred Fate (Chronicles of Ylandre #1)	Eressë	3.99	2,150	https://www.goodreads.com/book/show/6935632-sacred-fate
The Mirador (Doctrine of Labyrinths, #3)	Sarah Monette	3.99	2,009	https://www.goodreads.com/book/show/219812.The_Mirador
Smoke and Ashes (Tony Foster #3)	Tanya Huff	4.03	2,257	https://www.goodreads.com/book/show/489718.Smoke_and_Ashes
Kirith Kirin	Jim Grimsley	3.78	1,020	https://www.goodreads.com/book/show/220753.Kirith_Kirin
Glimpses: A Collection of Nightrunner Short Stories	Lynn Flewelling	3.92	2,568	https://www.goodreads.com/book/show/9368252-glimpses
Shards of Time (Nightrunner, #7)	Lynn Flewelling	4.29	3,204	https://www.goodreads.com/book/show/18006456-shards-of-time
A Strong and Sudden Thaw (A Strong and Sudden Thaw, #1)	R.W. Day	3.84	1,036	https://www.goodreads.com/book/show/881851.A_Strong_and_Sudden_Thaw
Drawing Blood	Poppy Z. Brite	4.02	9,831	https://www.goodreads.com/book/show/47588.Drawing_Blood
Corambis (Doctrine of Labyrinths, #4)	Sarah Monette	4.06	1,788	https://www.goodreads.com/book/show/3437354-corambis
Smoke and Mirrors (Tony Foster #2)	Tanya Huff	4.05	2,385	https://www.goodreads.com/book/show/176408.Smoke_and_Mirrors
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice	4.00	522,952	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Duck! (Avian Shifters, #1)	Kim Dare	3.78	5,487	https://www.goodreads.com/book/show/8178400-duck
Ghost (Wolf's-own, #1)	Carole Cummings	3.89	872	https://www.goodreads.com/book/show/12890704-ghost
Strange Fortune	Josh Lanyon	3.74	1,615	https://www.goodreads.com/book/show/7116458-strange-fortune
Bound (Kria, #2)	Megan Derr	4.13	1,022	https://www.goodreads.com/book/show/9369433-bound
True of Heart (The Draegan Lords, #1)	M.L. Rhodes	3.80	1,920	https://www.goodreads.com/book/show/5822651-true-of-heart
Nor Iron Bars a Cage	Kaje Harper	4.10	2,812	https://www.goodreads.com/book/show/18003646-nor-iron-bars-a-cage
Dance with the Devil	Megan Derr	4.01	2,747	https://www.goodreads.com/book/show/6286927-dance-with-the-devil
Imajica	Clive Barker	4.17	21,411	https://www.goodreads.com/book/show/567704.Imajica
The Fall of the Kings (Riverside, #3)	Ellen Kushner	3.65	2,178	https://www.goodreads.com/book/show/20002.The_Fall_of_the_Kings
The Devil's Fire (The Kingdom of Orielle, #1)	Sara Bell	3.76	1,206	https://www.goodreads.com/book/show/2890682-the-devil-s-fire
The Bastard Prince (Kria, #3)	Megan Derr	4.01	1,046	https://www.goodreads.com/book/show/7903473-the-bastard-prince
Gaven (Gaven, #1)	J.C. Owens	3.72	2,718	https://www.goodreads.com/book/show/6690546-gaven
The Cat in the Cradle (Loka Legends, #1)	Jay Bell	3.82	768	https://www.goodreads.com/book/show/7963986-the-cat-in-the-cradle
The Iron Temple (Rifter, #9)	Ginn Hale	4.41	1,011	https://www.goodreads.com/book/show/12859004-the-iron-temple
Dragon Slayer (The Empty Crown #1)	Isabella Carter	3.81	1,614	https://www.goodreads.com/book/show/17791691-dragon-slayer
