title	author	ave_rating	no_rating	link
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,595	https://www.goodreads.com/book/show/71811.Moon_Called
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,875	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,983	https://www.goodreads.com/book/show/38619.Magic_Bites
Dead Until Dark (Sookie Stackhouse, #1)	Charlaine Harris	3.96	523,128	https://www.goodreads.com/book/show/301082.Dead_Until_Dark
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward	4.16	316,716	https://www.goodreads.com/book/show/42899.Dark_Lover
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,160	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,306	https://www.goodreads.com/book/show/345627.Vampire_Academy
Darkfever (Fever, #1)	Karen Marie Moning	4.04	176,904	https://www.goodreads.com/book/show/112750.Darkfever
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,249	https://www.goodreads.com/book/show/256683.City_of_Bones
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,412	https://www.goodreads.com/book/show/47212.Storm_Front
Twilight (The Twilight Saga, #1)	Stephenie Meyer	3.62	5,501,838	https://www.goodreads.com/book/show/41865.Twilight
Cry Wolf (Alpha & Omega, #1)	Patricia Briggs	4.11	96,561	https://www.goodreads.com/book/show/2355575.Cry_Wolf
Guilty Pleasures (Anita Blake, Vampire Hunter, #1)	Laurell K. Hamilton	4.01	141,271	https://www.goodreads.com/book/show/30281.Guilty_Pleasures
Bitten (Otherworld, #1)	Kelley Armstrong	4.00	101,861	https://www.goodreads.com/book/show/11918.Bitten
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice	4.00	522,976	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Angels' Blood (Guild Hunter, #1)	Nalini Singh	4.06	86,931	https://www.goodreads.com/book/show/3819326-angels-blood
Some Girls Bite (Chicagoland Vampires, #1)	Chloe Neill	3.98	63,405	https://www.goodreads.com/book/show/4447622-some-girls-bite
Marked (House of Night, #1)	P.C. Cast	3.80	466,020	https://www.goodreads.com/book/show/30183.Marked
Slave to Sensation (Psy-Changeling, #1)	Nalini Singh	4.07	70,493	https://www.goodreads.com/book/show/178476.Slave_to_Sensation
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,429	https://www.goodreads.com/book/show/4407.American_Gods
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,050	https://www.goodreads.com/book/show/14497.Neverwhere
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,097	https://www.goodreads.com/book/show/2767052-the-hunger-games
Kitty and the Midnight Hour (Kitty Norville #1)	Carrie Vaughn	3.67	33,727	https://www.goodreads.com/book/show/14461.Kitty_and_the_Midnight_Hour
Stray (Shifters, #1)	Rachel Vincent	3.77	37,652	https://www.goodreads.com/book/show/793399.Stray
The Darkest Night (Lords of the Underworld, #1)	Gena Showalter	4.05	82,920	https://www.goodreads.com/book/show/476543.The_Darkest_Night
Succubus Blues (Georgina Kincaid, #1)	Richelle Mead	3.93	56,566	https://www.goodreads.com/book/show/235718.Succubus_Blues
Glass Houses (The Morganville Vampires, #1)	Rachel Caine	3.90	102,199	https://www.goodreads.com/book/show/27266.Glass_Houses
First Grave on the Right (Charley Davidson, #1)	Darynda Jones	4.00	84,217	https://www.goodreads.com/book/show/8788554-first-grave-on-the-right
Hounded (The Iron Druid Chronicles, #1)	Kevin Hearne	4.07	86,301	https://www.goodreads.com/book/show/9533378-hounded
First Drop of Crimson (Night Huntress World, #1)	Jeaniene Frost	4.13	56,784	https://www.goodreads.com/book/show/6547187-first-drop-of-crimson
Hush, Hush (Hush, Hush, #1)	Becca Fitzpatrick	3.94	640,764	https://www.goodreads.com/book/show/6339664-hush-hush
Skinwalker (Jane Yellowrock, #1)	Faith Hunter	3.91	37,442	https://www.goodreads.com/book/show/5585788-skinwalker
Undead and Unwed (Undead, #1)	MaryJanice Davidson	3.80	57,519	https://www.goodreads.com/book/show/421129.Undead_and_Unwed
Kiss of Midnight (Midnight Breed, #1)	Lara Adrian	3.92	65,328	https://www.goodreads.com/book/show/704043.Kiss_of_Midnight
Spider's Bite (Elemental Assassin, #1)	Jennifer Estep	3.87	34,890	https://www.goodreads.com/book/show/6611038-spider-s-bite
A Kiss of Shadows (Merry Gentry, #1)	Laurell K. Hamilton	4.00	57,376	https://www.goodreads.com/book/show/139417.A_Kiss_of_Shadows
Soulless (Parasol Protectorate, #1)	Gail Carriger	3.87	112,730	https://www.goodreads.com/book/show/6381205-soulless
Touch the Dark (Cassandra Palmer, #1)	Karen Chance	3.71	36,687	https://www.goodreads.com/book/show/67513.Touch_the_Dark
Written in Red (The Others, #1)	Anne Bishop	4.24	56,015	https://www.goodreads.com/book/show/15711341-written-in-red
Rosemary and Rue (October Daye, #1)	Seanan McGuire	3.76	36,430	https://www.goodreads.com/book/show/6294549-rosemary-and-rue
Once Burned (Night Prince, #1)	Jeaniene Frost	4.19	66,349	https://www.goodreads.com/book/show/7039218-once-burned
Grave Witch (Alex Craft, #1)	Kalayna Price	3.93	33,298	https://www.goodreads.com/book/show/7823038-grave-witch
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,570	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Witching Hour (Lives of the Mayfair Witches, #1)	Anne Rice	4.10	107,900	https://www.goodreads.com/book/show/11901.The_Witching_Hour
On the Edge (The Edge, #1)	Ilona Andrews	4.02	42,762	https://www.goodreads.com/book/show/6329547-on-the-edge
Tithe (Modern Faerie Tales, #1)	Holly Black	3.71	92,396	https://www.goodreads.com/book/show/46777.Tithe
Midnight's Daughter (Dorina Basarab, #1)	Karen Chance	4.00	19,230	https://www.goodreads.com/book/show/3072254-midnight-s-daughter
Dragon Bound (Elder Races, #1)	Thea Harrison	4.07	48,465	https://www.goodreads.com/book/show/9637479-dragon-bound
Pleasure Unbound (Demonica, #1)	Larissa Ione	4.03	54,380	https://www.goodreads.com/book/show/2679633-pleasure-unbound
Storm Born (Dark Swan, #1)	Richelle Mead	3.87	33,336	https://www.goodreads.com/book/show/2754510-storm-born
Mermen (The Mermen Trilogy, #1)	Mimi Jean Pamfiloff	3.71	2,543	https://www.goodreads.com/book/show/24958079-mermen
Grave Sight (Harper Connelly, #1)	Charlaine Harris	3.85	64,086	https://www.goodreads.com/book/show/58077.Grave_Sight
Beautiful Creatures (Caster Chronicles, #1)	Kami Garcia	3.76	578,490	https://www.goodreads.com/book/show/6304335-beautiful-creatures
You Slay Me (Aisling Grey #1)	Katie MacAlister	3.96	23,652	https://www.goodreads.com/book/show/50750.You_Slay_Me
Awakening the Fire (Guardian Witch, #1)	Ally Shields	3.80	1,223	https://www.goodreads.com/book/show/16008403-awakening-the-fire
Sunshine	Robin McKinley	3.84	41,437	https://www.goodreads.com/book/show/8088.Sunshine
The Cursed (The Cursed #1)	Iyanna Orr	4.51	63	https://www.goodreads.com/book/show/34331083-the-cursed
Working for the Devil (Dante Valentine, #1)	Lilith Saintcrow	3.80	12,364	https://www.goodreads.com/book/show/277897.Working_for_the_Devil
Fallen (Fallen, #1)	Lauren Kate	3.72	543,805	https://www.goodreads.com/book/show/6487308-fallen
Stardust	Neil Gaiman	4.08	396,685	https://www.goodreads.com/book/show/16793.Stardust
Magic to the Bone (Allie Beckstrom, #1)	Devon Monk	3.66	12,896	https://www.goodreads.com/book/show/3241366-magic-to-the-bone
Covet (Fallen Angels, #1)	J.R. Ward	3.90	50,164	https://www.goodreads.com/book/show/6289920-covet
A Quick Bite (Argeneau #1)	Lynsay Sands	3.90	43,465	https://www.goodreads.com/book/show/38568.A_Quick_Bite
Ill Wind (Weather Warden, #1)	Rachel Caine	3.73	18,513	https://www.goodreads.com/book/show/86451.Ill_Wind
Dark Prince (Dark, #1)	Christine Feehan	3.99	56,007	https://www.goodreads.com/book/show/28866.Dark_Prince
Urban Shaman (Walker Papers, #1)	C.E. Murphy	3.73	14,548	https://www.goodreads.com/book/show/297929.Urban_Shaman
How to Marry a Millionaire Vampire (Love at Stake, #1)	Kerrelyn Sparks	3.84	37,197	https://www.goodreads.com/book/show/263179.How_to_Marry_a_Millionaire_Vampire
Nightlife (Cal Leandros #1)	Rob Thurman	3.64	13,029	https://www.goodreads.com/book/show/421007.Nightlife
The Warlord Wants Forever (Immortals After Dark, #0.5)	Kresley Cole	4.04	59,289	https://www.goodreads.com/book/show/6388558-the-warlord-wants-forever
A Discovery of Witches (All Souls Trilogy, #1)	Deborah Harkness	4.00	430,262	https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
Night Watch (Watch #1)	Sergei Lukyanenko	3.98	41,062	https://www.goodreads.com/book/show/359375.Night_Watch
Evermore (The Immortals, #1)	Alyson Noel	3.59	284,804	https://www.goodreads.com/book/show/3975774-evermore
Unholy Ghosts (Downside Ghosts, #1)	Stacia Kane	3.65	18,014	https://www.goodreads.com/book/show/6261189-unholy-ghosts
Red-Headed Stepchild (Sabina Kane, #1)	Jaye Wells	3.70	16,692	https://www.goodreads.com/book/show/6056520-red-headed-stepchild
