title	author	ave_rating	no_rating	link
A Court of Mist and Fury (A Court of Thorns and Roses, #2)	Sarah J. Maas	4.59	563,089	https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
A Court of Thorns and Roses (A Court of Thorns and Roses, #1)	Sarah J. Maas	4.18	792,596	https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
A Court of Wings and Ruin (A Court of Thorns and Roses, #3)	Sarah J. Maas	4.41	445,658	https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,871	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward	4.16	316,701	https://www.goodreads.com/book/show/42899.Dark_Lover
Darkfever (Fever, #1)	Karen Marie Moning	4.04	176,896	https://www.goodreads.com/book/show/112750.Darkfever
Rhapsodic (The Bargainer, #1)	Laura Thalassa	4.00	73,220	https://www.goodreads.com/book/show/25820414-rhapsodic
Lothaire (Immortals After Dark, #11)	Kresley Cole	4.36	44,946	https://www.goodreads.com/book/show/10790516-lothaire
Empire of Storms (Throne of Glass, #5)	Sarah J. Maas	4.52	279,323	https://www.goodreads.com/book/show/28260587-empire-of-storms
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,979	https://www.goodreads.com/book/show/38619.Magic_Bites
A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)	Sarah J. Maas	3.81	277,588	https://www.goodreads.com/book/show/31076583-a-court-of-frost-and-starlight
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,144	https://www.goodreads.com/book/show/7896527-throne-of-glass
A Hunger Like No Other (Immortals After Dark, #1)	Kresley Cole	4.12	77,308	https://www.goodreads.com/book/show/14384.A_Hunger_Like_No_Other
Radiance (Wraith Kings, #1)	Grace Draven	4.04	44,774	https://www.goodreads.com/book/show/24473763-radiance
Lover Eternal (Black Dagger Brotherhood, #2)	J.R. Ward	4.32	183,245	https://www.goodreads.com/book/show/35729.Lover_Eternal
A Promise of Fire (Kingmaker Chronicles, #1)	Amanda Bouchet	4.05	26,912	https://www.goodreads.com/book/show/27015399-a-promise-of-fire
Kingdom of Ash (Throne of Glass, #7)	Sarah J. Maas	4.57	204,445	https://www.goodreads.com/book/show/33590260-kingdom-of-ash
Wildest Dreams (Fantasyland, #1)	Kristen Ashley	4.06	32,277	https://www.goodreads.com/book/show/12390650-wildest-dreams
Heir of Fire (Throne of Glass, #3)	Sarah J. Maas	4.44	386,775	https://www.goodreads.com/book/show/20613470-heir-of-fire
Angels' Blood (Guild Hunter, #1)	Nalini Singh	4.06	86,927	https://www.goodreads.com/book/show/3819326-angels-blood
Queen of Shadows (Throne of Glass, #4)	Sarah J. Maas	4.53	334,426	https://www.goodreads.com/book/show/18006496-queen-of-shadows
