title	author	ave_rating	no_rating	link
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,158	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,610	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,658	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Charlie and the Chocolate Factory (Charlie Bucket, #1)	Roald Dahl	4.14	739,580	https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
A Wrinkle in Time (Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,212	https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Phantom Tollbooth	Norton Juster	4.16	271,593	https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth
Matilda	Roald Dahl	4.32	756,393	https://www.goodreads.com/book/show/39988.Matilda
Alice's Adventures in Wonderland / Through the Looking-Glass	Lewis Carroll	4.06	501,231	https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
Peter Pan	J.M. Barrie	4.02	315,041	https://www.goodreads.com/book/show/34268.Peter_Pan
The Wonderful Wizard of Oz (Oz, #1)	L. Frank Baum	3.97	410,658	https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
Winnie-the-Pooh (Winnie-the-Pooh, #1)	A.A. Milne	4.31	299,387	https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
Ella Enchanted (Ella Enchanted #1)	Gail Carson Levine	3.98	408,266	https://www.goodreads.com/book/show/24337.Ella_Enchanted
The Little Prince	Antoine de Saint-Exupéry	4.31	1,620,437	https://www.goodreads.com/book/show/157993.The_Little_Prince
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,539	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,106	https://www.goodreads.com/book/show/119322.The_Golden_Compass
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,844	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
The Neverending Story	Michael Ende	4.15	185,050	https://www.goodreads.com/book/show/27712.The_Neverending_Story
Charlotte's Web	E.B. White	4.18	1,571,392	https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,953	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
