title	author	ave_rating	no_rating	link
Tower Lord (Raven's Shadow, #2)	Anthony Ryan	4.17	43,106	https://www.goodreads.com/book/show/18138189-tower-lord
Prince of Fools (The Red Queen's War, #1)	Mark Lawrence	4.06	28,857	https://www.goodreads.com/book/show/18191460-prince-of-fools
The Broken Eye (Lightbringer, #3)	Brent Weeks	4.46	55,315	https://www.goodreads.com/book/show/12652457-the-broken-eye
The Martian	Andy Weir	4.40	926,707	https://www.goodreads.com/book/show/18007564-the-martian
Half a King (Shattered Sea, #1)	Joe Abercrombie	3.95	58,986	https://www.goodreads.com/book/show/18666047-half-a-king
The Crimson Campaign (Powder Mage, #2)	Brian McClellan	4.36	31,281	https://www.goodreads.com/book/show/17608111-the-crimson-campaign
Skin Game (The Dresden Files, #15)	Jim Butcher	4.56	75,853	https://www.goodreads.com/book/show/19486421-skin-game
The Emperor's Blades (Chronicle of the Unhewn Throne, #1)	Brian Staveley	4.05	40,893	https://www.goodreads.com/book/show/17910124-the-emperor-s-blades
Fool's Assassin (The Fitz and The Fool Trilogy, #1)	Robin Hobb	4.39	46,202	https://www.goodreads.com/book/show/18658063-fool-s-assassin
The Girl with All the Gifts (The Girl with All the Gifts, #1)	M.R. Carey	3.94	205,227	https://www.goodreads.com/book/show/17235026-the-girl-with-all-the-gifts
Traitor's Blade (Greatcoats, #1)	Sebastien de Castell	4.05	19,268	https://www.goodreads.com/book/show/18947303-traitor-s-blade
Red Rising (Red Rising Saga, #1)	Pierce Brown	4.23	293,760	https://www.goodreads.com/book/show/15839976-red-rising
Hollow World	Michael J. Sullivan	3.75	4,855	https://www.goodreads.com/book/show/19084955-hollow-world
The Shadow Throne (The Shadow Campaigns, #2)	Django Wexler	4.12	10,187	https://www.goodreads.com/book/show/18657632-the-shadow-throne
The Magician's Land (The Magicians, #3)	Lev Grossman	4.12	73,534	https://www.goodreads.com/book/show/19103097-the-magician-s-land
The Fell Sword (The Traitor Son Cycle, #2)	Miles Cameron	4.25	9,259	https://www.goodreads.com/book/show/17737893-the-fell-sword
Shattered (The Iron Druid Chronicles, #7)	Kevin Hearne	4.28	28,126	https://www.goodreads.com/book/show/16280678-shattered
Annihilation	Jeff VanderMeer	3.73	177,132	https://www.goodreads.com/book/show/17934530-annihilation
Cibola Burn (The Expanse, #4)	James S.A. Corey	4.19	80,012	https://www.goodreads.com/book/show/18656030-cibola-burn
Lock In (Lock In, #1)	John Scalzi	3.90	63,046	https://www.goodreads.com/book/show/21418013-lock-in
City of Stairs (The Divine Cities, #1)	Robert Jackson Bennett	4.04	34,042	https://www.goodreads.com/book/show/20174424-city-of-stairs
The Goblin Emperor (The Goblin Emperor, #1)	Katherine Addison	4.02	36,633	https://www.goodreads.com/book/show/17910048-the-goblin-emperor
Broken Homes (Peter Grant, #4)	Ben Aaronovitch	4.16	41,352	https://www.goodreads.com/book/show/18210706-broken-homes
A Different Alchemy (The Great De-evolution)	Chris Dietzel	3.94	315	https://www.goodreads.com/book/show/18877920-a-different-alchemy
The Widow's House (The Dagger and the Coin, #4)	Daniel Abraham	4.07	7,503	https://www.goodreads.com/book/show/18458800-the-widow-s-house
Valor (The Faithful and the Fallen, #2)	John Gwynne	4.40	14,812	https://www.goodreads.com/book/show/18513718-valor
Bird Box (Bird Box, #1)	Josh Malerman	4.02	164,833	https://www.goodreads.com/book/show/18498558-bird-box
Clariel (Abhorsen, #4)	Garth Nix	3.85	23,626	https://www.goodreads.com/book/show/20662728-clariel
The Scarlet Tides (Moontide Quartet, #2)	David Hair	4.23	2,688	https://www.goodreads.com/book/show/18486037-the-scarlet-tides
The Undead Pool (The Hollows, #12)	Kim Harrison	4.44	27,000	https://www.goodreads.com/book/show/17285883-the-undead-pool
Ancillary Sword (Imperial Radch, #2)	Ann Leckie	4.06	47,041	https://www.goodreads.com/book/show/20706284-ancillary-sword
Mayhem	Sarah Pinborough	3.56	2,956	https://www.goodreads.com/book/show/17213020-mayhem
The First Fifteen Lives of Harry August	Claire North	4.01	78,733	https://www.goodreads.com/book/show/18295861-the-first-fifteen-lives-of-harry-august
The Gospel of Loki (Loki, #1)	Joanne M. Harris	3.74	12,076	https://www.goodreads.com/book/show/18665033-the-gospel-of-loki
Breach Zone (Shadow Ops, #3)	Myke Cole	3.99	2,559	https://www.goodreads.com/book/show/17888311-breach-zone
Rogues	George R.R. Martin	3.89	21,935	https://www.goodreads.com/book/show/20168816-rogues
The Desert Spear (Demon Cycle, #2)	Peter V. Brett	4.18	85,171	https://www.goodreads.com/book/show/6736971-the-desert-spear
The Tower Broken (Tower and Knife Trilogy, #3)	Mazarkis Williams	3.74	243	https://www.goodreads.com/book/show/16687056-the-tower-broken
The Three (The Three, #1)	Sarah Lotz	3.31	13,241	https://www.goodreads.com/book/show/18453110-the-three
Authority	Jeff VanderMeer	3.53	68,521	https://www.goodreads.com/book/show/18077769-authority
Foxglove Summer (Rivers of London, #5)	Ben Aaronovitch	4.19	36,892	https://www.goodreads.com/book/show/20499240-foxglove-summer
Revival	Stephen King	3.79	109,043	https://www.goodreads.com/book/show/19196719-revival
Sword of the North (Grim Company, #2)	Luke Scull	4.07	3,608	https://www.goodreads.com/book/show/18114110-sword-of-the-north
The Serpent of Venice	Christopher Moore	3.84	15,873	https://www.goodreads.com/book/show/18089900-the-serpent-of-venice
Station Eleven	Emily St. John Mandel	4.05	373,612	https://www.goodreads.com/book/show/20170404-station-eleven
Influx	Daniel Suarez	3.93	15,991	https://www.goodreads.com/book/show/18114057-influx
Blood and Iron (The Book of the Black Earth #1)	Jon Sprunk	3.56	1,093	https://www.goodreads.com/book/show/18077958-blood-and-iron
Written in My Own Heart's Blood (Outlander, #8)	Diana Gabaldon	4.53	105,922	https://www.goodreads.com/book/show/11710373-written-in-my-own-heart-s-blood
Hollow City (Miss Peregrine’s Peculiar Children, #2)	Ransom Riggs	4.03	226,513	https://www.goodreads.com/book/show/12396528-hollow-city
Your Brother's Blood (The Walkin' Trilogy, #1)	David Towsey	3.55	169	https://www.goodreads.com/book/show/18147268-your-brother-s-blood
London Falling (Shadow Police, #1)	Paul Cornell	3.76	7,383	https://www.goodreads.com/book/show/15779584-london-falling
The Barrow (The Barrow, #1)	Mark Smylie	3.43	1,332	https://www.goodreads.com/book/show/18050226-the-barrow
Veil of the Deserters (Bloodsounder's Arc, #2)	Jeff Salyards	4.01	1,194	https://www.goodreads.com/book/show/17318676-veil-of-the-deserters
Sand Omnibus (Sand, #1-5)	Hugh Howey	3.97	24,947	https://www.goodreads.com/book/show/20509356-sand-omnibus
The Mirror Empire (Worldbreaker Saga, #1)	Kameron Hurley	3.50	4,664	https://www.goodreads.com/book/show/20646731-the-mirror-empire
Seal of the Worm (Shadows of the Apt, #10)	Adrian Tchaikovsky	4.34	1,121	https://www.goodreads.com/book/show/20491017-seal-of-the-worm
The Lascar's Dagger (The Forsaken Lands, #1)	Glenda Larke	3.80	840	https://www.goodreads.com/book/show/17899422-the-lascar-s-dagger
The Last Town (Wayward Pines, #3)	Blake Crouch	4.08	53,552	https://www.goodreads.com/book/show/20423680-the-last-town
Shards of Time (Nightrunner, #7)	Lynn Flewelling	4.29	3,204	https://www.goodreads.com/book/show/18006456-shards-of-time
Irenicon (The Wave Trilogy, #1)	Aidan Harte	3.35	211	https://www.goodreads.com/book/show/12992433-irenicon
Defenders	Will McIntosh	3.61	1,680	https://www.goodreads.com/book/show/18453098-defenders
Valour and Vanity (Glamourist Histories, #4)	Mary Robinette Kowal	3.98	2,642	https://www.goodreads.com/book/show/12987423-valour-and-vanity
Honor's Knight (Paradox, #2)	Rachel Bach	3.98	8,845	https://www.goodreads.com/book/show/16131473-honor-s-knight
The Long Mars (The Long Earth, #3)	Terry Pratchett	3.75	13,848	https://www.goodreads.com/book/show/18586487-the-long-mars
Project Butterfly (Project Butterfly #1)	K.A. Angliss	4.23	57	https://www.goodreads.com/book/show/25267761-project-butterfly
The Peripheral (Jackpot #1)	William Gibson	3.94	22,914	https://www.goodreads.com/book/show/20821159-the-peripheral
The Iron Wolves (The Rage of Kings, #1)	Andy Remic	3.40	468	https://www.goodreads.com/book/show/17737063-the-iron-wolves
The Troop	Nick Cutter	3.80	40,252	https://www.goodreads.com/book/show/17571466-the-troop
The Knight (High Kingdom, #1)	Pierre Pevel	3.95	481	https://www.goodreads.com/book/show/18665096-the-knight
Help for the Haunted	John Searles	3.59	13,485	https://www.goodreads.com/book/show/17348985-help-for-the-haunted
The Getaway God (Sandman Slim, #6)	Richard Kadrey	4.18	7,166	https://www.goodreads.com/book/show/18456381-the-getaway-god
Echopraxia (Firefall, #2)	Peter Watts	3.85	7,883	https://www.goodreads.com/book/show/18490708-echopraxia
Symbiont (Parasitology, #2)	Mira Grant	3.69	6,143	https://www.goodreads.com/book/show/13641108-symbiont
Dämoren (Valducan, #1)	Seth Skorkowsky	3.91	1,145	https://www.goodreads.com/book/show/21847571-d-moren
The Shadow of What Was Lost (The Licanius Trilogy, #1)	James Islington	4.14	34,120	https://www.goodreads.com/book/show/22878967-the-shadow-of-what-was-lost
The Leopard (Marakand, #1)	K.V. Johansen	3.51	246	https://www.goodreads.com/book/show/18457901-the-leopard
Moth and Spark	Anne Leonard	3.19	1,144	https://www.goodreads.com/book/show/16239655-moth-and-spark
Saga, Vol. 4	Brian K. Vaughan	4.42	71,849	https://www.goodreads.com/book/show/23093367-saga-vol-4
A Plunder of Souls (Thieftaker Chronicles, #3)	D.B. Jackson	3.98	574	https://www.goodreads.com/book/show/18490652-a-plunder-of-souls
The High Druid's Blade (The Defenders of Shannara, #1)	Terry Brooks	3.93	5,253	https://www.goodreads.com/book/show/18077816-the-high-druid-s-blade
Lagoon	Nnedi Okorafor	3.63	6,683	https://www.goodreads.com/book/show/18753656-lagoon
Hawk (Vlad Taltos, #14)	Steven Brust	4.32	2,837	https://www.goodreads.com/book/show/20519003-hawk
The Falcon Throne	Karen Miller	3.45	765	https://www.goodreads.com/book/show/18482268-the-falcon-throne
Robogenesis (Robopocalypse, #2)	Daniel H. Wilson	3.70	5,785	https://www.goodreads.com/book/show/18490786-robogenesis
Sass & Sorcery (Rat Queens, #1)	Kurtis J. Wiebe	4.08	42,832	https://www.goodreads.com/book/show/20299683-sass-sorcery
The Waking Engine	David Edison	3.16	838	https://www.goodreads.com/book/show/17910112-the-waking-engine
Moon's Artifice	Tom Lloyd	3.67	409	https://www.goodreads.com/book/show/19257777-moon-s-artifice
The Shattered Crown (Steelhaven, #2)	Richard S. Ford	3.92	810	https://www.goodreads.com/book/show/19487669-the-shattered-crown
The Brothers Cabal (Johannes Cabal, #4)	Jonathan L. Howard	4.36	3,880	https://www.goodreads.com/book/show/20613481-the-brothers-cabal
Horrorstör	Grady Hendrix	3.65	46,064	https://www.goodreads.com/book/show/13129925-horrorst-r
Chasers of the Wind (The Cycle of Wind and Sparks, #1)	Alexey Pehov	4.17	905	https://www.goodreads.com/book/show/18490614-chasers-of-the-wind
The Beating of His Wings (The Left Hand of God, #3)	Paul Hoffman	3.61	4,805	https://www.goodreads.com/book/show/15997975-the-beating-of-his-wings
The Blasted Lands (Seven Forges, #2)	James A. Moore	3.84	1,681	https://www.goodreads.com/book/show/20263205-the-blasted-lands
The Wicked (Something Red, #2)	Douglas Nicholas	3.99	338	https://www.goodreads.com/book/show/18122779-the-wicked
Son of the Morning (Banners of Blood, #1)	Mark Alder	3.64	593	https://www.goodreads.com/book/show/17680025-son-of-the-morning
Hyde	Daniel Levine	3.40	1,245	https://www.goodreads.com/book/show/18222768-hyde
Music City Macabre (The Low Lying Lands #1)	Bob Williams	4.02	44	https://www.goodreads.com/book/show/28107439-music-city-macabre
Bald New World	Peter Tieryas Liu	3.70	246	https://www.goodreads.com/book/show/18760990-bald-new-world
Dead West Omnibus One	Tim Marquitz	3.82	22	https://www.goodreads.com/book/show/22546289-dead-west-omnibus-one
The Causal Angel (Jean le Flambeur, #3)	Hannu Rajaniemi	4.21	4,905	https://www.goodreads.com/book/show/18190723-the-causal-angel
Sparrow Hill Road (Ghost Roads, #1)	Seanan McGuire	3.94	5,861	https://www.goodreads.com/book/show/17666976-sparrow-hill-road
Three Princes	Ramona Wheeler	2.87	214	https://www.goodreads.com/book/show/17910119-three-princes
Tomorrow and Tomorrow	Tom Sweterlitsch	3.57	1,788	https://www.goodreads.com/book/show/18693738-tomorrow-and-tomorrow
The House of the Four Winds (One Dozen Daughters, #1)	Mercedes Lackey	3.56	2,731	https://www.goodreads.com/book/show/16059529-the-house-of-the-four-winds
The Boy with the Porcelain Blade (Erebus Sequence, #1)	Den Patrick	3.31	1,051	https://www.goodreads.com/book/show/19106050-the-boy-with-the-porcelain-blade
Koko Takes a Holiday (EBK, #1)	Kieran Shea	3.53	1,088	https://www.goodreads.com/book/show/18490895-koko-takes-a-holiday
The Scorched Earth (The Chaos Born, #2)	Drew Karpyshyn	3.94	411	https://www.goodreads.com/book/show/18691009-the-scorched-earth
The Copper Promise (The Copper Cat, #1)	Jen Williams	3.64	2,928	https://www.goodreads.com/book/show/18667112-the-copper-promise
The White Towers (The Rage of Kings, #2)	Andy Remic	3.87	181	https://www.goodreads.com/book/show/18773681-the-white-towers
