title	author	ave_rating	no_rating	link
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,680	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings	J.R.R. Tolkien	4.60	119,662	https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,539	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,026	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,131	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,819	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,001	https://www.goodreads.com/book/show/68428.The_Final_Empire
His Dark Materials (His Dark Materials #1-3)	Philip Pullman	4.25	154,956	https://www.goodreads.com/book/show/18116.His_Dark_Materials
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,560,954	https://www.goodreads.com/book/show/113436.Eragon
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,958	https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,792	https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,182	https://www.goodreads.com/book/show/43615.The_Gunslinger
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,650	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,604	https://www.goodreads.com/book/show/944073.The_Blade_Itself
The Silmarillion	J.R.R. Tolkien	3.94	242,672	https://www.goodreads.com/book/show/7332.The_Silmarillion
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,143	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
The Princess Bride	William Goldman	4.25	835,202	https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)	David Eddings	4.28	15,268	https://www.goodreads.com/book/show/44660.The_Belgariad_Boxed_Set
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,973	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
Magician: Apprentice (The Riftwar Saga, #1)	Raymond E. Feist	4.14	91,481	https://www.goodreads.com/book/show/13812.Magician
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,143	https://www.goodreads.com/book/show/40605251-the-mists-of-avalon
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,415	https://www.goodreads.com/book/show/518848.Sabriel
The Night Angel Trilogy (Night Angel, #1-3)	Brent Weeks	4.42	24,963	https://www.goodreads.com/book/show/6122735-the-night-angel-trilogy
Prince of Thorns (The Broken Empire, #1)	Mark Lawrence	3.85	105,386	https://www.goodreads.com/book/show/9579634-prince-of-thorns
The Dragonriders of Pern (Dragonriders of Pern, #1-3)	Anne McCaffrey	4.25	28,606	https://www.goodreads.com/book/show/61942.The_Dragonriders_of_Pern
The Warded Man (Demon Cycle, #1)	Peter V. Brett	4.23	117,925	https://www.goodreads.com/book/show/3428935-the-warded-man
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,103	https://www.goodreads.com/book/show/3236307-graceling
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,059	https://www.goodreads.com/book/show/12067.Good_Omens
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,164	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
Words of Radiance (The Stormlight Archive, #2)	Brandon Sanderson	4.73	251,510	https://www.goodreads.com/book/show/17332218-words-of-radiance
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,674	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
Redwall (Redwall, #1)	Brian Jacques	4.10	114,106	https://www.goodreads.com/book/show/7996.Redwall
Dragonlance Chronicles (Dragonlance #1-3)	Margaret Weis	4.23	20,230	https://www.goodreads.com/book/show/68380.Dragonlance_Chronicles
Furies of Calderon (Codex Alera, #1)	Jim Butcher	4.10	104,132	https://www.goodreads.com/book/show/29396.Furies_of_Calderon
Blood Song (Raven's Shadow, #1)	Anthony Ryan	4.37	81,699	https://www.goodreads.com/book/show/13569581-blood-song
The Dark Elf Trilogy Collector's Edition (Forgotten Realms: Dark Elf Trilogy, #1-3; Legend of Drizzt, #1-3)	R.A. Salvatore	4.34	26,830	https://www.goodreads.com/book/show/68418.The_Dark_Elf_Trilogy_Collector_s_Edition
The Earthsea Trilogy (Earthsea Cycle, #1-3)	Ursula K. Le Guin	4.27	19,355	https://www.goodreads.com/book/show/1170158.The_Earthsea_Trilogy
The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)	Tad Williams	3.94	68,898	https://www.goodreads.com/book/show/91981.The_Dragonbone_Chair
The Black Prism (Lightbringer, #1)	Brent Weeks	4.21	112,858	https://www.goodreads.com/book/show/7165300-the-black-prism
The Sword of Shannara Trilogy (Shannara, #1-3)	Terry Brooks	3.96	22,643	https://www.goodreads.com/book/show/478894.The_Sword_of_Shannara_Trilogy
Fool's Errand (Tawny Man, #1)	Robin Hobb	4.29	84,522	https://www.goodreads.com/book/show/68488.Fool_s_Errand
The Neverending Story	Michael Ende	4.15	185,040	https://www.goodreads.com/book/show/27712.The_Neverending_Story
Theft of Swords (The Riyria Revelations, #1-2)	Michael J. Sullivan	4.18	63,619	https://www.goodreads.com/book/show/10790290-theft-of-swords
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,131	https://www.goodreads.com/book/show/13831.Alanna
The Great Book of Amber (The Chronicles of Amber, #1-10)	Roger Zelazny	4.31	24,787	https://www.goodreads.com/book/show/5367.The_Great_Book_of_Amber
Tigana	Guy Gavriel Kay	4.05	48,316	https://www.goodreads.com/book/show/104089.Tigana
Warbreaker (Warbreaker, #1)	Brandon Sanderson	4.27	143,179	https://www.goodreads.com/book/show/1268479.Warbreaker
The Once and Future King (The Once and Future King, #1-4)	T.H. White	4.04	109,121	https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
Ship of Magic (Liveship Traders, #1)	Robin Hobb	4.14	71,896	https://www.goodreads.com/book/show/45100.Ship_of_Magic
His Majesty's Dragon (Temeraire, #1)	Naomi Novik	4.03	90,494	https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon
The Chronicles of Thomas Covenant, the Unbeliever (The Chronicles of Thomas Covenant the Unbeliever, #1-3)	Stephen R. Donaldson	3.80	14,745	https://www.goodreads.com/book/show/179033.The_Chronicles_of_Thomas_Covenant_the_Unbeliever
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,786	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
The Black Company (The Chronicles of the Black Company, #1)	Glen Cook	3.90	48,014	https://www.goodreads.com/book/show/140671.The_Black_Company
The Chronicles of Prydain (The Chronicles of Prydain #1-5)	Lloyd Alexander	4.41	6,917	https://www.goodreads.com/book/show/463063.The_Chronicles_of_Prydain
The Dark Is Rising (The Dark is Rising, #2)	Susan Cooper	4.05	53,669	https://www.goodreads.com/book/show/210329.The_Dark_Is_Rising
The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)	Anne Bishop	4.39	13,250	https://www.goodreads.com/book/show/47953.The_Black_Jewels_Trilogy
The Blue Sword (Damar, #1)	Robin McKinley	4.17	62,606	https://www.goodreads.com/book/show/407813.The_Blue_Sword
The Children of Húrin	J.R.R. Tolkien	3.97	74,927	https://www.goodreads.com/book/show/597790.The_Children_of_H_rin
The Magicians' Guild (Black Magician Trilogy, #1)	Trudi Canavan	3.93	80,120	https://www.goodreads.com/book/show/28249.The_Magicians_Guild
The Crystal Cave (Arthurian Saga, #1)	Mary Stewart	4.13	43,269	https://www.goodreads.com/book/show/82192.The_Crystal_Cave
The Amulet of Samarkand (Bartimaeus, #1)	Jonathan Stroud	3.99	127,168	https://www.goodreads.com/book/show/334123.The_Amulet_of_Samarkand
The Odyssey	Homer	3.78	931,180	https://www.goodreads.com/book/show/1381.The_Odyssey
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,632	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
The Fionavar Tapestry (The Fionavar Tapestry #1-3)	Guy Gavriel Kay	4.22	7,023	https://www.goodreads.com/book/show/1148721.The_Fionavar_Tapestry
The Eyes of the Dragon	Stephen King	3.93	114,789	https://www.goodreads.com/book/show/10611.The_Eyes_of_the_Dragon
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,127	https://www.goodreads.com/book/show/7896527-throne-of-glass
The Ruins of Gorlan (Ranger's Apprentice, #1)	John Flanagan	4.21	138,189	https://www.goodreads.com/book/show/60400.The_Ruins_of_Gorlan
Elric of Melniboné (The Elric Saga, #1)	Michael Moorcock	3.89	24,123	https://www.goodreads.com/book/show/30036.Elric_of_Melnibon_
The Last Wish (The Witcher, #0.5)	Andrzej Sapkowski	4.12	245,665	https://www.goodreads.com/book/show/40603587-the-last-wish
The Hero and the Crown (Damar, #2)	Robin McKinley	4.21	51,144	https://www.goodreads.com/book/show/77366.The_Hero_and_the_Crown
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,957	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)	Elizabeth Moon	4.31	12,661	https://www.goodreads.com/book/show/96281.The_Deed_of_Paksenarrion
Elantris (Elantris, #1)	Brandon Sanderson	4.17	205,124	https://www.goodreads.com/book/show/68427.Elantris
The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3; Legend of Drizzt, #4-6)	R.A. Salvatore	4.30	15,640	https://www.goodreads.com/book/show/62485.The_Icewind_Dale_Trilogy_Collector_s_Edition
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,399	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Curse of Chalion (World of the Five Gods, #1)	Lois McMaster Bujold	4.10	39,539	https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion
Daughter of the Empire (The Empire Trilogy, #1)	Raymond E. Feist	4.28	34,433	https://www.goodreads.com/book/show/589979.Daughter_of_the_Empire
On a Pale Horse (Incarnations of Immortality, #1)	Piers Anthony	4.14	37,347	https://www.goodreads.com/book/show/76658.On_a_Pale_Horse
King of Thorns (The Broken Empire, #2)	Mark Lawrence	4.19	59,319	https://www.goodreads.com/book/show/12891107-king-of-thorns
The Last Unicorn (The Last Unicorn, #1)	Peter S. Beagle	4.14	104,677	https://www.goodreads.com/book/show/29127.The_Last_Unicorn
Across the Nightingale Floor (Tales of the Otori, #1)	Lian Hearn	4.06	37,782	https://www.goodreads.com/book/show/77160.Across_the_Nightingale_Floor
