title	author	ave_rating	no_rating	link
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,165	https://www.goodreads.com/book/show/256683.City_of_Bones
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,592	https://www.goodreads.com/book/show/71811.Moon_Called
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,050,967	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,978	https://www.goodreads.com/book/show/38619.Magic_Bites
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,284	https://www.goodreads.com/book/show/345627.Vampire_Academy
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,397	https://www.goodreads.com/book/show/47212.Storm_Front
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,020	https://www.goodreads.com/book/show/14497.Neverwhere
Dead Until Dark (Sookie Stackhouse, #1)	Charlaine Harris	3.96	523,117	https://www.goodreads.com/book/show/301082.Dead_Until_Dark
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,870	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,401	https://www.goodreads.com/book/show/30165203-american-gods
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,653	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,159	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
Darkfever (Fever, #1)	Karen Marie Moning	4.04	176,896	https://www.goodreads.com/book/show/112750.Darkfever
Cry Wolf (Alpha & Omega, #1)	Patricia Briggs	4.11	96,558	https://www.goodreads.com/book/show/2355575.Cry_Wolf
Twilight (The Twilight Saga, #1)	Stephenie Meyer	3.62	5,501,477	https://www.goodreads.com/book/show/41865.Twilight
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare	4.30	755,828	https://www.goodreads.com/book/show/7171637-clockwork-angel
Bitten (Otherworld, #1)	Kelley Armstrong	4.00	101,860	https://www.goodreads.com/book/show/11918.Bitten
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward	4.16	316,701	https://www.goodreads.com/book/show/42899.Dark_Lover
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,066	https://www.goodreads.com/book/show/12067.Good_Omens
Guilty Pleasures (Anita Blake, Vampire Hunter, #1)	Laurell K. Hamilton	4.01	141,270	https://www.goodreads.com/book/show/30281.Guilty_Pleasures
Wicked Lovely (Wicked Lovely, #1)	Melissa Marr	3.69	171,344	https://www.goodreads.com/book/show/305234.Wicked_Lovely
Tithe (Modern Faerie Tales, #1)	Holly Black	3.71	92,393	https://www.goodreads.com/book/show/46777.Tithe
Succubus Blues (Georgina Kincaid, #1)	Richelle Mead	3.93	56,565	https://www.goodreads.com/book/show/235718.Succubus_Blues
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)	Cassandra Clare	4.56	66,553	https://www.goodreads.com/book/show/6485421-the-mortal-instruments-boxed-set
Shiver (The Wolves of Mercy Falls, #1)	Maggie Stiefvater	3.76	465,372	https://www.goodreads.com/book/show/6068551-shiver
Hounded (The Iron Druid Chronicles, #1)	Kevin Hearne	4.07	86,300	https://www.goodreads.com/book/show/9533378-hounded
Hush, Hush (Hush, Hush, #1)	Becca Fitzpatrick	3.94	640,728	https://www.goodreads.com/book/show/6339664-hush-hush
The Graveyard Book	Neil Gaiman	4.13	485,762	https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
Fallen (Fallen, #1)	Lauren Kate	3.72	543,783	https://www.goodreads.com/book/show/6487308-fallen
Angels' Blood (Guild Hunter, #1)	Nalini Singh	4.06	86,927	https://www.goodreads.com/book/show/3819326-angels-blood
Some Girls Bite (Chicagoland Vampires, #1)	Chloe Neill	3.98	63,405	https://www.goodreads.com/book/show/4447622-some-girls-bite
Sunshine	Robin McKinley	3.84	41,437	https://www.goodreads.com/book/show/8088.Sunshine
Anansi Boys (American Gods #2)	Neil Gaiman	4.01	211,730	https://www.goodreads.com/book/show/2744.Anansi_Boys
Touch the Dark (Cassandra Palmer, #1)	Karen Chance	3.71	36,686	https://www.goodreads.com/book/show/67513.Touch_the_Dark
Stray (Shifters, #1)	Rachel Vincent	3.77	37,652	https://www.goodreads.com/book/show/793399.Stray
The Summoning (Darkest Powers, #1)	Kelley Armstrong	4.00	172,239	https://www.goodreads.com/book/show/2800905-the-summoning
On the Edge (The Edge, #1)	Ilona Andrews	4.02	42,762	https://www.goodreads.com/book/show/6329547-on-the-edge
Blood and Chocolate	Annette Curtis Klause	3.78	42,075	https://www.goodreads.com/book/show/30324.Blood_and_Chocolate
Skinwalker (Jane Yellowrock, #1)	Faith Hunter	3.91	37,441	https://www.goodreads.com/book/show/5585788-skinwalker
Rosemary and Rue (October Daye, #1)	Seanan McGuire	3.76	36,428	https://www.goodreads.com/book/show/6294549-rosemary-and-rue
Kitty and the Midnight Hour (Kitty Norville #1)	Carrie Vaughn	3.67	33,727	https://www.goodreads.com/book/show/14461.Kitty_and_the_Midnight_Hour
The Iron King (The Iron Fey, #1)	Julie Kagawa	3.88	212,564	https://www.goodreads.com/book/show/6644117-the-iron-king
Storm Born (Dark Swan, #1)	Richelle Mead	3.87	33,336	https://www.goodreads.com/book/show/2754510-storm-born
Acheron (Dark-Hunter, #14)	Sherrilyn Kenyon	4.54	58,495	https://www.goodreads.com/book/show/2299110.Acheron
Night Watch (Watch #1)	Sergei Lukyanenko	3.98	41,062	https://www.goodreads.com/book/show/359375.Night_Watch
Bloodlines (Bloodlines, #1)	Richelle Mead	4.17	184,004	https://www.goodreads.com/book/show/8709527-bloodlines
First Grave on the Right (Charley Davidson, #1)	Darynda Jones	4.00	84,214	https://www.goodreads.com/book/show/8788554-first-grave-on-the-right
Valiant (Modern Faerie Tales #2)	Holly Black	3.86	37,270	https://www.goodreads.com/book/show/266607.Valiant
Marked (House of Night, #1)	P.C. Cast	3.80	466,007	https://www.goodreads.com/book/show/30183.Marked
Written in Red (The Others, #1)	Anne Bishop	4.24	56,009	https://www.goodreads.com/book/show/15711341-written-in-red
A Discovery of Witches (All Souls Trilogy, #1)	Deborah Harkness	4.00	430,231	https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	Laini Taylor	3.98	352,455	https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
Glass Houses (The Morganville Vampires, #1)	Rachel Caine	3.90	102,199	https://www.goodreads.com/book/show/27266.Glass_Houses
Spider's Bite (Elemental Assassin, #1)	Jennifer Estep	3.87	34,890	https://www.goodreads.com/book/show/6611038-spider-s-bite
Beautiful Creatures (Caster Chronicles, #1)	Kami Garcia	3.76	578,479	https://www.goodreads.com/book/show/6304335-beautiful-creatures
War for the Oaks	Emma Bull	4.01	9,943	https://www.goodreads.com/book/show/70582.War_for_the_Oaks
Grave Witch (Alex Craft, #1)	Kalayna Price	3.93	33,298	https://www.goodreads.com/book/show/7823038-grave-witch
Ironside (Modern Faerie Tales, #3)	Holly Black	4.02	38,408	https://www.goodreads.com/book/show/283494.Ironside
Midnight's Daughter (Dorina Basarab, #1)	Karen Chance	4.00	19,230	https://www.goodreads.com/book/show/3072254-midnight-s-daughter
Ill Wind (Weather Warden, #1)	Rachel Caine	3.73	18,513	https://www.goodreads.com/book/show/86451.Ill_Wind
Slave to Sensation (Psy-Changeling, #1)	Nalini Singh	4.07	70,491	https://www.goodreads.com/book/show/178476.Slave_to_Sensation
Inkheart (Inkworld, #1)	Cornelia Funke	3.89	405,115	https://www.goodreads.com/book/show/28194.Inkheart
First Drop of Crimson (Night Huntress World, #1)	Jeaniene Frost	4.13	56,784	https://www.goodreads.com/book/show/6547187-first-drop-of-crimson
Nightlife (Cal Leandros #1)	Rob Thurman	3.64	13,029	https://www.goodreads.com/book/show/421007.Nightlife
Something from the Nightside (Nightside, #1)	Simon R. Green	3.77	23,622	https://www.goodreads.com/book/show/155421.Something_from_the_Nightside
Watchmen	Alan Moore	4.37	513,117	https://www.goodreads.com/book/show/472331.Watchmen
On the Prowl (Alpha & Omega, #0.5)	Patricia Briggs	4.03	29,531	https://www.goodreads.com/book/show/285212.On_the_Prowl
Evermore (The Immortals, #1)	Alyson Noel	3.59	284,798	https://www.goodreads.com/book/show/3975774-evermore
Urban Shaman (Walker Papers, #1)	C.E. Murphy	3.73	14,548	https://www.goodreads.com/book/show/297929.Urban_Shaman
Greywalker (Greywalker, #1)	Kat Richardson	3.46	13,424	https://www.goodreads.com/book/show/140099.Greywalker
Fantasy Lover (Hunter Legends, #1)	Sherrilyn Kenyon	4.14	90,590	https://www.goodreads.com/book/show/84136.Fantasy_Lover
Working for the Devil (Dante Valentine, #1)	Lilith Saintcrow	3.80	12,364	https://www.goodreads.com/book/show/277897.Working_for_the_Devil
Unholy Ghosts (Downside Ghosts, #1)	Stacia Kane	3.65	18,014	https://www.goodreads.com/book/show/6261189-unholy-ghosts
Blue Bloods (Blue Bloods, #1)	Melissa de la Cruz	3.69	141,476	https://www.goodreads.com/book/show/872333.Blue_Bloods
Rivers of London (Rivers of London, #1)	Ben Aaronovitch	3.85	114,157	https://www.goodreads.com/book/show/9317452-rivers-of-london
The Secret Hour (Midnighters, #1)	Scott Westerfeld	3.81	28,781	https://www.goodreads.com/book/show/24766.The_Secret_Hour
