title	author	ave_rating	no_rating	link
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,412	https://www.goodreads.com/book/show/47212.Storm_Front
Hounded (The Iron Druid Chronicles, #1)	Kevin Hearne	4.07	86,301	https://www.goodreads.com/book/show/9533378-hounded
Changes (The Dresden Files, #12)	Jim Butcher	4.49	105,129	https://www.goodreads.com/book/show/6585201-changes
Summer Knight (The Dresden Files, #4)	Jim Butcher	4.25	141,102	https://www.goodreads.com/book/show/91478.Summer_Knight
Dead Beat (The Dresden Files, #7)	Jim Butcher	4.38	119,858	https://www.goodreads.com/book/show/17683.Dead_Beat
Grave Peril (The Dresden Files, #3)	Jim Butcher	4.13	153,815	https://www.goodreads.com/book/show/91476.Grave_Peril
Fool Moon (The Dresden Files, #2)	Jim Butcher	3.99	181,320	https://www.goodreads.com/book/show/91477.Fool_Moon
Turn Coat (The Dresden Files, #11)	Jim Butcher	4.40	98,490	https://www.goodreads.com/book/show/3475161-turn-coat
Small Favor (The Dresden Files, #10)	Jim Butcher	4.44	98,976	https://www.goodreads.com/book/show/927979.Small_Favor
Death Masks (The Dresden Files, #5)	Jim Butcher	4.27	130,188	https://www.goodreads.com/book/show/91479.Death_Masks
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,427	https://www.goodreads.com/book/show/30165203-american-gods
Hammered (The Iron Druid Chronicles, #3)	Kevin Hearne	4.21	49,672	https://www.goodreads.com/book/show/9595620-hammered
Proven Guilty (The Dresden Files, #8)	Jim Butcher	4.37	113,585	https://www.goodreads.com/book/show/91474.Proven_Guilty
Sandman Slim (Sandman Slim, #1)	Richard Kadrey	3.94	34,368	https://www.goodreads.com/book/show/5776788-sandman-slim
Rivers of London (Rivers of London, #1)	Ben Aaronovitch	3.85	114,164	https://www.goodreads.com/book/show/9317452-rivers-of-london
Hexed (The Iron Druid Chronicles, #2)	Kevin Hearne	4.22	57,916	https://www.goodreads.com/book/show/9595650-hexed
Something from the Nightside (Nightside, #1)	Simon R. Green	3.77	23,622	https://www.goodreads.com/book/show/155421.Something_from_the_Nightside
White Night (The Dresden Files, #9)	Jim Butcher	4.36	112,458	https://www.goodreads.com/book/show/91475.White_Night
Blood Rites (The Dresden Files, #6)	Jim Butcher	4.27	123,395	https://www.goodreads.com/book/show/99383.Blood_Rites
Nightlife (Cal Leandros #1)	Rob Thurman	3.64	13,029	https://www.goodreads.com/book/show/421007.Nightlife
Ghost Story (The Dresden Files, #13)	Jim Butcher	4.25	88,756	https://www.goodreads.com/book/show/8058301-ghost-story
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,045	https://www.goodreads.com/book/show/14497.Neverwhere
Fated (Alex Verus, #1)	Benedict Jacka	3.89	24,228	https://www.goodreads.com/book/show/11737387-fated
Cold Days (The Dresden Files, #14)	Jim Butcher	4.45	94,786	https://www.goodreads.com/book/show/12216302-cold-days
Monster Hunter International (Monster Hunter International, #1)	Larry Correia	4.05	26,788	https://www.goodreads.com/book/show/2570856-monster-hunter-international
Tricked (The Iron Druid Chronicles, #4)	Kevin Hearne	4.25	45,390	https://www.goodreads.com/book/show/12700306-tricked
The Devil You Know (Felix Castor, #1)	Mike Carey	3.80	15,830	https://www.goodreads.com/book/show/663098.The_Devil_You_Know
Infinity (Chronicles of Nick, #1)	Sherrilyn Kenyon	4.02	42,396	https://www.goodreads.com/book/show/6696602-infinity
Side Jobs (The Dresden Files, #12.5)	Jim Butcher	4.26	51,149	https://www.goodreads.com/book/show/7779059-side-jobs
Hard Magic (Grimnoir Chronicles, #1)	Larry Correia	4.14	15,038	https://www.goodreads.com/book/show/8643407-hard-magic
Zero Sight (Zero Sight, #1)	B. Justin Shier	4.02	5,634	https://www.goodreads.com/book/show/11012966-zero-sight
Crimes Against Magic (Hellequin Chronicles, #1)	Steve McHugh	4.04	12,262	https://www.goodreads.com/book/show/13608133-crimes-against-magic
Odd Thomas (Odd Thomas, #1)	Dean Koontz	3.96	268,135	https://www.goodreads.com/book/show/14995.Odd_Thomas
Trapped (The Iron Druid Chronicles, #5)	Kevin Hearne	4.27	41,333	https://www.goodreads.com/book/show/13536649-trapped
The Man with the Golden Torc (Secret Histories, #1)	Simon R. Green	3.85	9,885	https://www.goodreads.com/book/show/155459.The_Man_with_the_Golden_Torc
Skin Game (The Dresden Files, #15)	Jim Butcher	4.56	75,853	https://www.goodreads.com/book/show/19486421-skin-game
Child of Fire (Twenty Palaces, #1)	Harry Connolly	3.73	6,891	https://www.goodreads.com/book/show/6295541-child-of-fire
His Majesty's Dragon (Temeraire, #1)	Naomi Novik	4.03	90,501	https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon
God Touched (Demon Accords, #1)	John Conroe	4.15	11,466	https://www.goodreads.com/book/show/8722254-god-touched
