title	author	ave_rating	no_rating	link
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,059	https://www.goodreads.com/book/show/2767052-the-hunger-games
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,235	https://www.goodreads.com/book/show/256683.City_of_Bones
Catching Fire (The Hunger Games, #2)	Suzanne Collins	4.30	2,845,586	https://www.goodreads.com/book/show/6148028-catching-fire
Hush, Hush (Hush, Hush, #1)	Becca Fitzpatrick	3.94	640,760	https://www.goodreads.com/book/show/6339664-hush-hush
Mockingjay (The Hunger Games, #3)	Suzanne Collins	4.05	2,627,553	https://www.goodreads.com/book/show/7260188-mockingjay
City of Glass (The Mortal Instruments, #3)	Cassandra Clare	4.29	876,048	https://www.goodreads.com/book/show/3777732-city-of-glass
City of Ashes (The Mortal Instruments, #2)	Cassandra Clare	4.13	836,083	https://www.goodreads.com/book/show/1582996.City_of_Ashes
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,301	https://www.goodreads.com/book/show/345627.Vampire_Academy
Harry Potter Series Box Set (Harry Potter, #1-7)	J.K. Rowling	4.72	268,388	https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set
Divergent (Divergent, #1)	Veronica Roth	4.17	3,282,373	https://www.goodreads.com/book/show/13335037-divergent
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare	4.30	755,860	https://www.goodreads.com/book/show/7171637-clockwork-angel
The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)	Suzanne Collins	4.48	199,289	https://www.goodreads.com/book/show/7938275-the-hunger-games-trilogy-boxset
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,127	https://www.goodreads.com/book/show/3236307-graceling
The Summoning (Darkest Powers, #1)	Kelley Armstrong	4.00	172,239	https://www.goodreads.com/book/show/2800905-the-summoning
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,639	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Lord of the Rings	J.R.R. Tolkien	4.50	609,988	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,912	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
The Lost Hero (The Heroes of Olympus, #1)	Rick Riordan	4.31	713,086	https://www.goodreads.com/book/show/7624272-the-lost-hero
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)	Cassandra Clare	4.56	66,552	https://www.goodreads.com/book/show/6485421-the-mortal-instruments-boxed-set
Crescendo (Hush, Hush, #2)	Becca Fitzpatrick	4.00	303,741	https://www.goodreads.com/book/show/7791997-crescendo
The Last Olympian (Percy Jackson and the Olympians, #5)	Rick Riordan	4.50	780,774	https://www.goodreads.com/book/show/4502507-the-last-olympian
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,158	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Last Sacrifice (Vampire Academy, #6)	Richelle Mead	4.36	276,343	https://www.goodreads.com/book/show/6527740-last-sacrifice
Darkfever (Fever, #1)	Karen Marie Moning	4.04	176,903	https://www.goodreads.com/book/show/112750.Darkfever
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,539	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Shadow Kiss (Vampire Academy, #3)	Richelle Mead	4.32	353,004	https://www.goodreads.com/book/show/2802316-shadow-kiss
Frostbite (Vampire Academy, #2)	Richelle Mead	4.24	339,370	https://www.goodreads.com/book/show/2282133.Frostbite
Blood Promise (Vampire Academy, #4)	Richelle Mead	4.29	302,791	https://www.goodreads.com/book/show/5996153-blood-promise
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,594	https://www.goodreads.com/book/show/71811.Moon_Called
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,790	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,844	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Spirit Bound (Vampire Academy, #5)	Richelle Mead	4.31	282,295	https://www.goodreads.com/book/show/6479259-spirit-bound
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,752	https://www.goodreads.com/book/show/60510.Poison_Study
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,546	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Iron Daughter (The Iron Fey, #2)	Julie Kagawa	4.05	129,720	https://www.goodreads.com/book/show/7747064-the-iron-daughter
Guilty Pleasures (Anita Blake, Vampire Hunter, #1)	Laurell K. Hamilton	4.01	141,271	https://www.goodreads.com/book/show/30281.Guilty_Pleasures
Silence (Hush, Hush, #3)	Becca Fitzpatrick	4.09	265,204	https://www.goodreads.com/book/show/10637766-silence
1984	George Orwell	4.19	3,618,309	https://www.goodreads.com/book/show/40961427-1984
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,572	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Iron Queen (The Iron Fey, #3)	Julie Kagawa	4.18	106,630	https://www.goodreads.com/book/show/8685612-the-iron-queen
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,160	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
The Giver (The Giver, #1)	Lois Lowry	4.13	2,015,248	https://www.goodreads.com/book/show/3636.The_Giver
Outlander (Outlander, #1)	Diana Gabaldon	4.23	914,978	https://www.goodreads.com/book/show/10964.Outlander
All Together Dead (Sookie Stackhouse, #7)	Charlaine Harris	4.04	197,656	https://www.goodreads.com/book/show/140075.All_Together_Dead
Night World, No. 1 (Night World, #1-3)	L.J. Smith	4.05	62,466	https://www.goodreads.com/book/show/3099787-night-world-no-1
From Dead to Worse (Sookie Stackhouse, #8)	Charlaine Harris	3.99	185,513	https://www.goodreads.com/book/show/2233407.From_Dead_to_Worse
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,427	https://www.goodreads.com/book/show/30165203-american-gods
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,096	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
Delirium (Delirium, #1)	Lauren Oliver	3.96	447,576	https://www.goodreads.com/book/show/7686667-delirium
Dead and Gone (Sookie Stackhouse #9)	Charlaine Harris	4.00	185,311	https://www.goodreads.com/book/show/5161066-dead-and-gone
Midnight Sun [2008 Draft]	Stephenie Meyer	4.00	154,329	https://www.goodreads.com/book/show/4502877-midnight-sun-2008-draft
Tiger's Voyage (The Tiger Saga, #3)	Colleen Houck	4.21	37,102	https://www.goodreads.com/book/show/7849341-tiger-s-voyage
Clockwork Prince (The Infernal Devices, #2)	Cassandra Clare	4.41	501,856	https://www.goodreads.com/book/show/10025305-clockwork-prince
Definitely Dead (Sookie Stackhouse #6)	Charlaine Harris	3.99	204,053	https://www.goodreads.com/book/show/140079.Definitely_Dead
Leaving Paradise (Leaving Paradise, #1)	Simone Elkeles	4.00	42,043	https://www.goodreads.com/book/show/544424.Leaving_Paradise
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings	J.R.R. Tolkien	4.60	119,671	https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
Lover Awakened (Black Dagger Brotherhood, #3)	J.R. Ward	4.43	170,735	https://www.goodreads.com/book/show/42900.Lover_Awakened
The Princess Bride	William Goldman	4.25	835,220	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Faefever (Fever, #3)	Karen Marie Moning	4.29	98,274	https://www.goodreads.com/book/show/2702704-faefever
Dreamfever (Fever, #4)	Karen Marie Moning	4.37	97,792	https://www.goodreads.com/book/show/6050298-dreamfever
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,983	https://www.goodreads.com/book/show/38619.Magic_Bites
The Vampire Lestat (The Vampire Chronicles, #2)	Anne Rice	4.06	187,709	https://www.goodreads.com/book/show/43814.The_Vampire_Lestat
The Beast of Cretacea	Todd Strasser	4.17	522	https://www.goodreads.com/book/show/18484780-the-beast-of-cretacea
City of Fallen Angels (The Mortal Instruments, #4)	Cassandra Clare	4.09	542,519	https://www.goodreads.com/book/show/6752378-city-of-fallen-angels
Demonglass (Hex Hall, #2)	Rachel Hawkins	4.07	96,157	https://www.goodreads.com/book/show/8428064-demonglass
The Awakening (Darkest Powers, #2)	Kelley Armstrong	4.12	116,411	https://www.goodreads.com/book/show/5391115-the-awakening
The Reckoning (Darkest Powers, #3)	Kelley Armstrong	4.14	121,040	https://www.goodreads.com/book/show/6468666-the-reckoning
A Discovery of Witches (All Souls Trilogy, #1)	Deborah Harkness	4.00	430,258	https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,588	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Midnight's Daughter (Dorina Basarab, #1)	Karen Chance	4.00	19,230	https://www.goodreads.com/book/show/3072254-midnight-s-daughter
Call of Magic	Becca Blake	4.64	154	https://www.goodreads.com/book/show/56338689-call-of-magic
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.54	746,469	https://www.goodreads.com/book/show/18512.The_Return_of_the_King
The Octunnumi Fosbit Files Prologue	Trevor Alan Foris	4.10	11,334	https://www.goodreads.com/book/show/40034669-the-octunnumi-fosbit-files-prologue
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,874	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,107,109	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,953	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Insurgent (Divergent, #2)	Veronica Roth	4.00	1,298,278	https://www.goodreads.com/book/show/11735983-insurgent
Dune (Dune #1)	Frank Herbert	4.24	975,281	https://www.goodreads.com/book/show/234225.Dune
Terrier (Beka Cooper, #1)	Tamora Pierce	4.09	73,289	https://www.goodreads.com/book/show/13829.Terrier
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,348	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
The Little Prince	Antoine de Saint-Exupéry	4.31	1,620,437	https://www.goodreads.com/book/show/157993.The_Little_Prince
Worm Holes (Quantum Roots, #2)	Kyle Keyes	4.32	11,896	https://www.goodreads.com/book/show/34384161-worm-holes
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	Laini Taylor	3.98	352,468	https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,097	https://www.goodreads.com/book/show/12067.Good_Omens
Midnight Alley (The Morganville Vampires, #3)	Rachel Caine	4.08	60,518	https://www.goodreads.com/book/show/544257.Midnight_Alley
The Graveyard Book	Neil Gaiman	4.13	485,772	https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
Obsidian (Lux, #1)	Jennifer L. Armentrout	4.14	263,127	https://www.goodreads.com/book/show/12578077-obsidian
Crank (Crank, #1)	Ellen Hopkins	4.14	134,503	https://www.goodreads.com/book/show/270730.Crank
Alice's Adventures in Wonderland / Through the Looking-Glass	Lewis Carroll	4.06	501,232	https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
Tiger's Quest (The Tiger Saga, #2)	Colleen Houck	4.31	37,722	https://www.goodreads.com/book/show/9662386-tiger-s-quest
Matching Configurations (Quantum Roots, #3)	Kyle Keyes	4.39	5,094	https://www.goodreads.com/book/show/44790978-matching-configurations
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice	4.00	522,977	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward	4.16	316,717	https://www.goodreads.com/book/show/42899.Dark_Lover
The Maze Runner (The Maze Runner, #1)	James Dashner	4.03	1,224,290	https://www.goodreads.com/book/show/6186357-the-maze-runner
City of Lost Souls (The Mortal Instruments, #5)	Cassandra Clare	4.23	479,419	https://www.goodreads.com/book/show/8755776-city-of-lost-souls
Ender's Game (Ender's Saga, #1)	Orson Scott Card	4.30	1,230,695	https://www.goodreads.com/book/show/375802.Ender_s_Game
Jealousy (Strange Angels, #3)	Lili St. Crow	4.15	22,888	https://www.goodreads.com/book/show/6600807-jealousy
Stardust	Neil Gaiman	4.08	396,682	https://www.goodreads.com/book/show/16793.Stardust
Betrayals (Strange Angels, #2)	Lili St. Crow	4.08	26,215	https://www.goodreads.com/book/show/6371117-betrayals
Shadowfever (Fever, #5)	Karen Marie Moning	4.38	105,059	https://www.goodreads.com/book/show/10082454-shadowfever
