title	author	ave_rating	no_rating	link
Bridge of Birds (The Chronicles of Master Li and Number Ten Ox, #1)	Barry Hughart	4.28	9,865	https://www.goodreads.com/book/show/15177.Bridge_of_Birds
War for the Oaks	Emma Bull	4.01	9,943	https://www.goodreads.com/book/show/70582.War_for_the_Oaks
The Scourge (The Scourge, #1)	Roberto Calas	3.77	976	https://www.goodreads.com/book/show/16148873-the-scourge
Here Lies Death	Harlan Vaughn	3.33	78	https://www.goodreads.com/book/show/15885568-here-lies-death
In the Night Garden (The Orphan's Tales, #1)	Catherynne M. Valente	3.86	11,866	https://www.goodreads.com/book/show/202769.In_the_Night_Garden
Isle of Winds (The Changeling, #1)	James Fahy	4.19	996	https://www.goodreads.com/book/show/28173857-isle-of-winds
Embers at Galdrilene (Dragon's Call #1)	A.D. Trosper	4.02	527	https://www.goodreads.com/book/show/18500807-embers-at-galdrilene
Drowned Tomb (The Changeling, #2)	James Fahy	4.36	611	https://www.goodreads.com/book/show/30656121-drowned-tomb
Chains of Gaia (The Changeling, #3)	James Fahy	4.52	538	https://www.goodreads.com/book/show/33640121-chains-of-gaia
The Ladies of Mandrigyn (Sun Wolf and Starhawk, #1)	Barbara Hambly	3.96	3,133	https://www.goodreads.com/book/show/1022658.The_Ladies_of_Mandrigyn
Through Wolf's Eyes (Firekeeper Saga, #1)	Jane Lindskold	3.98	6,866	https://www.goodreads.com/book/show/66317.Through_Wolf_s_Eyes
Ombria in Shadow	Patricia A. McKillip	3.99	4,665	https://www.goodreads.com/book/show/781124.Ombria_in_Shadow
The Privilege of the Sword (Riverside, #2)	Ellen Kushner	3.92	5,036	https://www.goodreads.com/book/show/821583.The_Privilege_of_the_Sword
The Gilded Chain (The King's Blades, #1)	Dave Duncan	3.91	3,243	https://www.goodreads.com/book/show/57687.The_Gilded_Chain
The Cloud Roads (Books of the Raksura, #1)	Martha Wells	3.97	9,567	https://www.goodreads.com/book/show/9461562-the-cloud-roads
Feast of Souls (The Magister Trilogy, #1)	C.S. Friedman	3.90	5,589	https://www.goodreads.com/book/show/1445345.Feast_of_Souls
The King of Elfland's Daughter	Lord Dunsany	3.83	6,549	https://www.goodreads.com/book/show/14686.The_King_of_Elfland_s_Daughter
New Yesterdays	Jim L. Wright	4.27	96	https://www.goodreads.com/book/show/15232939-new-yesterdays
The Crimson Vault (Traveler's Gate, #2)	Will Wight	4.18	9,840	https://www.goodreads.com/book/show/18310619-the-crimson-vault
The Apprentice In The Master’s Shadow (Legends of the Order, #2)	Ian Gregoire	4.61	56	https://www.goodreads.com/book/show/43262341-the-apprentice-in-the-master-s-shadow
Geist (Book of the Order, #1)	Philippa Ballantine	3.65	3,886	https://www.goodreads.com/book/show/8058609-geist
Sliding Beneath the Surface	Doug Dillon	3.68	232	https://www.goodreads.com/book/show/12672566-sliding-beneath-the-surface
The Exercise Of Vital Powers (Legends of the Order, #1)	Ian Gregoire	4.06	133	https://www.goodreads.com/book/show/40022934-the-exercise-of-vital-powers
The Changeover	Margaret Mahy	4.06	3,859	https://www.goodreads.com/book/show/351461.The_Changeover
Night's Master (Tales from the Flat Earth #1)	Tanith Lee	4.04	2,390	https://www.goodreads.com/book/show/882258.Night_s_Master
The Last Sunset	Bob Atkinson	4.05	197	https://www.goodreads.com/book/show/15982935-the-last-sunset
Shadows Return (Nightrunner, #4)	Lynn Flewelling	4.01	7,300	https://www.goodreads.com/book/show/2065091.Shadows_Return
Naamah's Blessing (Naamah Trilogy, #3)	Jacqueline Carey	4.22	9,542	https://www.goodreads.com/book/show/9519912-naamah-s-blessing
God Stalk (Kencyrath, #1)	P.C. Hodgell	4.11	2,312	https://www.goodreads.com/book/show/69169.God_Stalk
The Stonegate Sword (Stonegate #1)	Harry James Fox	4.22	99	https://www.goodreads.com/book/show/25312178-the-stonegate-sword
Minstrel (Tir Athair, #1)	Marissa Ames	4.00	60	https://www.goodreads.com/book/show/18592592-minstrel
The Half-Made World (The Half-Made World, #1)	Felix Gilman	3.75	3,873	https://www.goodreads.com/book/show/8198773-the-half-made-world
The Grim Company (The Grim Company, #1)	Luke Scull	3.73	6,866	https://www.goodreads.com/book/show/17707471-the-grim-company
Mélusine (Doctrine of Labyrinths, #1)	Sarah Monette	3.64	4,107	https://www.goodreads.com/book/show/492069.M_lusine
Faerie Tale	Raymond E. Feist	3.88	10,080	https://www.goodreads.com/book/show/43919.Faerie_Tale
Born in Flames (Born in Flames Trilogy, #1)	Candace Knoebel	3.67	778	https://www.goodreads.com/book/show/15796469-born-in-flames
A Companion to Wolves (Iskryne World, #1)	Sarah Monette	3.66	2,725	https://www.goodreads.com/book/show/333356.A_Companion_to_Wolves
Magic Casement (A Man of His Word, #1)	Dave Duncan	4.02	3,091	https://www.goodreads.com/book/show/57691.Magic_Casement
Warrior (Doppelganger, #1)	Marie Brennan	3.87	3,114	https://www.goodreads.com/book/show/2781819-warrior
Inda (Inda, #1)	Sherwood Smith	4.01	4,454	https://www.goodreads.com/book/show/222837.Inda
Tooth and Claw	Jo Walton	3.87	5,730	https://www.goodreads.com/book/show/344623.Tooth_and_Claw
