title	author	ave_rating	no_rating	link
Senlin Ascends (The Books of Babel, #1)	Josiah Bancroft	4.16	20,354	https://www.goodreads.com/book/show/17554595-senlin-ascends
Blood Song (Raven's Shadow, #1)	Anthony Ryan	4.37	81,699	https://www.goodreads.com/book/show/13569581-blood-song
Isle of Winds (The Changeling, #1)	James Fahy	4.19	996	https://www.goodreads.com/book/show/28173857-isle-of-winds
Theft of Swords (The Riyria Revelations, #1-2)	Michael J. Sullivan	4.18	63,619	https://www.goodreads.com/book/show/10790290-theft-of-swords
Drowned Tomb (The Changeling, #2)	James Fahy	4.36	611	https://www.goodreads.com/book/show/30656121-drowned-tomb
Chains of Gaia (The Changeling, #3)	James Fahy	4.52	538	https://www.goodreads.com/book/show/33640121-chains-of-gaia
The Emperor's Edge (The Emperor's Edge, #1)	Lindsay Buroker	4.04	13,623	https://www.goodreads.com/book/show/10031259-the-emperor-s-edge
Crescent Moon (Phoebe Harkness, #2)	James Fahy	4.54	509	https://www.goodreads.com/book/show/30628688-crescent-moon
Hell's Teeth (Phoebe Harkness, #1)	James Fahy	4.22	807	https://www.goodreads.com/book/show/29561487-hell-s-teeth
Arm of the Sphinx (The Books of Babel, #2)	Josiah Bancroft	4.39	10,526	https://www.goodreads.com/book/show/25328893-arm-of-the-sphinx
The Grey Bastards (The Lot Lands, #1)	Jonathan French	4.09	6,394	https://www.goodreads.com/book/show/27838712-the-grey-bastards
The Path of Flames (Chronicles of the Black Gate #1)	Phil Tucker	4.02	2,798	https://www.goodreads.com/book/show/29936142-the-path-of-flames
Paternus (Paternus, #1)	Dyrk Ashton	4.02	2,002	https://www.goodreads.com/book/show/30654616-paternus
The Summoner (The Legends of Arth, #1)	Randy Massey	4.21	62	https://www.goodreads.com/book/show/15776615-the-summoner
Thread Slivers	Leeland Artra	4.00	652	https://www.goodreads.com/book/show/17306681-thread-slivers
Danse Macabre	Laura M. Hughes	4.02	236	https://www.goodreads.com/book/show/32330788-danse-macabre
Black Cross (Black Powder Wars, #1)	J.P. Ashman	4.02	115	https://www.goodreads.com/book/show/28077890-black-cross
Angelfall (Penryn & the End of Days, #1)	Susan Ee	4.10	188,475	https://www.goodreads.com/book/show/11500217-angelfall
Songs of Insurrection (The Dragon Songs Saga #1)	J.C. Kang	3.73	484	https://www.goodreads.com/book/show/33097240-songs-of-insurrection
Vortex Visions (Air Awakens: Vortex Chronicles, #1)	Elise Kova	3.98	3,725	https://www.goodreads.com/book/show/41834793-vortex-visions
Scourge of the Betrayer (Bloodsounder's Arc, #1)	Jeff Salyards	3.52	2,765	https://www.goodreads.com/book/show/13279692-scourge-of-the-betrayer
Firehurler (Twinborn Trilogy, #1)	J.S. Morin	3.97	777	https://www.goodreads.com/book/show/17408269-firehurler
The Thief Who Pulled on Trouble's Braids (Amra Thetys, #1)	Michael McClung	4.00	2,960	https://www.goodreads.com/book/show/21946558-the-thief-who-pulled-on-trouble-s-braids
Fae: The Wild Hunt (The Riven Wyrde Saga, #1)	Graham Austin-King	3.65	1,238	https://www.goodreads.com/book/show/22791503-fae
They Mostly Come Out at Night (Yarnsworld, #1)	Benedict Patrick	3.65	1,664	https://www.goodreads.com/book/show/29743933-they-mostly-come-out-at-night
Scepter	Scott L. Collins	4.12	83	https://www.goodreads.com/book/show/17817939-scepter
The Reborn King (The Dragon's Blade, #1)	Michael R. Miller	3.83	973	https://www.goodreads.com/book/show/27984704-the-reborn-king
Bloodrush (The Scarlet Star Trilogy, #1)	Ben Galley	3.82	447	https://www.goodreads.com/book/show/23956571-bloodrush
The Heart of Stone	Ben Galley	4.10	456	https://www.goodreads.com/book/show/31844202-the-heart-of-stone
Valley of Embers (The Landkist Saga, #1)	Steven Kelliher	3.59	592	https://www.goodreads.com/book/show/31296952-valley-of-embers
Kings of the Wyld (The Band, #1)	Nicholas Eames	4.29	33,860	https://www.goodreads.com/book/show/31698361-kings-of-the-wyld
The Apprentice In The Master’s Shadow (Legends of the Order, #2)	Ian Gregoire	4.61	56	https://www.goodreads.com/book/show/43262341-the-apprentice-in-the-master-s-shadow
The Exercise Of Vital Powers (Legends of the Order, #1)	Ian Gregoire	4.06	133	https://www.goodreads.com/book/show/40022934-the-exercise-of-vital-powers
The Stone Road (The Forbidden List, #1)	G.R. Matthews	3.91	94	https://www.goodreads.com/book/show/21996457-the-stone-road
The Regent's Gamble (Spellbound Consortium, #1)	A. Payne	4.06	140	https://www.goodreads.com/book/show/22060784-the-regent-s-gamble
Division of the Marked (The Marked #1)	March McCarron	4.17	1,060	https://www.goodreads.com/book/show/18221193-division-of-the-marked
Shattered Dreams (Light in the Dark #1)	Ulff Lehmann	4.15	130	https://www.goodreads.com/book/show/32586273-shattered-dreams
Touch of Iron (The Living Blade, #1)	Timandra Whitecastle	3.81	517	https://www.goodreads.com/book/show/30238526-touch-of-iron
What Remains of Heroes (A Requiem for Heroes #1)	David Benem	3.85	611	https://www.goodreads.com/book/show/25389017-what-remains-of-heroes
The Stonegate Sword (Stonegate #1)	Harry James Fox	4.22	99	https://www.goodreads.com/book/show/25312178-the-stonegate-sword
Silent City (Corin Hayes, #1)	G.R. Matthews	3.95	73	https://www.goodreads.com/book/show/25357600-silent-city
White Staff	Robert C. Thomas	3.43	7	https://www.goodreads.com/book/show/13179891-white-staff
Horn-Horn (The Horn-Horn Series)	A.D.T. McLellan	4.54	104	https://www.goodreads.com/book/show/36594385-horn-horn
The Gemstone	Sarena Nanua	3.79	39	https://www.goodreads.com/book/show/15886847-the-gemstone
The False Prophet (Stonegate, #2)	Harry James Fox	4.51	59	https://www.goodreads.com/book/show/33913854-the-false-prophet
Nice Dragons Finish Last (Heartstrikers, #1)	Rachel Aaron	4.08	12,196	https://www.goodreads.com/book/show/20426102-nice-dragons-finish-last
Amaranth	John Kellett	3.86	51	https://www.goodreads.com/book/show/15757292-amaranth
The Final Warden (Gifts of Vorallon, #1)	Thomas Cardin	3.99	72	https://www.goodreads.com/book/show/17317811-the-final-warden
The Skinwalker's Apprentice	Claribel Ortega	3.89	122	https://www.goodreads.com/book/show/19250523-the-skinwalker-s-apprentice
Bentwhistle the Dragon in a Threat from the Past	Paul Cude	4.06	286	https://www.goodreads.com/book/show/13162223-bentwhistle-the-dragon-in-a-threat-from-the-past
Firebolt (The Dragonian, #1)	Adrienne Woods	3.98	8,598	https://www.goodreads.com/book/show/20517266-firebolt
Riddle in Stone (The Riddle in Stone, #1)	Robert Evert	3.94	723	https://www.goodreads.com/book/show/17339738-riddle-in-stone
As the Crow Flies	Robin Lythgoe	4.06	130	https://www.goodreads.com/book/show/17926176-as-the-crow-flies
The Blood-Tainted Winter (The Song of the Ash Tree, #1)	T.L. Greylock	3.87	248	https://www.goodreads.com/book/show/25773101-the-blood-tainted-winter
Elvish (Elvish, #1)	S.G. Prince	4.05	1,573	https://www.goodreads.com/book/show/40215820-elvish
The Legends of Eve: A Warrior's Past (A Warrior's Past Septology, #1)	Anonymous .	4.33	166	https://www.goodreads.com/book/show/41026160-the-legends-of-eve
The Last Dragon Slayer (Deathsworn Arc, #1)	Martyn Stanley	3.68	457	https://www.goodreads.com/book/show/23154350-the-last-dragon-slayer
Lady of the Helm (Bloodline Trilogy, #1)	T.O. Munro	3.93	85	https://www.goodreads.com/book/show/23837836-lady-of-the-helm
Master of Crows (Master of Crows, #1)	Grace Draven	3.94	15,582	https://www.goodreads.com/book/show/6811150-master-of-crows
The Call of Agon (The Children of Telm, #1)	Dean F. Wilson	3.61	377	https://www.goodreads.com/book/show/17399863-the-call-of-agon
The Reader of Acheron	Walter Rhein	4.59	105	https://www.goodreads.com/book/show/20526707-the-reader-of-acheron
Nefertiti's Heart (Artifact Hunters, #1)	A.W. Exley	3.84	5,339	https://www.goodreads.com/book/show/22457223-nefertiti-s-heart
And the Tide Turns	Timothy Dalton	3.84	44	https://www.goodreads.com/book/show/24789250-and-the-tide-turns
The Light Beyond the Storm Chronicles (The Light Beyond the Storm Chronicles, #1)	A.L. Butcher	3.25	106	https://www.goodreads.com/book/show/17188814-the-light-beyond-the-storm-chronicles
Elfhunter (Tales of Alterra, the World That Is #1)	C.S. Marks	3.63	773	https://www.goodreads.com/book/show/1893392.Elfhunter
The Bridge at Ardendale (The Legend of Fergus #1)	J.W. Kent	4.20	30	https://www.goodreads.com/book/show/17787510-the-bridge-at-ardendale
The Black God's War (Splendor and Ruin, #0.5)	Moses Siregar III	3.56	540	https://www.goodreads.com/book/show/12361115-the-black-god-s-war
Sleepless (Curse of the Blood Fox, #1)	Sera Ashling	4.23	149	https://www.goodreads.com/book/show/18361369-sleepless
The Return of the Dragons	Kenneth Kappelmann	4.51	53	https://www.goodreads.com/book/show/18002053-the-return-of-the-dragons
Incursion (Catalyst Moon, #1)	Lauren L. Garcia	3.90	164	https://www.goodreads.com/book/show/31196749-incursion
The Orb of Truth (The Horn King, #1)	Brae Wyckoff	3.75	298	https://www.goodreads.com/book/show/16155612-the-orb-of-truth
Dragon Fate (War of the Blades, #1)	J.D. Hallowell	3.83	733	https://www.goodreads.com/book/show/15829015-dragon-fate
The Sigil Blade (Archon Sigil Trilogy, #1)	Jeff Wilson	3.78	932	https://www.goodreads.com/book/show/25434130-the-sigil-blade
Fionn: Defence of Ráth Bládhma (Fionn mac Cumhaill, #1)	Brian O'Sullivan	4.10	176	https://www.goodreads.com/book/show/18492796-fionn
Sunbolt (The Sunbolt Chronicles, #1)	Intisar Khanani	4.24	2,732	https://www.goodreads.com/book/show/18075001-sunbolt
Tournament of Chance	S.G. Rogers	4.17	127	https://www.goodreads.com/book/show/15854472-tournament-of-chance
Protected by The Falcon (The Ancestor's Secrets #1)	Erika M. Szabo	4.16	98	https://www.goodreads.com/book/show/12754397-protected-by-the-falcon
The Merchant and the Menace (The Seraphinium, #1)	Daniel McHugh	3.67	189	https://www.goodreads.com/book/show/11399934-the-merchant-and-the-menace
Quicker (Ell Donsaii, #1)	Laurence E. Dahners	4.25	2,367	https://www.goodreads.com/book/show/15826233-quicker
Initiation (Sky Ghosts #1)	Alexandra Engellmann	3.65	1,167	https://www.goodreads.com/book/show/50534147-initiation
Dragon Blade (War of the Blades, #2)	J.D. Hallowell	4.11	456	https://www.goodreads.com/book/show/17162767-dragon-blade
Mage's Blood (Moontide Quartet, #1)	David Hair	3.87	4,413	https://www.goodreads.com/book/show/15771846-mage-s-blood
Hearts (The Glass Queendom, #1)	Klarissa King	4.44	62	https://www.goodreads.com/book/show/50628986-hearts
The Synthesis (Powerless, #1)	Jason Letts	3.50	595	https://www.goodreads.com/book/show/8384118-the-synthesis
Hunted	Quinn Blackbird	3.91	158	https://www.goodreads.com/book/show/45435229-hunted
Unsouled (Cradle, #1)	Will Wight	4.15	23,606	https://www.goodreads.com/book/show/30558257-unsouled
The Arcane Academy (Hush Ivy #1)	Kirah Nyx	4.29	24	https://www.goodreads.com/book/show/45913662-the-arcane-academy
The Fifth Season (The Broken Earth, #1)	N.K. Jemisin	4.27	199,762	https://www.goodreads.com/book/show/19161852-the-fifth-season
The Book of Deacon (The Book of Deacon, #1)	Joseph R. Lallo	3.85	9,929	https://www.goodreads.com/book/show/8535916-the-book-of-deacon
