title	author	ave_rating	no_rating	link
Ella Enchanted (Ella Enchanted #1)	Gail Carson Levine	3.98	408,257	https://www.goodreads.com/book/show/24337.Ella_Enchanted
Princess Academy (Princess Academy, #1)	Shannon Hale	3.99	117,880	https://www.goodreads.com/book/show/85990.Princess_Academy
The Goose Girl (The Books of Bayern, #1)	Shannon Hale	4.09	147,329	https://www.goodreads.com/book/show/179064.The_Goose_Girl
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,366	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Two Princesses of Bamarre (The Two Princesses of Bamarre, #1)	Gail Carson Levine	4.04	70,399	https://www.goodreads.com/book/show/183656.The_Two_Princesses_of_Bamarre
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,050,889	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Fairest	Gail Carson Levine	3.88	63,339	https://www.goodreads.com/book/show/183660.Fairest
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,131	https://www.goodreads.com/book/show/13831.Alanna
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,618	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Inkheart (Inkworld, #1)	Cornelia Funke	3.89	405,111	https://www.goodreads.com/book/show/28194.Inkheart
Dealing with Dragons (Enchanted Forest Chronicles, #1)	Patricia C. Wrede	4.11	92,661	https://www.goodreads.com/book/show/150739.Dealing_with_Dragons
Enna Burning (The Books of Bayern, #2)	Shannon Hale	3.99	40,153	https://www.goodreads.com/book/show/248482.Enna_Burning
Just Ella (The Palace Chronicles, #1)	Margaret Peterson Haddix	3.75	33,697	https://www.goodreads.com/book/show/162719.Just_Ella
Ever	Gail Carson Levine	3.47	20,629	https://www.goodreads.com/book/show/2204464.Ever
The Frog Princess	E.D. Baker	3.84	26,782	https://www.goodreads.com/book/show/65091.The_Frog_Princess
First Test (Protector of the Small, #1)	Tamora Pierce	4.16	64,601	https://www.goodreads.com/book/show/153784.First_Test
Book of a Thousand Days	Shannon Hale	3.94	54,539	https://www.goodreads.com/book/show/248484.Book_of_a_Thousand_Days
The Tail of Emily Windsnap (Emily Windsnap, #1)	Liz Kessler	3.92	23,992	https://www.goodreads.com/book/show/161656.The_Tail_of_Emily_Windsnap
Once Upon a Marigold (Upon a Marigold, #1)	Jean Ferris	4.00	24,200	https://www.goodreads.com/book/show/157055.Once_Upon_a_Marigold
The Mysterious Benedict Society (The Mysterious Benedict Society, #1)	Trenton Lee Stewart	4.18	138,334	https://www.goodreads.com/book/show/40605329-the-mysterious-benedict-society
Beauty: A Retelling of the Story of Beauty and the Beast	Robin McKinley	4.05	76,882	https://www.goodreads.com/book/show/41424.Beauty
Dragon Slippers (Dragon Slippers, #1)	Jessica Day George	4.24	26,934	https://www.goodreads.com/book/show/669570.Dragon_Slippers
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,782	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
In the Hand of the Goddess (Song of the Lioness, #2)	Tamora Pierce	4.18	99,667	https://www.goodreads.com/book/show/13835.In_the_Hand_of_the_Goddess
Lioness Rampant (Song of the Lioness, #4)	Tamora Pierce	4.22	92,384	https://www.goodreads.com/book/show/13837.Lioness_Rampant
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,415	https://www.goodreads.com/book/show/518848.Sabriel
The Woman Who Rides Like a Man (Song of the Lioness, #3)	Tamora Pierce	4.13	82,415	https://www.goodreads.com/book/show/13830.The_Woman_Who_Rides_Like_a_Man
Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)	Jessica Day George	3.93	32,987	https://www.goodreads.com/book/show/3697927-princess-of-the-midnight-ball
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,099	https://www.goodreads.com/book/show/3236307-graceling
Tuck Everlasting	Natalie Babbitt	3.88	257,436	https://www.goodreads.com/book/show/84981.Tuck_Everlasting
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,749	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,106,831	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Charlotte's Web	E.B. White	4.18	1,571,276	https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,560,944	https://www.goodreads.com/book/show/113436.Eragon
Half Magic (Tales of Magic, #1)	Edward Eager	3.93	37,326	https://www.goodreads.com/book/show/225038.Half_Magic
The Lost Hero (The Heroes of Olympus, #1)	Rick Riordan	4.31	713,034	https://www.goodreads.com/book/show/7624272-the-lost-hero
Palace of Mirrors (The Palace Chronicles, #2)	Margaret Peterson Haddix	3.90	12,360	https://www.goodreads.com/book/show/2208767.Palace_of_Mirrors
A Wrinkle in Time (Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,180	https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Peter and the Starcatchers (Peter and the Starcatchers, #1)	Dave Barry	4.03	74,438	https://www.goodreads.com/book/show/34262.Peter_and_the_Starcatchers
Inkspell (Inkworld, #2)	Cornelia Funke	3.90	124,318	https://www.goodreads.com/book/show/28195.Inkspell
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,722	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Princess Ben	Catherine Gilbert Murdock	3.75	17,840	https://www.goodreads.com/book/show/2153427.Princess_Ben
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,160	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Arrow of the Mist (Arrow of the Mist, #1)	Christina Mercer	3.99	401	https://www.goodreads.com/book/show/17560444-arrow-of-the-mist
Page (Protector of the Small, #2)	Tamora Pierce	4.19	50,832	https://www.goodreads.com/book/show/153785.Page
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,588	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Eldest (The Inheritance Cycle, #2)	Christopher Paolini	3.99	395,619	https://www.goodreads.com/book/show/45978.Eldest
Wild Magic	Tamora Pierce	4.24	82,818	https://www.goodreads.com/book/show/7384851-wild-magic
Dragon Flight (Dragon Slippers, #2)	Jessica Day George	4.19	19,022	https://www.goodreads.com/book/show/2208744.Dragon_Flight
Emily Windsnap and the Monster from the Deep (Emily Windsnap, #2)	Liz Kessler	3.96	9,932	https://www.goodreads.com/book/show/161653.Emily_Windsnap_and_the_Monster_from_the_Deep
Once Upon a Curse	E.D. Baker	4.07	12,595	https://www.goodreads.com/book/show/539112.Once_Upon_a_Curse
Dragon's Breath	E.D. Baker	4.06	12,235	https://www.goodreads.com/book/show/65093.Dragon_s_Breath
Wildwood Dancing (Wildwood, #1)	Juliet Marillier	4.09	27,910	https://www.goodreads.com/book/show/13929.Wildwood_Dancing
Emily Windsnap and the Castle in the Mist (Emily Windsnap, #3)	Liz Kessler	4.05	9,178	https://www.goodreads.com/book/show/161657.Emily_Windsnap_and_the_Castle_in_the_Mist
Squire (Protector of the Small, #3)	Tamora Pierce	4.23	54,193	https://www.goodreads.com/book/show/153795.Squire
Princess of Glass (The Princesses of Westfalin Trilogy, #2)	Jessica Day George	4.06	21,261	https://www.goodreads.com/book/show/7199667-princess-of-glass
Sun and Moon, Ice and Snow	Jessica Day George	3.98	21,307	https://www.goodreads.com/book/show/1210754.Sun_and_Moon_Ice_and_Snow
Forest Born (The Books of Bayern, #4)	Shannon Hale	4.04	25,653	https://www.goodreads.com/book/show/6407514-forest-born
Pippi Longstocking (Pippi Långstrump, #1)	Astrid Lindgren	4.13	182,494	https://www.goodreads.com/book/show/19302.Pippi_Longstocking
The Horse and His Boy (Chronicles of Narnia, #5)	C.S. Lewis	3.91	308,141	https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy
Heir Apparent (Rasmussem Corporation, #2)	Vivian Vande Velde	4.11	10,120	https://www.goodreads.com/book/show/213652.Heir_Apparent
The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society, #2)	Trenton Lee Stewart	4.20	49,189	https://www.goodreads.com/book/show/2159225.The_Mysterious_Benedict_Society_and_the_Perilous_Journey
No Place for Magic (The Tales of the Frog Princess, #4)	E.D. Baker	4.14	9,291	https://www.goodreads.com/book/show/65094.No_Place_for_Magic
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,420	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Dragon Spear (Dragon Slippers, #3)	Jessica Day George	4.19	14,509	https://www.goodreads.com/book/show/5933646-dragon-spear
The Tales of Beedle the Bard	J.K. Rowling	4.04	451,610	https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard
Dragonsong (Harper Hall, #1)	Anne McCaffrey	4.18	57,552	https://www.goodreads.com/book/show/28541.Dragonsong
The Voyage of the Dawn Treader (Chronicles of Narnia, #3)	C.S. Lewis	4.08	428,297	https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)	Robert C. O'Brien	4.15	170,302	https://www.goodreads.com/book/show/9822.Mrs_Frisby_and_the_Rats_of_NIMH
The Book of Three (The Chronicles of Prydain, #1)	Lloyd Alexander	3.96	79,662	https://www.goodreads.com/book/show/24780.The_Book_of_Three
The Wonderful Wizard of Oz (Oz, #1)	L. Frank Baum	3.97	410,634	https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
The Ordinary Princess	M.M. Kaye	4.20	13,061	https://www.goodreads.com/book/show/674749.The_Ordinary_Princess
Rapunzel's Revenge (Rapunzel's Revenge, #1)	Shannon Hale	3.89	16,423	https://www.goodreads.com/book/show/2626492-rapunzel-s-revenge
The Princess Bride	William Goldman	4.25	835,194	https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Silver Chair (Chronicles of Narnia, #4)	C.S. Lewis	3.95	266,833	https://www.goodreads.com/book/show/65641.The_Silver_Chair
Lady Knight (Protector of the Small, #4)	Tamora Pierce	4.26	54,461	https://www.goodreads.com/book/show/153800.Lady_Knight
Catching Fire (The Hunger Games, #2)	Suzanne Collins	4.30	2,845,376	https://www.goodreads.com/book/show/6148028-catching-fire
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,050	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Savvy (Savvy, #1)	Ingrid Law	3.98	46,235	https://www.goodreads.com/book/show/2133795.Savvy
The Hero and the Crown (Damar, #2)	Robin McKinley	4.21	51,144	https://www.goodreads.com/book/show/77366.The_Hero_and_the_Crown
Fablehaven (Fablehaven, #1)	Brandon Mull	4.09	149,006	https://www.goodreads.com/book/show/44652.Fablehaven
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,236	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Over Sea, Under Stone (The Dark is Rising, #1)	Susan Cooper	3.83	54,470	https://www.goodreads.com/book/show/11312.Over_Sea_Under_Stone
The Tale of Despereaux	Kate DiCamillo	4.03	179,714	https://www.goodreads.com/book/show/37190.The_Tale_of_Despereaux
Wyndano's Cloak	A.R. Silverberry	4.23	43	https://www.goodreads.com/book/show/7876164-wyndano-s-cloak
The Looking Glass Wars (The Looking Glass Wars, #1)	Frank Beddor	3.93	42,724	https://www.goodreads.com/book/show/44170.The_Looking_Glass_Wars
The Amaranth Enchantment	Julie Berry	3.66	11,672	https://www.goodreads.com/book/show/3843654-the-amaranth-enchantment
Into the Land of the Unicorns (The Unicorn Chronicles, #1)	Bruce Coville	4.07	18,048	https://www.goodreads.com/book/show/114701.Into_the_Land_of_the_Unicorns
Emperor Mage (Immortals, #3)	Tamora Pierce	4.20	67,806	https://www.goodreads.com/book/show/13833.Emperor_Mage
The Sea of Monsters (Percy Jackson and the Olympians, #2)	Rick Riordan	4.24	880,261	https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters
The Mysterious Benedict Society and the Prisoner's Dilemma (The Mysterious Benedict Society, #3)	Trenton Lee Stewart	4.30	36,255	https://www.goodreads.com/book/show/6164358-the-mysterious-benedict-society-and-the-prisoner-s-dilemma
Goose Chase	Patrice Kindl	3.75	5,292	https://www.goodreads.com/book/show/544315.Goose_Chase
River Secrets (The Books of Bayern, #3)	Shannon Hale	4.04	34,150	https://www.goodreads.com/book/show/248470.River_Secrets
Protector of the Small (Protector of the Small, #1-4)	Tamora Pierce	4.53	9,775	https://www.goodreads.com/book/show/153789.Protector_of_the_Small
The Immortals (Immortals, #1-4)	Tamora Pierce	4.58	7,826	https://www.goodreads.com/book/show/153797.The_Immortals
The Fairy-Tale Detectives (The Sisters Grimm #1)	Michael Buckley	4.02	52,657	https://www.goodreads.com/book/show/176327.The_Fairy_Tale_Detectives
Matilda	Roald Dahl	4.32	756,330	https://www.goodreads.com/book/show/39988.Matilda
The Tombs of Atuan (Earthsea Cycle, #2)	Ursula K. Le Guin	4.08	102,074	https://www.goodreads.com/book/show/13662.The_Tombs_of_Atuan
Bella at Midnight	Diane Stanley	3.79	6,632	https://www.goodreads.com/book/show/66084.Bella_at_Midnight
The Titan's Curse (Percy Jackson and the Olympians, #3)	Rick Riordan	4.34	806,209	https://www.goodreads.com/book/show/561456.The_Titan_s_Curse
The Bad Beginning (A Series of Unfortunate Events, #1)	Lemony Snicket	3.96	451,598	https://www.goodreads.com/book/show/78411.The_Bad_Beginning
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,127	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Prince Caspian (Chronicles of Narnia, #2)	C.S. Lewis	3.97	386,651	https://www.goodreads.com/book/show/121749.Prince_Caspian
The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)	Rick Riordan	4.39	854,122	https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth
The Last Olympian (Percy Jackson and the Olympians, #5)	Rick Riordan	4.50	780,714	https://www.goodreads.com/book/show/4502507-the-last-olympian
The Seer and the Sword	Victoria Hanley	4.12	10,465	https://www.goodreads.com/book/show/420415.The_Seer_and_the_Sword
Calling on Dragons (Enchanted Forest Chronicles, #3)	Patricia C. Wrede	4.19	41,107	https://www.goodreads.com/book/show/169879.Calling_on_Dragons
The Dark Is Rising (The Dark is Rising, #2)	Susan Cooper	4.05	53,669	https://www.goodreads.com/book/show/210329.The_Dark_Is_Rising
Alice's Adventures in Wonderland / Through the Looking-Glass	Lewis Carroll	4.06	501,213	https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
The Blue Sword (Damar, #1)	Robin McKinley	4.17	62,606	https://www.goodreads.com/book/show/407813.The_Blue_Sword
East (East, #1)	Edith Pattou	4.14	41,156	https://www.goodreads.com/book/show/161887.East
Redwall (Redwall, #1)	Brian Jacques	4.10	114,104	https://www.goodreads.com/book/show/7996.Redwall
Magyk (Septimus Heap, #1)	Angie Sage	3.83	119,386	https://www.goodreads.com/book/show/769483.Magyk
The Fairy Rebel	Lynne Reid Banks	4.07	2,764	https://www.goodreads.com/book/show/259598.The_Fairy_Rebel
Searching for Dragons (Enchanted Forest Chronicles, #2)	Patricia C. Wrede	4.27	41,931	https://www.goodreads.com/book/show/169875.Searching_for_Dragons
The Giver (The Giver, #1)	Lois Lowry	4.13	2,015,013	https://www.goodreads.com/book/show/3636.The_Giver
The Goblin Wood (Goblin Wood, #1)	Hilari Bell	3.94	4,225	https://www.goodreads.com/book/show/248378.The_Goblin_Wood
Coraline	Neil Gaiman	4.06	558,757	https://www.goodreads.com/book/show/17061.Coraline
Mairelon the Magician (Mairelon, #1)	Patricia C. Wrede	3.99	8,697	https://www.goodreads.com/book/show/245727.Mairelon_the_Magician
The Miraculous Journey of Edward Tulane	Kate DiCamillo	4.32	94,613	https://www.goodreads.com/book/show/37186.The_Miraculous_Journey_of_Edward_Tulane
Five Children and It (Five Children #1)	E. Nesbit	3.85	25,627	https://www.goodreads.com/book/show/45181.Five_Children_and_It
Dragonsinger (Harper Hall, #2)	Anne McCaffrey	4.28	44,537	https://www.goodreads.com/book/show/28547.Dragonsinger
The Last Battle (Chronicles of Narnia, #7)	C.S. Lewis	4.00	248,370	https://www.goodreads.com/book/show/84369.The_Last_Battle
Alessia in Atlantis: The Forbidden Vial	Nathalie Laine	4.20	117	https://www.goodreads.com/book/show/55902829-alessia-in-atlantis
The BFG	Roald Dahl	4.20	422,844	https://www.goodreads.com/book/show/6319.The_BFG
Peter Pan	J.M. Barrie	4.02	315,024	https://www.goodreads.com/book/show/34268.Peter_Pan
Artemis Fowl (Artemis Fowl, #1)	Eoin Colfer	3.85	535,918	https://www.goodreads.com/book/show/249747.Artemis_Fowl
The Magician's Nephew (Chronicles of Narnia, #6)	C.S. Lewis	4.04	461,352	https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
Princess of the Silver Woods ( The Princesses of Westfalin Trilogy, #3)	Jessica Day George	4.06	12,277	https://www.goodreads.com/book/show/12873027-princess-of-the-silver-woods
Talking to Dragons (Enchanted Forest Chronicles, #4)	Patricia C. Wrede	4.19	34,383	https://www.goodreads.com/book/show/169871.Talking_to_Dragons
Silver on the Tree (The Dark is Rising, #5)	Susan Cooper	4.07	36,027	https://www.goodreads.com/book/show/11313.Silver_on_the_Tree
Greenwitch (The Dark is Rising, #3)	Susan Cooper	3.98	29,695	https://www.goodreads.com/book/show/24963.Greenwitch
The Wee Free Men (Discworld, #30; Tiffany Aching, #1)	Terry Pratchett	4.24	104,708	https://www.goodreads.com/book/show/34494.The_Wee_Free_Men
Dragon's Keep (Wilde Island Chronicles #1)	Janet Lee Carey	3.65	7,631	https://www.goodreads.com/book/show/626096.Dragon_s_Keep
Tuesdays at the Castle (Castle Glower, #1)	Jessica Day George	4.10	19,103	https://www.goodreads.com/book/show/10508431-tuesdays-at-the-castle
The Wide-Awake Princess (Wide-Awake Princess, #1)	E.D. Baker	4.12	12,847	https://www.goodreads.com/book/show/7197913-the-wide-awake-princess
Crown Duel (Crown & Court #1-2)	Sherwood Smith	4.19	24,663	https://www.goodreads.com/book/show/21060.Crown_Duel
The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)	Catherynne M. Valente	3.91	43,779	https://www.goodreads.com/book/show/9591398-the-girl-who-circumnavigated-fairyland-in-a-ship-of-her-own-making
The Ruins of Gorlan (Ranger's Apprentice, #1)	John Flanagan	4.21	138,188	https://www.goodreads.com/book/show/60400.The_Ruins_of_Gorlan
Jellybean the Dragon (The Jellybean the Dragon Stories #1)	Elias Zapple	4.89	47	https://www.goodreads.com/book/show/18776164-jellybean-the-dragon
Cece Rios and the Desert of Souls (Cece Rios, #1)	Kaela Rivera	4.45	626	https://www.goodreads.com/book/show/49613673-cece-rios-and-the-desert-of-souls
The Velveteen Rabbit	Margery Williams Bianco	4.26	242,518	https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit
Search for the Lost Kingdom (Eldohr Adventures, #1)	T.L. Wood	4.22	58	https://www.goodreads.com/book/show/7771450-search-for-the-lost-kingdom
Brigitta of the White Forest (Faerie Tales from the White Forest, #1)	Danika Dinsmore	4.14	94	https://www.goodreads.com/book/show/10187685-brigitta-of-the-white-forest
Beast	Donna Jo Napoli	3.47	6,885	https://www.goodreads.com/book/show/81130.Beast
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)	Ransom Riggs	3.91	1,098,746	https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children
Mary Poppins (Mary Poppins, #1)	P.L. Travers	4.02	122,974	https://www.goodreads.com/book/show/152380.Mary_Poppins
James and the Giant Peach	Roald Dahl	4.01	419,626	https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach
The Farthest-Away Mountain	Lynne Reid Banks	4.21	2,375	https://www.goodreads.com/book/show/225092.The_Farthest_Away_Mountain
The Silver Crown	Robert C. O'Brien	3.93	3,032	https://www.goodreads.com/book/show/440496.The_Silver_Crown
Zel	Donna Jo Napoli	3.60	6,870	https://www.goodreads.com/book/show/54356.Zel
Enchantress from the Stars (Elana, #1)	Sylvia Engdahl	3.96	3,632	https://www.goodreads.com/book/show/4580.Enchantress_from_the_Stars
The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)	Michael Scott	3.84	155,333	https://www.goodreads.com/book/show/977841.The_Alchemyst
Pandora Gets Jealous (Mythic Misadventures #1)	Carolyn Hennesy	3.74	4,203	https://www.goodreads.com/book/show/2091315.Pandora_Gets_Jealous
The Neverending Story	Michael Ende	4.15	185,040	https://www.goodreads.com/book/show/27712.The_Neverending_Story
Spindle's End	Robin McKinley	3.82	22,698	https://www.goodreads.com/book/show/77368.Spindle_s_End
Quest for a Maid	Frances Mary Hendry	4.07	2,472	https://www.goodreads.com/book/show/236625.Quest_for_a_Maid
The Warrior Heir (The Heir Chronicles, #1)	Cinda Williams Chima	3.94	49,735	https://www.goodreads.com/book/show/213647.The_Warrior_Heir
The Thirteenth Princess	Diane Zahler	3.95	6,153	https://www.goodreads.com/book/show/6295173-the-thirteenth-princess
The Last Unicorn (The Last Unicorn, #1)	Peter S. Beagle	4.14	104,677	https://www.goodreads.com/book/show/29127.The_Last_Unicorn
Trickster's Choice (Daughter of the Lioness, #1)	Tamora Pierce	4.19	70,455	https://www.goodreads.com/book/show/24431.Trickster_s_Choice
Emylee of Forest Springs (Fair Youth, #1)	Christine Dzidrums	4.48	31	https://www.goodreads.com/book/show/13574919-emylee-of-forest-springs
The Virtual Life of Lexie Diamond	Victoria Foyt	3.25	48	https://www.goodreads.com/book/show/1427957.The_Virtual_Life_of_Lexie_Diamond
The Dark Hills Divide (The Land of Elyon, #1)	Patrick Carman	3.73	21,218	https://www.goodreads.com/book/show/81524.The_Dark_Hills_Divide
The Candymakers (The Candymakers, #1)	Wendy Mass	4.30	24,621	https://www.goodreads.com/book/show/8112318-the-candymakers
The Red Pyramid (The Kane Chronicles, #1)	Rick Riordan	4.08	360,278	https://www.goodreads.com/book/show/7090447-the-red-pyramid
