title	author	ave_rating	no_rating	link
Fire and Hemlock	Diana Wynne Jones	3.97	9,774	https://www.goodreads.com/book/show/367158.Fire_and_Hemlock
The Darkangel (Darkangel Trilogy, #1)	Meredith Ann Pierce	3.90	9,061	https://www.goodreads.com/book/show/92717.The_Darkangel
The Perilous Gard	Elizabeth Marie Pope	4.09	8,424	https://www.goodreads.com/book/show/195381.The_Perilous_Gard
The Outlands (The Outlands Saga #1)	Tyler Edwards	4.12	577	https://www.goodreads.com/book/show/56305116-the-outlands
Mairelon the Magician (Mairelon, #1)	Patricia C. Wrede	3.99	8,697	https://www.goodreads.com/book/show/245727.Mairelon_the_Magician
Dragon's Bait	Vivian Vande Velde	3.93	7,755	https://www.goodreads.com/book/show/372807.Dragon_s_Bait
StarCrossed (Thief Errant, #1)	Elizabeth C. Bunce	3.79	6,741	https://www.goodreads.com/book/show/7877549-starcrossed
Poison	Chris Wooding	3.99	6,038	https://www.goodreads.com/book/show/1060562.Poison
Year of the Griffin (Derkholm, #2)	Diana Wynne Jones	4.11	8,922	https://www.goodreads.com/book/show/462169.Year_of_the_Griffin
The Sherwood Ring	Elizabeth Marie Pope	4.12	3,879	https://www.goodreads.com/book/show/420427.The_Sherwood_Ring
Brightly Woven	Alexandra Bracken	3.80	9,003	https://www.goodreads.com/book/show/6580510-brightly-woven
Flora Segunda (Flora Trilogy #1)	Ysabeau S. Wilce	3.69	4,307	https://www.goodreads.com/book/show/229033.Flora_Segunda
Magician's Ward (Mairelon, #2)	Patricia C. Wrede	4.13	7,659	https://www.goodreads.com/book/show/169885.Magician_s_Ward
Blackbringer (Faeries of Dreamdark, #1)	Laini Taylor	4.05	5,451	https://www.goodreads.com/book/show/596963.Blackbringer
The Changeover	Margaret Mahy	4.06	3,859	https://www.goodreads.com/book/show/351461.The_Changeover
The Sunshine Stone	Foster Henderson	4.36	202	https://www.goodreads.com/book/show/36285138-the-sunshine-stone
A Posse of Princesses	Sherwood Smith	3.80	4,069	https://www.goodreads.com/book/show/2852832-a-posse-of-princesses
Crown Duel (Crown & Court, #1)	Sherwood Smith	3.99	8,321	https://www.goodreads.com/book/show/596307.Crown_Duel
Dogsbody	Diana Wynne Jones	4.08	6,626	https://www.goodreads.com/book/show/18932.Dogsbody
The Changeling Sea	Patricia A. McKillip	4.07	5,221	https://www.goodreads.com/book/show/59.The_Changeling_Sea
The Safe-Keeper's Secret (Safe-Keepers, #1)	Sharon Shinn	3.82	4,755	https://www.goodreads.com/book/show/241976.The_Safe_Keeper_s_Secret
Tamsin	Peter S. Beagle	4.01	3,743	https://www.goodreads.com/book/show/11933.Tamsin
Deep Secret (Magids, #1)	Diana Wynne Jones	4.11	6,247	https://www.goodreads.com/book/show/34282.Deep_Secret
Wise Child (Doran #1)	Monica Furlong	4.17	8,739	https://www.goodreads.com/book/show/540489.Wise_Child
Hexwood	Diana Wynne Jones	4.00	4,212	https://www.goodreads.com/book/show/47528.Hexwood
Shadow Spinner	Susan Fletcher	4.06	7,585	https://www.goodreads.com/book/show/358258.Shadow_Spinner
The Tethered World (The Tethered World Chronicles, #1)	Heather L.L. FitzGerald	4.27	231	https://www.goodreads.com/book/show/27426952-the-tethered-world
A College of Magics (A College of Magics, #1)	Caroline Stevermer	3.71	5,607	https://www.goodreads.com/book/show/382870.A_College_of_Magics
Ice	Sarah Beth Durst	3.71	7,126	https://www.goodreads.com/book/show/6321845-ice
The Tough Guide To Fantasyland	Diana Wynne Jones	3.95	4,712	https://www.goodreads.com/book/show/607706.The_Tough_Guide_To_Fantasyland
Black Unicorn (Unicorn, #1)	Tanith Lee	3.89	4,077	https://www.goodreads.com/book/show/377291.Black_Unicorn
The Raging Quiet	Sherryl Jordan	4.23	4,432	https://www.goodreads.com/book/show/118754.The_Raging_Quiet
Fly by Night	Frances Hardinge	3.78	6,621	https://www.goodreads.com/book/show/710437.Fly_by_Night
The Savage Damsel and the Dwarf (The Squire's Tales, #3)	Gerald Morris	4.24	5,365	https://www.goodreads.com/book/show/1103543.The_Savage_Damsel_and_the_Dwarf
Winter Rose (Winter Rose, #1)	Patricia A. McKillip	3.85	7,079	https://www.goodreads.com/book/show/77364.Winter_Rose
Young Warriors: Stories of Strength	Tamora Pierce	3.91	3,888	https://www.goodreads.com/book/show/13832.Young_Warriors
Conrad's Fate (Chrestomanci, #5)	Diana Wynne Jones	4.07	9,888	https://www.goodreads.com/book/show/13759.Conrad_s_Fate
The Grand Tour (Cecelia and Kate, #2)	Patricia C. Wrede	3.67	6,804	https://www.goodreads.com/book/show/169878.The_Grand_Tour
Court Duel (Crown & Court, #2)	Sherwood Smith	4.25	9,196	https://www.goodreads.com/book/show/596308.Court_Duel
Dragon's Keep (Wilde Island Chronicles #1)	Janet Lee Carey	3.65	7,631	https://www.goodreads.com/book/show/626096.Dragon_s_Keep
The Eighth Day (Eighth Day, #1)	Dianne K. Salerni	4.04	4,117	https://www.goodreads.com/book/show/18635086-the-eighth-day
The Dalemark Quartet (The Dalemark Quartet, #1-4)	Diana Wynne Jones	4.21	666	https://www.goodreads.com/book/show/47601.The_Dalemark_Quartet
Alphabet of Thorn	Patricia A. McKillip	4.08	5,500	https://www.goodreads.com/book/show/81075.Alphabet_of_Thorn
The Goblin Wood (Goblin Wood, #1)	Hilari Bell	3.94	4,226	https://www.goodreads.com/book/show/248378.The_Goblin_Wood
