title	author	ave_rating	no_rating	link
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,983	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,110	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,432	https://www.goodreads.com/book/show/518848.Sabriel
Ella Enchanted (Ella Enchanted #1)	Gail Carson Levine	3.98	408,266	https://www.goodreads.com/book/show/24337.Ella_Enchanted
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,129	https://www.goodreads.com/book/show/3236307-graceling
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,212	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,135	https://www.goodreads.com/book/show/13831.Alanna
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,752	https://www.goodreads.com/book/show/60510.Poison_Study
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,055	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Woman Who Rides Like a Man (Song of the Lioness, #3)	Tamora Pierce	4.13	82,417	https://www.goodreads.com/book/show/13830.The_Woman_Who_Rides_Like_a_Man
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,633	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,306	https://www.goodreads.com/book/show/345627.Vampire_Academy
The Blue Sword (Damar, #1)	Robin McKinley	4.17	62,607	https://www.goodreads.com/book/show/407813.The_Blue_Sword
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,144	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,669	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,595	https://www.goodreads.com/book/show/71811.Moon_Called
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,679	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,097	https://www.goodreads.com/book/show/2767052-the-hunger-games
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,818	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	Gregory Maguire	3.54	587,087	https://www.goodreads.com/book/show/37442.Wicked
Lirael (Abhorsen, #2)	Garth Nix	4.24	118,633	https://www.goodreads.com/book/show/47624.Lirael
Terrier (Beka Cooper, #1)	Tamora Pierce	4.09	73,289	https://www.goodreads.com/book/show/13829.Terrier
Fire (Graceling Realm, #2)	Kristin Cashore	4.08	179,288	https://www.goodreads.com/book/show/6137154-fire
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,570	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Dealing with Dragons (Enchanted Forest Chronicles, #1)	Patricia C. Wrede	4.11	92,664	https://www.goodreads.com/book/show/150739.Dealing_with_Dragons
