title	author	ave_rating	no_rating	link
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,591	https://www.goodreads.com/book/show/71811.Moon_Called
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,978	https://www.goodreads.com/book/show/38619.Magic_Bites
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,870	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Darkfever (Fever, #1)	Karen Marie Moning	4.04	176,896	https://www.goodreads.com/book/show/112750.Darkfever
Cry Wolf (Alpha & Omega, #1)	Patricia Briggs	4.11	96,558	https://www.goodreads.com/book/show/2355575.Cry_Wolf
Angels' Blood (Guild Hunter, #1)	Nalini Singh	4.06	86,927	https://www.goodreads.com/book/show/3819326-angels-blood
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,396	https://www.goodreads.com/book/show/47212.Storm_Front
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward	4.16	316,699	https://www.goodreads.com/book/show/42899.Dark_Lover
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,159	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
Some Girls Bite (Chicagoland Vampires, #1)	Chloe Neill	3.98	63,405	https://www.goodreads.com/book/show/4447622-some-girls-bite
Dead Until Dark (Sookie Stackhouse, #1)	Charlaine Harris	3.96	523,117	https://www.goodreads.com/book/show/301082.Dead_Until_Dark
Bitten (Otherworld, #1)	Kelley Armstrong	4.00	101,859	https://www.goodreads.com/book/show/11918.Bitten
Guilty Pleasures (Anita Blake, Vampire Hunter, #1)	Laurell K. Hamilton	4.01	141,270	https://www.goodreads.com/book/show/30281.Guilty_Pleasures
First Drop of Crimson (Night Huntress World, #1)	Jeaniene Frost	4.13	56,784	https://www.goodreads.com/book/show/6547187-first-drop-of-crimson
Spider's Bite (Elemental Assassin, #1)	Jennifer Estep	3.87	34,890	https://www.goodreads.com/book/show/6611038-spider-s-bite
Written in Red (The Others, #1)	Anne Bishop	4.24	56,009	https://www.goodreads.com/book/show/15711341-written-in-red
Rosemary and Rue (October Daye, #1)	Seanan McGuire	3.76	36,428	https://www.goodreads.com/book/show/6294549-rosemary-and-rue
Grave Witch (Alex Craft, #1)	Kalayna Price	3.93	33,298	https://www.goodreads.com/book/show/7823038-grave-witch
Storm Born (Dark Swan, #1)	Richelle Mead	3.87	33,336	https://www.goodreads.com/book/show/2754510-storm-born
Skinwalker (Jane Yellowrock, #1)	Faith Hunter	3.91	37,441	https://www.goodreads.com/book/show/5585788-skinwalker
Hounded (The Iron Druid Chronicles, #1)	Kevin Hearne	4.07	86,300	https://www.goodreads.com/book/show/9533378-hounded
Succubus Blues (Georgina Kincaid, #1)	Richelle Mead	3.93	56,565	https://www.goodreads.com/book/show/235718.Succubus_Blues
Soulless (Parasol Protectorate, #1)	Gail Carriger	3.87	112,727	https://www.goodreads.com/book/show/6381205-soulless
Burn for Me (Hidden Legacy, #1)	Ilona Andrews	4.31	50,060	https://www.goodreads.com/book/show/20705702-burn-for-me
On the Edge (The Edge, #1)	Ilona Andrews	4.02	42,762	https://www.goodreads.com/book/show/6329547-on-the-edge
