title	author	ave_rating	no_rating	link
The Lord of the Rings	J.R.R. Tolkien	4.50	609,989	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,610	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,790	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,592	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,048	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,060	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,658	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,158	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,876	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,103	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.54	746,469	https://www.goodreads.com/book/show/18512.The_Return_of_the_King
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,561,038	https://www.goodreads.com/book/show/113436.Eragon
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,106	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,975	https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	4.45	797,410	https://www.goodreads.com/book/show/15241.The_Two_Towers
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,844	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,986	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,529	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,175	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,128	https://www.goodreads.com/book/show/3236307-graceling
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,235	https://www.goodreads.com/book/show/256683.City_of_Bones
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,556	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,198	https://www.goodreads.com/book/show/43615.The_Gunslinger
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,984	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
Dune (Dune, #1)	Frank Herbert	4.24	975,288	https://www.goodreads.com/book/show/44767458-dune
Furies of Calderon (Codex Alera, #1)	Jim Butcher	4.10	104,134	https://www.goodreads.com/book/show/29396.Furies_of_Calderon
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	Douglas Adams	4.22	1,592,325	https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,549	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Silmarillion	J.R.R. Tolkien	3.94	242,680	https://www.goodreads.com/book/show/7332.The_Silmarillion
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,212	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
Ella Enchanted (Ella Enchanted #1)	Gail Carson Levine	3.98	408,266	https://www.goodreads.com/book/show/24337.Ella_Enchanted
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,808	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	Laini Taylor	3.98	352,468	https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,231	https://www.goodreads.com/book/show/7896527-throne-of-glass
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,305	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
Dragonflight (Dragonriders of Pern, #1)	Anne McCaffrey	4.08	135,669	https://www.goodreads.com/book/show/61975.Dragonflight
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,047	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,912	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.14	669,465	https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,953	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
