title	author	ave_rating	no_rating	link
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,560,954	https://www.goodreads.com/book/show/113436.Eragon
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,131	https://www.goodreads.com/book/show/13831.Alanna
Bitterblue (Graceling Realm, #3)	Kristin Cashore	3.98	114,940	https://www.goodreads.com/book/show/12680907-bitterblue
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,744	https://www.goodreads.com/book/show/60510.Poison_Study
The Girl of Fire and Thorns (Fire and Thorns, #1)	Rae Carson	3.79	78,681	https://www.goodreads.com/book/show/10429092-the-girl-of-fire-and-thorns
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,782	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
Shadow and Bone (The Shadow and Bone Trilogy, #1)	Leigh Bardugo	3.96	626,878	https://www.goodreads.com/book/show/10194157-shadow-and-bone
Wild Magic (Immortals, #1)	Tamora Pierce	4.24	82,818	https://www.goodreads.com/book/show/13836.Wild_Magic
Seraphina (Seraphina, #1)	Rachel Hartman	3.92	89,633	https://www.goodreads.com/book/show/12394100-seraphina
Eldest (The Inheritance Cycle, #2)	Christopher Paolini	3.99	395,619	https://www.goodreads.com/book/show/45978.Eldest
The Demon King (Seven Realms, #1)	Cinda Williams Chima	4.11	78,566	https://www.goodreads.com/book/show/6342491-the-demon-king
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,415	https://www.goodreads.com/book/show/518848.Sabriel
Brisingr (The Inheritance Cycle, #3)	Christopher Paolini	4.05	336,229	https://www.goodreads.com/book/show/2248573.Brisingr
The Woman Who Rides Like a Man (Song of the Lioness, #3)	Tamora Pierce	4.13	82,415	https://www.goodreads.com/book/show/13830.The_Woman_Who_Rides_Like_a_Man
Terrier (Beka Cooper, #1)	Tamora Pierce	4.09	73,290	https://www.goodreads.com/book/show/13829.Terrier
The False Prince (Ascendance, #1)	Jennifer A. Nielsen	4.17	89,327	https://www.goodreads.com/book/show/12432220-the-false-prince
The Naming (The Books of Pellinor, #1)	Alison Croggon	4.02	25,000	https://www.goodreads.com/book/show/393146.The_Naming
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,008	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
The Exiled Queen (Seven Realms, #2)	Cinda Williams Chima	4.33	47,448	https://www.goodreads.com/book/show/7801229-the-exiled-queen
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,435	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Eon: Dragoneye Reborn (Eon, #1)	Alison Goodman	3.92	66,487	https://www.goodreads.com/book/show/2986865-eon
In the Hand of the Goddess (Song of the Lioness, #2)	Tamora Pierce	4.18	99,668	https://www.goodreads.com/book/show/13835.In_the_Hand_of_the_Goddess
Finnikin of the Rock (Lumatere Chronicles, #1)	Melina Marchetta	3.86	50,448	https://www.goodreads.com/book/show/4932435-finnikin-of-the-rock
Lioness Rampant (Song of the Lioness, #4)	Tamora Pierce	4.22	92,384	https://www.goodreads.com/book/show/13837.Lioness_Rampant
The Goose Girl (The Books of Bayern, #1)	Shannon Hale	4.09	147,330	https://www.goodreads.com/book/show/179064.The_Goose_Girl
First Test (Protector of the Small, #1)	Tamora Pierce	4.16	64,601	https://www.goodreads.com/book/show/153784.First_Test
Trickster's Choice (Daughter of the Lioness, #1)	Tamora Pierce	4.19	70,455	https://www.goodreads.com/book/show/24431.Trickster_s_Choice
The Thief (The Queen's Thief, #1)	Megan Whalen Turner	3.85	80,591	https://www.goodreads.com/book/show/448873.The_Thief
Eona: The Last Dragoneye (Eon, #2)	Alison Goodman	4.11	37,012	https://www.goodreads.com/book/show/7992995-eona
Falling Kingdoms (Falling Kingdoms, #1)	Morgan Rhodes	3.78	59,703	https://www.goodreads.com/book/show/12954620-falling-kingdoms
Touch of Power (Healer, #1)	Maria V. Snyder	4.14	43,793	https://www.goodreads.com/book/show/10445208-touch-of-power
