title	author	ave_rating	no_rating	link
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,695	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,983	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,715	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,114	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,578	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.54	746,475	https://www.goodreads.com/book/show/18512.The_Return_of_the_King
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,832	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,937	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,107,146	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	4.45	797,415	https://www.goodreads.com/book/show/15241.The_Two_Towers
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,372	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
The Lord of the Rings	J.R.R. Tolkien	4.50	609,991	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,163	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,799	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,596	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,561,051	https://www.goodreads.com/book/show/113436.Eragon
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,882	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,865	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
The Princess Bride	William Goldman	4.25	835,221	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Harry Potter Series Box Set (Harry Potter, #1-7)	J.K. Rowling	4.72	268,391	https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set
Inkheart (Inkworld, #1)	Cornelia Funke	3.89	405,125	https://www.goodreads.com/book/show/28194.Inkheart
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,570	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Silmarillion	J.R.R. Tolkien	3.94	242,684	https://www.goodreads.com/book/show/7332.The_Silmarillion
Artemis Fowl (Artemis Fowl, #1)	Eoin Colfer	3.85	535,929	https://www.goodreads.com/book/show/249747.Artemis_Fowl
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,429	https://www.goodreads.com/book/show/4407.American_Gods
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,818	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
Brisingr (The Inheritance Cycle, #3)	Christopher Paolini	4.05	336,241	https://www.goodreads.com/book/show/2248573.Brisingr
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,985	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
Eldest (The Inheritance Cycle, #2)	Christopher Paolini	3.99	395,636	https://www.goodreads.com/book/show/45978.Eldest
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,992	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,535	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
Watership Down (Watership Down, #1)	Richard Adams	4.06	456,338	https://www.goodreads.com/book/show/76620.Watership_Down
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,099	https://www.goodreads.com/book/show/12067.Good_Omens
Stardust	Neil Gaiman	4.08	396,685	https://www.goodreads.com/book/show/16793.Stardust
Breaking Dawn (The Twilight Saga, #4)	Stephenie Meyer	3.71	1,462,833	https://www.goodreads.com/book/show/1162543.Breaking_Dawn
New Moon (The Twilight Saga, #2)	Stephenie Meyer	3.56	1,631,517	https://www.goodreads.com/book/show/49041.New_Moon
The Amulet of Samarkand (Bartimaeus, #1)	Jonathan Stroud	3.99	127,179	https://www.goodreads.com/book/show/334123.The_Amulet_of_Samarkand
Guards! Guards! (Discworld, #8; City Watch #1)	Terry Pratchett	4.28	185,490	https://www.goodreads.com/book/show/64216.Guards_Guards_
Twilight (The Twilight Saga, #1)	Stephenie Meyer	3.62	5,501,856	https://www.goodreads.com/book/show/41865.Twilight
Alice in Wonderland	Jane Carruth	4.02	389,437	https://www.goodreads.com/book/show/13023.Alice_in_Wonderland
Eclipse (The Twilight Saga, #3)	Stephenie Meyer	3.71	1,572,489	https://www.goodreads.com/book/show/428263.Eclipse
The Belgariad, Vol. 1: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit (The Belgariad, #1-3)	David Eddings	4.28	15,505	https://www.goodreads.com/book/show/18878.The_Belgariad_Vol_1
The Opal Deception (Artemis Fowl, #4)	Eoin Colfer	4.02	140,709	https://www.goodreads.com/book/show/114954.The_Opal_Deception
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,050	https://www.goodreads.com/book/show/14497.Neverwhere
The Eternity Code (Artemis Fowl, #3)	Eoin Colfer	4.02	136,996	https://www.goodreads.com/book/show/227865.The_Eternity_Code
Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)	Stephen R. Donaldson	3.71	49,367	https://www.goodreads.com/book/show/219205.Lord_Foul_s_Bane
The Lost Colony (Artemis Fowl, #5)	Eoin Colfer	4.00	155,217	https://www.goodreads.com/book/show/37586.The_Lost_Colony
The Arctic Incident (Artemis Fowl, #2)	Eoin Colfer	3.94	153,870	https://www.goodreads.com/book/show/114955.The_Arctic_Incident
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,055	https://www.goodreads.com/book/show/68428.The_Final_Empire
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,137	https://www.goodreads.com/book/show/13831.Alanna
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,978	https://www.goodreads.com/book/show/45107.Assassin_s_Apprentice
His Dark Materials (His Dark Materials #1-3)	Philip Pullman	4.25	154,959	https://www.goodreads.com/book/show/18116.His_Dark_Materials
Thud! (Discworld, #34; City Watch #7)	Terry Pratchett	4.32	66,970	https://www.goodreads.com/book/show/62530.Thud_
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,249	https://www.goodreads.com/book/show/256683.City_of_Bones
Night Watch (Discworld, #29; City Watch, #6)	Terry Pratchett	4.44	104,876	https://www.goodreads.com/book/show/47989.Night_Watch
The Hero and the Crown (Damar, #2)	Robin McKinley	4.21	51,146	https://www.goodreads.com/book/show/77366.The_Hero_and_the_Crown
Elantris (Elantris, #1)	Brandon Sanderson	4.17	205,147	https://www.goodreads.com/book/show/68427.Elantris
Flyte (Septimus Heap, #2)	Angie Sage	4.01	69,254	https://www.goodreads.com/book/show/355917.Flyte
Lords and Ladies (Discworld, #14; Witches #4)	Terry Pratchett	4.14	76,213	https://www.goodreads.com/book/show/34529.Lords_and_Ladies
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,412	https://www.goodreads.com/book/show/47212.Storm_Front
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,145	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
The Angel Experiment (Maximum Ride, #1)	James Patterson	4.06	218,815	https://www.goodreads.com/book/show/13152.The_Angel_Experiment
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.14	669,470	https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
Jonathan Strange & Mr Norrell	Susanna Clarke	3.83	222,182	https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
The Once and Future King (The Once and Future King, #1-4)	T.H. White	4.04	109,121	https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
Dracula	Bram Stoker	4.00	1,050,947	https://www.goodreads.com/book/show/17245.Dracula
The Last Unicorn (The Last Unicorn, #1)	Peter S. Beagle	4.14	104,684	https://www.goodreads.com/book/show/29127.The_Last_Unicorn
Dragonflight (Dragonriders of Pern, #1)	Anne McCaffrey	4.08	135,669	https://www.goodreads.com/book/show/61975.Dragonflight
Dune (Dune #1)	Frank Herbert	4.24	975,305	https://www.goodreads.com/book/show/234225.Dune
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,809	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,621	https://www.goodreads.com/book/show/944073.The_Blade_Itself
Prince Caspian (Chronicles of Narnia, #2)	C.S. Lewis	3.97	386,684	https://www.goodreads.com/book/show/121749.Prince_Caspian
In the Night Garden (The Orphan's Tales, #1)	Catherynne M. Valente	3.86	11,866	https://www.goodreads.com/book/show/202769.In_the_Night_Garden
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,655	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3; Legend of Drizzt, #4-6)	R.A. Salvatore	4.30	15,641	https://www.goodreads.com/book/show/62485.The_Icewind_Dale_Trilogy_Collector_s_Edition
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,110	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice	4.00	522,976	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Peter and the Starcatchers (Peter and the Starcatchers, #1)	Dave Barry	4.03	74,439	https://www.goodreads.com/book/show/34262.Peter_and_the_Starcatchers
The Sword of Shannara (The Original Shannara Trilogy, #1)	Terry Brooks	3.76	93,863	https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara
The Wonderful Wizard of Oz (Oz, #1)	L. Frank Baum	3.97	410,660	https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
His Majesty's Dragon (Temeraire, #1)	Naomi Novik	4.03	90,501	https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon
Going Postal (Discworld, #33; Moist von Lipwig, #1)	Terry Pratchett	4.35	114,529	https://www.goodreads.com/book/show/64222.Going_Postal
The Neverending Story	Michael Ende	4.15	185,053	https://www.goodreads.com/book/show/27712.The_Neverending_Story
Dreams of the Ringed Vale (Luthiel's Song, #1)	Robert Fanney	3.54	5,680	https://www.goodreads.com/book/show/526764.Dreams_of_the_Ringed_Vale
Dragons of Autumn Twilight (Dragonlance: Chronicles, #1)	Margaret Weis	3.99	114,436	https://www.goodreads.com/book/show/259836.Dragons_of_Autumn_Twilight
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,199	https://www.goodreads.com/book/show/43615.The_Gunslinger
Small Gods (Discworld, #13)	Terry Pratchett	4.29	107,239	https://www.goodreads.com/book/show/34484.Small_Gods
A Swiftly Tilting Planet (Time Quintet, #3)	Madeleine L'Engle	4.07	110,530	https://www.goodreads.com/book/show/77276.A_Swiftly_Tilting_Planet
School's Out—Forever (Maximum Ride, #2)	James Patterson	4.14	117,194	https://www.goodreads.com/book/show/13139.School_s_Out_Forever
Le Morte d'Arthur: King Arthur and the Legends of the Round Table	Thomas Malory	3.92	35,881	https://www.goodreads.com/book/show/672875.Le_Morte_d_Arthur
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,595	https://www.goodreads.com/book/show/71811.Moon_Called
The Golem's Eye (Bartimaeus, #2)	Jonathan Stroud	4.08	91,944	https://www.goodreads.com/book/show/59263.The_Golem_s_Eye
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,177	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
Peter Pan	J.M. Barrie	4.02	315,042	https://www.goodreads.com/book/show/34268.Peter_Pan
Magician: Apprentice (The Riftwar Saga, #1)	Raymond E. Feist	4.14	91,484	https://www.goodreads.com/book/show/13812.Magician
Fablehaven (Fablehaven, #1)	Brandon Mull	4.09	149,012	https://www.goodreads.com/book/show/44652.Fablehaven
A Job From Hell (Ancient Legends, #1)	Jayde Scott	3.55	8,144	https://www.goodreads.com/book/show/11267847-a-job-from-hell
Warbreaker (Warbreaker, #1)	Brandon Sanderson	4.27	143,191	https://www.goodreads.com/book/show/1268479.Warbreaker
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,149	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
The Magicians' Guild (Black Magician Trilogy, #1)	Trudi Canavan	3.93	80,122	https://www.goodreads.com/book/show/28249.The_Magicians_Guild
Pawn of Prophecy (The Belgariad, #1)	David Eddings	4.13	102,247	https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy
The Great Hunt (The Wheel of Time, #2)	Robert Jordan	4.23	257,852	https://www.goodreads.com/book/show/233649.The_Great_Hunt
Wild Magic (Immortals, #1)	Tamora Pierce	4.24	82,821	https://www.goodreads.com/book/show/13836.Wild_Magic
Death Masks (The Dresden Files, #5)	Jim Butcher	4.27	130,190	https://www.goodreads.com/book/show/91479.Death_Masks
Small Favor (The Dresden Files, #10)	Jim Butcher	4.44	98,977	https://www.goodreads.com/book/show/927979.Small_Favor
Anansi Boys (American Gods #2)	Neil Gaiman	4.01	211,737	https://www.goodreads.com/book/show/2744.Anansi_Boys
The Dragon Reborn (The Wheel of Time, #3)	Robert Jordan	4.25	237,423	https://www.goodreads.com/book/show/34897.The_Dragon_Reborn
Bridge Over Hell (Heroes in Hell, #15)	Michael A. Armstrong	4.88	33	https://www.goodreads.com/book/show/16130175-bridge-over-hell
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,633	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Furies of Calderon (Codex Alera, #1)	Jim Butcher	4.10	104,135	https://www.goodreads.com/book/show/29396.Furies_of_Calderon
The Master and Margarita	Mikhail Bulgakov	4.28	278,154	https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
The God Eaters	Jesse Hajicek	4.11	3,123	https://www.goodreads.com/book/show/613268.The_God_Eaters
Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)	Lewis Carroll	4.04	125,724	https://www.goodreads.com/book/show/83346.Through_the_Looking_Glass_and_What_Alice_Found_There
Nine Princes in Amber (The Chronicles of Amber #1)	Roger Zelazny	4.04	57,074	https://www.goodreads.com/book/show/92121.Nine_Princes_in_Amber
The Great Book of Amber (The Chronicles of Amber, #1-10)	Roger Zelazny	4.31	24,787	https://www.goodreads.com/book/show/5367.The_Great_Book_of_Amber
The Last Battle (Chronicles of Narnia, #7)	C.S. Lewis	4.00	248,385	https://www.goodreads.com/book/show/84369.The_Last_Battle
The Complete Grimm's Fairy Tales	Jacob Grimm	4.27	153,434	https://www.goodreads.com/book/show/22917.The_Complete_Grimm_s_Fairy_Tales
Witch Song (Witch Song, #1)	Amber Argyle	3.68	5,381	https://www.goodreads.com/book/show/10400575-witch-song
King's Lament	Lilia Blanc	3.69	87	https://www.goodreads.com/book/show/33022673-king-s-lament
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,214	https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
The Elfstones of Shannara (The Original Shannara Trilogy, #2)	Terry Brooks	3.95	71,817	https://www.goodreads.com/book/show/189783.The_Elfstones_of_Shannara
The Aureate Spectacles	Eliott McKay	3.74	90	https://www.goodreads.com/book/show/33539383-the-aureate-spectacles
Lord of Chaos (The Wheel of Time, #6)	Robert Jordan	4.14	144,410	https://www.goodreads.com/book/show/35231.Lord_of_Chaos
The Shifter Dimension (Starbirth, #2)	J.M. Johnson	4.57	104	https://www.goodreads.com/book/show/16079583-the-shifter-dimension
The Subtle Knife (His Dark Materials, #2)	Philip Pullman	4.13	404,453	https://www.goodreads.com/book/show/119324.The_Subtle_Knife
White Night (The Dresden Files, #9)	Jim Butcher	4.36	112,458	https://www.goodreads.com/book/show/91475.White_Night
Genie-Alogy	H.B. Morris	4.54	65	https://www.goodreads.com/book/show/25410135-genie-alogy
The Crystal Cave (Arthurian Saga, #1)	Mary Stewart	4.13	43,271	https://www.goodreads.com/book/show/82192.The_Crystal_Cave
Dragonquest (Pern, #2)	Anne McCaffrey	4.05	51,897	https://www.goodreads.com/book/show/127584.Dragonquest
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,129	https://www.goodreads.com/book/show/3236307-graceling
Elric of Melniboné (The Elric Saga, #1)	Michael Moorcock	3.89	24,124	https://www.goodreads.com/book/show/30036.Elric_of_Melnibon_
The Lost Hero (The Heroes of Olympus, #1)	Rick Riordan	4.31	713,093	https://www.goodreads.com/book/show/7736182-the-lost-hero
