title	author	ave_rating	no_rating	link
Shadows of Self (Mistborn, #5)	Brandon Sanderson	4.27	102,184	https://www.goodreads.com/book/show/16065004-shadows-of-self
Queen of Fire (Raven's Shadow, #3)	Anthony Ryan	3.69	24,532	https://www.goodreads.com/book/show/18405221-queen-of-fire
The Liar's Key (The Red Queen's War, #2)	Mark Lawrence	4.25	18,000	https://www.goodreads.com/book/show/22852698-the-liar-s-key
Firefight (The Reckoners, #2)	Brandon Sanderson	4.26	89,805	https://www.goodreads.com/book/show/15704459-firefight
The Skull Throne (Demon Cycle, #4)	Peter V. Brett	4.14	34,945	https://www.goodreads.com/book/show/13630171-the-skull-throne
The Autumn Republic (Powder Mage, #3)	Brian McClellan	4.37	26,266	https://www.goodreads.com/book/show/20883847-the-autumn-republic
Fool's Quest (The Fitz and The Fool, #2)	Robin Hobb	4.52	34,260	https://www.goodreads.com/book/show/23157777-fool-s-quest
The Death of Dulgath (The Riyria Chronicles, #3)	Michael J. Sullivan	4.39	14,538	https://www.goodreads.com/book/show/24683898-the-death-of-dulgath
The Aeronaut's Windlass (The Cinder Spires, #1)	Jim Butcher	4.18	38,580	https://www.goodreads.com/book/show/24876258-the-aeronaut-s-windlass
Half the World (Shattered Sea, #2)	Joe Abercrombie	4.20	32,728	https://www.goodreads.com/book/show/21066604-half-the-world
The Providence of Fire (Chronicle of the Unhewn Throne, #2)	Brian Staveley	4.12	21,580	https://www.goodreads.com/book/show/22055280-the-providence-of-fire
Armada	Ernest Cline	3.55	109,918	https://www.goodreads.com/book/show/16278318-armada
Queen of Shadows (Throne of Glass, #4)	Sarah J. Maas	4.53	334,475	https://www.goodreads.com/book/show/18006496-queen-of-shadows
Half a War (Shattered Sea, #3)	Joe Abercrombie	4.03	26,489	https://www.goodreads.com/book/show/22381326-half-a-war
Winter (The Lunar Chronicles, #4)	Marissa Meyer	4.41	234,410	https://www.goodreads.com/book/show/13206900-winter
Magic Shifts (Kate Daniels, #8)	Ilona Andrews	4.40	39,386	https://www.goodreads.com/book/show/17333171-magic-shifts
A Darker Shade of Magic (Shades of Magic, #1)	V.E. Schwab	4.06	258,818	https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic
A Court of Thorns and Roses (A Court of Thorns and Roses, #1)	Sarah J. Maas	4.18	792,824	https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
Golden Son (Red Rising Saga, #2)	Pierce Brown	4.43	171,311	https://www.goodreads.com/book/show/18966819-golden-son
Nemesis Games (The Expanse, #5)	James S.A. Corey	4.41	71,757	https://www.goodreads.com/book/show/22886612-nemesis-games
Seveneves	Neal Stephenson	3.98	106,295	https://www.goodreads.com/book/show/22752699-seveneves
Vision in Silver (The Others, #3)	Anne Bishop	4.21	33,524	https://www.goodreads.com/book/show/21457243-vision-in-silver
The Fifth Season (The Broken Earth, #1)	N.K. Jemisin	4.27	199,790	https://www.goodreads.com/book/show/19161852-the-fifth-season
Uprooted	Naomi Novik	4.04	202,133	https://www.goodreads.com/book/show/22448211-uprooted
Dead Heat (Alpha & Omega #4, Mercy Thompson World - Complete #11)	Patricia Briggs	4.26	35,622	https://www.goodreads.com/book/show/22571699-dead-heat
Ancillary Mercy (Imperial Radch, #3)	Ann Leckie	4.19	38,165	https://www.goodreads.com/book/show/23533039-ancillary-mercy
The Price of Valour (The Shadow Campaigns, #3)	Django Wexler	4.25	7,594	https://www.goodreads.com/book/show/23346335-the-price-of-valour
Red Queen (Red Queen, #1)	Victoria Aveyard	4.03	728,041	https://www.goodreads.com/book/show/17878931-red-queen
The End of All Things (Old Man's War, #6)	John Scalzi	3.98	21,594	https://www.goodreads.com/book/show/23168809-the-end-of-all-things
Six of Crows (Six of Crows, #1)	Leigh Bardugo	4.47	566,924	https://www.goodreads.com/book/show/23437156-six-of-crows
The Beast of Cretacea	Todd Strasser	4.17	522	https://www.goodreads.com/book/show/24727083-the-beast-of-cretacea
Trigger Warning: Short Fictions and Disturbances	Neil Gaiman	3.90	58,264	https://www.goodreads.com/book/show/22522808-trigger-warning
The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)	Rick Riordan	4.21	179,858	https://www.goodreads.com/book/show/15724396-the-sword-of-summer
The Dread Wyrm (The Traitor Son Cycle, #3)	Miles Cameron	4.37	6,708	https://www.goodreads.com/book/show/23129080-the-dread-wyrm
Prudence (The Custard Protocol, #1)	Gail Carriger	3.81	15,240	https://www.goodreads.com/book/show/12799420-prudence
Ruin (The Faithful and the Fallen, #3)	John Gwynne	4.46	11,990	https://www.goodreads.com/book/show/23524878-ruin
A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)	George R.R. Martin	4.18	75,102	https://www.goodreads.com/book/show/23306321-a-knight-of-the-seven-kingdoms
The Grace of Kings (The Dandelion Dynasty, #1)	Ken Liu	3.73	13,568	https://www.goodreads.com/book/show/18952341-the-grace-of-kings
White Hot (Hidden Legacy, #2)	Ilona Andrews	4.45	36,640	https://www.goodreads.com/book/show/22303684-white-hot
Fall of Light (The Kharkanas Trilogy, #2)	Steven Erikson	4.15	3,113	https://www.goodreads.com/book/show/19381626-fall-of-light
Shadow Scale (Seraphina, #2)	Rachel Hartman	3.74	18,279	https://www.goodreads.com/book/show/16085457-shadow-scale
End of Days (Penryn & the End of Days, #3)	Susan Ee	4.04	68,269	https://www.goodreads.com/book/show/18500665-end-of-days
Fairest (The Lunar Chronicles, #3.5)	Marissa Meyer	3.96	125,020	https://www.goodreads.com/book/show/22489107-fairest
Blackguards: Tales of Assassins, Mercenaries, and Rogues	J.M. Martin	3.82	665	https://www.goodreads.com/book/show/23156342-blackguards
A Red-Rose Chain (October Daye, #9)	Seanan McGuire	4.30	9,558	https://www.goodreads.com/book/show/15748535-a-red-rose-chain
The Shepherd's Crown (Discworld, #41; Tiffany Aching, #5)	Terry Pratchett	4.37	25,648	https://www.goodreads.com/book/show/22886868-the-shepherd-s-crown
The Dinosaur Lords (The Dinosaur Lords, #1)	Victor Milán	3.10	2,458	https://www.goodreads.com/book/show/19000898-the-dinosaur-lords
