title	author	ave_rating	no_rating	link
The Thousand Names (The Shadow Campaigns, #1)	Django Wexler	4.05	17,319	https://www.goodreads.com/book/show/15810910-the-thousand-names
Malice (The Faithful and the Fallen, #1)	John Gwynne	4.14	21,278	https://www.goodreads.com/book/show/15750692-malice
The Red Knight (The Traitor Son Cycle, #1)	Miles Cameron	4.11	15,870	https://www.goodreads.com/book/show/13616278-the-red-knight
Traitor's Blade (Greatcoats, #1)	Sebastien de Castell	4.05	19,267	https://www.goodreads.com/book/show/18947303-traitor-s-blade
Worm (Parahumans, #1)	Wildbow	4.62	7,107	https://www.goodreads.com/book/show/18713259-worm
The Crown Tower (The Riyria Chronicles, #1)	Michael J. Sullivan	4.34	32,943	https://www.goodreads.com/book/show/16043804-the-crown-tower
The Last Wish (The Witcher, #0.5)	Andrzej Sapkowski	4.12	245,658	https://www.goodreads.com/book/show/1128434.The_Last_Wish
The Cloud Roads (Books of the Raksura, #1)	Martha Wells	3.97	9,567	https://www.goodreads.com/book/show/9461562-the-cloud-roads
Heroes Die (The Acts of Caine, #1)	Matthew Woodring Stover	4.09	11,398	https://www.goodreads.com/book/show/311864.Heroes_Die
House of Blades (Traveler's Gate, #1)	Will Wight	4.06	13,577	https://www.goodreads.com/book/show/18047306-house-of-blades
The Spirit Thief (The Legend of Eli Monpress, #1)	Rachel Aaron	3.88	9,353	https://www.goodreads.com/book/show/8097637-the-spirit-thief
Retribution Falls (Tales of the Ketty Jay, #1)	Chris Wooding	3.97	9,193	https://www.goodreads.com/book/show/6285903-retribution-falls
The Emperor's Edge (The Emperor's Edge, #1)	Lindsay Buroker	4.04	13,623	https://www.goodreads.com/book/show/10031259-the-emperor-s-edge
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	Laini Taylor	3.98	352,453	https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
The Black Company (The Chronicles of the Black Company, #1)	Glen Cook	3.90	48,014	https://www.goodreads.com/book/show/140671.The_Black_Company
The Curse of Chalion (World of the Five Gods, #1)	Lois McMaster Bujold	4.10	39,539	https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion
The Killing Moon (Dreamblood, #1)	N.K. Jemisin	3.93	15,702	https://www.goodreads.com/book/show/11774272-the-killing-moon
Scourge of the Betrayer (Bloodsounder's Arc, #1)	Jeff Salyards	3.52	2,765	https://www.goodreads.com/book/show/13279692-scourge-of-the-betrayer
Bridge of Birds (The Chronicles of Master Li and Number Ten Ox, #1)	Barry Hughart	4.28	9,865	https://www.goodreads.com/book/show/15177.Bridge_of_Birds
Low Town (Low Town, #1)	Daniel Polansky	3.85	5,711	https://www.goodreads.com/book/show/9755449-low-town
The Bone Doll's Twin (The Tamír Triad, #1)	Lynn Flewelling	4.06	11,982	https://www.goodreads.com/book/show/671560.The_Bone_Doll_s_Twin
The Privilege of the Sword (Riverside, #2)	Ellen Kushner	3.92	5,036	https://www.goodreads.com/book/show/821583.The_Privilege_of_the_Sword
A Cavern of Black Ice (Sword of Shadows, #1)	J.V. Jones	3.87	8,867	https://www.goodreads.com/book/show/24249.A_Cavern_of_Black_Ice
Empire in Black and Gold (Shadows of the Apt, #1)	Adrian Tchaikovsky	3.69	9,062	https://www.goodreads.com/book/show/3437309-empire-in-black-and-gold
Luck in the Shadows (Nightrunner, #1)	Lynn Flewelling	4.08	19,576	https://www.goodreads.com/book/show/74270.Luck_in_the_Shadows
A Natural History of Dragons (The Memoirs of Lady Trent, #1)	Marie Brennan	3.81	31,872	https://www.goodreads.com/book/show/12974372-a-natural-history-of-dragons
The Riddle-Master of Hed (Riddle-Master, #1)	Patricia A. McKillip	4.00	11,937	https://www.goodreads.com/book/show/92755.The_Riddle_Master_of_Hed
Transformation (Rai-Kirah, #1)	Carol Berg	3.99	6,983	https://www.goodreads.com/book/show/618196.Transformation
Three Parts Dead (Craft Sequence, #1)	Max Gladstone	3.97	13,126	https://www.goodreads.com/book/show/13539191-three-parts-dead
The Hundred Thousand Kingdoms (Inheritance, #1)	N.K. Jemisin	3.87	66,395	https://www.goodreads.com/book/show/6437061-the-hundred-thousand-kingdoms
Mage's Blood (Moontide Quartet, #1)	David Hair	3.87	4,413	https://www.goodreads.com/book/show/15771846-mage-s-blood
Promise of Blood (Powder Mage, #1)	Brian McClellan	4.10	50,855	https://www.goodreads.com/book/show/15790883-promise-of-blood
Dragon Fate (War of the Blades, #1)	J.D. Hallowell	3.83	733	https://www.goodreads.com/book/show/15829015-dragon-fate
A Dance of Cloaks (Shadowdance, #1)	David Dalglish	3.75	12,370	https://www.goodreads.com/book/show/9601799-a-dance-of-cloaks
The Time of the Dark (Darwath, #1)	Barbara Hambly	3.98	5,159	https://www.goodreads.com/book/show/176277.The_Time_of_the_Dark
Range of Ghosts (Eternal Sky, #1)	Elizabeth Bear	3.69	3,727	https://www.goodreads.com/book/show/12109372-range-of-ghosts
The Dying Earth (The Dying Earth #1)	Jack Vance	3.92	8,077	https://www.goodreads.com/book/show/951749.The_Dying_Earth
The Grim Company (The Grim Company, #1)	Luke Scull	3.73	6,866	https://www.goodreads.com/book/show/17707471-the-grim-company
Daughter of the Empire (The Empire Trilogy, #1)	Raymond E. Feist	4.28	34,433	https://www.goodreads.com/book/show/589979.Daughter_of_the_Empire
The Steel Remains (A Land Fit for Heroes, #1)	Richard K. Morgan	3.74	15,500	https://www.goodreads.com/book/show/3314369-the-steel-remains
The Dragon's Path (The Dagger and the Coin, #1)	Daniel Abraham	3.79	19,580	https://www.goodreads.com/book/show/8752885-the-dragon-s-path
The Whitefire Crossing (Shattered Sigil, #1)	Courtney Schafer	3.71	2,386	https://www.goodreads.com/book/show/10928630-the-whitefire-crossing
A Shadow in Summer (Long Price Quartet, #1)	Daniel Abraham	3.62	11,838	https://www.goodreads.com/book/show/208.A_Shadow_in_Summer
City of Stairs (The Divine Cities, #1)	Robert Jackson Bennett	4.04	34,042	https://www.goodreads.com/book/show/20174424-city-of-stairs
Sword-Dancer (Tiger and Del, #1)	Jennifer Roberson	3.99	7,755	https://www.goodreads.com/book/show/127645.Sword_Dancer
A Crucible of Souls (Sorcery Ascendant Sequence, #1)	Mitchell Hogan	3.94	7,491	https://www.goodreads.com/book/show/18241129-a-crucible-of-souls
