title	author	ave_rating	no_rating	link
Luck in the Shadows (Nightrunner, #1)	Lynn Flewelling	4.08	19,576	https://www.goodreads.com/book/show/74270.Luck_in_the_Shadows
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,673	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
Magic's Pawn (The Last Herald-Mage #1)	Mercedes Lackey	4.21	24,956	https://www.goodreads.com/book/show/28759.Magic_s_Pawn
Ash	Malinda Lo	3.63	33,222	https://www.goodreads.com/book/show/6472451-ash
The Left Hand of Darkness (Hainish Cycle, #4)	Ursula K. Le Guin	4.08	140,028	https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
The Song of Achilles	Madeline Miller	4.41	565,042	https://www.goodreads.com/book/show/11250317-the-song-of-achilles
Stalking Darkness (Nightrunner, #2)	Lynn Flewelling	4.25	14,114	https://www.goodreads.com/book/show/74275.Stalking_Darkness
Swordspoint (Riverside, #1)	Ellen Kushner	3.79	9,333	https://www.goodreads.com/book/show/68485.Swordspoint
The Long Way to a Small, Angry Planet (Wayfarers, #1)	Becky Chambers	4.15	97,958	https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet
Huntress	Malinda Lo	3.80	12,123	https://www.goodreads.com/book/show/9415946-huntress
Carry On (Simon Snow, #1)	Rainbow Rowell	4.19	260,410	https://www.goodreads.com/book/show/32768522-carry-on
Magic's Price (The Last Herald-Mage #3)	Mercedes Lackey	4.27	20,394	https://www.goodreads.com/book/show/28734.Magic_s_Price
Traitor's Moon (Nightrunner, #3)	Lynn Flewelling	4.12	10,697	https://www.goodreads.com/book/show/74273.Traitor_s_Moon
Santa Olivia (Santa Olivia, #1)	Jacqueline Carey	3.84	8,688	https://www.goodreads.com/book/show/5931169-santa-olivia
Magic's Promise (The Last Herald-Mage #2)	Mercedes Lackey	4.22	19,869	https://www.goodreads.com/book/show/28760.Magic_s_Promise
Lord of the White Hell, Book 1 (Lord of the White Hell, #1)	Ginn Hale	4.04	4,743	https://www.goodreads.com/book/show/8017244-lord-of-the-white-hell-book-1
The Fifth Season (The Broken Earth, #1)	N.K. Jemisin	4.27	199,760	https://www.goodreads.com/book/show/19161852-the-fifth-season
Captive Prince (Captive Prince, #1)	C.S. Pacat	3.82	73,557	https://www.goodreads.com/book/show/9305362-captive-prince
Wicked Gentlemen	Ginn Hale	3.98	4,053	https://www.goodreads.com/book/show/1636228.Wicked_Gentlemen
The God Eaters	Jesse Hajicek	4.11	3,123	https://www.goodreads.com/book/show/613268.The_God_Eaters
Shadows Return (Nightrunner, #4)	Lynn Flewelling	4.01	7,300	https://www.goodreads.com/book/show/2065091.Shadows_Return
Mélusine (Doctrine of Labyrinths, #1)	Sarah Monette	3.64	4,107	https://www.goodreads.com/book/show/492069.M_lusine
Hero	Perry Moore	3.87	17,778	https://www.goodreads.com/book/show/1251032.Hero
Scarlet and the White Wolf (Scarlet and the White Wolf, #1)	Kirby Crow	3.77	3,523	https://www.goodreads.com/book/show/3236813-scarlet-and-the-white-wolf
Earthflown	Frances Wren	4.86	100	https://www.goodreads.com/book/show/57164200-earthflown
The Steel Remains (A Land Fit for Heroes, #1)	Richard K. Morgan	3.74	15,500	https://www.goodreads.com/book/show/3314369-the-steel-remains
The Traitor Baru Cormorant (The Masquerade, #1)	Seth Dickinson	4.06	15,157	https://www.goodreads.com/book/show/23444482-the-traitor-baru-cormorant
Naamah's Kiss (Naamah Trilogy, #1)	Jacqueline Carey	4.12	13,697	https://www.goodreads.com/book/show/5659537-naamah-s-kiss
Stranger in a Strange Land	Robert A. Heinlein	3.92	290,945	https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
The Magpie Lord (A Charm of Magpies, #1)	K.J. Charles	4.07	15,260	https://www.goodreads.com/book/show/34715150-the-magpie-lord
