title	author	ave_rating	no_rating	link
Shadows of Self (Mistborn, #5)	Brandon Sanderson	4.27	102,185	https://www.goodreads.com/book/show/16065004-shadows-of-self
The Thorn of Emberlain (Gentleman Bastard, #4)	Scott Lynch	4.30	2,341	https://www.goodreads.com/book/show/8074907-the-thorn-of-emberlain
Firefight (The Reckoners, #2)	Brandon Sanderson	4.26	89,805	https://www.goodreads.com/book/show/15704459-firefight
The Liar's Key (The Red Queen's War, #2)	Mark Lawrence	4.25	18,000	https://www.goodreads.com/book/show/22852698-the-liar-s-key
The Aeronaut's Windlass (The Cinder Spires, #1)	Jim Butcher	4.18	38,580	https://www.goodreads.com/book/show/24876258-the-aeronaut-s-windlass
The Skull Throne (Demon Cycle, #4)	Peter V. Brett	4.14	34,945	https://www.goodreads.com/book/show/13630171-the-skull-throne
Queen of Fire (Raven's Shadow, #3)	Anthony Ryan	3.69	24,532	https://www.goodreads.com/book/show/18405221-queen-of-fire
Fool's Quest (The Fitz and The Fool, #2)	Robin Hobb	4.52	34,260	https://www.goodreads.com/book/show/23157777-fool-s-quest
Half the World (Shattered Sea, #2)	Joe Abercrombie	4.20	32,728	https://www.goodreads.com/book/show/21066604-half-the-world
Armada	Ernest Cline	3.55	109,918	https://www.goodreads.com/book/show/16278318-armada
The Autumn Republic (Powder Mage, #3)	Brian McClellan	4.37	26,266	https://www.goodreads.com/book/show/20883847-the-autumn-republic
Uprooted	Naomi Novik	4.04	202,134	https://www.goodreads.com/book/show/22544764-uprooted
The Beast of Cretacea	Todd Strasser	4.17	522	https://www.goodreads.com/book/show/18484780-the-beast-of-cretacea
Golden Son (Red Rising Saga, #2)	Pierce Brown	4.43	171,311	https://www.goodreads.com/book/show/18966819-golden-son
The Death of Dulgath (The Riyria Chronicles, #3)	Michael J. Sullivan	4.39	14,538	https://www.goodreads.com/book/show/24683898-the-death-of-dulgath
Half a War (Shattered Sea, #3)	Joe Abercrombie	4.03	26,489	https://www.goodreads.com/book/show/22381326-half-a-war
Winter (The Lunar Chronicles, #4)	Marissa Meyer	4.41	234,414	https://www.goodreads.com/book/show/13206900-winter
Seveneves	Neal Stephenson	3.98	106,296	https://www.goodreads.com/book/show/22752699-seveneves
A Darker Shade of Magic (Shades of Magic, #1)	V.E. Schwab	4.06	258,820	https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic
Queen of Shadows (Throne of Glass, #4)	Sarah J. Maas	4.53	334,480	https://www.goodreads.com/book/show/18006496-queen-of-shadows
The Providence of Fire (Chronicle of the Unhewn Throne, #2)	Brian Staveley	4.12	21,580	https://www.goodreads.com/book/show/22055280-the-providence-of-fire
Finders Keepers (Bill Hodges Trilogy, #2)	Stephen King	4.04	126,061	https://www.goodreads.com/book/show/22453035-finders-keepers
Magic Shifts (Kate Daniels, #8)	Ilona Andrews	4.40	39,387	https://www.goodreads.com/book/show/17333171-magic-shifts
Eve: The Awakening (Eve, #1)	Jenna Moreci	3.74	1,589	https://www.goodreads.com/book/show/25523025-eve
The Fifth Season (The Broken Earth, #1)	N.K. Jemisin	4.27	199,792	https://www.goodreads.com/book/show/19161852-the-fifth-season
The Dinosaur Lords (The Dinosaur Lords, #1)	Victor Milán	3.10	2,458	https://www.goodreads.com/book/show/19000898-the-dinosaur-lords
Dragon of the Stars	Alex J. Cavanaugh	4.34	176	https://www.goodreads.com/book/show/23521766-dragon-of-the-stars
