title	author	ave_rating	no_rating	link
The Night Circus	Erin Morgenstern	4.03	792,532	https://www.goodreads.com/book/show/9361589-the-night-circus
Stardust	Neil Gaiman	4.08	396,669	https://www.goodreads.com/book/show/16793.Stardust
Cinder (The Lunar Chronicles, #1)	Marissa Meyer	4.13	786,922	https://www.goodreads.com/book/show/11235712-cinder
The Princess Bride	William Goldman	4.25	835,203	https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Handmaid's Tale (The Handmaid's Tale, #1)	Margaret Atwood	4.12	1,662,864	https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,416	https://www.goodreads.com/book/show/518848.Sabriel
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,070	https://www.goodreads.com/book/show/12067.Good_Omens
Sunshine	Robin McKinley	3.84	41,437	https://www.goodreads.com/book/show/8088.Sunshine
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,014	https://www.goodreads.com/book/show/68428.The_Final_Empire
Dragonflight (Dragonriders of Pern, #1)	Anne McCaffrey	4.08	135,668	https://www.goodreads.com/book/show/61975.Dragonflight
Pride and Prejudice	Jane Austen	4.27	3,414,639	https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,871	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Bitten (Otherworld, #1)	Kelley Armstrong	4.00	101,860	https://www.goodreads.com/book/show/11918.Bitten
The Raven Boys (The Raven Cycle, #1)	Maggie Stiefvater	4.03	320,433	https://www.goodreads.com/book/show/15995747-the-raven-boys
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,131	https://www.goodreads.com/book/show/13831.Alanna
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,143	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
Fangirl	Rainbow Rowell	4.00	660,782	https://www.goodreads.com/book/show/19174917-fangirl
Hounded (The Iron Druid Chronicles, #1)	Kevin Hearne	4.07	86,300	https://www.goodreads.com/book/show/9533378-hounded
Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)	Seth Grahame-Smith	3.31	136,435	https://www.goodreads.com/book/show/5899779-pride-and-prejudice-and-zombies
Cordelia's Honor (Vorkosigan Omnibus, #1)	Lois McMaster Bujold	4.29	14,931	https://www.goodreads.com/book/show/61900.Cordelia_s_Honor
The Golem and the Jinni (The Golem and the Jinni, #1)	Helene Wecker	4.08	117,037	https://www.goodreads.com/book/show/15819028-the-golem-and-the-jinni
A Kiss of Shadows (Merry Gentry, #1)	Laurell K. Hamilton	4.00	57,372	https://www.goodreads.com/book/show/139417.A_Kiss_of_Shadows
Seraphina (Seraphina, #1)	Rachel Hartman	3.92	89,633	https://www.goodreads.com/book/show/19549841-seraphina
Once Burned (Night Prince, #1)	Jeaniene Frost	4.19	66,346	https://www.goodreads.com/book/show/7039218-once-burned
Discount Armageddon (InCryptid, #1)	Seanan McGuire	3.85	16,052	https://www.goodreads.com/book/show/11402002-discount-armageddon
Vampire Academy (Vampire Academy, #1)	Richelle Mead	4.10	602,284	https://www.goodreads.com/book/show/18660669-vampire-academy
Prudence (The Custard Protocol, #1)	Gail Carriger	3.81	15,239	https://www.goodreads.com/book/show/12799420-prudence
The Claiming of Sleeping Beauty	A.N. Roquelaure	3.26	51,230	https://www.goodreads.com/book/show/26582.The_Claiming_of_Sleeping_Beauty
The Rook (The Checquy Files, #1)	Daniel O'Malley	4.09	53,731	https://www.goodreads.com/book/show/10836728-the-rook
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,144	https://www.goodreads.com/book/show/7896527-throne-of-glass
Kitty and the Midnight Hour (Kitty Norville #1)	Carrie Vaughn	3.67	33,727	https://www.goodreads.com/book/show/14461.Kitty_and_the_Midnight_Hour
Parable of the Sower (Earthseed, #1)	Octavia E. Butler	4.18	99,915	https://www.goodreads.com/book/show/52397.Parable_of_the_Sower
Magic's Pawn (The Last Herald-Mage #1)	Mercedes Lackey	4.21	24,956	https://www.goodreads.com/book/show/28759.Magic_s_Pawn
Beyond the Highland Mist (Highlander, #1)	Karen Marie Moning	3.95	70,502	https://www.goodreads.com/book/show/743599.Beyond_the_Highland_Mist
Skinwalker (Jane Yellowrock, #1)	Faith Hunter	3.91	37,441	https://www.goodreads.com/book/show/5585788-skinwalker
Rebecca	Daphne du Maurier	4.23	526,324	https://www.goodreads.com/book/show/12873.Rebecca
Unholy Ghosts (Downside Ghosts, #1)	Stacia Kane	3.65	18,014	https://www.goodreads.com/book/show/6261189-unholy-ghosts
