title	author	ave_rating	no_rating	link
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,051,637	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Handmaid's Tale (The Handmaid's Tale, #1)	Margaret Atwood	4.12	1,662,946	https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
Angelfall (Penryn & the End of Days, #1)	Susan Ee	4.10	188,480	https://www.goodreads.com/book/show/15863832-angelfall
The V Girl: a Coming of Age Story	Mya Robarts	4.01	14,831	https://www.goodreads.com/book/show/25437891-the-v-girl
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,069,077	https://www.goodreads.com/book/show/2767052-the-hunger-games
The Atlantis Gene (The Origin Mystery, #1)	A.G. Riddle	3.75	75,689	https://www.goodreads.com/book/show/25843420-the-atlantis-gene
Air Awakens (Air Awakens, #1)	Elise Kova	4.01	34,874	https://www.goodreads.com/book/show/23127048-air-awakens
Trickery (Curse of the Gods, #1)	Jaymin Eve	4.18	31,838	https://www.goodreads.com/book/show/33898320-trickery
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,525,108	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
Pandemic (The Extinction Files, #1)	A.G. Riddle	3.97	34,691	https://www.goodreads.com/book/show/34811896-pandemic
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,365	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
The Selection (The Selection, #1)	Kiera Cass	4.11	1,142,202	https://www.goodreads.com/book/show/10507293-the-selection
Artemis Fowl (Artemis Fowl, #1)	Eoin Colfer	3.85	535,929	https://www.goodreads.com/book/show/249747.Artemis_Fowl
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,970	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Wool Omnibus (Silo, #1)	Hugh Howey	4.19	177,256	https://www.goodreads.com/book/show/13453029-wool-omnibus
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,563	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Free the Darkness (King's Dark Tidings #1)	Kel Kade	4.23	17,798	https://www.goodreads.com/book/show/28385685-free-the-darkness
The Queen's Poisoner (Kingfountain, #1)	Jeff Wheeler	4.04	33,767	https://www.goodreads.com/book/show/29103028-the-queen-s-poisoner
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,107,128	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,668	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,926	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
The Paper Magician (The Paper Magician, #1)	Charlie N. Holmberg	3.66	78,708	https://www.goodreads.com/book/show/20727654-the-paper-magician
Pines (Wayward Pines, #1)	Blake Crouch	3.93	104,530	https://www.goodreads.com/book/show/15096164-pines
