title	author	ave_rating	no_rating	link
The Thorn of Emberlain (Gentleman Bastard, #4)	Scott Lynch	4.30	2,341	https://www.goodreads.com/book/show/8074907-the-thorn-of-emberlain
The Wheel of Osheim (The Red Queen's War, #3)	Mark Lawrence	4.33	14,600	https://www.goodreads.com/book/show/27154427-the-wheel-of-osheim
Age of Myth (The Legends of the First Empire, #1)	Michael J. Sullivan	4.23	28,946	https://www.goodreads.com/book/show/26863057-age-of-myth
The Bands of Mourning (Mistborn, #6)	Brandon Sanderson	4.39	91,622	https://www.goodreads.com/book/show/18739426-the-bands-of-mourning
The Blood Mirror (Lightbringer, #4)	Brent Weeks	4.34	39,446	https://www.goodreads.com/book/show/17570538-the-blood-mirror
Peace Talks (The Dresden Files, #16)	Jim Butcher	4.21	35,160	https://www.goodreads.com/book/show/22249640-peace-talks
The Last Mortal Bond (Chronicle of the Unhewn Throne, #3)	Brian Staveley	4.06	15,319	https://www.goodreads.com/book/show/20753341-the-last-mortal-bond
Morning Star (Red Rising Saga, #3)	Pierce Brown	4.47	142,780	https://www.goodreads.com/book/show/18966806-morning-star
Calamity (Reckoners, #3)	Brandon Sanderson	4.19	68,160	https://www.goodreads.com/book/show/15704486-calamity
Sharp Ends (First Law World, #7)	Joe Abercrombie	4.15	13,441	https://www.goodreads.com/book/show/26030742-sharp-ends
City of Blades (The Divine Cities, #2)	Robert Jackson Bennett	4.21	13,875	https://www.goodreads.com/book/show/23909755-city-of-blades
Empire of Storms (Throne of Glass, #5)	Sarah J. Maas	4.52	279,364	https://www.goodreads.com/book/show/28260587-empire-of-storms
The Olympian Affair (The Cinder Spires, #2)	Jim Butcher	3.68	100	https://www.goodreads.com/book/show/26860699-the-olympian-affair
Wrath (The Faithful and the Fallen, #4)	John Gwynne	4.49	10,448	https://www.goodreads.com/book/show/27411345-wrath
Saint's Blood (Greatcoats, #3)	Sebastien de Castell	4.26	7,738	https://www.goodreads.com/book/show/23899193-saint-s-blood
The Spider's War (The Dagger and the Coin, #5)	Daniel Abraham	4.09	5,739	https://www.goodreads.com/book/show/20404905-the-spider-s-war
The Guns of Empire (The Shadow Campaigns, #4)	Django Wexler	4.28	5,500	https://www.goodreads.com/book/show/25845201-the-guns-of-empire
Fire Touched (Mercy Thompson, #9)	Patricia Briggs	4.34	45,245	https://www.goodreads.com/book/show/25776210-fire-touched
Magic Binds (Kate Daniels, #9)	Ilona Andrews	4.55	30,723	https://www.goodreads.com/book/show/17333174-magic-binds
Staked (The Iron Druid Chronicles, #8)	Kevin Hearne	4.24	20,281	https://www.goodreads.com/book/show/16280689-staked
A Court of Mist and Fury (A Court of Thorns and Roses, #2)	Sarah J. Maas	4.59	563,276	https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
Fall of Light (The Kharkanas Trilogy, #2)	Steven Erikson	4.15	3,113	https://www.goodreads.com/book/show/19381626-fall-of-light
Dead Man's Steel (The Grim Company, #3)	Luke Scull	3.98	2,032	https://www.goodreads.com/book/show/25893966-dead-man-s-steel
The Obelisk Gate (The Broken Earth, #2)	N.K. Jemisin	4.27	120,795	https://www.goodreads.com/book/show/26228034-the-obelisk-gate
The Waking Fire (The Draconis Memoria, #1)	Anthony Ryan	4.06	11,705	https://www.goodreads.com/book/show/25972177-the-waking-fire
Marked in Flesh (The Others, #4)	Anne Bishop	4.23	27,575	https://www.goodreads.com/book/show/22062202-marked-in-flesh
Lady Midnight (The Dark Artifices, #1)	Cassandra Clare	4.35	202,323	https://www.goodreads.com/book/show/25494343-lady-midnight
A Gathering of Shadows (Shades of Magic, #2)	V.E. Schwab	4.24	138,742	https://www.goodreads.com/book/show/20764879-a-gathering-of-shadows
The City of Mirrors (The Passage, #3)	Justin Cronin	4.20	49,183	https://www.goodreads.com/book/show/12379094-the-city-of-mirrors
Dancer's Lament (Path to Ascendancy, #1)	Ian C. Esslemont	4.39	4,196	https://www.goodreads.com/book/show/25480364-dancer-s-lament
The Hanging Tree (Rivers of London, #6)	Ben Aaronovitch	4.21	29,904	https://www.goodreads.com/book/show/21479290-the-hanging-tree
Chains of the Heretic (Bloodsounder's Arc, #3)	Jeff Salyards	4.05	880	https://www.goodreads.com/book/show/25159315-chains-of-the-heretic
Children of Earth and Sky	Guy Gavriel Kay	4.14	5,767	https://www.goodreads.com/book/show/25938417-children-of-earth-and-sky
King of Ashes (The Firemane Saga #1)	Raymond E. Feist	4.18	7,521	https://www.goodreads.com/book/show/18505747-king-of-ashes
The Great Ordeal (Aspect-Emperor, #3)	R. Scott Bakker	4.05	2,114	https://www.goodreads.com/book/show/27160926-the-great-ordeal
Those Below (The Empty Throne #2)	Daniel Polansky	3.90	730	https://www.goodreads.com/book/show/25103760-those-below
Glass Sword (Red Queen, #2)	Victoria Aveyard	3.85	263,006	https://www.goodreads.com/book/show/23174274-glass-sword
Feverborn (Fever, #8)	Karen Marie Moning	4.22	23,347	https://www.goodreads.com/book/show/12444298-feverborn
The Thousand and One (The Crescent Moon Kingdoms, #2)	Saladin Ahmed	3.76	21	https://www.goodreads.com/book/show/9633472-the-thousand-and-one
The Girl Who Raced Fairyland All the Way Home (Fairyland, #5)	Catherynne M. Valente	4.49	1,956	https://www.goodreads.com/book/show/18961360-the-girl-who-raced-fairyland-all-the-way-home
Crooked Kingdom (Six of Crows, #2)	Leigh Bardugo	4.59	376,114	https://www.goodreads.com/book/show/22299763-crooked-kingdom
Stars Above (The Lunar Chronicles, #4.5)	Marissa Meyer	4.16	79,595	https://www.goodreads.com/book/show/25689074-stars-above
The Edge of Worlds (The Books of the Raksura, #4)	Martha Wells	4.08	2,475	https://www.goodreads.com/book/show/25898527-the-edge-of-worlds
Successor's Promise (Millennium's Rule, #3)	Trudi Canavan	4.05	3,612	https://www.goodreads.com/book/show/32718594-successor-s-promise
City of Wonders (Seven Forges, #3)	James A. Moore	3.84	1,054	https://www.goodreads.com/book/show/25383154-city-of-wonders
A Torch Against the Night (An Ember in the Ashes, #2)	Sabaa Tahir	4.23	127,465	https://www.goodreads.com/book/show/25558608-a-torch-against-the-night
Every Heart a Doorway (Wayward Children #1)	Seanan McGuire	3.81	89,716	https://www.goodreads.com/book/show/25526296-every-heart-a-doorway
In the Labyrinth of Drakes (The Memoirs of Lady Trent, #4)	Marie Brennan	4.39	5,444	https://www.goodreads.com/book/show/25481955-in-the-labyrinth-of-drakes
League of Dragons (Temeraire, #9)	Naomi Novik	4.13	8,804	https://www.goodreads.com/book/show/20404555-league-of-dragons
A Plague of Swords (The Traitor Son Cycle, #4)	Miles Cameron	4.28	4,693	https://www.goodreads.com/book/show/26367085-a-plague-of-swords
Truthwitch (The Witchlands, #1)	Susan Dennard	3.83	54,855	https://www.goodreads.com/book/show/25187640-truthwitch
Dragon Hunters (The Chronicles of the Exile, #2)	Marc Turner	3.93	373	https://www.goodreads.com/book/show/25932032-dragon-hunters
The Mortal Tally (Bring Down Heaven, #2)	Sam Sykes	4.01	645	https://www.goodreads.com/book/show/23507511-the-mortal-tally
Javelin Rain (Reawakening Trilogy #2)	Myke Cole	3.75	732	https://www.goodreads.com/book/show/25853049-javelin-rain
The Sorcerer's Daughter: The Defenders of Shannara	Terry Brooks	3.87	3,029	https://www.goodreads.com/book/show/26890468-the-sorcerer-s-daughter
Den of Wolves (Blackthorn & Grim, #3)	Juliet Marillier	4.36	5,908	https://www.goodreads.com/book/show/22567184-den-of-wolves
Life Debt (Star Wars: Aftermath, #2)	Chuck Wendig	3.73	13,196	https://www.goodreads.com/book/show/27209511-life-debt
Once Broken Faith (October Daye, #10)	Seanan McGuire	4.36	8,746	https://www.goodreads.com/book/show/28815482-once-broken-faith
Paper and Fire (The Great Library, #2)	Rachel Caine	4.02	11,875	https://www.goodreads.com/book/show/25890355-paper-and-fire
It's All Fun and Games	Dave Barrett	3.65	252	https://www.goodreads.com/book/show/28331715-it-s-all-fun-and-games
The Dark Army (Starblade Chronicles, #2)	Joseph Delaney	4.12	2,195	https://www.goodreads.com/book/show/25493815-the-dark-army
Ghost Talkers	Mary Robinette Kowal	3.86	4,040	https://www.goodreads.com/book/show/26114291-ghost-talkers
Kings Rising (Captive Prince, #3)	C.S. Pacat	4.43	43,572	https://www.goodreads.com/book/show/17158532-kings-rising
The Rose & the Dagger (The Wrath and the Dawn, #2)	Renée Ahdieh	4.04	83,838	https://www.goodreads.com/book/show/23308084-the-rose-the-dagger
The Last Days of New Paris	China Miéville	3.55	6,001	https://www.goodreads.com/book/show/26042254-the-last-days-of-new-paris
The Alchemy of Chaos (Maradaine, #2)	Marshall Ryan Maresca	4.10	444	https://www.goodreads.com/book/show/25894048-the-alchemy-of-chaos
The Silver Tide (The Copper Cat, #3)	Jen Williams	4.27	727	https://www.goodreads.com/book/show/25863014-the-silver-tide
