title	author	ave_rating	no_rating	link
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,656	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,956	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,497	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,524,997	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.14	669,439	https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,404	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,528	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,142	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
A Dance with Dragons (A Song of Ice and Fire, #5)	George R.R. Martin	4.31	596,116	https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
The Princess Bride	William Goldman	4.25	835,193	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,955	https://www.goodreads.com/book/show/45107.Assassin_s_Apprentice
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,366	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Alanna: The First Adventure (Song of the Lioness, #1)	Tamora Pierce	4.22	129,131	https://www.goodreads.com/book/show/13831.Alanna
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,560,944	https://www.goodreads.com/book/show/113436.Eragon
Crown Duel (Crown & Court #1-2)	Sherwood Smith	4.19	24,663	https://www.goodreads.com/book/show/21060.Crown_Duel
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,632	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,041	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,673	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,601	https://www.goodreads.com/book/show/944073.The_Blade_Itself
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,972	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
The Curse of Chalion (World of the Five Gods, #1)	Lois McMaster Bujold	4.10	39,539	https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion
Eldest (The Inheritance Cycle, #2)	Christopher Paolini	3.99	395,623	https://www.goodreads.com/book/show/45978.Eldest
The Lions of Al-Rassan	Guy Gavriel Kay	4.29	20,241	https://www.goodreads.com/book/show/104101.The_Lions_of_Al_Rassan
A Queen's Spy (The Tudor Mystery Trials #1)	Samantha Burnell	4.01	815	https://www.goodreads.com/book/show/34941821-a-queen-s-spy
Inheritance (The Inheritance Cycle, #4)	Christopher Paolini	4.09	243,801	https://www.goodreads.com/book/show/7664041-inheritance
The Last Wish (The Witcher, #0.5)	Andrzej Sapkowski	4.12	245,658	https://www.goodreads.com/book/show/1128434.The_Last_Wish
The Horse and His Boy (Chronicles of Narnia, #5)	C.S. Lewis	3.91	308,141	https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,021	https://www.goodreads.com/book/show/7235533-the-way-of-kings
