title	author	ave_rating	no_rating	link
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,527	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,736	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478,277	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,706	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,160	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,956	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	481,996	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,021	https://www.goodreads.com/book/show/7235533-the-way-of-kings
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,582	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,397	https://www.goodreads.com/book/show/30165203-american-gods
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,793	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,605	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Jonathan Strange & Mr Norrell	Susanna Clarke	3.83	222,173	https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
Eragon (The Inheritance Cycle, #1)	Christopher Paolini	3.92	1,560,947	https://www.goodreads.com/book/show/113436.Eragon
A Feast for Crows (A Song of Ice and Fire, #4)	George R.R. Martin	4.14	669,445	https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,602	https://www.goodreads.com/book/show/944073.The_Blade_Itself
Words of Radiance (The Stormlight Archive, #2)	Brandon Sanderson	4.73	251,512	https://www.goodreads.com/book/show/17332218-words-of-radiance
A Dance with Dragons (A Song of Ice and Fire, #5)	George R.R. Martin	4.31	596,124	https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,153	https://www.goodreads.com/book/show/256683.City_of_Bones
The Hero of Ages (Mistborn, #3)	Brandon Sanderson	4.48	312,162	https://www.goodreads.com/book/show/2767793-the-hero-of-ages
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,044	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
The Graveyard Book	Neil Gaiman	4.13	485,771	https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
Elantris (Elantris, #1)	Brandon Sanderson	4.17	205,127	https://www.goodreads.com/book/show/68427.Elantris
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,107	https://www.goodreads.com/book/show/3236307-graceling
