title	author	ave_rating	no_rating	link
The Lord of the Rings	J.R.R. Tolkien	4.50	609,963	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,050,833	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Dune (Dune, #1)	Frank Herbert	4.24	974,997	https://www.goodreads.com/book/show/44767458-dune
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,420	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	Douglas Adams	4.22	1,592,220	https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
Ender's Game (Ender's Saga, #1)	Orson Scott Card	4.30	1,230,635	https://www.goodreads.com/book/show/375802.Ender_s_Game
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,669	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
1984	George Orwell	4.19	3,617,997	https://www.goodreads.com/book/show/40961427-1984
The Martian	Andy Weir	4.40	926,634	https://www.goodreads.com/book/show/18007564-the-martian
Fahrenheit 451	Ray Bradbury	3.98	1,923,748	https://www.goodreads.com/book/show/17470674-fahrenheit-451
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,528	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.22	2,359,366	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
The Foundation Trilogy (Foundation, #1-3)	Isaac Asimov	4.41	96,315	https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,068,543	https://www.goodreads.com/book/show/2767052-the-hunger-games
Brave New World	Aldous Huxley	3.99	1,592,024	https://www.goodreads.com/book/show/5129.Brave_New_World
A Wrinkle in Time (Time Quintet, #1)	Madeleine L'Engle	3.99	1,113,173	https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,389	https://www.goodreads.com/book/show/4407.American_Gods
Frankenstein	Mary Wollstonecraft Shelley	3.83	1,295,268	https://www.goodreads.com/book/show/18490.Frankenstein
The Handmaid's Tale (The Handmaid's Tale, #1)	Margaret Atwood	4.12	1,662,824	https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Stand	Stephen King	4.33	680,481	https://www.goodreads.com/book/show/149267.The_Stand
Dracula	Bram Stoker	4.00	1,050,857	https://www.goodreads.com/book/show/17245.Dracula
I, Robot (Robot, #0.1)	Isaac Asimov	4.21	302,803	https://www.goodreads.com/book/show/41804.I_Robot
The Princess Bride	William Goldman	4.25	835,194	https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Golden Compass (His Dark Materials, #1)	Philip Pullman	4.00	1,386,050	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Stranger in a Strange Land	Robert A. Heinlein	3.92	290,946	https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,127	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Time Machine	H.G. Wells	3.90	459,046	https://www.goodreads.com/book/show/2493.The_Time_Machine
Do Androids Dream of Electric Sheep?	Philip K. Dick	4.08	388,369	https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_
The Left Hand of Darkness (Hainish Cycle, #4)	Ursula K. Le Guin	4.08	140,028	https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3,245,236	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Hyperion	Dan Simmons	4.23	212,066	https://www.goodreads.com/book/show/77566.Hyperion
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	4.24	616,049	https://www.goodreads.com/book/show/12067.Good_Omens
Ready Player One (Ready Player One, #1)	Ernest Cline	4.24	989,864	https://www.goodreads.com/book/show/9969571-ready-player-one
Alice in Wonderland	Jane Carruth	4.02	389,435	https://www.goodreads.com/book/show/13023.Alice_in_Wonderland
The Martian Chronicles	Ray Bradbury	4.15	230,507	https://www.goodreads.com/book/show/76778.The_Martian_Chronicles
2001: A Space Odyssey (Space Odyssey, #1)	Arthur C. Clarke	4.15	282,139	https://www.goodreads.com/book/show/70535.2001
Flowers for Algernon	Daniel Keyes	4.16	538,560	https://www.goodreads.com/book/show/18373.Flowers_for_Algernon
Slaughterhouse-Five	Kurt Vonnegut Jr.	4.08	1,219,259	https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,806	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
Neverwhere (London Below, #1)	Neil Gaiman	4.16	471,018	https://www.goodreads.com/book/show/14497.Neverwhere
Old Man's War (Old Man's War, #1)	John Scalzi	4.19	184,065	https://www.goodreads.com/book/show/51964.Old_Man_s_War
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,972	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
Starship Troopers	Robert A. Heinlein	4.00	210,112	https://www.goodreads.com/book/show/17214.Starship_Troopers
Childhood's End	Arthur C. Clarke	4.10	144,269	https://www.goodreads.com/book/show/414999.Childhood_s_End
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3,124,749	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Neuromancer (Sprawl, #1)	William Gibson	3.90	284,966	https://www.goodreads.com/book/show/22328.Neuromancer
The Forever War (The Forever War, #1)	Joe Haldeman	4.13	153,684	https://www.goodreads.com/book/show/21611.The_Forever_War
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,024	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Little Prince	Antoine de Saint-Exupéry	4.31	1,620,292	https://www.goodreads.com/book/show/253647.The_Little_Prince
The War of the Worlds	H.G. Wells	3.83	270,205	https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
The Moon Is a Harsh Mistress	Robert A. Heinlein	4.14	125,975	https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress
Snow Crash	Neal Stephenson	4.02	252,603	https://www.goodreads.com/book/show/830.Snow_Crash
The Giver (The Giver, #1)	Lois Lowry	4.13	2,015,013	https://www.goodreads.com/book/show/3636.The_Giver
The Dragonriders of Pern: Dragonflight, Dragonquest, and The White Dragon	Anne McCaffrey	4.25	28,606	https://www.goodreads.com/book/show/8356426-the-dragonriders-of-pern
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice	4.00	522,948	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Foundation (Foundation, #1)	Isaac Asimov	4.17	458,784	https://www.goodreads.com/book/show/29579.Foundation
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,181	https://www.goodreads.com/book/show/43615.The_Gunslinger
Rendezvous with Rama (Rama, #1)	Arthur C. Clarke	4.11	145,848	https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama
A Canticle for Leibowitz (St. Leibowitz, #1)	Walter M. Miller Jr.	3.97	102,776	https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,161	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.43	3,106,831	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Wonderful Wizard of Oz (Oz, #1)	L. Frank Baum	3.97	410,634	https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
The Silmarillion	J.R.R. Tolkien	3.94	242,670	https://www.goodreads.com/book/show/7332.The_Silmarillion
Mistborn Trilogy Boxed Set (Mistborn, #1-3)	Brandon Sanderson	4.57	45,692	https://www.goodreads.com/book/show/6604209-mistborn-trilogy-boxed-set
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,792	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.50	2,813,160	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Watership Down (Watership Down, #1)	Richard Adams	4.06	456,330	https://www.goodreads.com/book/show/76620.Watership_Down
Jonathan Strange & Mr Norrell	Susanna Clarke	3.83	222,174	https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
Wool Omnibus (Silo, #1)	Hugh Howey	4.19	177,250	https://www.goodreads.com/book/show/13453029-wool-omnibus
Ringworld (Ringworld, #1)	Larry Niven	3.96	112,407	https://www.goodreads.com/book/show/61179.Ringworld
Outlander (Outlander, #1)	Diana Gabaldon	4.23	914,924	https://www.goodreads.com/book/show/10964.Outlander
World War Z: An Oral History of the Zombie War	Max Brooks	4.01	479,709	https://www.goodreads.com/book/show/8908.World_War_Z
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,588	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
The Great Dune Trilogy	Frank Herbert	4.37	58,010	https://www.goodreads.com/book/show/53764.The_Great_Dune_Trilogy
The Neverending Story	Michael Ende	4.15	185,040	https://www.goodreads.com/book/show/327354.The_Neverending_Story
It	Stephen King	4.24	909,024	https://www.goodreads.com/book/show/18342.It
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2,726,722	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Watchmen	Alan Moore	4.37	513,114	https://www.goodreads.com/book/show/472331.Watchmen
The Complete Works of H.P. Lovecraft	H.P. Lovecraft	4.35	15,307	https://www.goodreads.com/book/show/11851522-the-complete-works-of-h-p-lovecraft
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,142	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.37	2,524,997	https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring
Twenty Thousand Leagues Under the Sea	Jules Verne	3.89	220,313	https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
Doomsday Book (Oxford Time Travel, #1)	Connie Willis	4.02	55,842	https://www.goodreads.com/book/show/24983.Doomsday_Book
The Shining	Stephen King	4.24	1,253,447	https://www.goodreads.com/book/show/11588.The_Shining
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,782	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
Ancillary Justice (Imperial Radch, #1)	Ann Leckie	3.97	93,836	https://www.goodreads.com/book/show/17333324-ancillary-justice
The Road	Cormac McCarthy	3.97	784,107	https://www.goodreads.com/book/show/6288.The_Road
Something Wicked This Way Comes (Green Town, #2)	Ray Bradbury	3.92	114,473	https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes
The Last Unicorn (The Last Unicorn, #1)	Peter S. Beagle	4.14	104,677	https://www.goodreads.com/book/show/29127.The_Last_Unicorn
Nine Princes in Amber (The Chronicles of Amber #1)	Roger Zelazny	4.04	57,070	https://www.goodreads.com/book/show/92121.Nine_Princes_in_Amber
The Magician's Nephew (Chronicles of Narnia, #6)	C.S. Lewis	4.04	461,352	https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
The Stars My Destination	Alfred Bester	4.09	46,967	https://www.goodreads.com/book/show/333867.The_Stars_My_Destination
Speaker for the Dead (Ender's Saga, #2)	Orson Scott Card	4.07	236,354	https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,955	https://www.goodreads.com/book/show/45107.Assassin_s_Apprentice
The Diamond Age: Or, a Young Lady's Illustrated Primer	Neal Stephenson	4.14	89,915	https://www.goodreads.com/book/show/827.The_Diamond_Age
Red Rising (Red Rising Saga, #1)	Pierce Brown	4.23	293,731	https://www.goodreads.com/book/show/15839976-red-rising
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,601	https://www.goodreads.com/book/show/944073.The_Blade_Itself
Red Mars (Mars Trilogy, #1)	Kim Stanley Robinson	3.86	73,953	https://www.goodreads.com/book/show/77507.Red_Mars
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,957	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
Small Gods (Discworld, #13)	Terry Pratchett	4.29	107,236	https://www.goodreads.com/book/show/34484.Small_Gods
Changes (The Dresden Files, #12)	Jim Butcher	4.49	105,121	https://www.goodreads.com/book/show/6585201-changes
The Chronicles of Thomas Covenant, the Unbeliever (The Chronicles of Thomas Covenant the Unbeliever, #1-3)	Stephen R. Donaldson	3.80	14,744	https://www.goodreads.com/book/show/179033.The_Chronicles_of_Thomas_Covenant_the_Unbeliever
The Ten Riddles of Eartha Quicksmith	Loris Owen	4.50	138	https://www.goodreads.com/book/show/54068198-the-ten-riddles-of-eartha-quicksmith
