title	author	ave_rating	no_rating	link
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,528	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,021	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Land: Founding (Chaos Seeds, #1)	Aleron Kong	4.07	23,712	https://www.goodreads.com/book/show/34234639-the-land
Words of Radiance (The Stormlight Archive, #2)	Brandon Sanderson	4.73	251,508	https://www.goodreads.com/book/show/17332218-words-of-radiance
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,793	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
Blood Song (Raven's Shadow, #1)	Anthony Ryan	4.37	81,699	https://www.goodreads.com/book/show/16144869-blood-song
The Warded Man (Demon Cycle, #1)	Peter V. Brett	4.23	117,924	https://www.goodreads.com/book/show/3428935-the-warded-man
The Black Prism (Lightbringer, #1)	Brent Weeks	4.21	112,858	https://www.goodreads.com/book/show/7165300-the-black-prism
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,601	https://www.goodreads.com/book/show/944073.The_Blade_Itself
Prince of Thorns (The Broken Empire, #1)	Mark Lawrence	3.85	105,386	https://www.goodreads.com/book/show/9579634-prince-of-thorns
Before They Are Hanged (The First Law, #2)	Joe Abercrombie	4.29	133,879	https://www.goodreads.com/book/show/902715.Before_They_Are_Hanged
The Farseer Trilogy (Farseer Trilogy #1-3)	Robin Hobb	4.38	19,749	https://www.goodreads.com/book/show/10762697-the-farseer-trilogy
The Shadow of What Was Lost (The Licanius Trilogy, #1)	James Islington	4.14	34,113	https://www.goodreads.com/book/show/22878967-the-shadow-of-what-was-lost
Red Rising (Red Rising Saga, #1)	Pierce Brown	4.23	293,731	https://www.goodreads.com/book/show/15839976-red-rising
The Emperor's Blades (Chronicle of the Unhewn Throne, #1)	Brian Staveley	4.05	40,891	https://www.goodreads.com/book/show/17910124-the-emperor-s-blades
Promise of Blood (Powder Mage, #1)	Brian McClellan	4.10	50,855	https://www.goodreads.com/book/show/15790883-promise-of-blood
The Girl with Ghost Eyes	M.H. Boroson	3.87	3,765	https://www.goodreads.com/book/show/25159239-the-girl-with-ghost-eyes
Last Argument of Kings (The First Law, #3)	Joe Abercrombie	4.28	125,691	https://www.goodreads.com/book/show/6237768-last-argument-of-kings
Prince of Fools (The Red Queen's War, #1)	Mark Lawrence	4.06	28,856	https://www.goodreads.com/book/show/18693743-prince-of-fools
A Crucible of Souls (Sorcery Ascendant Sequence, #1)	Mitchell Hogan	3.94	7,491	https://www.goodreads.com/book/show/18241129-a-crucible-of-souls
Attrition: the First Act of Penance (Three Acts of Penance, #1)	S.G. Night	4.12	754	https://www.goodreads.com/book/show/18400770-attrition
Oathbringer (The Stormlight Archive, #3)	Brandon Sanderson	4.57	167,357	https://www.goodreads.com/book/show/17250961-oathbringer
The Treasure of Gwenlais (The Rienfield Chronicles, #1)	M.T. Magee	4.23	60	https://www.goodreads.com/book/show/26700902-the-treasure-of-gwenlais
The Fifth Season (The Broken Earth, #1)	N.K. Jemisin	4.27	199,760	https://www.goodreads.com/book/show/19161852-the-fifth-season
Half a King (Shattered Sea, #1)	Joe Abercrombie	3.95	58,980	https://www.goodreads.com/book/show/18666047-half-a-king
Best Served Cold	Joe Abercrombie	4.16	75,486	https://www.goodreads.com/book/show/3891951-best-served-cold
