title	author	ave_rating	no_rating	link
Red Sister (Book of the Ancestor, #1)	Mark Lawrence	4.13	53,707	https://www.goodreads.com/book/show/25895524-red-sister
A Conjuring of Light (Shades of Magic, #3)	V.E. Schwab	4.32	112,643	https://www.goodreads.com/book/show/29939230-a-conjuring-of-light
Age of Swords (The Legends of the First Empire, #2)	Michael J. Sullivan	4.29	17,559	https://www.goodreads.com/book/show/18052164-age-of-swords
The Thorn of Emberlain (Gentleman Bastard, #4)	Scott Lynch	4.30	2,341	https://www.goodreads.com/book/show/8074907-the-thorn-of-emberlain
Oathbringer (The Stormlight Archive, #3)	Brandon Sanderson	4.57	167,393	https://www.goodreads.com/book/show/17250961-oathbringer
The Stone Sky (The Broken Earth, #3)	N.K. Jemisin	4.30	101,172	https://www.goodreads.com/book/show/31817749-the-stone-sky
Skullsworn	Brian Staveley	4.10	4,226	https://www.goodreads.com/book/show/29939037-skullsworn
Iron Gold (Red Rising Saga, #4)	Pierce Brown	4.22	56,204	https://www.goodreads.com/book/show/29217027-iron-gold
Assassin's Fate (The Fitz and the Fool, #3)	Robin Hobb	4.64	31,094	https://www.goodreads.com/book/show/24942688-assassin-s-fate
Sins of Empire (Gods of Blood and Powder, #1)	Brian McClellan	4.40	14,004	https://www.goodreads.com/book/show/28811016-sins-of-empire
The Core (The Demon Cycle, #5)	Peter V. Brett	4.17	22,368	https://www.goodreads.com/book/show/16096968-the-core
The Bear and the Nightingale (The Winternight Trilogy, #1)	Katherine Arden	4.08	153,972	https://www.goodreads.com/book/show/25489134-the-bear-and-the-nightingale
Peace Talks (The Dresden Files, #16)	Jim Butcher	4.21	35,161	https://www.goodreads.com/book/show/22249640-peace-talks
Norse Mythology	Neil Gaiman	4.08	262,557	https://www.goodreads.com/book/show/30809689-norse-mythology
Silence Fallen (Mercy Thompson, #10)	Patricia Briggs	4.36	40,338	https://www.goodreads.com/book/show/30687916-silence-fallen
The Collapsing Empire (The Interdependency, #1)	John Scalzi	4.10	45,451	https://www.goodreads.com/book/show/30078567-the-collapsing-empire
Persepolis Rising (The Expanse, #7)	James S.A. Corey	4.35	48,138	https://www.goodreads.com/book/show/28335696-persepolis-rising
Etched in Bone (The Others, #5)	Anne Bishop	4.31	20,519	https://www.goodreads.com/book/show/22062213-etched-in-bone
Waking Gods (Themis Files, #2)	Sylvain Neuvel	4.01	40,503	https://www.goodreads.com/book/show/30134847-waking-gods
City of Miracles (The Divine Cities, #3)	Robert Jackson Bennett	4.42	10,441	https://www.goodreads.com/book/show/28784121-city-of-miracles
Provenance	Ann Leckie	3.83	17,173	https://www.goodreads.com/book/show/25353286-provenance
Magic Triumphs (Kate Daniels, #10)	Ilona Andrews	4.56	25,329	https://www.goodreads.com/book/show/17333180-magic-triumphs
The Stars Are Legion	Kameron Hurley	3.66	8,560	https://www.goodreads.com/book/show/29090844-the-stars-are-legion
Borne	Jeff VanderMeer	3.94	30,612	https://www.goodreads.com/book/show/28225843-borne
A Darker Shade of Magic (Shades of Magic, #1)	V.E. Schwab	4.06	258,832	https://www.goodreads.com/book/show/34496775-a-darker-shade-of-magic
Lady of the Lake (The Witcher, #5)	Andrzej Sapkowski	4.14	53,285	https://www.goodreads.com/book/show/18247598-lady-of-the-lake
Vengeful (Villains, #2)	V.E. Schwab	4.21	51,821	https://www.goodreads.com/book/show/26856502-vengeful
Tyrant's Throne (Greatcoats, #4)	Sebastien de Castell	4.43	5,744	https://www.goodreads.com/book/show/30317594-tyrant-s-throne
Home (Binti, #2)	Nnedi Okorafor	4.06	24,473	https://www.goodreads.com/book/show/30038654-home
