title	author	ave_rating	no_rating	link
Reaper (Cradle, #10)	Will Wight	4.77	6764	https://www.goodreads.com/book/show/57640065-reaper
The Warden and the Wolf King (The Wingfeather Saga #4)	Andrew Peterson	4.76	6383	https://www.goodreads.com/book/show/22091081-the-warden-and-the-wolf-king
Wintersteel (Cradle, #8)	Will Wight	4.73	12039	https://www.goodreads.com/book/show/52135463-wintersteel
天官赐福 [Tiān Guān Cì Fú]	墨香铜臭	4.72	7458	https://www.goodreads.com/book/show/42674778-ti-n-gu-n-c-f
Sin & Surrender (Demigods of San Francisco, #6)	K.F. Breene	4.71	6732	https://www.goodreads.com/book/show/53285819-sin-surrender
The Absolute Sandman, Volume Three	Neil Gaiman	4.7	7193	https://www.goodreads.com/book/show/2186848.The_Absolute_Sandman_Volume_Three
Black Dagger Brotherhood: Boxed Set #1-6	J.R. Ward	4.69	8655	https://www.goodreads.com/book/show/6606305-black-dagger-brotherhood
The Monster in the Hollows (The Wingfeather Saga, #3)	Andrew Peterson	4.68	7330	https://www.goodreads.com/book/show/10954417-the-monster-in-the-hollows
Fullmetal Alchemist, Vol. 26 (Fullmetal Alchemist, #26)	Hiromu Arakawa	4.67	5902	https://www.goodreads.com/book/show/10281904-fullmetal-alchemist-vol-26
Saga: Book One	Brian K. Vaughan	4.67	10439	https://www.goodreads.com/book/show/22078240-saga
Sulwe	Lupita Nyong'o	4.65	8166	https://www.goodreads.com/book/show/42785750-sulwe
Magical Midlife Meeting (Leveling Up #5)	K.F. Breene	4.64	6534	https://www.goodreads.com/book/show/57109937-magical-midlife-meeting
Anarchy (Hades, #2)	Tate James	4.64	8333	https://www.goodreads.com/book/show/56428876-anarchy
The Fever Series (Fever, #1-5)	Karen Marie Moning	4.64	6170	https://www.goodreads.com/book/show/15842007-the-fever-series
The Trouble With Peace (The Age of Madness, #2)	Joe Abercrombie	4.63	14510	https://www.goodreads.com/book/show/50358101-the-trouble-with-peace
The Trouble with Peace (The Age of Madness, #2)	Joe Abercrombie	4.63	14510	https://www.goodreads.com/book/show/40701777-the-trouble-with-peace
The Wisdom of Crowds (The Age of Madness, #3)	Joe Abercrombie	4.63	7881	https://www.goodreads.com/book/show/40701780-the-wisdom-of-crowds
Underlord (Cradle, #6)	Will Wight	4.63	13873	https://www.goodreads.com/book/show/43895031-underlord
Our Violent Ends (These Violent Delights, #2)	Chloe Gong	4.62	5894	https://www.goodreads.com/book/show/44084762-our-violent-ends
Worm (Parahumans, #1)	Wildbow	4.62	7107	https://www.goodreads.com/book/show/18713259-worm
魔道祖师 [Mo Dao Zu Shi]	墨香铜臭	4.61	11564	https://www.goodreads.com/book/show/33310533-mo-dao-zu-shi
Grandmaster of Demonic Cultivation	墨香铜臭	4.61	11564	https://www.goodreads.com/book/show/42190679-grandmaster-of-demonic-cultivation
The Dark Tower Series: Books 1-7 (The Dark Tower #1-7)	Stephen King	4.61	10614	https://www.goodreads.com/book/show/12274389-the-dark-tower-series
The Dying of the Light (Skulduggery Pleasant, #9)	Derek Landy	4.61	9136	https://www.goodreads.com/book/show/18131799-the-dying-of-the-light
Midlife Demon Hunter (Forty Proof, #3)	Shannon Mayer	4.6	6421	https://www.goodreads.com/book/show/51768128-midlife-demon-hunter
Fablehaven: The Complete Series Boxed Set (Fablehaven, #1-5)	Brandon Mull	4.6	7742	https://www.goodreads.com/book/show/8331312-fablehaven
Fullmetal Alchemist (3-in-1 Edition), Vol. 1	Hiromu Arakawa	4.6	7454	https://www.goodreads.com/book/show/10182392-fullmetal-alchemist-3-in-1-edition-vol-1
Empower (The Violet Eden Chapters, #5)	Jessica Shirvington	4.6	8164	https://www.goodreads.com/book/show/16030817-empower
Spy Ski School (Spy School #4)	Stuart Gibbs	4.59	6595	https://www.goodreads.com/book/show/28954134-spy-ski-school
Spy School Secret Service (Spy School, #5)	Stuart Gibbs	4.59	5652	https://www.goodreads.com/book/show/34228282-spy-school-secret-service
The Song of the Lioness Quartet	Tamora Pierce	4.59	13500	https://www.goodreads.com/book/show/20759527-the-song-of-the-lioness-quartet
Last Stand of Dead Men (Skulduggery Pleasant, #8)	Derek Landy	4.59	11229	https://www.goodreads.com/book/show/16123975-last-stand-of-dead-men
The Song of the Lioness Quartet (Song of the Lioness, #1-4)	Tamora Pierce	4.59	13500	https://www.goodreads.com/book/show/492490.The_Song_of_the_Lioness_Quartet
Midlife Fairy Hunter (Forty Proof, #2)	Shannon Mayer	4.59	7895	https://www.goodreads.com/book/show/51456504-midlife-fairy-hunter
The Wheel of time series by Robert Jordan (1-11)	Robert Jordan	4.59	6384	https://www.goodreads.com/book/show/7932486-the-wheel-of-time-series-by-robert-jordan
Song of the Lioness (Song of the Lioness, #1-4)	Tamora Pierce	4.59	13500	https://www.goodreads.com/book/show/153809.Song_of_the_Lioness
When Evil Comes To Play (The Veil Diaries, #5)	B.L. Brunnemer	4.59	5091	https://www.goodreads.com/book/show/39929687-when-evil-comes-to-play
Midlife Ghost Hunter (Forty Proof, #4)	Shannon Mayer	4.58	5165	https://www.goodreads.com/book/show/54262549-midlife-ghost-hunter
The Immortals (Immortals, #1-4)	Tamora Pierce	4.58	7826	https://www.goodreads.com/book/show/153797.The_Immortals
Delivering Evil for Experts (The Guild Codex: Demonized, #4)	Annette Marie	4.58	6239	https://www.goodreads.com/book/show/55651067-delivering-evil-for-experts
