title	author	ave_rating	no_rating	link
Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)	J.K. Rowling	4.78	71981	https://www.goodreads.com/book/show/8.Harry_Potter_Boxed_Set_Books_1_5
The Harry Potter Collection 1-4 (Harry Potter, #1-4)	J.K. Rowling	4.69	60373	https://www.goodreads.com/book/show/99298.The_Harry_Potter_Collection_1_4
The Harry Potter Collection (Harry Potter, #1-4)	J.K. Rowling	4.69	60369	https://www.goodreads.com/book/show/107894.The_Harry_Potter_Collection
The Infernal Devices: Clockwork Angel; Clockwork Prince; Clockwork Princess	Cassandra Clare	4.67	15557	https://www.goodreads.com/book/show/15803724-the-infernal-devices
Clockwork Angel; Clockwork Prince; Clockwork Princess (The Infernal Devices, #1-3)	Cassandra Clare	4.67	15558	https://www.goodreads.com/book/show/15803693-clockwork-angel-clockwork-prince-clockwork-princess
The Absolute Sandman, Volume One	Neil Gaiman	4.65	19112	https://www.goodreads.com/book/show/23753.The_Absolute_Sandman_Volume_One
The Way of Kings, Part 1 (The Stormlight Archive #1, Part 1 of 2)	Brandon Sanderson	4.65	19383	https://www.goodreads.com/book/show/9329354-the-way-of-kings-part-1
Neverseen (Keeper of the Lost Cities, #4)	Shannon Messenger	4.64	22780	https://www.goodreads.com/book/show/22733616-neverseen
Assassin's Fate (The Fitz and the Fool, #3)	Robin Hobb	4.64	31094	https://www.goodreads.com/book/show/24942688-assassin-s-fate
A Song of Ice and Fire (A Song of Ice and Fire, #1-4)	George R.R. Martin	4.63	45816	https://www.goodreads.com/book/show/9814682-a-song-of-ice-and-fire
A Song of Ice and Fire	George R.R. Martin	4.63	45818	https://www.goodreads.com/book/show/10331670-a-song-of-ice-and-fire
The George R.R. Martin Song Of Ice and Fire Box Set featuring A Game of Thrones, A Clash of Kings, A Storm of Swords, and A Feast for Crows	George R.R. Martin	4.63	45815	https://www.goodreads.com/book/show/15836476-the-george-r-r-martin-song-of-ice-and-fire-box-set-featuring-a-game-of
Rhythm of War (The Stormlight Archive, #4)	Brandon Sanderson	4.62	71188	https://www.goodreads.com/book/show/49021976-rhythm-of-war
Vampire Academy Collection (Vampire Academy, #1-3)	Richelle Mead	4.61	33908	https://www.goodreads.com/book/show/6339989-vampire-academy-collection
A Game of Thrones #1	Daniel Abraham	4.61	72762	https://www.goodreads.com/book/show/18337259-a-game-of-thrones-1
Lodestar (Keeper of the Lost Cities, #5)	Shannon Messenger	4.61	19860	https://www.goodreads.com/book/show/27272698-lodestar
