title	author	ave_rating	no_rating	link
Words of Radiance (The Stormlight Archive, #2)	Brandon Sanderson	4.73	251512	https://www.goodreads.com/book/show/17332218-words-of-radiance
Harry Potter Series Box Set (Harry Potter, #1-7)	J.K. Rowling	4.72	268381	https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set
Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)	J.K. Rowling	4.62	159429	https://www.goodreads.com/book/show/1317181.Harry_Potter_and_the_Order_of_the_Phoenix
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368021	https://www.goodreads.com/book/show/7235533-the-way-of-kings
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.61	3124736	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Hobbit & The Lord of the Rings	J.R.R. Tolkien	4.6	119661	https://www.goodreads.com/book/show/18048422-the-hobbit-the-lord-of-the-rings
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings	J.R.R. Tolkien	4.6	119661	https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
Crooked Kingdom (Six of Crows, #2)	Leigh Bardugo	4.59	375976	https://www.goodreads.com/book/show/22299763-crooked-kingdom
A Court of Mist and Fury (A Court of Thorns and Roses, #2)	Sarah J. Maas	4.59	563021	https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
Kingdom of Ash (Throne of Glass, #7)	Sarah J. Maas	4.57	204426	https://www.goodreads.com/book/show/33590260-kingdom-of-ash
Oathbringer (The Stormlight Archive, #3)	Brandon Sanderson	4.57	167356	https://www.goodreads.com/book/show/34002132-oathbringer
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.57	2726706	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.57	3245218	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2921582	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.54	746469	https://www.goodreads.com/book/show/838729.The_Return_of_the_King
Clockwork Princess (The Infernal Devices, #3)	Cassandra Clare	4.54	396069	https://www.goodreads.com/book/show/18335634-clockwork-princess
El temor de un hombre sabio (Crónica del asesino de Reyes, #2)	Patrick Rothfuss	4.53	478276	https://www.goodreads.com/book/show/12877610-el-temor-de-un-hombre-sabio
Project Hail Mary	Andy Weir	4.53	152606	https://www.goodreads.com/book/show/56049167-project-hail-mary
Written in My Own Heart's Blood (Outlander, #8)	Diana Gabaldon	4.53	105911	https://www.goodreads.com/book/show/17838167-written-in-my-own-heart-s-blood
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705956	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
The Wise Man's Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	4.53	478277	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
Queen of Shadows (Throne of Glass, #4)	Sarah J. Maas	4.53	334417	https://www.goodreads.com/book/show/18006496-queen-of-shadows
Empire of Storms (Throne of Glass, #5)	Sarah J. Maas	4.52	279315	https://www.goodreads.com/book/show/28260587-empire-of-storms
The House of Hades (The Heroes of Olympus, #4)	Rick Riordan	4.52	320701	https://www.goodreads.com/book/show/12127810-the-house-of-hades
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806527	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.5	2813160	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
The Last Olympian (Percy Jackson and the Olympians, #5)	Rick Riordan	4.5	780712	https://www.goodreads.com/book/show/4556058-the-last-olympian
Saga, Vol. 2 (Saga, #2)	Brian K. Vaughan	4.5	100552	https://www.goodreads.com/book/show/17131869-saga-vol-2
A Memory of Light (The Wheel of Time, #14)	Robert Jordan	4.5	120937	https://www.goodreads.com/book/show/7743175-a-memory-of-light
The Hobbit	Chuck Dixon	4.5	183959	https://www.goodreads.com/book/show/659469.The_Hobbit
The Lord of the Rings	J.R.R. Tolkien	4.5	609988	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Changes (The Dresden Files, #12)	Jim Butcher	4.49	105121	https://www.goodreads.com/book/show/6585201-changes
The Hero of Ages (Mistborn, #3)	Brandon Sanderson	4.48	312162	https://www.goodreads.com/book/show/2767793-the-hero-of-ages
The Heart's Invisible Furies	John Boyne	4.48	101295	https://www.goodreads.com/book/show/35197753-the-heart-s-invisible-furies
